#	startTime:1559374498916
#	SiteID:5cd56b5ae2acfd2d33b58544	SiteName:嘉尚坊	FloorId:5cd56b5be2acfd2d33b58583	FloorName:F4
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190509-nightly-17-g23747fd	VersionCode:249	
1559374498916	TYPE_WAYPOINT	23.49254	39.62227
1559374499041	TYPE_ACCELEROMETER	-0.08734131	2.457428	9.929016
1559374499041	TYPE_MAGNETIC_FIELD	-33.96	-19.32	-35.1
1559374499041	TYPE_GYROSCOPE	-0.12605286	-0.07009888	0.014785767
1559374499041	TYPE_ROTATION_VECTOR	0.07877147	-0.11327641	-0.77394307
1559374499041	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-32.28	-54.239998	-169.62
1559374499041	TYPE_GYROSCOPE_UNCALIBRATED	-0.097717285	0.002456665	-0.065963745
1559374499041	TYPE_ACCELEROMETER_UNCALIBRATED	0.0335083	2.4825592	9.421738
1559374499061	TYPE_ACCELEROMETER	-0.13041687	2.3102722	10.382462
1559374499061	TYPE_MAGNETIC_FIELD	-33.96	-18.96	-34.86
1559374499061	TYPE_GYROSCOPE	-0.18440247	-0.11956787	0.03829956
1559374499061	TYPE_ROTATION_VECTOR	0.07802678	-0.092511214	-0.7796173
1559374499061	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-32.28	-53.879997	-169.38
1559374499061	TYPE_GYROSCOPE_UNCALIBRATED	-0.13162231	-0.02809143	-0.06199646
1559374499061	TYPE_ACCELEROMETER_UNCALIBRATED	-0.1375885	2.4023895	10.265213
1559374499081	TYPE_ACCELEROMETER	0.032302856	2.1834564	10.02713
1559374499081	TYPE_MAGNETIC_FIELD	-33.899998	-18.779999	-34.62
1559374499081	TYPE_GYROSCOPE	0.011077881	0.03678894	0.075546265
1559374499081	TYPE_ROTATION_VECTOR	0.069331355	-0.08454584	-0.8013736
1559374499081	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-32.219997	-53.699997	-169.14
1559374499081	TYPE_GYROSCOPE_UNCALIBRATED	-0.18997192	-0.077560425	-0.038482666
1559374499081	TYPE_ACCELEROMETER_UNCALIBRATED	-0.07058716	2.2301178	10.277176
1559374499100	TYPE_ACCELEROMETER	0.13639832	2.165512	9.51506
1559374499100	TYPE_MAGNETIC_FIELD	-33.719997	-18.42	-34.5
1559374499100	TYPE_GYROSCOPE	0.11491394	0.067337036	0.06272888
1559374499100	TYPE_ROTATION_VECTOR	0.06369613	-0.08609318	-0.7924222
1559374499100	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-32.039997	-53.339996	-169.02
1559374499100	TYPE_GYROSCOPE_UNCALIBRATED	0.005508423	0.07879639	-0.0012359619
1559374499100	TYPE_ACCELEROMETER_UNCALIBRATED	0.110076904	2.1679077	9.745972
1559374499120	TYPE_ACCELEROMETER	0.011962891	2.1990051	9.337997
1559374499120	TYPE_MAGNETIC_FIELD	-33.66	-18.3	-34.5
