#	startTime:1559374626666
#	SiteID:5cd56b5ae2acfd2d33b58544	SiteName:嘉尚坊	FloorId:5cd56b5be2acfd2d33b58583	FloorName:F4
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190509-nightly-17-g23747fd	VersionCode:249	
1559374626667	TYPE_WAYPOINT	26.484095	35.46728
1559374626796	TYPE_ACCELEROMETER	1.8221436	2.0985107	8.161926
1559374626796	TYPE_MAGNETIC_FIELD	30.42	15.179999	-44.82
1559374626796	TYPE_GYROSCOPE	0.006790161	-0.02368164	0.004699707
1559374626796	TYPE_ROTATION_VECTOR	0.15077849	-0.034309078	0.48893923
1559374626796	TYPE_MAGNETIC_FIELD_UNCALIBRATED	32.1	-19.739998	-179.34
1559374626796	TYPE_GYROSCOPE_UNCALIBRATED	0.0012207031	0.018325806	-0.07208252
1559374626796	TYPE_ACCELEROMETER_UNCALIBRATED	1.8556366	2.025528	8.537598
1559374626816	TYPE_ACCELEROMETER	1.4871368	2.108078	8.2456665
1559374626816	TYPE_MAGNETIC_FIELD	30.539999	14.94	-44.7
1559374626816	TYPE_GYROSCOPE	0.2010498	0.16325378	-0.21061707
1559374626816	TYPE_ROTATION_VECTOR	0.15896282	-0.024270318	0.48899937
1559374626816	TYPE_MAGNETIC_FIELD_UNCALIBRATED	32.219997	-19.98	-179.22
1559374626816	TYPE_GYROSCOPE_UNCALIBRATED	0.065979004	0.0806427	-0.14385986
1559374626816	TYPE_ACCELEROMETER_UNCALIBRATED	1.2322998	2.0518494	8.721832
1559374626836	TYPE_ACCELEROMETER	0.99780273	1.9549408	9.303299
1559374626836	TYPE_MAGNETIC_FIELD	30.779999	14.94	-44.46
1559374626836	TYPE_GYROSCOPE	0.11430359	0.21395874	-0.34043884
1559374626836	TYPE_ROTATION_VECTOR	0.13266356	-2.427639E-5	0.47567853
1559374626836	TYPE_MAGNETIC_FIELD_UNCALIBRATED	32.46	-19.98	-178.98001
1559374626836	TYPE_GYROSCOPE_UNCALIBRATED	0.20404053	0.26512146	-0.38056946
1559374626836	TYPE_ACCELEROMETER_UNCALIBRATED	0.8889313	1.8544464	9.777084
1559374626855	TYPE_ACCELEROMETER	0.9260254	1.7826538	9.991241
1559374626855	TYPE_MAGNETIC_FIELD	30.779999	14.639999	-44.399998
1559374626855	TYPE_GYROSCOPE	0.06239319	0.1400299	-0.3801422
1559374626855	TYPE_ROTATION_VECTOR	0.10337877	0.0075753885	0.48753825
1559374626855	TYPE_MAGNETIC_FIELD_UNCALIBRATED	32.46	-20.279999	-178.92
1559374626855	TYPE_GYROSCOPE_UNCALIBRATED	0.05682373	0.23213196	-0.4416504
1559374626855	TYPE_ACCELEROMETER_UNCALIBRATED	1.0923309	1.7515564	9.872787
1559374626875	TYPE_ACCELEROMETER	1.3088684	1.7874451	9.509079
