#	startTime:1559375080965
#	SiteID:5cd56b5ae2acfd2d33b58544	SiteName:嘉尚坊	FloorId:5cd56b5be2acfd2d33b58571	FloorName:F3
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190509-nightly-17-g23747fd	VersionCode:249	
1559375080965	TYPE_WAYPOINT	42.875393	81.95692
1559375081090	TYPE_ACCELEROMETER	0.2141571	3.041275	7.9369965
1559375081090	TYPE_MAGNETIC_FIELD	-31.199999	-15.9	-33.96
1559375081090	TYPE_GYROSCOPE	0.03855896	0.01663208	0.11831665
1559375081090	TYPE_ROTATION_VECTOR	0.11732977	-0.14287886	-0.72488725
1559375081090	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-29.519999	-50.82	-168.48001
1559375081090	TYPE_GYROSCOPE_UNCALIBRATED	0.032989502	0.058639526	0.041534424
1559375081090	TYPE_ACCELEROMETER_UNCALIBRATED	0.16870117	3.0508575	7.798218
1559375081110	TYPE_ACCELEROMETER	0.07417297	2.946762	8.81517
1559375081110	TYPE_MAGNETIC_FIELD	-31.08	-15.96	-33.899998
1559375081110	TYPE_GYROSCOPE	-0.13093567	-0.07131958	0.010192871
1559375081110	TYPE_ROTATION_VECTOR	0.10654713	-0.13483724	-0.740986
1559375081110	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-29.4	-50.879997	-168.42
1559375081110	TYPE_GYROSCOPE_UNCALIBRATED	-0.023513794	0.029327393	0.005493164
1559375081110	TYPE_ACCELEROMETER_UNCALIBRATED	0.16151428	2.995819	8.316269
1559375081130	TYPE_ACCELEROMETER	-0.029922485	2.8163605	9.711273
1559375081130	TYPE_MAGNETIC_FIELD	-30.9	-16.02	-33.719997
1559375081130	TYPE_GYROSCOPE	-0.27052307	-0.113464355	-0.024017334
1559375081130	TYPE_ROTATION_VECTOR	0.09439527	-0.1153218	-0.7650972
1559375081130	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-29.22	-50.94	-168.24
1559375081130	TYPE_GYROSCOPE_UNCALIBRATED	-0.23088074	-0.0690155	-0.10385132
1559375081130	TYPE_ACCELEROMETER_UNCALIBRATED	-0.0335083	2.740982	9.955353
1559375081149	TYPE_ACCELEROMETER	-0.020339966	2.683548	10.030716
1559375081149	TYPE_MAGNETIC_FIELD	-30.66	-15.78	-33.36
1559375081149	TYPE_GYROSCOPE	-0.20761108	-0.049942017	-0.0038452148
1559375081149	TYPE_ROTATION_VECTOR	0.0868838	-0.102559604	-0.7617367
1559375081149	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-28.98	-50.699997	-167.88
1559375081149	TYPE_GYROSCOPE_UNCALIBRATED	-0.2651062	-0.04458618	-0.090408325
1559375081149	TYPE_ACCELEROMETER_UNCALIBRATED	0.0023956299	2.663208	9.949356
1559375081169	TYPE_ACCELEROMETER	0.0036010742	2.6691895	9.753143
1559375081169	TYPE_MAGNETIC_FIELD	-30.66	-15.9	-33.18
1559375081169	TYPE_GYROSCOPE	-0.05671692	-0.008407593	-0.0038452148
1559375081169	TYPE_ROTATION_VECTOR	0.08277054	-0.09992052	-0.76308554
1559375081169	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-28.98	-50.82	-167.70001
1559375081169	TYPE_GYROSCOPE_UNCALIBRATED	-0.13864136	0.019546509	-0.07696533
1559375081169	TYPE_ACCELEROMETER_UNCALIBRATED	0.0023956299	2.663208	9.949356
1559375081189	TYPE_ACCELEROMETER	-0.093322754	2.7098694	9.418152
1559375081189	TYPE_MAGNETIC_FIELD	-30.66	-15.96	-32.7
1559375081189	TYPE_GYROSCOPE	0.02633667	0.004425049	-0.027069092
1559375081189	TYPE_ROTATION_VECTOR	0.08235592	-0.09954335	-0.76317275
1559375081189	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-28.98	-50.879997	-167.22
1559375081189	TYPE_GYROSCOPE_UNCALIBRATED	-0.0048828125	0.04093933	-0.09101868
1559375081189	TYPE_ACCELEROMETER_UNCALIBRATED	-0.04307556	2.6871338	9.546173
1559375081208	TYPE_ACCELEROMETER	-0.15075684	2.7876434	9.443283
1559375081208	TYPE_MAGNETIC_FIELD	-30.599998	-15.9	-32.28
1559375081208	TYPE_GYROSCOPE	-0.008468628	-4.7302246E-4	-0.047836304
1559375081208	TYPE_ROTATION_VECTOR	0.082576595	-0.09968937	-0.763311
1559375081208	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-28.919998	-50.82	-166.8
1559375081208	TYPE_GYROSCOPE_UNCALIBRATED	0.013442993	0.04826355	-0.11546326
1559375081208	TYPE_ACCELEROMETER_UNCALIBRATED	-0.12921143	2.7457733	9.393036
1559375081228	TYPE_ACCELEROMETER	-0.13041687	2.8594208	9.510284
1559375081228	TYPE_MAGNETIC_FIELD	-30.779999	-16.08	-32.46
1559375081228	TYPE_GYROSCOPE	-0.059173584	-0.04322815	-0.060653687
1559375081228	TYPE_ROTATION_VECTOR	0.08256947	-0.099591896	-0.7636157
1559375081228	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-29.099998	-51.0	-166.98001
