#	startTime:1559375138037
#	SiteID:5cd56b5ae2acfd2d33b58544	SiteName:嘉尚坊	FloorId:5cd56b5be2acfd2d33b58571	FloorName:F3
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190509-nightly-17-g23747fd	VersionCode:249	
1559375138038	TYPE_WAYPOINT	42.875393	81.95692
1559375138169	TYPE_ACCELEROMETER	0.23210144	3.0041962	8.684753
1559375138169	TYPE_MAGNETIC_FIELD	-34.8	-18.18	-36.12
1559375138169	TYPE_GYROSCOPE	0.020233154	-0.006576538	-0.035614014
1559375138169	TYPE_ROTATION_VECTOR	0.10220973	-0.14163743	-0.75466794
1559375138169	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-33.12	-53.1	-170.64
1559375138169	TYPE_GYROSCOPE_UNCALIBRATED	0.014663696	0.03543091	-0.11239624
1559375138169	TYPE_ACCELEROMETER_UNCALIBRATED	0.22970581	3.0221405	8.244476
1559375138189	TYPE_ACCELEROMETER	0.22851562	2.8821564	9.7495575
1559375138189	TYPE_MAGNETIC_FIELD	-34.559998	-18.42	-35.88
1559375138189	TYPE_GYROSCOPE	-0.20606995	-0.081710815	-0.0053863525
1559375138189	TYPE_ROTATION_VECTOR	0.08559528	-0.12883799	-0.7772198
1559375138189	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-32.879997	-53.339996	-170.40001
1559375138189	TYPE_GYROSCOPE_UNCALIBRATED	-0.060775757	0.010391235	-0.10232544
1559375138189	TYPE_ACCELEROMETER_UNCALIBRATED	0.24047852	2.9635162	9.232712
1559375138209	TYPE_ACCELEROMETER	0.15673828	2.7517548	10.264008
1559375138209	TYPE_MAGNETIC_FIELD	-34.32	-18.42	-35.76
1559375138209	TYPE_GYROSCOPE	-0.22286987	-0.053009033	0.007751465
1559375138209	TYPE_ROTATION_VECTOR	0.07564666	-0.111065164	-0.7789944
1559375138209	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-32.64	-53.339996	-170.28
1559375138209	TYPE_GYROSCOPE_UNCALIBRATED	-0.27670288	-0.048858643	-0.07086182
1559375138209	TYPE_ACCELEROMETER_UNCALIBRATED	0.12083435	2.732605	10.208984
1559375138228	TYPE_ACCELEROMETER	0.0993042	2.7397919	9.998413
1559375138228	TYPE_MAGNETIC_FIELD	-34.079998	-18.6	-35.82
1559375138228	TYPE_GYROSCOPE	-0.032302856	0.020904541	0.0053100586
1559375138228	TYPE_ROTATION_VECTOR	0.07499713	-0.10589457	-0.78586906
1559375138228	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-32.399998	-53.519997	-170.34
1559375138228	TYPE_GYROSCOPE_UNCALIBRATED	-0.13926697	0.030532837	-0.06903076
1559375138228	TYPE_ACCELEROMETER_UNCALIBRATED	0.12083435	2.732605	10.208984
1559375138248	TYPE_ACCELEROMETER	0.107681274	2.794815	9.446869
1559375138248	TYPE_MAGNETIC_FIELD	-34.02	-18.66	-35.579998
1559375138248	TYPE_GYROSCOPE	0.104522705	0.03678894	-0.0020141602
1559375138248	TYPE_ROTATION_VECTOR	0.08156508	-0.111236334	-0.778199
1559375138248	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-32.34	-53.579998	-170.1
1559375138248	TYPE_GYROSCOPE_UNCALIBRATED	0.04826355	0.08001709	-0.07513428
1559375138248	TYPE_ACCELEROMETER_UNCALIBRATED	0.095718384	2.7625122	9.711273
1559375138268	TYPE_ACCELEROMETER	0.16870117	2.8582306	9.202805
1559375138268	TYPE_MAGNETIC_FIELD	-33.78	-18.96	-35.52
1559375138268	TYPE_GYROSCOPE	0.08804321	0.0013580322	-0.013626099
1559375138268	TYPE_ROTATION_VECTOR	0.08702612	-0.11961211	-0.770795
1559375138268	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-32.1	-53.879997	-170.04001
1559375138268	TYPE_GYROSCOPE_UNCALIBRATED	0.03665161	0.020767212	-0.097732544
1559375138268	TYPE_ACCELEROMETER_UNCALIBRATED	0.18664551	2.8666077	9.251846
1559375138287	TYPE_ACCELEROMETER	0.1986084	2.876175	9.354736
1559375138287	TYPE_MAGNETIC_FIELD	-33.899998	-19.199999	-35.28
1559375138287	TYPE_GYROSCOPE	-0.0048065186	-0.040161133	-0.027679443
1559375138287	TYPE_ROTATION_VECTOR	0.087595366	-0.12026644	-0.77076477
1559375138287	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-32.219997	-54.119995	-169.8
1559375138287	TYPE_GYROSCOPE_UNCALIBRATED	0.03665161	0.020767212	-0.097732544
1559375138287	TYPE_ACCELEROMETER_UNCALIBRATED	0.18664551	2.8666077	9.251846
1559375138307	TYPE_ACCELEROMETER	0.1375885	2.8953247	9.562927
1559375138307	TYPE_MAGNETIC_FIELD	-34.2	-19.26	-35.46
1559375138307	TYPE_GYROSCOPE	-0.0493927	-0.051757812	-0.040512085
1559375138307	TYPE_ROTATION_VECTOR	0.08729973	-0.12045309	-0.7709719
1559375138307	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-32.52	-54.18	-169.98001
1559375138307	TYPE_GYROSCOPE_UNCALIBRATED	-0.04335022	-0.009750366	-0.110565186
1559375138307	TYPE_ACCELEROMETER_UNCALIBRATED	0.18424988	2.8941193	9.4696045
1559375138327	TYPE_ACCELEROMETER	0.08734131	2.8893433	9.577286
1559375138327	TYPE_MAGNETIC_FIELD	-34.32	-19.199999	-35.52
1559375138327	TYPE_GYROSCOPE	-0.017623901	-0.017562866	-0.044174194
1559375138327	TYPE_ROTATION_VECTOR	0.08665682	-0.1203603	-0.77131987
1559375138327	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-32.64	-54.119995	-170.04001
1559375138327	TYPE_GYROSCOPE_UNCALIBRATED	-0.046417236	0.0042877197	-0.122177124
1559375138327	TYPE_ACCELEROMETER_UNCALIBRATED	0.090927124	2.8881378	9.607193
1559375138346	TYPE_ACCELEROMETER	0.1878357	2.8833618	9.355942
1559375138346	TYPE_MAGNETIC_FIELD	-34.38	-18.96	-35.7
1559375138346	TYPE_GYROSCOPE	0.03855896	0.0019683838	-0.031341553
1559375138346	TYPE_ROTATION_VECTOR	0.08646588	-0.12029555	-0.7716243
1559375138346	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-32.7	-53.879997	-170.22
1559375138346	TYPE_GYROSCOPE_UNCALIBRATED	0.006729126	0.038482666	-0.114227295
1559375138346	TYPE_ACCELEROMETER_UNCALIBRATED	0.13519287	2.891739	9.485153
1559375138366	TYPE_ACCELEROMETER	0.19502258	2.872589	9.201599
1559375138366	TYPE_MAGNETIC_FIELD	-34.38	-18.96	-35.76
1559375138366	TYPE_GYROSCOPE	0.05444336	0.00440979	-0.031341553
1559375138366	TYPE_ROTATION_VECTOR	0.08674956	-0.12054712	-0.7717681
1559375138366	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-32.7	-53.879997	-170.28
1559375138366	TYPE_GYROSCOPE_UNCALIBRATED	0.04826355	0.045196533	-0.106292725
1559375138366	TYPE_ACCELEROMETER_UNCALIBRATED	0.14717102	2.8773804	9.24588
1559375138386	TYPE_ACCELEROMETER	0.0945282	2.8677979	9.340393
1559375138386	TYPE_MAGNETIC_FIELD	-34.559998	-18.779999	-35.7
1559375138386	TYPE_GYROSCOPE	0.015365601	0.011138916	-0.03805542
1559375138386	TYPE_ROTATION_VECTOR	0.08715006	-0.120905854	-0.7718899
1559375138386	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-32.879997	-53.699997	-170.22
1559375138386	TYPE_GYROSCOPE_UNCALIBRATED	0.034210205	0.050094604	-0.11178589
1559375138386	TYPE_ACCELEROMETER_UNCALIBRATED	0.14717102	2.8773804	9.24588
1559375138405	TYPE_ACCELEROMETER	0.08016968	2.8343048	9.53421
1559375138405	TYPE_MAGNETIC_FIELD	-34.559998	-18.9	-35.82
1559375138405	TYPE_GYROSCOPE	-0.027404785	-0.006576538	-0.039276123
1559375138405	TYPE_ROTATION_VECTOR	0.087374024	-0.12092415	-0.7720924
1559375138405	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-32.879997	-53.82	-170.34
1559375138405	TYPE_GYROSCOPE_UNCALIBRATED	-0.0146484375	0.0488739	-0.11727905
1559375138405	TYPE_ACCELEROMETER_UNCALIBRATED	0.06341553	2.8462677	9.439682
1559375138425	TYPE_ACCELEROMETER	0.23570251	2.810379	9.649063
1559375138425	TYPE_MAGNETIC_FIELD	-34.62	-18.6	-35.52
1559375138425	TYPE_GYROSCOPE	-0.035964966	-0.030395508	-0.025848389
1559375138425	TYPE_ROTATION_VECTOR	0.08720693	-0.12072331	-0.77236825
1559375138425	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-32.94	-53.519997	-170.04001
1559375138425	TYPE_GYROSCOPE_UNCALIBRATED	-0.042144775	0.020767212	-0.10934448
1559375138425	TYPE_ACCELEROMETER_UNCALIBRATED	0.3086853	2.8043976	9.663422
1559375138445	TYPE_ACCELEROMETER	0.35295105	2.8031921	9.649063
1559375138445	TYPE_MAGNETIC_FIELD	-34.559998	-18.42	-35.579998
1559375138445	TYPE_GYROSCOPE	-0.010299683	-0.022460938	-0.025848389
1559375138445	TYPE_ROTATION_VECTOR	0.08678991	-0.12061214	-0.7725937
1559375138445	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-32.879997	-53.339996	-170.1
1559375138445	TYPE_GYROSCOPE_UNCALIBRATED	-0.03236389	0.0116119385	-0.10017395
1559375138445	TYPE_ACCELEROMETER_UNCALIBRATED	0.3086853	2.8043976	9.663422
1559375138464	TYPE_ACCELEROMETER	0.31825256	2.810379	9.586853
1559375138464	TYPE_MAGNETIC_FIELD	-34.32	-18.359999	-35.52
1559375138464	TYPE_GYROSCOPE	0.022079468	-0.014511108	-0.0466156
1559375138464	TYPE_ROTATION_VECTOR	0.08658583	-0.12064731	-0.7727816
1559375138464	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-32.64	-53.28	-170.04001
1559375138464	TYPE_GYROSCOPE_UNCALIBRATED	0.0018463135	0.025650024	-0.110565186
1559375138464	TYPE_ACCELEROMETER_UNCALIBRATED	0.2632141	2.818756	9.531815
1559375138484	TYPE_ACCELEROMETER	0.22732544	2.8343048	9.486343
1559375138484	TYPE_MAGNETIC_FIELD	-34.26	-18.3	-35.52
1559375138484	TYPE_GYROSCOPE	0.03855896	-0.024291992	-0.068603516
1559375138484	TYPE_ROTATION_VECTOR	0.08666296	-0.120861985	-0.77304924
1559375138484	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-32.579998	-53.219997	-170.04001
1559375138484	TYPE_GYROSCOPE_UNCALIBRATED	0.027496338	0.025054932	-0.13623047
1559375138484	TYPE_ACCELEROMETER_UNCALIBRATED	0.2632141	2.818756	9.531815
1559375138504	TYPE_ACCELEROMETER	0.22612	2.8582306	9.418152
1559375138504	TYPE_MAGNETIC_FIELD	-34.5	-18.3	-35.52
1559375138504	TYPE_GYROSCOPE	0.040390015	-0.027954102	-0.07409668
1559375138504	TYPE_ROTATION_VECTOR	0.08679314	-0.12124218	-0.77343845
1559375138504	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-32.82	-53.219997	-170.04001
1559375138504	TYPE_GYROSCOPE_UNCALIBRATED	0.034820557	0.012832642	-0.15026855
1559375138504	TYPE_ACCELEROMETER_UNCALIBRATED	0.21894836	2.843872	9.446869
1559375138523	TYPE_ACCELEROMETER	0.21655273	2.8833618	9.393021
1559375138523	TYPE_MAGNETIC_FIELD	-34.5	-18.359999	-35.28
1559375138523	TYPE_GYROSCOPE	0.039779663	-0.020004272	-0.07287598
1559375138523	TYPE_ROTATION_VECTOR	0.08691298	-0.12165469	-0.77386177
1559375138523	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-32.82	-53.28	-169.8
1559375138523	TYPE_GYROSCOPE_UNCALIBRATED	0.03237915	0.023223877	-0.15150452
1559375138523	TYPE_ACCELEROMETER_UNCALIBRATED	0.18904114	2.8953247	9.379868
1559375138543	TYPE_ACCELEROMETER	0.15074158	2.9024963	9.39183
1559375138543	TYPE_MAGNETIC_FIELD	-34.559998	-18.42	-35.16
1559375138543	TYPE_GYROSCOPE	0.03489685	-0.020004272	-0.0771637
1559375138543	TYPE_ROTATION_VECTOR	0.08708789	-0.12201563	-0.7742712
1559375138543	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-32.879997	-53.339996	-169.68001
1559375138543	TYPE_GYROSCOPE_UNCALIBRATED	0.03237915	0.023223877	-0.15150452
1559375138543	TYPE_ACCELEROMETER_UNCALIBRATED	0.18904114	2.8953247	9.379868
1559375138563	TYPE_ACCELEROMETER	0.07896423	2.8749847	9.450455
1559375138563	TYPE_MAGNETIC_FIELD	-34.8	-18.42	-35.1
1559375138563	TYPE_GYROSCOPE	0.022079468	-0.016357422	-0.075927734
1559375138563	TYPE_ROTATION_VECTOR	0.08723912	-0.122335516	-0.7747116
1559375138563	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-32.879997	-53.339996	-169.68001
1559375138563	TYPE_GYROSCOPE_UNCALIBRATED	0.009780884	0.025650024	-0.1484375
1559375138563	TYPE_ACCELEROMETER_UNCALIBRATED	0.08494568	2.864212	9.487549
1559375138582	TYPE_ACCELEROMETER	0.12562561	2.8534393	9.510284
1559375138582	TYPE_MAGNETIC_FIELD	-34.86	-18.48	-35.46
1559375138582	TYPE_GYROSCOPE	0.011688232	-0.021240234	-0.06555176
1559375138582	TYPE_ROTATION_VECTOR	0.08723912	-0.122335516	-0.7747116
1559375138582	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-33.12	-53.339996	-169.62
1559375138582	TYPE_GYROSCOPE_UNCALIBRATED	0.009780884	0.025650024	-0.1484375
1559375138582	TYPE_ACCELEROMETER_UNCALIBRATED	0.08494568	2.864212	9.487549
1559375138602	TYPE_ACCELEROMETER	0.2368927	2.8570251	9.488739
1559375138602	TYPE_MAGNETIC_FIELD	-34.86	-18.48	-35.46
1559375138602	TYPE_GYROSCOPE	0.012298584	-0.032836914	-0.059448242
1559375138602	TYPE_ROTATION_VECTOR	0.08733923	-0.12253737	-0.7751567
1559375138602	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-33.18	-53.399998	-169.98001
1559375138602	TYPE_GYROSCOPE_UNCALIBRATED	0.009765625	0.006729126	-0.13867188
1559375138602	TYPE_ACCELEROMETER_UNCALIBRATED	0.22970581	2.855835	9.482758
1559375138622	TYPE_ACCELEROMETER	0.1878357	2.859436	9.470795
1559375138622	TYPE_MAGNETIC_FIELD	-34.86	-18.48	-35.46
1559375138622	TYPE_GYROSCOPE	0.01777649	-0.03590393	-0.06921387
1559375138622	TYPE_ROTATION_VECTOR	0.08733923	-0.12253737	-0.7751567
1559375138622	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-33.18	-53.399998	-169.98001
1559375138622	TYPE_GYROSCOPE_UNCALIBRATED	0.009765625	0.006729126	-0.13867188
