#	startTime:1559375236158
#	SiteID:5cd56b5ae2acfd2d33b58544	SiteName:嘉尚坊	FloorId:5cd56b5be2acfd2d33b58571	FloorName:F3
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190509-nightly-17-g23747fd	VersionCode:249	
1559375236159	TYPE_WAYPOINT	67.187775	99.77854
1559375236294	TYPE_ACCELEROMETER	-0.31704712	2.7828522	9.483963
1559375236294	TYPE_MAGNETIC_FIELD	-7.9199996	29.039999	-58.32
1559375236294	TYPE_GYROSCOPE	6.866455E-4	-4.5776367E-4	-0.00630188
1559375236294	TYPE_ROTATION_VECTOR	0.14661542	-9.954936E-9	-0.11457538
1559375236294	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-4.7999997	-11.879999	-175.44
1559375236294	TYPE_GYROSCOPE_UNCALIBRATED	-0.0048828125	0.041549683	-0.08308411
1559375236294	TYPE_ACCELEROMETER_UNCALIBRATED	-0.37208557	2.8199463	9.375092
1559375236314	TYPE_ACCELEROMETER	-0.2476654	2.7074738	9.406189
1559375236314	TYPE_MAGNETIC_FIELD	-8.04	28.98	-58.199997
1559375236314	TYPE_GYROSCOPE	-0.025878906	0.036193848	0.023010254
1559375236314	TYPE_ROTATION_VECTOR	0.13971947	-9.955054E-12	-0.11029725
1559375236314	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-4.92	-11.939999	-175.31999
1559375236314	TYPE_GYROSCOPE_UNCALIBRATED	-0.031448364	0.078201294	-0.053771973
1559375236314	TYPE_ACCELEROMETER_UNCALIBRATED	-0.2632141	2.7373962	9.482758
1559375236334	TYPE_ACCELEROMETER	-0.3864441	2.7015076	9.251846
1559375236334	TYPE_MAGNETIC_FIELD	-8.16	28.74	-58.079998
1559375236334	TYPE_GYROSCOPE	-0.01763916	0.04840088	0.010192871
1559375236334	TYPE_ROTATION_VECTOR	0.1414318	-0.0035158524	-0.119885385
1559375236334	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-5.04	-12.179998	-175.2
1559375236334	TYPE_GYROSCOPE_UNCALIBRATED	-0.023208618	0.090408325	-0.066589355
1559375236334	TYPE_ACCELEROMETER_UNCALIBRATED	-0.29193115	2.699112	9.314072
1559375236353	TYPE_ACCELEROMETER	-0.5036926	2.7218323	9.298523
1559375236353	TYPE_MAGNETIC_FIELD	-8.16	28.74	-58.199997
1559375236353	TYPE_GYROSCOPE	-0.04573059	0.025802612	-0.008743286
1559375236353	TYPE_ROTATION_VECTOR	0.14381982	0.0074146916	-0.11523346
1559375236353	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-5.04	-12.179998	-175.31999
1559375236353	TYPE_GYROSCOPE_UNCALIBRATED	-0.05130005	0.06781006	-0.08552551
1559375236353	TYPE_ACCELEROMETER_UNCALIBRATED	-0.47257996	2.7110748	9.241089
1559375236373	TYPE_ACCELEROMETER	-0.45344543	2.7314148	9.470795
1559375236373	TYPE_MAGNETIC_FIELD	-8.34	28.5	-58.199997
1559375236373	TYPE_GYROSCOPE	-0.092163086	0.012969971	0.0010375977
1559375236373	TYPE_ROTATION_VECTOR	0.14300132	0.006914331	-0.13106121
1559375236373	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-5.2200003	-12.419998	-175.31999
1559375236373	TYPE_GYROSCOPE_UNCALIBRATED	-0.097732544	0.054977417	-0.07574463
1559375236373	TYPE_ACCELEROMETER_UNCALIBRATED	-0.49650574	2.7314148	9.393036
1559375236393	TYPE_ACCELEROMETER	-0.28474426	2.7589264	9.49472
1559375236393	TYPE_MAGNETIC_FIELD	-8.5199995	28.38	-58.079998
1559375236393	TYPE_GYROSCOPE	-0.095825195	0.013580322	0.0065307617
1559375236393	TYPE_ROTATION_VECTOR	0.14016637	1.2090632E-4	-0.12480426
1559375236393	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-5.3999996	-12.539999	-175.2
1559375236393	TYPE_GYROSCOPE_UNCALIBRATED	-0.10139465	0.05558777	-0.070251465
1559375236393	TYPE_ACCELEROMETER_UNCALIBRATED	-0.36131287	2.7361908	9.500702
1559375236412	TYPE_ACCELEROMETER	-0.28833008	2.8283234	9.376282
1559375236412	TYPE_MAGNETIC_FIELD	-8.7	28.08	-57.899998
1559375236412	TYPE_GYROSCOPE	-0.07322693	0.0209198	-0.011184692
1559375236412	TYPE_ROTATION_VECTOR	0.13925715	3.5300403E-4	-0.124716416
1559375236412	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-5.58	-12.839998	-175.01999
1559375236412	TYPE_GYROSCOPE_UNCALIBRATED	-0.07879639	0.062927246	-0.08796692
1559375236412	TYPE_ACCELEROMETER_UNCALIBRATED	-0.26560974	2.7840576	9.456436
1559375236432	TYPE_ACCELEROMETER	-0.3098755	2.938385	9.190842
1559375236432	TYPE_MAGNETIC_FIELD	-8.639999	27.84	-57.96
1559375236432	TYPE_GYROSCOPE	-0.057937622	0.012359619	-0.032562256
1559375236432	TYPE_ROTATION_VECTOR	0.13857551	6.590238E-4	-0.12479413
1559375236432	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-5.5199995	-13.079998	-175.07999
1559375236432	TYPE_GYROSCOPE_UNCALIBRATED	-0.06350708	0.054367065	-0.10934448
1559375236432	TYPE_ACCELEROMETER_UNCALIBRATED	-0.31944275	2.8869476	9.280563
1559375236452	TYPE_ACCELEROMETER	-0.19741821	3.0041962	9.12265
1559375236452	TYPE_MAGNETIC_FIELD	-8.639999	28.019999	-58.199997
1559375236452	TYPE_GYROSCOPE	-0.07383728	0.001373291	-0.03012085
1559375236452	TYPE_ROTATION_VECTOR	0.13803154	8.939322E-4	-0.12508984
1559375236452	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-5.5199995	-12.9	-175.31999
1559375236452	TYPE_GYROSCOPE_UNCALIBRATED	-0.07940674	0.043380737	-0.106903076
1559375236452	TYPE_ACCELEROMETER_UNCALIBRATED	-0.2584381	2.9802704	9.135803
1559375236471	TYPE_ACCELEROMETER	-0.022735596	3.0053864	9.054443
1559375236471	TYPE_MAGNETIC_FIELD	-8.7	28.019999	-58.199997
1559375236471	TYPE_GYROSCOPE	-0.09214783	0.0038146973	-0.02645874
1559375236471	TYPE_ROTATION_VECTOR	0.13732249	0.0010387313	-0.12537791
1559375236471	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-5.5199995	-12.9	-175.31999
1559375236471	TYPE_GYROSCOPE_UNCALIBRATED	-0.097717285	0.045822144	-0.10324097
1559375236471	TYPE_ACCELEROMETER_UNCALIBRATED	-0.117248535	3.012558	9.093933
1559375236491	TYPE_ACCELEROMETER	0.1603241	3.0185547	8.93959
1559375236491	TYPE_MAGNETIC_FIELD	-8.5199995	27.9	-58.02
1559375236491	TYPE_GYROSCOPE	-0.09643555	7.4768066E-4	-0.035614014
1559375236491	TYPE_ROTATION_VECTOR	0.13643943	0.0012239317	-0.12562695
1559375236491	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-5.3999996	-13.019999	-175.14
1559375236491	TYPE_GYROSCOPE_UNCALIBRATED	-0.102005005	0.042755127	-0.11239624
1559375236491	TYPE_ACCELEROMETER_UNCALIBRATED	0.06700134	2.995819	9.008987
1559375236511	TYPE_ACCELEROMETER	0.324234	3.1585236	8.650055
1559375236511	TYPE_MAGNETIC_FIELD	-8.76	27.84	-57.78
1559375236511	TYPE_GYROSCOPE	-0.08299255	-0.029785156	-0.06738281
1559375236511	TYPE_ROTATION_VECTOR	0.13551055	0.0013973973	-0.12596732
1559375236511	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-5.3999996	-13.019999	-175.14
1559375236511	TYPE_GYROSCOPE_UNCALIBRATED	-0.08856201	0.01222229	-0.14416504
1559375236511	TYPE_ACCELEROMETER_UNCALIBRATED	0.25364685	3.073578	8.831909
1559375236530	TYPE_ACCELEROMETER	0.38883972	3.414566	8.106888
1559375236530	TYPE_MAGNETIC_FIELD	-8.7	27.779999	-57.78
1559375236530	TYPE_GYROSCOPE	-0.051239014	-0.08291626	-0.10952759
1559375236530	TYPE_ROTATION_VECTOR	0.13467251	0.0013033998	-0.12665312
1559375236530	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-5.58	-13.139999	-174.9
1559375236530	TYPE_GYROSCOPE_UNCALIBRATED	-0.05680847	-0.040908813	-0.18630981
1559375236530	TYPE_ACCELEROMETER_UNCALIBRATED	0.3744812	3.282959	8.403595
1559375236550	TYPE_ACCELEROMETER	0.38883972	3.645462	7.556534
1559375236550	TYPE_MAGNETIC_FIELD	-8.7	27.779999	-57.78
1559375236550	TYPE_GYROSCOPE	-0.04084778	-0.10429382	-0.12664795
1559375236550	TYPE_ROTATION_VECTOR	0.13467251	0.0013033998	-0.12665312
1559375236550	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-5.58	-13.139999	-174.9
1559375236550	TYPE_GYROSCOPE_UNCALIBRATED	-0.046417236	-0.062286377	-0.20343018
1559375236550	TYPE_ACCELEROMETER_UNCALIBRATED	0.38165283	3.5389862	7.787445
1559375236570	TYPE_ACCELEROMETER	0.37088013	3.7782745	7.105484
1559375236570	TYPE_MAGNETIC_FIELD	-8.7	27.779999	-57.78
1559375236570	TYPE_GYROSCOPE	-0.10560608	-0.05177307	-0.09609985
1559375236570	TYPE_ROTATION_VECTOR	0.13467251	0.0013033998	-0.12665312
1559375236570	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-5.58	-13.139999	-174.9
1559375236570	TYPE_GYROSCOPE_UNCALIBRATED	-0.11117554	-0.009765625	-0.17288208
1559375236570	TYPE_ACCELEROMETER_UNCALIBRATED	0.38165283	3.7340088	7.3363953
1559375236589	TYPE_ACCELEROMETER	0.33021545	3.546173	7.141388
1559375236589	TYPE_MAGNETIC_FIELD	-8.7	27.72	-57.719997
1559375236589	TYPE_GYROSCOPE	-0.2674713	0.0209198	-0.017288208
1559375236589	TYPE_ROTATION_VECTOR	0.13383208	3.1384427E-4	-0.12850344
1559375236589	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-5.58	-13.199999	-174.84
1559375236589	TYPE_GYROSCOPE_UNCALIBRATED	-0.27304077	0.062927246	-0.094070435
1559375236589	TYPE_ACCELEROMETER_UNCALIBRATED	0.36489868	3.71846	6.999008
1559375236609	TYPE_ACCELEROMETER	0.28953552	3.1657104	8.681168
1559375236609	TYPE_MAGNETIC_FIELD	-9.0	27.72	-57.78
