#	startTime:1559376143377
#	SiteID:5cd56b5ae2acfd2d33b58544	SiteName:嘉尚坊	FloorId:5cd56b5ae2acfd2d33b5855d	FloorName:F2
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190509-nightly-17-g23747fd	VersionCode:249	
1559376143378	TYPE_WAYPOINT	83.05627	174.99329
1559376143492	TYPE_ACCELEROMETER	0.14476013	2.7601318	9.72084
1559376143492	TYPE_MAGNETIC_FIELD	14.7	-33.239998	-45.42
1559376143492	TYPE_GYROSCOPE	0.19126892	0.17178345	0.18061829
1559376143492	TYPE_ROTATION_VECTOR	0.067055486	0.14612015	0.9178864
1559376143492	TYPE_MAGNETIC_FIELD_UNCALIBRATED	20.52	-62.399998	-164.81999
1559376143492	TYPE_GYROSCOPE_UNCALIBRATED	0.18569946	0.2137909	0.10383606
1559376143492	TYPE_ACCELEROMETER_UNCALIBRATED	0.14476013	2.7601318	9.72084
1559376143512	TYPE_ACCELEROMETER	0.07058716	2.7290192	9.734009
1559376143512	TYPE_MAGNETIC_FIELD	14.639999	-33.48	-45.539997
1559376143512	TYPE_GYROSCOPE	0.048950195	0.06123352	0.0700531
1559376143512	TYPE_ROTATION_VECTOR	0.053310603	0.13379228	0.9395246
1559376143512	TYPE_MAGNETIC_FIELD_UNCALIBRATED	20.46	-62.64	-164.93999
1559376143512	TYPE_GYROSCOPE_UNCALIBRATED	0.18569946	0.2137909	0.10383606
1559376143512	TYPE_ACCELEROMETER_UNCALIBRATED	0.07058716	2.7290192	9.734009
1559376143532	TYPE_ACCELEROMETER	0.07777405	2.7373962	9.008987
1559376143532	TYPE_MAGNETIC_FIELD	14.46	-33.48	-45.42
1559376143532	TYPE_GYROSCOPE	0.044662476	0.04045105	-0.02645874
1559376143532	TYPE_ROTATION_VECTOR	0.044456344	0.12777433	0.9463691
1559376143532	TYPE_MAGNETIC_FIELD_UNCALIBRATED	20.279999	-62.64	-164.81999
1559376143532	TYPE_GYROSCOPE_UNCALIBRATED	0.043380737	0.10324097	-0.006729126
1559376143532	TYPE_ACCELEROMETER_UNCALIBRATED	0.07777405	2.7373962	9.008987
1559376143551	TYPE_ACCELEROMETER	0.12802124	2.7589264	8.640488
1559376143551	TYPE_MAGNETIC_FIELD	14.58	-33.54	-45.18
1559376143551	TYPE_GYROSCOPE	0.05444336	0.041671753	-0.018508911
1559376143551	TYPE_ROTATION_VECTOR	0.046514332	0.13265271	0.94193125
1559376143551	TYPE_MAGNETIC_FIELD_UNCALIBRATED	20.279999	-62.64	-164.81999
1559376143551	TYPE_GYROSCOPE_UNCALIBRATED	0.039093018	0.082458496	-0.10324097
1559376143551	TYPE_ACCELEROMETER_UNCALIBRATED	0.12802124	2.7589264	8.640488
1559376143571	TYPE_ACCELEROMETER	0.27876282	2.7373962	8.944382
1559376143571	TYPE_MAGNETIC_FIELD	14.639999	-33.66	-45.12
1559376143571	TYPE_GYROSCOPE	-0.09275818	-0.060333252	-0.019119263
1559376143571	TYPE_ROTATION_VECTOR	0.055295624	0.14098549	0.93047106
1559376143571	TYPE_MAGNETIC_FIELD_UNCALIBRATED	20.4	-62.7	-164.57999
1559376143571	TYPE_GYROSCOPE_UNCALIBRATED	0.0488739	0.0836792	-0.09529114
1559376143571	TYPE_ACCELEROMETER_UNCALIBRATED	0.27876282	2.7373962	8.944382
1559376143591	TYPE_ACCELEROMETER	0.42593384	2.732605	9.260223
1559376143591	TYPE_MAGNETIC_FIELD	14.7	-33.78	-44.879997
1559376143591	TYPE_GYROSCOPE	-0.17643738	-0.1104126	-0.022781372
1559376143591	TYPE_ROTATION_VECTOR	0.055822004	0.13984907	0.92976445
1559376143591	TYPE_MAGNETIC_FIELD_UNCALIBRATED	20.46	-62.82	-164.51999
