#	startTime:1559376342140
#	SiteID:5cd56b5ae2acfd2d33b58544	SiteName:嘉尚坊	FloorId:5cd56b5ae2acfd2d33b5855d	FloorName:F2
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190509-nightly-17-g23747fd	VersionCode:249	
1559376342140	TYPE_WAYPOINT	16.689323	112.22491
1559376342266	TYPE_ACCELEROMETER	-0.11843872	2.9108734	8.587845
1559376342266	TYPE_MAGNETIC_FIELD	28.439999	-4.7999997	-24.0
1559376342266	TYPE_GYROSCOPE	0.07398987	0.009307861	0.02670288
1559376342266	TYPE_ROTATION_VECTOR	0.12395828	0.114806384	0.64917916
1559376342266	TYPE_MAGNETIC_FIELD_UNCALIBRATED	36.78	-42.12	-168.42
1559376342266	TYPE_GYROSCOPE_UNCALIBRATED	0.06842041	0.051315308	-0.050079346
1559376342266	TYPE_ACCELEROMETER_UNCALIBRATED	-0.09211731	2.9407806	8.280365
1559376342286	TYPE_ACCELEROMETER	-0.25004578	2.9001007	9.30928
1559376342286	TYPE_MAGNETIC_FIELD	28.439999	-5.1	-23.88
1559376342286	TYPE_GYROSCOPE	-0.19996643	-0.055740356	0.13206482
1559376342286	TYPE_ROTATION_VECTOR	0.10467956	0.11488766	0.68786925
1559376342286	TYPE_MAGNETIC_FIELD_UNCALIBRATED	36.78	-42.42	-168.3
1559376342286	TYPE_GYROSCOPE_UNCALIBRATED	-0.022903442	0.029632568	-0.014968872
1559376342286	TYPE_ACCELEROMETER_UNCALIBRATED	-0.18304443	2.8989105	8.957535
1559376342306	TYPE_ACCELEROMETER	-0.3744812	2.864212	9.664612
1559376342306	TYPE_MAGNETIC_FIELD	28.32	-5.16	-23.76
1559376342306	TYPE_GYROSCOPE	-0.2760315	-0.041397095	0.17266846
1559376342306	TYPE_ROTATION_VECTOR	0.095034786	0.111553	0.67945415
1559376342306	TYPE_MAGNETIC_FIELD_UNCALIBRATED	36.66	-42.48	-168.18
1559376342306	TYPE_GYROSCOPE_UNCALIBRATED	-0.2980957	-0.025039673	0.09100342
1559376342306	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3206482	2.8869476	9.562927
1559376342325	TYPE_ACCELEROMETER	-0.37806702	2.847458	9.49234
1559376342325	TYPE_MAGNETIC_FIELD	28.08	-5.4	-23.699999
1559376342325	TYPE_GYROSCOPE	-0.17156982	0.017242432	0.19772339
1559376342325	TYPE_ROTATION_VECTOR	0.088902585	0.114350535	0.6898725
1559376342325	TYPE_MAGNETIC_FIELD_UNCALIBRATED	36.42	-42.72	-168.12
1559376342325	TYPE_GYROSCOPE_UNCALIBRATED	-0.2345581	0.030532837	0.106277466
1559376342325	TYPE_ACCELEROMETER_UNCALIBRATED	-0.33140564	2.835495	9.335602
1559376342345	TYPE_ACCELEROMETER	-0.279953	2.8259277	9.20639
1559376342345	TYPE_MAGNETIC_FIELD	27.84	-5.58	-23.519999
