#	startTime:1559376467897
#	SiteID:5cd56b5ae2acfd2d33b58544	SiteName:嘉尚坊	FloorId:5cd56b5ae2acfd2d33b5855d	FloorName:F2
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190509-nightly-17-g23747fd	VersionCode:249	
1559376467898	TYPE_WAYPOINT	12.491617	79.84361
1559376468026	TYPE_ACCELEROMETER	0.19502258	3.2351074	8.865402
1559376468026	TYPE_MAGNETIC_FIELD	-7.14	-38.7	-12.719999
1559376468026	TYPE_GYROSCOPE	-0.056732178	-0.14706421	-0.32392883
1559376468026	TYPE_ROTATION_VECTOR	0.014588271	-0.1862281	-0.9768826
1559376468026	TYPE_MAGNETIC_FIELD_UNCALIBRATED	1.2000003	-76.020004	-157.14
1559376468026	TYPE_GYROSCOPE_UNCALIBRATED	-0.062301636	-0.10505676	-0.40071106
1559376468026	TYPE_ACCELEROMETER_UNCALIBRATED	0.19502258	3.2351074	8.865402
1559376468046	TYPE_ACCELEROMETER	-0.07298279	3.1238403	9.71965
1559376468046	TYPE_MAGNETIC_FIELD	-6.96	-38.82	-12.66
1559376468046	TYPE_GYROSCOPE	-0.123931885	-0.10797119	-0.18466187
1559376468046	TYPE_ROTATION_VECTOR	4.0137157E-4	-0.18287294	-0.9803121
1559376468046	TYPE_MAGNETIC_FIELD_UNCALIBRATED	1.3800001	-76.14	-157.08
1559376468046	TYPE_GYROSCOPE_UNCALIBRATED	-0.062301636	-0.10505676	-0.40071106
1559376468046	TYPE_ACCELEROMETER_UNCALIBRATED	-0.07298279	3.1238403	9.71965
1559376468066	TYPE_ACCELEROMETER	-0.27638245	3.028122	10.010376
1559376468066	TYPE_MAGNETIC_FIELD	-6.96	-38.82	-12.66
1559376468066	TYPE_GYROSCOPE	-0.1300354	-0.032836914	-0.048446655
1559376468066	TYPE_ROTATION_VECTOR	0.013499953	-0.16333993	-0.98108065
1559376468066	TYPE_MAGNETIC_FIELD_UNCALIBRATED	1.3800001	-76.14	-157.08
1559376468066	TYPE_GYROSCOPE_UNCALIBRATED	-0.12950134	-0.065963745	-0.2614441
1559376468066	TYPE_ACCELEROMETER_UNCALIBRATED	-0.27638245	3.028122	10.010376
1559376468085	TYPE_ACCELEROMETER	-0.37327576	2.9766693	9.69812
1559376468085	TYPE_MAGNETIC_FIELD	-7.02	-39.0	-12.66
1559376468085	TYPE_GYROSCOPE	0.009857178	0.010528564	-0.033172607
1559376468085	TYPE_ROTATION_VECTOR	0.02611248	-0.145912	-0.98228776
1559376468085	TYPE_MAGNETIC_FIELD_UNCALIBRATED	1.3200002	-76.32	-157.08
1559376468085	TYPE_GYROSCOPE_UNCALIBRATED	-0.13560486	0.009170532	-0.12522888
1559376468085	TYPE_ACCELEROMETER_UNCALIBRATED	-0.37327576	2.9766693	9.69812
1559376468105	TYPE_ACCELEROMETER	-0.30747986	2.9778748	9.347565
1559376468105	TYPE_MAGNETIC_FIELD	-7.14	-39.3	-12.66
1559376468105	TYPE_GYROSCOPE	0.080703735	0.019073486	-0.019729614
1559376468105	TYPE_ROTATION_VECTOR	0.03394829	-0.14339422	-0.9815492
1559376468105	TYPE_MAGNETIC_FIELD_UNCALIBRATED	1.2000003	-76.619995	-157.08
1559376468105	TYPE_GYROSCOPE_UNCALIBRATED	0.0042877197	0.05253601	-0.109954834
1559376468105	TYPE_ACCELEROMETER_UNCALIBRATED	-0.30747986	2.9778748	9.347565
1559376468125	TYPE_ACCELEROMETER	-0.31466675	3.0388947	9.279373
1559376468125	TYPE_MAGNETIC_FIELD	-7.2599998	-39.48	-12.599999
1559376468125	TYPE_GYROSCOPE	0.045272827	-0.013290405	-0.03929138
1559376468125	TYPE_ROTATION_VECTOR	0.034286674	-0.14392772	-0.9814359
1559376468125	TYPE_MAGNETIC_FIELD_UNCALIBRATED	1.0800004	-76.8	-157.02
1559376468125	TYPE_GYROSCOPE_UNCALIBRATED	0.03970337	0.028717041	-0.11607361
1559376468125	TYPE_ACCELEROMETER_UNCALIBRATED	-0.30747986	2.9778748	9.347565
1559376468144	TYPE_ACCELEROMETER	-0.41635132	3.1298065	9.328415
1559376468144	TYPE_MAGNETIC_FIELD	-7.08	-39.6	-12.66
1559376468144	TYPE_GYROSCOPE	-0.001739502	-0.0438385	-0.07409668
1559376468144	TYPE_ROTATION_VECTOR	0.034474436	-0.14460067	-0.98136157
1559376468144	TYPE_MAGNETIC_FIELD_UNCALIBRATED	1.2600002	-76.92	-157.08
1559376468144	TYPE_GYROSCOPE_UNCALIBRATED	-0.00730896	-0.0018310547	-0.1508789
1559376468144	TYPE_ACCELEROMETER_UNCALIBRATED	-0.41635132	3.1298065	9.328415
1559376468164	TYPE_ACCELEROMETER	-0.43669128	3.1944275	9.2973175
1559376468164	TYPE_MAGNETIC_FIELD	-6.96	-39.6	-12.78
1559376468164	TYPE_GYROSCOPE	-0.0011444092	-0.032836914	-0.079589844
1559376468164	TYPE_ROTATION_VECTOR	0.034270182	-0.14478752	-0.98141736
1559376468164	TYPE_MAGNETIC_FIELD_UNCALIBRATED	1.3800001	-76.92	-157.2
1559376468164	TYPE_GYROSCOPE_UNCALIBRATED	-0.006713867	0.009170532	-0.15637207
1559376468164	TYPE_ACCELEROMETER_UNCALIBRATED	-0.41635132	3.1298065	9.328415
1559376468184	TYPE_ACCELEROMETER	-0.4247284	3.2638092	9.109482
1559376468184	TYPE_MAGNETIC_FIELD	-6.8399997	-39.6	-12.66
1559376468184	TYPE_GYROSCOPE	0.029403687	-0.027359009	-0.07104492
1559376468184	TYPE_ROTATION_VECTOR	0.03397187	-0.14474137	-0.9815372
1559376468184	TYPE_MAGNETIC_FIELD_UNCALIBRATED	1.5000005	-76.92	-157.08
1559376468184	TYPE_GYROSCOPE_UNCALIBRATED	0.023834229	0.0146484375	-0.14782715
1559376468184	TYPE_ACCELEROMETER_UNCALIBRATED	-0.4247284	3.2638092	9.109482
1559376468203	TYPE_ACCELEROMETER	-0.48216248	3.3212433	8.962326
1559376468203	TYPE_MAGNETIC_FIELD	-6.8399997	-39.66	-12.719999
1559376468203	TYPE_GYROSCOPE	0.03794861	-0.015731812	-0.06555176
1559376468203	TYPE_ROTATION_VECTOR	0.0338181	-0.14487913	-0.9816158
1559376468203	TYPE_MAGNETIC_FIELD_UNCALIBRATED	1.5000005	-76.979996	-157.14
