#	startTime:1559376530194
#	SiteID:5cd56b5ae2acfd2d33b58544	SiteName:嘉尚坊	FloorId:5cd56b5ae2acfd2d33b5855d	FloorName:F2
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190509-nightly-17-g23747fd	VersionCode:249	
1559376530194	TYPE_WAYPOINT	21.940083	31.572893
1559376530321	TYPE_ACCELEROMETER	-0.38046265	3.279358	8.599808
1559376530321	TYPE_MAGNETIC_FIELD	-24.42	12.48	-17.58
1559376530321	TYPE_GYROSCOPE	-0.3697815	4.4250488E-4	0.09448242
1559376530321	TYPE_ROTATION_VECTOR	0.21633106	-0.06475699	-0.45064473
1559376530321	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-16.08	-24.84	-162.0
1559376530321	TYPE_GYROSCOPE_UNCALIBRATED	-0.10871887	-0.009765625	-0.03543091
1559376530321	TYPE_ACCELEROMETER_UNCALIBRATED	-0.32901	3.328415	7.914261
1559376530341	TYPE_ACCELEROMETER	-0.6999054	3.2446747	9.787842
1559376530341	TYPE_MAGNETIC_FIELD	-24.24	12.3	-17.58
1559376530341	TYPE_GYROSCOPE	-0.4806671	0.011749268	0.07800293
1559376530341	TYPE_ROTATION_VECTOR	0.18443938	-0.07263794	-0.44704401
1559376530341	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-15.9	-25.02	-162.0
1559376530341	TYPE_GYROSCOPE_UNCALIBRATED	-0.19760132	0.0076446533	-0.017730713
1559376530341	TYPE_ACCELEROMETER_UNCALIBRATED	-0.55274963	3.2518463	9.2686
1559376530361	TYPE_ACCELEROMETER	-0.7465668	3.2578278	10.217361
1559376530361	TYPE_MAGNETIC_FIELD	-24.18	12.12	-17.46
1559376530361	TYPE_GYROSCOPE	-0.35299683	0.031906128	0.103027344
1559376530361	TYPE_ROTATION_VECTOR	0.16022936	-0.056046028	-0.47542822
1559376530361	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-15.84	-25.2	-161.88
1559376530361	TYPE_GYROSCOPE_UNCALIBRATED	-0.4831848	0.05619812	0.018936157
1559376530361	TYPE_ACCELEROMETER_UNCALIBRATED	-0.75613403	3.254242	10.104889
1559376530380	TYPE_ACCELEROMETER	-0.62571716	3.2207336	10.146759
1559376530380	TYPE_MAGNETIC_FIELD	-24.06	11.94	-17.4
1559376530380	TYPE_GYROSCOPE	-0.22410583	0.05267334	0.13357544
1559376530380	TYPE_ROTATION_VECTOR	0.1528317	-0.04232979	-0.4715552
1559376530380	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-15.719999	-25.380001	-161.81999
1559376530380	TYPE_GYROSCOPE_UNCALIBRATED	-0.43492126	0.06047058	0.00793457
1559376530380	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6999054	3.242279	10.200607
1559376530400	TYPE_ACCELEROMETER	-0.54437256	3.1968079	10.108475
1559376530400	TYPE_MAGNETIC_FIELD	-24.119999	11.639999	-17.279999
1559376530400	TYPE_GYROSCOPE	-0.19477844	0.039855957	0.11769104
1559376530400	TYPE_ROTATION_VECTOR	0.14866993	-0.04796539	-0.4951778
1559376530400	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-15.779999	-25.68	-161.7
1559376530400	TYPE_GYROSCOPE_UNCALIBRATED	-0.283432	0.086135864	0.045196533
1559376530400	TYPE_ACCELEROMETER_UNCALIBRATED	-0.57069397	3.2015991	10.102493
1559376530420	TYPE_ACCELEROMETER	-0.53240967	3.242279	10.2724
1559376530420	TYPE_MAGNETIC_FIELD	-24.06	11.34	-17.22
1559376530420	TYPE_GYROSCOPE	-0.1990509	-0.043823242	0.07373047
1559376530420	TYPE_ROTATION_VECTOR	0.14683357	-0.047129814	-0.496868
1559376530420	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-15.719999	-25.98	-161.64
1559376530420	TYPE_GYROSCOPE_UNCALIBRATED	-0.20463562	0.09712219	0.05496216
1559376530420	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5252228	3.2099762	10.182663
1559376530439	TYPE_ACCELEROMETER	-0.52523804	3.378662	10.205383
1559376530439	TYPE_MAGNETIC_FIELD	-24.06	11.04	-17.16
1559376530439	TYPE_GYROSCOPE	-0.13369751	-0.15316772	0.034622192
1559376530439	TYPE_ROTATION_VECTOR	0.14534071	-0.046014946	-0.49591446
1559376530439	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-15.719999	-26.279999	-161.58
1559376530439	TYPE_GYROSCOPE_UNCALIBRATED	-0.20523071	0.047042847	0.020751953
1559376530439	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5467682	3.3009033	10.29393
1559376530459	TYPE_ACCELEROMETER	-0.37329102	3.5306091	9.729218
1559376530459	TYPE_MAGNETIC_FIELD	-24.119999	10.98	-17.1
1559376530459	TYPE_GYROSCOPE	-0.012756348	-0.18371582	0.020584106
1559376530459	TYPE_ROTATION_VECTOR	0.14342667	-0.045515254	-0.49544415
1559376530459	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-15.779999	-26.34	-161.52
1559376530459	TYPE_GYROSCOPE_UNCALIBRATED	-0.08000183	-0.13987732	-0.051315308
1559376530459	TYPE_ACCELEROMETER_UNCALIBRATED	-0.4582367	3.460022	10.000809
1559376530479	TYPE_ACCELEROMETER	-0.19023132	3.6418762	9.202805
1559376530479	TYPE_MAGNETIC_FIELD	-24.119999	10.98	-17.1
1559376530479	TYPE_GYROSCOPE	0.067276	-0.15316772	0.0065307617
1559376530479	TYPE_ROTATION_VECTOR	0.14342667	-0.045515254	-0.49544415
1559376530479	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-15.779999	-26.34	-161.52
1559376530479	TYPE_GYROSCOPE_UNCALIBRATED	-0.08000183	-0.13987732	-0.051315308
1559376530479	TYPE_ACCELEROMETER_UNCALIBRATED	-0.28115845	3.5928192	9.448059
1559376530498	TYPE_ACCELEROMETER	-0.015548706	3.702896	8.922836
1559376530498	TYPE_MAGNETIC_FIELD	-24.359999	10.62	-16.619999
1559376530498	TYPE_GYROSCOPE	0.07521057	-0.15377808	-0.017288208
1559376530498	TYPE_ROTATION_VECTOR	0.140528	-0.04769914	-0.4955119
1559376530498	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-16.019999	-26.7	-161.04
1559376530498	TYPE_GYROSCOPE_UNCALIBRATED	0.031158447	-0.12643433	-0.061706543
1559376530498	TYPE_ACCELEROMETER_UNCALIBRATED	-0.28115845	3.5928192	9.448059
1559376530518	TYPE_ACCELEROMETER	0.22253418	3.8093872	8.9192505
1559376530518	TYPE_MAGNETIC_FIELD	-24.42	10.5	-16.56
1559376530518	TYPE_GYROSCOPE	0.044662476	-0.19104004	-0.047836304
1559376530518	TYPE_ROTATION_VECTOR	0.14034146	-0.04932176	-0.4956356
