#	startTime:1559376764587
#	SiteID:5cd56b5ae2acfd2d33b58544	SiteName:嘉尚坊	FloorId:5cd56b5ae2acfd2d33b5855d	FloorName:F2
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190509-nightly-17-g23747fd	VersionCode:249	
1559376764588	TYPE_WAYPOINT	43.337505	83.635345
1559376764734	TYPE_ACCELEROMETER	0.8925171	4.003189	9.046066
1559376764734	TYPE_MAGNETIC_FIELD	4.56	-31.199999	-16.68
1559376764734	TYPE_GYROSCOPE	0.08743286	0.054504395	-0.2280426
1559376764734	TYPE_ROTATION_VECTOR	0.08449202	0.19055068	0.9667157
1559376764734	TYPE_MAGNETIC_FIELD_UNCALIBRATED	12.059999	-77.88	-152.57999
1559376764734	TYPE_GYROSCOPE_UNCALIBRATED	0.0818634	0.09651184	-0.30482483
1559376764734	TYPE_ACCELEROMETER_UNCALIBRATED	1.0636139	3.9134674	9.080765
1559376764754	TYPE_ACCELEROMETER	1.3722839	3.777069	9.034103
1559376764754	TYPE_MAGNETIC_FIELD	4.56	-31.199999	-16.68
1559376764754	TYPE_GYROSCOPE	0.25234985	0.059402466	-0.3801422
1559376764754	TYPE_ROTATION_VECTOR	0.08449202	0.19055068	0.9667157
1559376764754	TYPE_MAGNETIC_FIELD_UNCALIBRATED	13.799999	-68.52	-157.91998
1559376764754	TYPE_GYROSCOPE_UNCALIBRATED	0.0818634	0.09651184	-0.30482483
1559376764754	TYPE_ACCELEROMETER_UNCALIBRATED	1.6079865	3.7172546	8.861816
1559376764774	TYPE_ACCELEROMETER	1.4979095	3.8345032	8.522049
1559376764774	TYPE_MAGNETIC_FIELD	4.62	-31.199999	-16.8
1559376764774	TYPE_GYROSCOPE	0.377594	-0.01939392	-0.5078125
1559376764774	TYPE_ROTATION_VECTOR	0.12000702	0.17535436	0.95920455
1559376764774	TYPE_MAGNETIC_FIELD_UNCALIBRATED	13.86	-68.52	-158.04
1559376764774	TYPE_GYROSCOPE_UNCALIBRATED	0.2467804	0.10140991	-0.45692444
1559376764774	TYPE_ACCELEROMETER_UNCALIBRATED	1.1904297	4.1036987	8.043488
1559376764793	TYPE_ACCELEROMETER	0.9379883	4.41716	7.4943237
1559376764793	TYPE_MAGNETIC_FIELD	4.74	-31.199999	-16.98
1559376764793	TYPE_GYROSCOPE	0.29512024	-0.11407471	-0.38319397
1559376764793	TYPE_ROTATION_VECTOR	0.11478039	0.2669582	0.93029624
1559376764793	TYPE_MAGNETIC_FIELD_UNCALIBRATED	13.98	-68.52	-158.21999
