#	startTime:1559377063272
#	SiteID:5cd56b5ae2acfd2d33b58544	SiteName:嘉尚坊	FloorId:5cd56b5ae2acfd2d33b5855d	FloorName:F2
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190509-nightly-17-g23747fd	VersionCode:249	
1559377063273	TYPE_WAYPOINT	35.01685	113.05963
1559377063409	TYPE_ACCELEROMETER	0.14717102	3.3224335	9.661026
1559377063409	TYPE_MAGNETIC_FIELD	7.8599997	-36.78	-16.02
1559377063409	TYPE_GYROSCOPE	-0.002960205	-0.009017944	0.013259888
1559377063409	TYPE_ROTATION_VECTOR	0.030261433	0.15324813	0.9791022
1559377063409	TYPE_MAGNETIC_FIELD_UNCALIBRATED	7.2	-69.78	-161.04001
1559377063409	TYPE_GYROSCOPE_UNCALIBRATED	-0.008529663	0.032989502	-0.06352234
1559377063409	TYPE_ACCELEROMETER_UNCALIBRATED	0.0993042	3.274582	9.871597
1559377063429	TYPE_ACCELEROMETER	0.30030823	3.4253387	9.244675
1559377063429	TYPE_MAGNETIC_FIELD	7.8599997	-36.78	-16.08
1559377063429	TYPE_GYROSCOPE	-0.0048065186	0.1559143	-0.09732056
1559377063429	TYPE_ROTATION_VECTOR	0.030261433	0.15324813	0.9791022
1559377063429	TYPE_MAGNETIC_FIELD_UNCALIBRATED	7.2	-69.78	-161.04001
1559377063429	TYPE_GYROSCOPE_UNCALIBRATED	-0.016479492	0.11607361	-0.12033081
1559377063429	TYPE_ACCELEROMETER_UNCALIBRATED	0.22613525	3.3834534	9.389435
1559377063449	TYPE_ACCELEROMETER	0.43310547	3.4229279	9.296112
