#	startTime:1559377112934
#	SiteID:5cd56b5ae2acfd2d33b58544	SiteName:嘉尚坊	FloorId:5cd56b5ae2acfd2d33b5855d	FloorName:F2
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190509-nightly-17-g23747fd	VersionCode:249	
1559377112934	TYPE_WAYPOINT	35.01685	113.05963
1559377113058	TYPE_ACCELEROMETER	0.24645996	2.8809662	8.9683075
1559377113058	TYPE_MAGNETIC_FIELD	12.0	-34.68	-18.66
1559377113058	TYPE_GYROSCOPE	0.17538452	0.26220703	0.09509277
1559377113058	TYPE_ROTATION_VECTOR	0.056011956	0.15239546	0.9575608
1559377113058	TYPE_MAGNETIC_FIELD_UNCALIBRATED	11.4	-67.74	-163.68001
1559377113058	TYPE_GYROSCOPE_UNCALIBRATED	0.16981506	0.30421448	0.018310547
1559377113058	TYPE_ACCELEROMETER_UNCALIBRATED	0.324234	2.8905334	8.573486
1559377113078	TYPE_ACCELEROMETER	0.15434265	2.8582306	9.732819
1559377113078	TYPE_MAGNETIC_FIELD	12.12	-34.62	-18.9
1559377113078	TYPE_GYROSCOPE	-0.14073181	-0.06489563	0.0025482178
1559377113078	TYPE_ROTATION_VECTOR	0.04403719	0.14154762	0.9631211
1559377113078	TYPE_MAGNETIC_FIELD_UNCALIBRATED	11.4	-67.74	-163.68001
1559377113078	TYPE_GYROSCOPE_UNCALIBRATED	0.064453125	0.19519043	-0.012542725
1559377113078	TYPE_ACCELEROMETER_UNCALIBRATED	0.20458984	2.879776	9.38945
1559377113098	TYPE_ACCELEROMETER	0.062210083	2.7457733	9.998413
1559377113098	TYPE_MAGNETIC_FIELD	12.36	-34.62	-18.96
1559377113098	TYPE_GYROSCOPE	-0.17218018	-0.06765747	-0.018508911
1559377113098	TYPE_ROTATION_VECTOR	0.03444754	0.13174139	0.9664618
1559377113098	TYPE_MAGNETIC_FIELD_UNCALIBRATED	11.759999	-67.67999	-163.98001
1559377113098	TYPE_GYROSCOPE_UNCALIBRATED	-0.2333374	-0.09893799	-0.10202026
1559377113098	TYPE_ACCELEROMETER_UNCALIBRATED	0.095718384	2.7996063	9.94577
1559377113117	TYPE_ACCELEROMETER	0.07058716	2.703888	9.762726
1559377113117	TYPE_MAGNETIC_FIELD	12.719999	-34.38	-19.199999
1559377113117	TYPE_GYROSCOPE	-0.02130127	0.054504395	-0.0032348633
1559377113117	TYPE_ROTATION_VECTOR	0.03532103	0.12776016	0.96072996
1559377113117	TYPE_MAGNETIC_FIELD_UNCALIBRATED	12.119999	-67.44	-164.22
1559377113117	TYPE_GYROSCOPE_UNCALIBRATED	-0.09954834	0.047042847	-0.086746216
1559377113117	TYPE_ACCELEROMETER_UNCALIBRATED	0.057434082	2.7170563	9.920654
1559377113137	TYPE_ACCELEROMETER	0.06700134	2.6955261	9.470795
1559377113137	TYPE_MAGNETIC_FIELD	12.719999	-34.44	-19.02
1559377113137	TYPE_GYROSCOPE	0.040390015	0.05696106	-0.0124053955
1559377113137	TYPE_ROTATION_VECTOR	0.029607547	0.13383132	0.9718983
