#	startTime:1559377244156
#	SiteID:5cd56b5ae2acfd2d33b58544	SiteName:嘉尚坊	FloorId:5cd56b5ae2acfd2d33b5855d	FloorName:F2
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190509-nightly-17-g23747fd	VersionCode:249	
1559377244157	TYPE_WAYPOINT	14.90021	69.28593
1559377244281	TYPE_ACCELEROMETER	0.2524414	3.213562	7.9848633
1559377244281	TYPE_MAGNETIC_FIELD	9.24	25.8	-26.16
1559377244281	TYPE_GYROSCOPE	-0.265625	0.69226074	-0.019729614
1559377244281	TYPE_ROTATION_VECTOR	0.20172313	0.0078118867	0.14223848
1559377244281	TYPE_MAGNETIC_FIELD_UNCALIBRATED	15.66	-11.880001	-172.5
1559377244281	TYPE_GYROSCOPE_UNCALIBRATED	-0.27119446	0.7342682	-0.09651184
1559377244281	TYPE_ACCELEROMETER_UNCALIBRATED	0.45584106	3.3092804	7.622345
1559377244301	TYPE_ACCELEROMETER	0.046661377	3.1178436	9.056839
1559377244301	TYPE_MAGNETIC_FIELD	9.179999	26.039999	-26.34
1559377244301	TYPE_GYROSCOPE	-0.3132782	0.12049866	-0.24604797
1559377244301	TYPE_ROTATION_VECTOR	0.17548923	0.0143228015	0.12358967
1559377244301	TYPE_MAGNETIC_FIELD_UNCALIBRATED	15.599999	-11.640001	-172.68
1559377244301	TYPE_GYROSCOPE_UNCALIBRATED	-0.35305786	-0.03541565	-0.39949036
1559377244301	TYPE_ACCELEROMETER_UNCALIBRATED	0.046661377	3.1178436	9.056839
1559377244321	TYPE_ACCELEROMETER	-0.18185425	3.0508575	9.737595
1559377244321	TYPE_MAGNETIC_FIELD	9.3	26.099998	-26.4
1559377244321	TYPE_GYROSCOPE	-0.35116577	-0.07254028	-0.32270813
1559377244321	TYPE_ROTATION_VECTOR	0.15409964	0.025697129	0.14446972
1559377244321	TYPE_MAGNETIC_FIELD_UNCALIBRATED	15.72	-11.580002	-172.73999
1559377244321	TYPE_GYROSCOPE_UNCALIBRATED	-0.35305786	-0.03541565	-0.39949036
1559377244321	TYPE_ACCELEROMETER_UNCALIBRATED	0.046661377	3.1178436	9.056839
1559377244340	TYPE_ACCELEROMETER	-0.3397827	3.0376892	9.722046
1559377244340	TYPE_MAGNETIC_FIELD	9.36	26.4	-26.58
1559377244340	TYPE_GYROSCOPE	-0.20394897	0.01663208	-0.3117218
1559377244340	TYPE_ROTATION_VECTOR	0.14626676	0.032609757	0.12824275
1559377244340	TYPE_MAGNETIC_FIELD_UNCALIBRATED	15.78	-11.280001	-172.92
1559377244340	TYPE_GYROSCOPE_UNCALIBRATED	-0.30236816	0.006729126	-0.39582825
1559377244340	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3397827	3.0376892	9.722046
1559377244360	TYPE_ACCELEROMETER	-0.37806702	3.098709	9.286545
1559377244360	TYPE_MAGNETIC_FIELD	9.3	26.88	-26.4
1559377244360	TYPE_GYROSCOPE	-0.0115356445	0.102767944	-0.28668213
1559377244360	TYPE_ROTATION_VECTOR	0.15136689	0.035402447	0.10874877
1559377244360	TYPE_MAGNETIC_FIELD_UNCALIBRATED	15.72	-10.800001	-172.73999
1559377244360	TYPE_GYROSCOPE_UNCALIBRATED	0.037261963	0.16555786	-0.35307312
1559377244360	TYPE_ACCELEROMETER_UNCALIBRATED	-0.37806702	3.098709	9.286545
1559377244380	TYPE_ACCELEROMETER	-0.3852539	3.172882	8.863022
1559377244380	TYPE_MAGNETIC_FIELD	9.36	27.0	-26.34
1559377244380	TYPE_GYROSCOPE	0.06298828	0.12110901	-0.27079773
1559377244380	TYPE_ROTATION_VECTOR	0.16108513	0.040417004	0.12560529
1559377244380	TYPE_MAGNETIC_FIELD_UNCALIBRATED	15.78	-10.68	-172.68
1559377244380	TYPE_GYROSCOPE_UNCALIBRATED	0.037261963	0.16555786	-0.35307312
1559377244380	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3852539	3.172882	8.863022
1559377244399	TYPE_ACCELEROMETER	-0.40678406	3.291336	8.740982
1559377244399	TYPE_MAGNETIC_FIELD	9.36	27.24	-26.34
1559377244399	TYPE_GYROSCOPE	0.026947021	0.055114746	-0.26652527
1559377244399	TYPE_ROTATION_VECTOR	0.1613536	0.042431217	0.12538731
1559377244399	TYPE_MAGNETIC_FIELD_UNCALIBRATED	15.78	-10.440001	-172.68
1559377244399	TYPE_GYROSCOPE_UNCALIBRATED	0.049484253	0.13623047	-0.34513855
1559377244399	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3852539	3.172882	8.863022
1559377244419	TYPE_ACCELEROMETER	-0.42712402	3.3882446	8.91806
1559377244419	TYPE_MAGNETIC_FIELD	9.24	27.599998	-26.099998
1559377244419	TYPE_GYROSCOPE	-0.043289185	0.017868042	-0.25491333
1559377244419	TYPE_ROTATION_VECTOR	0.16143478	0.043420043	0.12290785
1559377244419	TYPE_MAGNETIC_FIELD_UNCALIBRATED	15.66	-10.080002	-172.44
1559377244419	TYPE_GYROSCOPE_UNCALIBRATED	-0.015274048	0.06719971	-0.33903503
1559377244419	TYPE_ACCELEROMETER_UNCALIBRATED	-0.40678406	3.291336	8.740982
1559377244439	TYPE_ACCELEROMETER	-0.5264282	3.426529	9.131012
1559377244439	TYPE_MAGNETIC_FIELD	9.0	27.66	-25.859999
1559377244439	TYPE_GYROSCOPE	-0.0664978	0.06367493	-0.23536682
1559377244439	TYPE_ROTATION_VECTOR	0.16089213	0.04394472	0.120506585
1559377244439	TYPE_MAGNETIC_FIELD_UNCALIBRATED	15.42	-10.02	-172.2
1559377244439	TYPE_GYROSCOPE_UNCALIBRATED	-0.0690155	0.075149536	-0.32254028
1559377244439	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5264282	3.426529	9.131012
1559377244458	TYPE_ACCELEROMETER	-0.6305084	3.4899292	9.237503
1559377244458	TYPE_MAGNETIC_FIELD	8.94	27.84	-25.68
1559377244458	TYPE_GYROSCOPE	-0.040237427	0.13757324	-0.2109375
1559377244458	TYPE_ROTATION_VECTOR	0.16007745	0.044846218	0.11837362
1559377244458	TYPE_MAGNETIC_FIELD_UNCALIBRATED	15.36	-9.84	-172.01999
1559377244458	TYPE_GYROSCOPE_UNCALIBRATED	-0.062301636	0.14355469	-0.30055237
1559377244458	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5264282	3.426529	9.131012
1559377244478	TYPE_ACCELEROMETER	-0.70947266	3.537796	9.300903
1559377244478	TYPE_MAGNETIC_FIELD	8.88	27.96	-25.56
1559377244478	TYPE_GYROSCOPE	-0.0090789795	0.18096924	-0.18406677
1559377244478	TYPE_ROTATION_VECTOR	0.15943697	0.046448447	0.11657875
1559377244478	TYPE_MAGNETIC_FIELD_UNCALIBRATED	15.3	-9.720001	-171.9
1559377244478	TYPE_GYROSCOPE_UNCALIBRATED	-0.028701782	0.20524597	-0.274292
1559377244478	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6305084	3.4899292	9.237503
1559377244498	TYPE_ACCELEROMETER	-0.84347534	3.604782	9.470795
1559377244498	TYPE_MAGNETIC_FIELD	8.58	27.9	-25.5
1559377244498	TYPE_GYROSCOPE	-0.0035858154	0.21699524	-0.15840149
1559377244498	TYPE_ROTATION_VECTOR	0.15905729	0.048462827	0.11509537
1559377244498	TYPE_MAGNETIC_FIELD_UNCALIBRATED	15.0	-9.780001	-171.84
1559377244498	TYPE_GYROSCOPE_UNCALIBRATED	-0.00730896	0.23945618	-0.247406
1559377244498	TYPE_ACCELEROMETER_UNCALIBRATED	-0.70947266	3.537796	9.300903
1559377244517	TYPE_ACCELEROMETER	-1.0133667	3.7495575	9.762726
1559377244517	TYPE_MAGNETIC_FIELD	8.639999	27.9	-25.56
1559377244517	TYPE_GYROSCOPE	-0.021911621	0.25793457	-0.13578796
1559377244517	TYPE_ROTATION_VECTOR	0.15870261	0.050789557	0.11391157
1559377244517	TYPE_MAGNETIC_FIELD_UNCALIBRATED	15.059999	-9.780001	-171.9
1559377244517	TYPE_GYROSCOPE_UNCALIBRATED	-0.017089844	0.28100586	-0.22418213
1559377244517	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0133667	3.7495575	9.762726
1559377244537	TYPE_ACCELEROMETER	-1.1677094	3.8692017	9.998413
1559377244537	TYPE_MAGNETIC_FIELD	8.639999	28.14	-25.68
1559377244537	TYPE_GYROSCOPE	-0.043899536	0.27809143	-0.100372314
1559377244537	TYPE_ROTATION_VECTOR	0.15813714	0.05345383	0.1130171
1559377244537	TYPE_MAGNETIC_FIELD_UNCALIBRATED	15.059999	-9.540001	-172.01999
1559377244537	TYPE_GYROSCOPE_UNCALIBRATED	-0.037857056	0.3127594	-0.1973114
1559377244537	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0133667	3.7495575	9.762726
1559377244557	TYPE_ACCELEROMETER	-1.409378	3.8859558	10.421951
1559377244557	TYPE_MAGNETIC_FIELD	8.639999	28.199999	-25.56
1559377244557	TYPE_GYROSCOPE	-0.10560608	0.30252075	-0.043563843
1559377244557	TYPE_ROTATION_VECTOR	0.15735528	0.056233536	0.11250427
1559377244557	TYPE_MAGNETIC_FIELD_UNCALIBRATED	15.059999	-9.480001	-171.9
