#	startTime:1559378273016
#	SiteID:5cd56b5ae2acfd2d33b58544	SiteName:嘉尚坊	FloorId:5cd56b5ae2acfd2d33b5854e	FloorName:F1
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190509-nightly-17-g23747fd	VersionCode:249	
1559378273017	TYPE_WAYPOINT	46.0647	139.55669
1559378273244	TYPE_ACCELEROMETER	-0.2368927	2.7266235	9.376282
1559378273244	TYPE_MAGNETIC_FIELD	21.24	-22.619999	-19.02
1559378273244	TYPE_GYROSCOPE	-0.083602905	0.08444214	-0.13153076
1559378273244	TYPE_ROTATION_VECTOR	0.060649805	0.12488048	0.88889027
1559378273244	TYPE_MAGNETIC_FIELD_UNCALIBRATED	30.419998	-61.62	-165.9
1559378273244	TYPE_GYROSCOPE_UNCALIBRATED	-0.24739075	-0.0012207031	-0.22358704
1559378273244	TYPE_ACCELEROMETER_UNCALIBRATED	-0.25483704	2.7003021	9.559326
1559378273264	TYPE_ACCELEROMETER	-0.050247192	2.7684937	8.85704
1559378273264	TYPE_MAGNETIC_FIELD	21.9	-23.1	-18.96
1559378273264	TYPE_GYROSCOPE	-0.026794434	0.06123352	-0.13031006
1559378273264	TYPE_ROTATION_VECTOR	0.051752545	0.1316661	0.88694584
1559378273264	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.079998	-62.1	-165.84
1559378273264	TYPE_GYROSCOPE_UNCALIBRATED	-0.08917236	0.12644958	-0.20831299
1559378273264	TYPE_ACCELEROMETER_UNCALIBRATED	0.08135986	2.8366852	8.652451
1559378273283	TYPE_ACCELEROMETER	0.20100403	2.925232	8.536392
1559378273283	TYPE_MAGNETIC_FIELD	22.199999	-23.34	-19.02
1559378273283	TYPE_GYROSCOPE	-0.08482361	-0.023071289	-0.15351868
1559378273283	TYPE_ROTATION_VECTOR	0.067358874	0.1347124	0.877616
1559378273283	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.379997	-62.34	-165.9
1559378273283	TYPE_GYROSCOPE_UNCALIBRATED	-0.03236389	0.10324097	-0.20709229
1559378273283	TYPE_ACCELEROMETER_UNCALIBRATED	0.27638245	3.007782	8.526825
1559378273303	TYPE_ACCELEROMETER	0.31704712	3.0951233	8.596222
1559378273303	TYPE_MAGNETIC_FIELD	22.199999	-23.039999	-19.02
1559378273303	TYPE_GYROSCOPE	-0.15629578	-0.06704712	-0.1816101
1559378273303	TYPE_ROTATION_VECTOR	0.08666334	0.1384408	0.8681481
1559378273303	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.379997	-62.04	-165.9
1559378273303	TYPE_GYROSCOPE_UNCALIBRATED	-0.09039307	0.018936157	-0.2303009
1559378273303	TYPE_ACCELEROMETER_UNCALIBRATED	0.33499146	3.1884308	8.672791
1559378273323	TYPE_ACCELEROMETER	0.34098816	3.2901306	8.718262
1559378273323	TYPE_MAGNETIC_FIELD	22.14	-22.74	-19.199999
1559378273323	TYPE_GYROSCOPE	-0.16485596	-0.05909729	-0.18894958
1559378273323	TYPE_ROTATION_VECTOR	0.086288676	0.13696319	0.8674568
1559378273323	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.32	-61.739998	-166.07999
1559378273323	TYPE_GYROSCOPE_UNCALIBRATED	-0.17042542	-0.017089844	-0.2657318
1559378273323	TYPE_ACCELEROMETER_UNCALIBRATED	0.34098816	3.4049988	8.709885
1559378273342	TYPE_ACCELEROMETER	0.33140564	3.4995117	8.621338
1559378273342	TYPE_MAGNETIC_FIELD	22.14	-22.439999	-19.199999
1559378273342	TYPE_GYROSCOPE	-0.13430786	-0.03161621	-0.16389465
1559378273342	TYPE_ROTATION_VECTOR	0.08577729	0.13544624	0.8667533
1559378273342	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.32	-61.44	-166.07999
1559378273342	TYPE_GYROSCOPE_UNCALIBRATED	-0.17042542	-0.017089844	-0.2657318
1559378273342	TYPE_ACCELEROMETER_UNCALIBRATED	0.32662964	3.558136	8.48735
1559378273362	TYPE_ACCELEROMETER	0.324234	3.5964203	8.383255
1559378273362	TYPE_MAGNETIC_FIELD	22.38	-22.14	-19.26
1559378273362	TYPE_GYROSCOPE	-0.15629578	0.020904541	-0.10157776
1559378273362	TYPE_ROTATION_VECTOR	0.08520637	0.13429321	0.866143
1559378273362	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.559998	-61.14	-166.13998
1559378273362	TYPE_GYROSCOPE_UNCALIBRATED	-0.16186523	0.06291199	-0.17835999
1559378273362	TYPE_ACCELEROMETER_UNCALIBRATED	0.30389404	3.5928192	8.400009
1559378273382	TYPE_ACCELEROMETER	0.26919556	3.529419	8.562714
1559378273382	TYPE_MAGNETIC_FIELD	22.5	-21.84	-19.439999
1559378273382	TYPE_GYROSCOPE	-0.28701782	0.09971619	-0.020339966
1559378273382	TYPE_ROTATION_VECTOR	0.084171504	0.13314812	0.8658902
1559378273382	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.68	-60.84	-166.31999
1559378273382	TYPE_GYROSCOPE_UNCALIBRATED	-0.16186523	0.06291199	-0.17835999
1559378273382	TYPE_ACCELEROMETER_UNCALIBRATED	0.22253418	3.422943	8.8701935
1559378273401	TYPE_ACCELEROMETER	0.17468262	3.2877502	9.296127
1559378273401	TYPE_MAGNETIC_FIELD	22.5	-21.72	-19.26
1559378273401	TYPE_GYROSCOPE	-0.463562	0.10093689	0.043182373
1559378273401	TYPE_ROTATION_VECTOR	0.08196722	0.13119629	0.8662453
1559378273401	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.68	-60.72	-166.13998
1559378273401	TYPE_GYROSCOPE_UNCALIBRATED	-0.46913147	0.14294434	-0.033599854
1559378273401	TYPE_ACCELEROMETER_UNCALIBRATED	0.16271973	3.1489563	9.765121
1559378273421	TYPE_ACCELEROMETER	0.20219421	3.0376892	10.187454
1559378273421	TYPE_MAGNETIC_FIELD	22.439999	-21.3	-19.56
1559378273421	TYPE_GYROSCOPE	-0.56129456	-0.05055237	0.06272888
1559378273421	TYPE_ROTATION_VECTOR	0.07900591	0.12769972	0.8671129
1559378273421	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.619999	-60.3	-166.43999
1559378273421	TYPE_GYROSCOPE_UNCALIBRATED	-0.46913147	0.14294434	-0.033599854
1559378273421	TYPE_ACCELEROMETER_UNCALIBRATED	0.27757263	2.9730835	10.47818
1559378273441	TYPE_ACCELEROMETER	0.3708954	2.962326	10.563126
1559378273441	TYPE_MAGNETIC_FIELD	22.38	-21.18	-19.439999
1559378273441	TYPE_GYROSCOPE	-0.48554993	-0.28205872	0.024856567
1559378273441	TYPE_ROTATION_VECTOR	0.07689114	0.122645654	0.8680569
1559378273441	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.559998	-60.18	-166.31999
1559378273441	TYPE_GYROSCOPE_UNCALIBRATED	-0.49111938	-0.24005127	-0.05192566
1559378273441	TYPE_ACCELEROMETER_UNCALIBRATED	0.4582367	3.016159	10.399216
1559378273460	TYPE_ACCELEROMETER	0.5228424	3.126236	10.019943
1559378273460	TYPE_MAGNETIC_FIELD	22.619999	-21.119999	-19.619999
1559378273460	TYPE_GYROSCOPE	-0.27296448	-0.423172	-0.035614014
1559378273460	TYPE_ROTATION_VECTOR	0.07704689	0.11717528	0.86853474
1559378273460	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.8	-60.12	-166.49998
1559378273460	TYPE_GYROSCOPE_UNCALIBRATED	-0.27853394	-0.38116455	-0.11239624
1559378273460	TYPE_ACCELEROMETER_UNCALIBRATED	0.5587311	3.2482605	9.531815
1559378273480	TYPE_ACCELEROMETER	0.5623169	3.3475647	9.055634
1559378273480	TYPE_MAGNETIC_FIELD	22.68	-21.119999	-19.74
1559378273480	TYPE_GYROSCOPE	-0.0823822	-0.36453247	-0.07350159
1559378273480	TYPE_ROTATION_VECTOR	0.07932874	0.11289244	0.86835593
1559378273480	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.86	-60.12	-166.62
1559378273480	TYPE_GYROSCOPE_UNCALIBRATED	-0.27853394	-0.38116455	-0.11239624
1559378273480	TYPE_ACCELEROMETER_UNCALIBRATED	0.5359955	3.410965	8.653641
1559378273500	TYPE_ACCELEROMETER	0.49412537	3.4372864	8.366501
1559378273500	TYPE_MAGNETIC_FIELD	22.8	-21.119999	-19.74
1559378273500	TYPE_GYROSCOPE	-0.007858276	-0.20753479	-0.080825806
1559378273500	TYPE_ROTATION_VECTOR	0.0819691	0.110533275	0.86781526
1559378273500	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.98	-60.12	-166.62
1559378273500	TYPE_GYROSCOPE_UNCALIBRATED	-0.08795166	-0.32252502	-0.15028381
1559378273500	TYPE_ACCELEROMETER_UNCALIBRATED	0.5359955	3.410965	8.653641
1559378273519	TYPE_ACCELEROMETER	0.4749756	3.434906	8.141586
1559378273519	TYPE_MAGNETIC_FIELD	22.619999	-21.119999	-20.16
1559378273519	TYPE_GYROSCOPE	-0.013366699	-0.07009888	-0.080215454
1559378273519	TYPE_ROTATION_VECTOR	0.083617955	0.10955243	0.8672758
1559378273519	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.8	-60.12	-167.04
1559378273519	TYPE_GYROSCOPE_UNCALIBRATED	-0.013427734	-0.16552734	-0.15760803
1559378273519	TYPE_ACCELEROMETER_UNCALIBRATED	0.47019958	3.4420776	8.202591
1559378273539	TYPE_ACCELEROMETER	0.5120697	3.4085846	8.244476
1559378273539	TYPE_MAGNETIC_FIELD	22.619999	-21.24	-20.34
1559378273539	TYPE_GYROSCOPE	-0.02557373	0.042297363	-0.092437744
1559378273539	TYPE_ROTATION_VECTOR	0.08407199	0.10917283	0.86685497
1559378273539	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.8	-60.239998	-167.21999
1559378273539	TYPE_GYROSCOPE_UNCALIBRATED	-0.018936157	-0.02809143	-0.15699768
1559378273539	TYPE_ACCELEROMETER_UNCALIBRATED	0.49291992	3.419342	8.367706
1559378273559	TYPE_ACCELEROMETER	0.37687683	3.4432678	8.477768
1559378273559	TYPE_MAGNETIC_FIELD	22.619999	-21.24	-20.34
1559378273559	TYPE_GYROSCOPE	-0.00541687	0.15042114	-0.13212585
1559378273559	TYPE_ROTATION_VECTOR	0.08407199	0.10917283	0.86685497
1559378273559	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.8	-60.239998	-167.21999
1559378273559	TYPE_GYROSCOPE_UNCALIBRATED	-0.031143188	0.08430481	-0.16921997
