#	startTime:1559378436283
#	SiteID:5cd56b5ae2acfd2d33b58544	SiteName:嘉尚坊	FloorId:5cd56b5ae2acfd2d33b5854e	FloorName:F1
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190509-nightly-17-g23747fd	VersionCode:249	
1559378436283	TYPE_WAYPOINT	32.907288	50.624187
1559378436514	TYPE_ACCELEROMETER	0.124435425	3.735199	8.690735
1559378436514	TYPE_MAGNETIC_FIELD	16.44	20.279999	-24.66
1559378436514	TYPE_GYROSCOPE	-0.07872009	-0.16233826	-0.0050811768
1559378436514	TYPE_ROTATION_VECTOR	0.19428532	0.050173756	0.23800175
1559378436514	TYPE_MAGNETIC_FIELD_UNCALIBRATED	25.619999	-18.720001	-171.54
1559378436514	TYPE_GYROSCOPE_UNCALIBRATED	-0.122161865	-0.1869049	-0.07940674
1559378436514	TYPE_ACCELEROMETER_UNCALIBRATED	-0.037094116	3.8428802	8.967102
1559378436534	TYPE_ACCELEROMETER	0.27757263	3.598816	8.6979065
1559378436534	TYPE_MAGNETIC_FIELD	16.08	20.279999	-24.84
1559378436534	TYPE_GYROSCOPE	-0.08911133	-0.08842468	-0.009353638
1559378436534	TYPE_ROTATION_VECTOR	0.19740102	0.042323288	0.22566348
1559378436534	TYPE_MAGNETIC_FIELD_UNCALIBRATED	25.259998	-18.720001	-171.71999
1559378436534	TYPE_GYROSCOPE_UNCALIBRATED	-0.08428955	-0.12033081	-0.0818634
1559378436534	TYPE_ACCELEROMETER_UNCALIBRATED	0.08973694	3.7830505	8.780472
1559378436553	TYPE_ACCELEROMETER	0.48814392	3.4660034	8.830719
1559378436553	TYPE_MAGNETIC_FIELD	15.78	20.22	-24.66
1559378436553	TYPE_GYROSCOPE	-0.12942505	-0.06336975	-0.028289795
1559378436553	TYPE_ROTATION_VECTOR	0.19478741	0.04005398	0.2439203
1559378436553	TYPE_MAGNETIC_FIELD_UNCALIBRATED	24.96	-18.78	-171.54
1559378436553	TYPE_GYROSCOPE_UNCALIBRATED	-0.1349945	-0.021362305	-0.10507202
1559378436553	TYPE_ACCELEROMETER_UNCALIBRATED	0.3852539	3.5210419	8.762512
1559378436573	TYPE_ACCELEROMETER	0.69511414	3.4157562	8.864212
1559378436573	TYPE_MAGNETIC_FIELD	15.54	20.16	-24.66
1559378436573	TYPE_GYROSCOPE	-0.15263367	-0.09819031	-0.07836914
1559378436573	TYPE_ROTATION_VECTOR	0.18792722	0.028499493	0.25381505
1559378436573	TYPE_MAGNETIC_FIELD_UNCALIBRATED	24.72	-18.84	-171.54
1559378436573	TYPE_GYROSCOPE_UNCALIBRATED	-0.1349945	-0.021362305	-0.10507202
1559378436573	TYPE_ACCELEROMETER_UNCALIBRATED	0.5874481	3.4289093	8.873795
1559378436593	TYPE_ACCELEROMETER	0.87098694	3.495926	8.622543
1559378436593	TYPE_MAGNETIC_FIELD	15.54	20.16	-24.66
1559378436593	TYPE_GYROSCOPE	-0.1300354	-0.15562439	-0.15534973
1559378436593	TYPE_ROTATION_VECTOR	0.18672371	0.027341057	0.25296047
1559378436593	TYPE_MAGNETIC_FIELD_UNCALIBRATED	24.72	-18.84	-171.54
1559378436593	TYPE_GYROSCOPE_UNCALIBRATED	-0.15820312	-0.05618286	-0.15515137
1559378436593	TYPE_ACCELEROMETER_UNCALIBRATED	0.79800415	3.439682	8.778076
1559378436612	TYPE_ACCELEROMETER	0.92123413	3.686142	8.214569
1559378436612	TYPE_MAGNETIC_FIELD	15.48	20.16	-24.72
1559378436612	TYPE_GYROSCOPE	-0.07627869	-0.17576599	-0.25308228
1559378436612	TYPE_ROTATION_VECTOR	0.1858549	0.025855154	0.25126797
1559378436612	TYPE_MAGNETIC_FIELD_UNCALIBRATED	24.66	-18.84	-171.59999
1559378436612	TYPE_GYROSCOPE_UNCALIBRATED	-0.13560486	-0.11361694	-0.23213196
1559378436612	TYPE_ACCELEROMETER_UNCALIBRATED	0.90808105	3.5844574	8.425125
1559378436632	TYPE_ACCELEROMETER	0.85066223	3.9314117	7.6941223
1559378436632	TYPE_MAGNETIC_FIELD	14.94	20.22	-24.6
1559378436632	TYPE_GYROSCOPE	-0.035949707	-0.19044495	-0.33799744
1559378436632	TYPE_ROTATION_VECTOR	0.18551001	0.02448933	0.24861282
1559378436632	TYPE_MAGNETIC_FIELD_UNCALIBRATED	24.119999	-18.78	-171.48
1559378436632	TYPE_GYROSCOPE_UNCALIBRATED	-0.081848145	-0.13375854	-0.3298645
1559378436632	TYPE_ACCELEROMETER_UNCALIBRATED	0.899704	3.7902374	7.9692993
1559378436652	TYPE_ACCELEROMETER	0.7980194	4.2257385	7.3423767
1559378436652	TYPE_MAGNETIC_FIELD	14.88	20.46	-24.6
1559378436652	TYPE_GYROSCOPE	-0.05000305	-0.2124176	-0.3752594
1559378436652	TYPE_ROTATION_VECTOR	0.18555526	0.02324029	0.24512544
1559378436652	TYPE_MAGNETIC_FIELD_UNCALIBRATED	24.06	-18.54	-171.48
1559378436652	TYPE_GYROSCOPE_UNCALIBRATED	-0.041519165	-0.1484375	-0.41477966
1559378436652	TYPE_ACCELEROMETER_UNCALIBRATED	0.899704	3.7902374	7.9692993
1559378436671	TYPE_ACCELEROMETER	0.93200684	4.392029	7.5421753
1559378436671	TYPE_MAGNETIC_FIELD	14.82	20.46	-24.6
1559378436671	TYPE_GYROSCOPE	-0.14834595	-0.17822266	-0.3434906
1559378436671	TYPE_ROTATION_VECTOR	0.18551417	0.021821566	0.2412463
1559378436671	TYPE_MAGNETIC_FIELD_UNCALIBRATED	24.0	-18.54	-171.48
1559378436671	TYPE_GYROSCOPE_UNCALIBRATED	-0.05557251	-0.17041016	-0.45204163
1559378436671	TYPE_ACCELEROMETER_UNCALIBRATED	0.845871	4.326233	7.3579407
1559378436691	TYPE_ACCELEROMETER	1.1724854	4.421936	8.338989
1559378436691	TYPE_MAGNETIC_FIELD	14.82	20.52	-24.359999
1559378436691	TYPE_GYROSCOPE	-0.2784729	-0.07009888	-0.28118896
1559378436691	TYPE_ROTATION_VECTOR	0.18448217	0.020430053	0.23773876
1559378436691	TYPE_MAGNETIC_FIELD_UNCALIBRATED	24.0	-18.48	-171.23999
1559378436691	TYPE_GYROSCOPE_UNCALIBRATED	-0.1539154	-0.13621521	-0.42027283
1559378436691	TYPE_ACCELEROMETER_UNCALIBRATED	1.0492554	4.420746	7.893921
1559378436711	TYPE_ACCELEROMETER	1.3328094	4.5248413	9.219559
