#	startTime:1559378700998
#	SiteID:5cd56b5ae2acfd2d33b58544	SiteName:嘉尚坊	FloorId:5cd56b5ae2acfd2d33b5854e	FloorName:F1
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190509-nightly-17-g23747fd	VersionCode:249	
1559378700999	TYPE_WAYPOINT	37.727207	131.03531
1559378701114	TYPE_ACCELEROMETER	-1.249054	2.358139	8.9683075
1559378701114	TYPE_MAGNETIC_FIELD	-12.179999	21.18	-22.98
1559378701114	TYPE_GYROSCOPE	0.10057068	0.019989014	-0.04019165
1559378701114	TYPE_ROTATION_VECTOR	0.11928202	0.012437737	-0.27722025
1559378701114	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-4.4999995	-18.119999	-168.12
1559378701114	TYPE_GYROSCOPE_UNCALIBRATED	-0.009765625	0.037872314	-0.09529114
1559378701114	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0600281	2.3198547	9.272186
1559378701134	TYPE_ACCELEROMETER	-1.6929321	2.4155579	9.008972
1559378701134	TYPE_MAGNETIC_FIELD	-12.36	21.0	-22.859999
1559378701134	TYPE_GYROSCOPE	0.35620117	0.10948181	-0.088760376
1559378701134	TYPE_ROTATION_VECTOR	0.14105806	0.029031875	-0.27456084
1559378701134	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-4.68	-18.3	-168.0
1559378701134	TYPE_GYROSCOPE_UNCALIBRATED	0.09500122	0.06199646	-0.11697388
1559378701134	TYPE_ACCELEROMETER_UNCALIBRATED	-1.4763794	2.395218	8.889343
1559378701154	TYPE_ACCELEROMETER	-2.0446777	2.2253265	9.51506
