#	startTime:1559378845616
#	SiteID:5cd56b5ae2acfd2d33b58544	SiteName:嘉尚坊	FloorId:5cd56b5ae2acfd2d33b5854e	FloorName:F1
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190509-nightly-17-g23747fd	VersionCode:249	
1559378845616	TYPE_WAYPOINT	15.472065	84.58267
1559378845734	TYPE_ACCELEROMETER	-0.25723267	4.194626	7.9202423
1559378845734	TYPE_MAGNETIC_FIELD	-38.399998	-18.779999	-30.119999
1559378845734	TYPE_GYROSCOPE	-0.14500427	0.41583252	-0.034088135
1559378845734	TYPE_ROTATION_VECTOR	0.1548485	-0.17581774	-0.7211974
1559378845734	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-33.899998	-52.079998	-170.7
1559378845734	TYPE_GYROSCOPE_UNCALIBRATED	0.27000427	1.7837219	-0.14660645
1559378845734	TYPE_ACCELEROMETER_UNCALIBRATED	-0.15075684	4.21257	7.7838593
1559378845754	TYPE_ACCELEROMETER	-0.1878357	4.116852	8.550751
1559378845754	TYPE_MAGNETIC_FIELD	-38.399998	-18.9	-30.3
1559378845754	TYPE_GYROSCOPE	-0.42507935	-0.060317993	0.00592041
1559378845754	TYPE_ROTATION_VECTOR	0.17390426	-0.17333685	-0.708342
1559378845754	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-33.899998	-52.199997	-170.88
1559378845754	TYPE_GYROSCOPE_UNCALIBRATED	-0.34329224	-6.1035156E-4	-0.08857727
1559378845754	TYPE_ACCELEROMETER_UNCALIBRATED	-0.2632141	4.165909	8.193024
1559378845774	TYPE_ACCELEROMETER	-0.12802124	3.961319	9.146576
1559378845774	TYPE_MAGNETIC_FIELD	-38.64	-18.9	-30.3
1559378845774	TYPE_GYROSCOPE	-0.46661377	-0.033447266	0.015686035
1559378845774	TYPE_ROTATION_VECTOR	0.16852072	-0.16062692	-0.71367943
1559378845774	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-34.14	-52.199997	-170.88
1559378845774	TYPE_GYROSCOPE_UNCALIBRATED	-0.475235	-0.009765625	-0.061691284
1559378845774	TYPE_ACCELEROMETER_UNCALIBRATED	-0.12802124	4.0414886	8.901306
1559378845793	TYPE_ACCELEROMETER	-0.17228699	3.9062805	9.285355
1559378845793	TYPE_MAGNETIC_FIELD	-38.7	-18.779999	-30.599998
1559378845793	TYPE_GYROSCOPE	-0.36398315	-0.010238647	0.012039185
1559378845793	TYPE_ROTATION_VECTOR	0.14918873	-0.14973518	-0.7134408
1559378845793	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-34.2	-52.079998	-171.18
1559378845793	TYPE_GYROSCOPE_UNCALIBRATED	-0.475235	-0.009765625	-0.061691284
1559378845793	TYPE_ACCELEROMETER_UNCALIBRATED	-0.1531372	3.9098663	9.274582
1559378845813	TYPE_ACCELEROMETER	-0.23570251	3.9888458	9.073593
1559378845813	TYPE_MAGNETIC_FIELD	-38.7	-18.779999	-30.539999
1559378845813	TYPE_GYROSCOPE	-0.22898865	0.022750854	0.0053100586
1559378845813	TYPE_ROTATION_VECTOR	0.13582239	-0.14437959	-0.7393376
1559378845813	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-34.2	-52.079998	-171.12
1559378845813	TYPE_GYROSCOPE_UNCALIBRATED	-0.2980957	0.045211792	-0.06842041
1559378845813	TYPE_ACCELEROMETER_UNCALIBRATED	-0.19262695	3.9421844	9.205185
1559378845833	TYPE_ACCELEROMETER	-0.3086853	4.0701904	8.772095
1559378845833	TYPE_MAGNETIC_FIELD	-38.94	-18.779999	-30.72
1559378845833	TYPE_GYROSCOPE	-0.16607666	0.06916809	0.010803223
1559378845833	TYPE_ROTATION_VECTOR	0.13811713	-0.14424212	-0.73957676
1559378845833	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-34.44	-52.079998	-171.3
1559378845833	TYPE_GYROSCOPE_UNCALIBRATED	-0.19119263	0.08796692	-0.07086182
1559378845833	TYPE_ACCELEROMETER_UNCALIBRATED	-0.28355408	4.0295258	8.912079
1559378845852	TYPE_ACCELEROMETER	-0.33140564	4.10968	8.606979
1559378845852	TYPE_MAGNETIC_FIELD	-38.94	-18.84	-30.9
1559378845852	TYPE_GYROSCOPE	-0.18621826	0.09237671	0.02180481
1559378845852	TYPE_ROTATION_VECTOR	0.13682874	-0.14244233	-0.7398356
1559378845852	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-34.44	-52.14	-171.48
1559378845852	TYPE_GYROSCOPE_UNCALIBRATED	-0.19119263	0.08796692	-0.07086182
1559378845852	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3206482	4.0989075	8.666809
1559378845872	TYPE_ACCELEROMETER	-0.33140564	4.1395874	8.654846
1559378845872	TYPE_MAGNETIC_FIELD	-39.0	-18.72	-30.84
1559378845872	TYPE_GYROSCOPE	-0.22654724	0.08505249	0.035247803
1559378845872	TYPE_ROTATION_VECTOR	0.13626431	-0.1408144	-0.7399066
1559378845872	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-34.5	-52.019997	-171.42
1559378845872	TYPE_GYROSCOPE_UNCALIBRATED	-0.17408752	0.12828064	-0.05987549
1559378845872	TYPE_ACCELEROMETER_UNCALIBRATED	-0.34457397	4.120453	8.609375
1559378845892	TYPE_ACCELEROMETER	-0.24526978	4.1934204	8.7960205
1559378845892	TYPE_MAGNETIC_FIELD	-39.12	-18.42	-31.14
1559378845892	TYPE_GYROSCOPE	-0.2283783	0.08139038	0.045013428
