#	startTime:1559378915346
#	SiteID:5cd56b5ae2acfd2d33b58544	SiteName:嘉尚坊	FloorId:5cd56b5ae2acfd2d33b5854e	FloorName:F1
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190509-nightly-17-g23747fd	VersionCode:249	
1559378915347	TYPE_WAYPOINT	17.854765	105.59509
1559378915471	TYPE_ACCELEROMETER	0.30030823	3.308075	10.15036
1559378915471	TYPE_MAGNETIC_FIELD	-32.1	-31.38	-22.14
1559378915471	TYPE_GYROSCOPE	-0.09580994	0.003189087	-0.055160522
1559378915471	TYPE_ROTATION_VECTOR	0.06504175	-0.16728367	-0.86614186
1559378915471	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-27.599998	-64.68	-162.72
1559378915471	TYPE_GYROSCOPE_UNCALIBRATED	-0.101379395	0.045196533	-0.13194275
1559378915471	TYPE_ACCELEROMETER_UNCALIBRATED	0.49771118	3.6909332	9.525833
1559378915491	TYPE_ACCELEROMETER	0.30030823	3.0951233	10.833511
1559378915491	TYPE_MAGNETIC_FIELD	-31.92	-31.38	-22.199999
1559378915491	TYPE_GYROSCOPE	-0.0912323	0.2854004	0.019042969
1559378915491	TYPE_ROTATION_VECTOR	0.057186432	-0.14620927	-0.8831455
1559378915491	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-27.42	-64.68	-162.78
1559378915491	TYPE_GYROSCOPE_UNCALIBRATED	-0.099853516	0.13926697	-0.10720825
1559378915491	TYPE_ACCELEROMETER_UNCALIBRATED	0.39123535	3.5066833	9.899109
1559378915511	TYPE_ACCELEROMETER	0.75613403	2.9288177	11.79303
1559378915511	TYPE_MAGNETIC_FIELD	-31.74	-31.679998	-22.439999
1559378915511	TYPE_GYROSCOPE	-0.21372986	0.37765503	0.032180786
1559378915511	TYPE_ROTATION_VECTOR	0.045849938	-0.13108201	-0.89922124
1559378915511	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-27.24	-64.979996	-163.02
1559378915511	TYPE_GYROSCOPE_UNCALIBRATED	-0.13316345	0.42025757	-0.037872314
1559378915511	TYPE_ACCELEROMETER_UNCALIBRATED	0.26800537	3.1788635	10.4769745
1559378915530	TYPE_ACCELEROMETER	1.2550354	2.830719	12.294327
1559378915530	TYPE_MAGNETIC_FIELD	-31.679998	-31.619999	-22.56
1559378915530	TYPE_GYROSCOPE	-0.45074463	0.37826538	0.023025513
1559378915530	TYPE_ROTATION_VECTOR	0.023660498	-0.122709855	-0.89708555
1559378915530	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-27.179998	-64.92	-163.14
1559378915530	TYPE_GYROSCOPE_UNCALIBRATED	-0.3310852	0.42700195	-0.046432495
1559378915530	TYPE_ACCELEROMETER_UNCALIBRATED	0.45225525	3.0006104	11.274979
1559378915550	TYPE_ACCELEROMETER	1.2012024	2.9623108	11.65065
1559378915550	TYPE_MAGNETIC_FIELD	-31.619999	-31.5	-23.039999
1559378915550	TYPE_GYROSCOPE	-0.5570221	0.19561768	-0.06738281
1559378915550	TYPE_ROTATION_VECTOR	0.00551164	-0.12287049	-0.9003877
1559378915550	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-27.119999	-64.8	-163.62
1559378915550	TYPE_GYROSCOPE_UNCALIBRATED	-0.5479431	0.35736084	-0.08369446
1559378915550	TYPE_ACCELEROMETER_UNCALIBRATED	1.0612183	2.855835	12.180664
1559378915570	TYPE_ACCELEROMETER	0.77168274	3.3092804	10.214966
1559378915570	TYPE_MAGNETIC_FIELD	-31.5	-31.439999	-23.46
1559378915570	TYPE_GYROSCOPE	-0.34933472	-0.08721924	-0.2427063
1559378915570	TYPE_ROTATION_VECTOR	0.007852333	-0.13134503	-0.8965343
1559378915570	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-27.0	-64.74	-164.04001
