#	startTime:1559380432827
#	SiteID:5cd56b5ae2acfd2d33b58544	SiteName:嘉尚坊	FloorId:5cd56b5ae2acfd2d33b5854e	FloorName:F1
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190509-nightly-17-g23747fd	VersionCode:249	
1559380432827	TYPE_WAYPOINT	32.907288	50.624187
1559380432988	TYPE_ACCELEROMETER	-0.15553284	2.3258362	9.357132
1559380432988	TYPE_MAGNETIC_FIELD	30.96	13.92	-27.24
1559380432988	TYPE_GYROSCOPE	-8.590485	6.1215973	21.12587
1559380432988	TYPE_ROTATION_VECTOR	0.1103362	0.060685415	0.4674599
1559380432988	TYPE_MAGNETIC_FIELD_UNCALIBRATED	37.26	-27.479998	-167.1
1559380432988	TYPE_GYROSCOPE_UNCALIBRATED	-8.596054	6.1636047	21.049088
1559380432988	TYPE_ACCELEROMETER_UNCALIBRATED	-0.27278137	2.3102722	9.491135
1559380433008	TYPE_ACCELEROMETER	-0.3397827	2.313858	9.540192
1559380433008	TYPE_MAGNETIC_FIELD	30.96	13.92	-27.18
1559380433008	TYPE_GYROSCOPE	-0.09887695	-0.07070923	0.07495117
1559380433008	TYPE_ROTATION_VECTOR	0.097290464	0.06848451	0.47204596
1559380433008	TYPE_MAGNETIC_FIELD_UNCALIBRATED	37.26	-27.479998	-167.04001
1559380433008	TYPE_GYROSCOPE_UNCALIBRATED	-0.10444641	-0.028701782	-0.0018310547
1559380433008	TYPE_ACCELEROMETER_UNCALIBRATED	-0.36012268	2.2983093	9.548569
1559380433028	TYPE_ACCELEROMETER	-0.35653687	2.2695923	9.55455
1559380433028	TYPE_MAGNETIC_FIELD	30.96	14.099999	-27.18
1559380433028	TYPE_GYROSCOPE	-0.06588745	-0.016342163	0.079833984
1559380433028	TYPE_ROTATION_VECTOR	0.09584568	0.070459984	0.45966595
1559380433028	TYPE_MAGNETIC_FIELD_UNCALIBRATED	37.26	-27.3	-167.04001
1559380433028	TYPE_GYROSCOPE_UNCALIBRATED	-0.07145691	0.025665283	0.0030517578
1559380433028	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3254242	2.2420807	9.579666
1559380433047	TYPE_ACCELEROMETER	-0.27638245	2.2253265	9.647873
1559380433047	TYPE_MAGNETIC_FIELD	31.08	14.16	-27.359999
1559380433047	TYPE_GYROSCOPE	-0.05000305	0.035568237	0.09020996
1559380433047	TYPE_ROTATION_VECTOR	0.0934821	0.06842131	0.47039855
1559380433047	TYPE_MAGNETIC_FIELD_UNCALIBRATED	37.38	-27.239998	-167.22
1559380433047	TYPE_GYROSCOPE_UNCALIBRATED	-0.05557251	0.07757568	0.013427734
1559380433047	TYPE_ACCELEROMETER_UNCALIBRATED	-0.22613525	2.2217407	9.722046
1559380433067	TYPE_ACCELEROMETER	-0.1986084	2.218155	9.756729
1559380433067	TYPE_MAGNETIC_FIELD	31.199999	14.219999	-27.539999
1559380433067	TYPE_GYROSCOPE	-0.05000305	0.027023315	0.07800293
1559380433067	TYPE_ROTATION_VECTOR	0.09353518	0.06274029	0.47014216
1559380433067	TYPE_MAGNETIC_FIELD_UNCALIBRATED	37.5	-27.179998	-167.4
1559380433067	TYPE_GYROSCOPE_UNCALIBRATED	-0.033584595	0.02078247	-0.038482666
1559380433067	TYPE_ACCELEROMETER_UNCALIBRATED	-0.19143677	2.2301178	9.732803
1559380433087	TYPE_ACCELEROMETER	-0.1986084	2.2875366	9.644272
1559380433087	TYPE_MAGNETIC_FIELD	31.5	14.28	-27.66
1559380433087	TYPE_GYROSCOPE	-0.028015137	-0.021224976	0.03829956
1559380433087	TYPE_ROTATION_VECTOR	0.09306768	0.06261687	0.47034907
1559380433087	TYPE_MAGNETIC_FIELD_UNCALIBRATED	37.8	-27.119999	-167.52
1559380433087	TYPE_GYROSCOPE_UNCALIBRATED	-0.033584595	0.02078247	-0.038482666
1559380433087	TYPE_ACCELEROMETER_UNCALIBRATED	-0.23928833	2.3665009	9.5234375
1559380433106	TYPE_ACCELEROMETER	-0.30389404	2.4335022	9.408585
1559380433106	TYPE_MAGNETIC_FIELD	31.5	14.28	-27.72
1559380433106	TYPE_GYROSCOPE	0.005584717	-0.05116272	4.119873E-4
1559380433106	TYPE_ROTATION_VECTOR	0.0929462	0.062271703	0.47067767
1559380433106	TYPE_MAGNETIC_FIELD_UNCALIBRATED	37.8	-27.119999	-167.58
1559380433106	TYPE_GYROSCOPE_UNCALIBRATED	1.5258789E-5	-0.009155273	-0.07637024
1559380433106	TYPE_ACCELEROMETER_UNCALIBRATED	-0.36491394	2.4765778	9.320053
1559380433126	TYPE_ACCELEROMETER	-0.3972168	2.5040894	9.26741
1559380433126	TYPE_MAGNETIC_FIELD	31.38	14.099999	-27.66
1559380433126	TYPE_GYROSCOPE	0.015960693	-0.034072876	-0.0069122314
1559380433126	TYPE_ROTATION_VECTOR	0.09322883	0.061857816	0.47063303
1559380433126	TYPE_MAGNETIC_FIELD_UNCALIBRATED	37.68	-27.3	-167.52
1559380433126	TYPE_GYROSCOPE_UNCALIBRATED	0.010391235	0.00793457	-0.08369446
1559380433126	TYPE_ACCELEROMETER_UNCALIBRATED	-0.36491394	2.4765778	9.320053
1559380433146	TYPE_ACCELEROMETER	-0.38165283	2.5387878	9.340378
1559380433146	TYPE_MAGNETIC_FIELD	31.32	14.099999	-27.42
1559380433146	TYPE_GYROSCOPE	-0.00541687	-0.0029144287	0.015686035
1559380433146	TYPE_ROTATION_VECTOR	0.0935195	0.06164408	0.47053272
1559380433146	TYPE_MAGNETIC_FIELD_UNCALIBRATED	37.62	-27.3	-167.28
1559380433146	TYPE_GYROSCOPE_UNCALIBRATED	-0.037246704	0.04460144	-0.034210205
1559380433146	TYPE_ACCELEROMETER_UNCALIBRATED	-0.36132812	2.5256348	9.41217
1559380433165	TYPE_ACCELEROMETER	-0.32781982	2.4993134	9.461227
1559380433165	TYPE_MAGNETIC_FIELD	31.38	14.16	-27.539999
1559380433165	TYPE_GYROSCOPE	-0.031677246	0.0025939941	0.04257202
1559380433165	TYPE_ROTATION_VECTOR	0.09349798	0.061579194	0.4706666
1559380433165	TYPE_MAGNETIC_FIELD_UNCALIBRATED	37.68	-27.239998	-167.4
1559380433165	TYPE_GYROSCOPE_UNCALIBRATED	-0.037246704	0.04460144	-0.034210205
1559380433165	TYPE_ACCELEROMETER_UNCALIBRATED	-0.29193115	2.465805	9.4696045
1559380433185	TYPE_ACCELEROMETER	-0.25842285	2.4358978	9.442078
1559380433185	TYPE_MAGNETIC_FIELD	31.5	14.16	-27.539999
1559380433185	TYPE_GYROSCOPE	-0.02923584	-0.020019531	0.059677124
1559380433185	TYPE_ROTATION_VECTOR	0.09324072	0.061416987	0.4710524
1559380433185	TYPE_MAGNETIC_FIELD_UNCALIBRATED	37.8	-27.239998	-167.4
1559380433185	TYPE_GYROSCOPE_UNCALIBRATED	-0.034805298	0.021987915	-0.017105103
1559380433185	TYPE_ACCELEROMETER_UNCALIBRATED	-0.22970581	2.4167633	9.413361
1559380433205	TYPE_ACCELEROMETER	-0.21655273	2.4011993	9.388245
1559380433205	TYPE_MAGNETIC_FIELD	31.5	13.92	-27.539999
1559380433205	TYPE_GYROSCOPE	-0.020065308	-0.030395508	0.06150818
1559380433205	TYPE_ROTATION_VECTOR	0.09311742	0.06105649	0.47156346
1559380433205	TYPE_MAGNETIC_FIELD_UNCALIBRATED	37.8	-27.479998	-167.4
1559380433205	TYPE_GYROSCOPE_UNCALIBRATED	-0.025634766	0.0116119385	-0.015274048
1559380433205	TYPE_ACCELEROMETER_UNCALIBRATED	-0.22970581	2.4167633	9.413361
1559380433224	TYPE_ACCELEROMETER	-0.19740295	2.362915	9.342773
1559380433224	TYPE_MAGNETIC_FIELD	31.56	13.92	-27.48
1559380433224	TYPE_GYROSCOPE	-0.018859863	-0.020004272	0.05845642
1559380433224	TYPE_ROTATION_VECTOR	0.093122356	0.060646705	0.47207567
1559380433224	TYPE_MAGNETIC_FIELD_UNCALIBRATED	37.86	-27.479998	-167.34
1559380433224	TYPE_GYROSCOPE_UNCALIBRATED	-0.024429321	0.022003174	-0.018325806
1559380433224	TYPE_ACCELEROMETER_UNCALIBRATED	-0.1758728	2.3569336	9.352356
1559380433244	TYPE_ACCELEROMETER	-0.19502258	2.3605194	9.363129
1559380433244	TYPE_MAGNETIC_FIELD	31.32	13.92	-27.42
1559380433244	TYPE_GYROSCOPE	-0.024353027	-0.0023040771	0.052337646
1559380433244	TYPE_ROTATION_VECTOR	0.09308861	0.060333654	0.47257024
1559380433244	TYPE_MAGNETIC_FIELD_UNCALIBRATED	37.62	-27.479998	-167.28
1559380433244	TYPE_GYROSCOPE_UNCALIBRATED	-0.029922485	0.03970337	-0.02444458
1559380433244	TYPE_ACCELEROMETER_UNCALIBRATED	-0.24287415	2.371292	9.38945
1559380433264	TYPE_ACCELEROMETER	-0.27996826	2.3808594	9.427734
1559380433264	TYPE_MAGNETIC_FIELD	31.32	13.98	-27.42
1559380433264	TYPE_GYROSCOPE	-0.03718567	7.6293945E-4	0.039520264
1559380433264	TYPE_ROTATION_VECTOR	0.092922434	0.060152706	0.4730317
1559380433264	TYPE_MAGNETIC_FIELD_UNCALIBRATED	37.62	-27.419998	-167.28
1559380433264	TYPE_GYROSCOPE_UNCALIBRATED	-0.042755127	0.042770386	-0.037261963
1559380433264	TYPE_ACCELEROMETER_UNCALIBRATED	-0.2979126	2.3796692	9.45166
1559380433283	TYPE_ACCELEROMETER	-0.29312134	2.374878	9.45285
1559380433283	TYPE_MAGNETIC_FIELD	31.619999	14.099999	-27.24
1559380433283	TYPE_GYROSCOPE	-0.04573059	-0.020614624	0.035232544
1559380433283	TYPE_ROTATION_VECTOR	0.092624225	0.059951246	0.4733937
1559380433283	TYPE_MAGNETIC_FIELD_UNCALIBRATED	37.92	-27.3	-167.1
1559380433283	TYPE_GYROSCOPE_UNCALIBRATED	-0.05130005	0.021392822	-0.041549683
1559380433283	TYPE_ACCELEROMETER_UNCALIBRATED	-0.27278137	2.3808594	9.426529
1559380433303	TYPE_ACCELEROMETER	-0.25723267	2.3940277	9.3714905
1559380433303	TYPE_MAGNETIC_FIELD	31.679998	13.98	-27.48
1559380433303	TYPE_GYROSCOPE	-0.04145813	-0.038345337	0.03401184
1559380433303	TYPE_ROTATION_VECTOR	0.09234859	0.05953171	0.4737041
1559380433303	TYPE_MAGNETIC_FIELD_UNCALIBRATED	37.98	-27.419998	-167.34
1559380433303	TYPE_GYROSCOPE_UNCALIBRATED	-0.047027588	0.0036621094	-0.042770386
1559380433303	TYPE_ACCELEROMETER_UNCALIBRATED	-0.27278137	2.3808594	9.426529
1559380433323	TYPE_ACCELEROMETER	-0.33499146	2.4430695	9.293732
1559380433323	TYPE_MAGNETIC_FIELD	31.679998	13.799999	-27.48
1559380433323	TYPE_GYROSCOPE	-0.031677246	-0.026733398	0.026687622
1559380433323	TYPE_ROTATION_VECTOR	0.09219104	0.058980413	0.47398522
1559380433323	TYPE_MAGNETIC_FIELD_UNCALIBRATED	37.98	-27.599998	-167.34
1559380433323	TYPE_GYROSCOPE_UNCALIBRATED	-0.037246704	0.015274048	-0.050094604
1559380433323	TYPE_ACCELEROMETER_UNCALIBRATED	-0.41516113	2.4682007	9.263809
1559380433342	TYPE_ACCELEROMETER	-0.4737854	2.4909363	9.243469
1559380433342	TYPE_MAGNETIC_FIELD	31.679998	13.86	-27.539999
1559380433342	TYPE_GYROSCOPE	-0.028015137	0.0050354004	0.024856567
1559380433342	TYPE_ROTATION_VECTOR	0.09205982	0.0585794	0.47420844
1559380433342	TYPE_MAGNETIC_FIELD_UNCALIBRATED	37.98	-27.539997	-167.4
1559380433342	TYPE_GYROSCOPE_UNCALIBRATED	-0.033584595	0.047042847	-0.05192566
1559380433342	TYPE_ACCELEROMETER_UNCALIBRATED	-0.50250244	2.5040894	9.255447
1559380433362	TYPE_ACCELEROMETER	-0.49891663	2.4969177	9.316467
1559380433362	TYPE_MAGNETIC_FIELD	31.32	14.099999	-27.539999
1559380433362	TYPE_GYROSCOPE	-0.044509888	0.021530151	0.043792725
1559380433362	TYPE_ROTATION_VECTOR	0.091811806	0.058469407	0.47444183
1559380433362	TYPE_MAGNETIC_FIELD_UNCALIBRATED	37.62	-27.3	-167.4
1559380433362	TYPE_GYROSCOPE_UNCALIBRATED	-0.050079346	0.0635376	-0.032989502
1559380433362	TYPE_ACCELEROMETER_UNCALIBRATED	-0.4725952	2.4765778	9.383453
1559380433382	TYPE_ACCELEROMETER	-0.44029236	2.4562378	9.434906
1559380433382	TYPE_MAGNETIC_FIELD	31.32	14.099999	-27.24
1559380433382	TYPE_GYROSCOPE	-0.06893921	0.015411377	0.071884155
1559380433382	TYPE_ROTATION_VECTOR	0.09135702	0.0584087	0.47486064
1559380433382	TYPE_MAGNETIC_FIELD_UNCALIBRATED	37.62	-27.3	-167.1
1559380433382	TYPE_GYROSCOPE_UNCALIBRATED	-0.07450867	0.057418823	-0.0048980713
1559380433382	TYPE_ACCELEROMETER_UNCALIBRATED	-0.4725952	2.4765778	9.383453
1559380433401	TYPE_ACCELEROMETER	-0.44148254	2.4514465	9.458832
1559380433401	TYPE_MAGNETIC_FIELD	31.32	13.92	-27.24
1559380433401	TYPE_GYROSCOPE	-0.06100464	0.008087158	0.079833984
1559380433401	TYPE_ROTATION_VECTOR	0.09073679	0.058157437	0.4755285
1559380433401	TYPE_MAGNETIC_FIELD_UNCALIBRATED	37.62	-27.479998	-167.1
1559380433401	TYPE_GYROSCOPE_UNCALIBRATED	-0.0665741	0.050094604	0.0030517578
1559380433401	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5228424	2.465805	9.419342
1559380433421	TYPE_ACCELEROMETER	-0.6161499	2.5028992	9.364319
1559380433421	TYPE_MAGNETIC_FIELD	31.5	13.799999	-27.18
1559380433421	TYPE_GYROSCOPE	-0.031692505	0.026412964	0.07310486
1559380433421	TYPE_ROTATION_VECTOR	0.090221815	0.057872612	0.47625378
1559380433421	TYPE_MAGNETIC_FIELD_UNCALIBRATED	37.8	-27.599998	-167.04001
