#	startTime:1559441383827
#	SiteID:5cd56c01e2acfd2d33b698ba	SiteName:黄金广场	FloorId:5cd56c02e2acfd2d33b6996b	FloorName:F2
#	Brand:Xiaomi	Model:MI 8	AndroidName:8.1.0	APILevel:27	
#	type:1	name:ICM20690_wakeup	version:257	vendor:qualcomm	resolution:0.0023938033	power:0.44	maximumRange:78.4532
#	type:4	name:ICM20690_wakeup	version:257	vendor:qualcomm	resolution:5.3265877E-4	power:2.9	maximumRange:17.452778
#	type:2	name:ak0991x_wakeup	version:10056	vendor:akm	resolution:0.15	power:1.1	maximumRange:4912.0
#	VersionName:v20190529-nightly	VersionCode:258	
1559441383828	TYPE_WAYPOINT	24.246466	19.143522
1559441384038	TYPE_ACCELEROMETER	0.07484633	1.3508252	9.511696
1559441384038	TYPE_MAGNETIC_FIELD	2.284986	17.352057	-35.836823
1559441384038	TYPE_GYROSCOPE	0.09782226	0.05687627	-0.04358938
1559441384038	TYPE_ROTATION_VECTOR	0.068937175	-0.011389664	0.09429157
1559441384038	TYPE_MAGNETIC_FIELD_UNCALIBRATED	2.600565	1.3452941	-233.44781
1559441384038	TYPE_GYROSCOPE_UNCALIBRATED	0.07348197	0.017951485	-0.06842202
1559441384038	TYPE_ACCELEROMETER_UNCALIBRATED	0.077241406	1.3077137	9.581154
1559441384059	TYPE_ACCELEROMETER	0.17543969	1.3795662	9.550016
1559441384059	TYPE_MAGNETIC_FIELD	3.2005773	19.781645	-36.011673
1559441384059	TYPE_GYROSCOPE	0.094093546	0.044624764	-0.029739859
1559441384059	TYPE_ROTATION_VECTOR	0.069239885	-0.010618051	0.09344754
1559441384059	TYPE_MAGNETIC_FIELD_UNCALIBRATED	3.5161562	3.7748837	-233.62267
1559441384059	TYPE_GYROSCOPE_UNCALIBRATED	0.09798497	0.05417332	-0.043386336
1559441384059	TYPE_ACCELEROMETER_UNCALIBRATED	0.17543969	1.3795662	9.550016
1559441384079	TYPE_ACCELEROMETER	0.079636484	1.3532203	9.538041
1559441384079	TYPE_MAGNETIC_FIELD	5.12475	17.957695	-34.817917
1559441384079	TYPE_GYROSCOPE	0.061067753	0.019056415	-0.0350666
1559441384079	TYPE_ROTATION_VECTOR	0.069944106	-0.008548999	0.09069107
1559441384079	TYPE_MAGNETIC_FIELD_UNCALIBRATED	5.440329	1.9509339	-232.42891
1559441384079	TYPE_GYROSCOPE_UNCALIBRATED	0.061230466	0.016353466	-0.034863558
1559441384079	TYPE_ACCELEROMETER_UNCALIBRATED	0.079636484	1.3532203	9.538041
1559441384099	TYPE_ACCELEROMETER	-0.083228946	1.3963317	9.487744
1559441384099	TYPE_MAGNETIC_FIELD	3.5913975	16.260948	-36.67781
1559441384099	TYPE_GYROSCOPE	0.0189865	0.0377	-0.024945794
1559441384099	TYPE_ROTATION_VECTOR	0.07080086	-0.006990588	0.08872184
1559441384099	TYPE_MAGNETIC_FIELD_UNCALIBRATED	3.9069765	0.25418693	-234.2888
1559441384099	TYPE_GYROSCOPE_UNCALIBRATED	0.019149216	0.034997053	-0.024742749
1559441384099	TYPE_ACCELEROMETER_UNCALIBRATED	-0.083228946	1.3963317	9.487744
1559441384119	TYPE_ACCELEROMETER	-0.04251258	1.4825547	9.377571
1559441384119	TYPE_MAGNETIC_FIELD	3.7255135	15.466335	-35.400665
1559441384119	TYPE_GYROSCOPE	-0.021496726	0.100022875	0.0150047615
1559441384119	TYPE_ROTATION_VECTOR	0.071528785	-0.0052551203	0.08753
1559441384119	TYPE_MAGNETIC_FIELD_UNCALIBRATED	4.0410924	-0.5404267	-233.01166
1559441384119	TYPE_GYROSCOPE_UNCALIBRATED	-0.021334011	0.09731992	0.015207807
1559441384119	TYPE_ACCELEROMETER_UNCALIBRATED	-0.04251258	1.4825547	9.377571
1559441384139	TYPE_ACCELEROMETER	0.053290613	1.5927283	9.394336
1559441384139	TYPE_MAGNETIC_FIELD	4.4043307	19.234316	-35.975418
1559441384139	TYPE_GYROSCOPE	-0.06251263	0.14210412	0.045367185
1559441384139	TYPE_ROTATION_VECTOR	0.071528785	-0.0052551203	0.08753
1559441384139	TYPE_MAGNETIC_FIELD_UNCALIBRATED	4.7199097	3.2275543	-233.58641
1559441384139	TYPE_GYROSCOPE_UNCALIBRATED	-0.021334011	0.09731992	0.015207807
1559441384139	TYPE_ACCELEROMETER_UNCALIBRATED	0.053290613	1.5927283	9.394336
1559441384159	TYPE_ACCELEROMETER	0.12035285	1.7172725	9.497326
1559441384159	TYPE_MAGNETIC_FIELD	3.8963504	18.759377	-36.703583
1559441384159	TYPE_GYROSCOPE	-0.08009087	0.11174171	0.05229195
1559441384159	TYPE_ROTATION_VECTOR	0.07110212	-0.001091091	0.0859156
1559441384159	TYPE_MAGNETIC_FIELD_UNCALIBRATED	4.2119293	2.7526155	-234.31458
1559441384159	TYPE_GYROSCOPE_UNCALIBRATED	-0.07992816	0.109038755	0.05249499
1559441384159	TYPE_ACCELEROMETER_UNCALIBRATED	0.12035285	1.7172725	9.497326
1559441384179	TYPE_ACCELEROMETER	0.17543969	1.7292478	9.643425
1559441384179	TYPE_MAGNETIC_FIELD	3.6736302	16.704	-34.115067
1559441384179	TYPE_GYROSCOPE	-0.08009087	0.038232677	0.056553338
1559441384179	TYPE_ROTATION_VECTOR	0.07110212	-0.001091091	0.0859156
1559441384179	TYPE_MAGNETIC_FIELD_UNCALIBRATED	3.9892092	0.6972382	-231.72606
1559441384179	TYPE_GYROSCOPE_UNCALIBRATED	-0.07992816	0.03552973	0.05675638
1559441384179	TYPE_ACCELEROMETER_UNCALIBRATED	0.17543969	1.7292478	9.643425
1559441384199	TYPE_ACCELEROMETER	0.1730446	1.7124823	9.839822
1559441384199	TYPE_MAGNETIC_FIELD	4.849212	19.142544	-36.580353
1559441384199	TYPE_GYROSCOPE	-0.08222157	-0.035809014	0.063478105
1559441384199	TYPE_ROTATION_VECTOR	0.07114683	2.0412817E-4	0.086040005
1559441384199	TYPE_MAGNETIC_FIELD_UNCALIBRATED	5.164791	3.135782	-234.19135
1559441384199	TYPE_GYROSCOPE_UNCALIBRATED	-0.07992816	0.03552973	0.05675638
1559441384199	TYPE_ACCELEROMETER_UNCALIBRATED	0.1730446	1.7124823	9.839822
1559441384220	TYPE_ACCELEROMETER	0.23052654	1.6813463	9.988317
1559441384220	TYPE_MAGNETIC_FIELD	4.849212	19.142544	-36.580353
1559441384220	TYPE_GYROSCOPE	-0.09766911	-0.058714	0.07519693
1559441384220	TYPE_ROTATION_VECTOR	0.071581654	5.33602E-4	0.0864858
1559441384220	TYPE_MAGNETIC_FIELD_UNCALIBRATED	5.164791	3.135782	-234.19135
1559441384220	TYPE_GYROSCOPE_UNCALIBRATED	-0.082058854	-0.03851196	0.06368115
1559441384220	TYPE_ACCELEROMETER_UNCALIBRATED	0.23052654	1.6813463	9.988317
1559441384240	TYPE_ACCELEROMETER	0.28321826	1.6358397	10.105676
1559441384240	TYPE_MAGNETIC_FIELD	3.9201908	18.771683	-35.636215
1559441384240	TYPE_GYROSCOPE	-0.10459387	-0.0443318	0.08105635
1559441384240	TYPE_ROTATION_VECTOR	0.07193075	-6.157856E-7	0.0873943
1559441384240	TYPE_MAGNETIC_FIELD_UNCALIBRATED	4.2357697	2.7649202	-233.24721
1559441384240	TYPE_GYROSCOPE_UNCALIBRATED	-0.0975064	-0.061416946	0.07539997
1559441384240	TYPE_ACCELEROMETER_UNCALIBRATED	0.28321826	1.6358397	10.105676
1559441384260	TYPE_ACCELEROMETER	0.33351496	1.702902	10.110465
1559441384260	TYPE_MAGNETIC_FIELD	4.0574007	18.646345	-36.08545
1559441384260	TYPE_GYROSCOPE	-0.08222157	-0.030482272	0.082654364
1559441384260	TYPE_ROTATION_VECTOR	0.07193099	-7.326827E-4	0.08833556
1559441384260	TYPE_MAGNETIC_FIELD_UNCALIBRATED	4.3729796	2.6395843	-233.69644
1559441384260	TYPE_GYROSCOPE_UNCALIBRATED	-0.10443116	-0.047034748	0.08125939
1559441384260	TYPE_ACCELEROMETER_UNCALIBRATED	0.33351496	1.702902	10.110465
1559441384280	TYPE_ACCELEROMETER	0.36225593	1.7005069	10.017057
1559441384280	TYPE_MAGNETIC_FIELD	4.0574007	18.646345	-36.08545
1559441384280	TYPE_GYROSCOPE	-0.049195774	-0.007577288	0.084785074
1559441384280	TYPE_ROTATION_VECTOR	0.071678616	-0.0014603141	0.089272544
1559441384280	TYPE_MAGNETIC_FIELD_UNCALIBRATED	4.3729796	2.6395843	-233.69644
1559441384280	TYPE_GYROSCOPE_UNCALIBRATED	-0.082058854	-0.03318522	0.08285741
1559441384280	TYPE_ACCELEROMETER_UNCALIBRATED	0.36225593	1.7005069	10.017057
1559441384300	TYPE_ACCELEROMETER	0.3263297	1.707692	10.098491
1559441384300	TYPE_MAGNETIC_FIELD	4.473243	18.00544	-36.498627
1559441384300	TYPE_GYROSCOPE	-0.013506616	0.007870259	0.09277518
1559441384300	TYPE_ROTATION_VECTOR	0.071443066	-0.0021254658	0.09046109
1559441384300	TYPE_MAGNETIC_FIELD_UNCALIBRATED	4.788822	1.9986784	-234.10962
1559441384300	TYPE_GYROSCOPE_UNCALIBRATED	-0.0133439	0.005167309	0.092978224
