#	startTime:1559442163948
#	SiteID:5cd56c01e2acfd2d33b698ba	SiteName:黄金广场	FloorId:5cd56c02e2acfd2d33b699e2	FloorName:F3
#	Brand:Xiaomi	Model:MI 8	AndroidName:8.1.0	APILevel:27	
#	type:1	name:ICM20690_wakeup	version:257	vendor:qualcomm	resolution:0.0023938033	power:0.44	maximumRange:78.4532
#	type:4	name:ICM20690_wakeup	version:257	vendor:qualcomm	resolution:5.3265877E-4	power:2.9	maximumRange:17.452778
#	type:2	name:ak0991x_wakeup	version:10056	vendor:akm	resolution:0.15	power:1.1	maximumRange:4912.0
#	VersionName:v20190529-nightly	VersionCode:258	
1559442163948	TYPE_WAYPOINT	27.49912	23.259512
1559442164175	TYPE_ACCELEROMETER	-0.15268628	0.25387856	10.194293
1559442164175	TYPE_MAGNETIC_FIELD	-23.272898	-17.363327	-35.38553
1559442164175	TYPE_GYROSCOPE	0.1361748	-0.06776945	-0.13414396
1559442164175	TYPE_ROTATION_VECTOR	0.01538167	4.093142E-5	-0.87457585
1559442164175	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-22.881382	-32.467968	-231.29118
1559442164175	TYPE_GYROSCOPE_UNCALIBRATED	0.014887823	-0.10669424	-0.11689536
1559442164175	TYPE_ACCELEROMETER_UNCALIBRATED	-0.15268628	0.25387856	10.194293
1559442164195	TYPE_ACCELEROMETER	-0.15029119	0.536498	9.190755
1559442164195	TYPE_MAGNETIC_FIELD	-23.818333	-16.860228	-33.436127
1559442164195	TYPE_GYROSCOPE	0.2054224	-0.09813187	-0.111238986
1559442164195	TYPE_ROTATION_VECTOR	0.012509039	0.0010912266	-0.87678057
1559442164195	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-23.426817	-31.964869	-229.34178
1559442164195	TYPE_GYROSCOPE_UNCALIBRATED	0.13633752	-0.070472404	-0.13394092
1559442164195	TYPE_ACCELEROMETER_UNCALIBRATED	-0.15029119	0.536498	9.190755
1559442164215	TYPE_ACCELEROMETER	-0.0065863878	0.71852404	8.606356
1559442164215	TYPE_MAGNETIC_FIELD	-23.6584	-16.039083	-35.478867
1559442164215	TYPE_GYROSCOPE	0.16973326	-0.10825268	-0.079278536
1559442164215	TYPE_ROTATION_VECTOR	0.011135256	-8.9980353E-4	-0.87822884
1559442164215	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-23.266884	-31.143724	-231.38452
1559442164215	TYPE_GYROSCOPE_UNCALIBRATED	0.20558512	-0.100834824	-0.11103594
1559442164215	TYPE_ACCELEROMETER_UNCALIBRATED	-0.0065863878	0.71852404	8.606356
1559442164235	TYPE_ACCELEROMETER	0.15148889	0.898155	8.505762
1559442164235	TYPE_MAGNETIC_FIELD	-22.20196	-16.981838	-36.941177
1559442164235	TYPE_GYROSCOPE	0.06373113	-0.07203084	-0.061700303
1559442164235	TYPE_ROTATION_VECTOR	0.01144811	-0.0038074958	-0.8786567
1559442164235	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-21.810444	-32.08648	-232.84683
1559442164235	TYPE_GYROSCOPE_UNCALIBRATED	0.16989598	-0.11095563	-0.07907549
1559442164235	TYPE_ACCELEROMETER_UNCALIBRATED	0.15148889	0.898155	8.505762
1559442164256	TYPE_ACCELEROMETER	0.1371184	0.99395823	8.893765
1559442164256	TYPE_MAGNETIC_FIELD	-22.907639	-16.632362	-34.82788
1559442164256	TYPE_GYROSCOPE	-0.041205667	-0.042733777	-0.07128843
1559442164256	TYPE_ROTATION_VECTOR	0.012495952	-0.0076995282	-0.877815
1559442164256	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-22.516123	-31.737003	-230.73354
1559442164256	TYPE_GYROSCOPE_UNCALIBRATED	0.06389384	-0.074733794	-0.06149726
1559442164256	TYPE_ACCELEROMETER_UNCALIBRATED	0.1371184	0.99395823	8.893765
1559442164276	TYPE_ACCELEROMETER	0.014969327	0.9819829	9.384756
1559442164276	TYPE_MAGNETIC_FIELD	-24.487059	-18.887032	-37.258423
1559442164276	TYPE_GYROSCOPE	-0.08381959	-0.044864472	-0.0862033
1559442164276	TYPE_ROTATION_VECTOR	0.013019094	-0.011371133	-0.8766623
1559442164276	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-24.095543	-33.991673	-233.16408
1559442164276	TYPE_GYROSCOPE_UNCALIBRATED	-0.041042954	-0.045436725	-0.071085386
1559442164276	TYPE_ACCELEROMETER_UNCALIBRATED	0.1371184	0.99395823	8.893765
1559442164296	TYPE_ACCELEROMETER	-0.06167324	1.0011435	9.710487
1559442164296	TYPE_MAGNETIC_FIELD	-22.97885	-17.336796	-36.15114
1559442164296	TYPE_GYROSCOPE	-0.055055186	-0.08108631	-0.078745864
1559442164296	TYPE_ROTATION_VECTOR	0.012942883	-0.014727785	-0.87572175
1559442164296	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-22.587334	-32.441437	-232.0568
1559442164296	TYPE_GYROSCOPE_UNCALIBRATED	-0.08365688	-0.04756742	-0.086000256
1559442164296	TYPE_ACCELEROMETER_UNCALIBRATED	-0.06167324	1.0011435	9.710487
1559442164317	TYPE_ACCELEROMETER	-0.01856178	1.017909	9.727253
1559442164317	TYPE_MAGNETIC_FIELD	-22.32084	-16.713505	-36.044327
1559442164317	TYPE_GYROSCOPE	0.014725108	-0.15406264	-0.06276564
1559442164317	TYPE_ROTATION_VECTOR	0.012886941	-0.017472504	-0.8746838
1559442164317	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-21.929325	-31.818146	-231.94998
1559442164317	TYPE_GYROSCOPE_UNCALIBRATED	-0.054892473	-0.08378926	-0.07854282
1559442164317	TYPE_ACCELEROMETER_UNCALIBRATED	-0.06167324	1.0011435	9.710487
1559442164337	TYPE_ACCELEROMETER	0.005389005	1.0921565	9.538041
1559442164337	TYPE_MAGNETIC_FIELD	-23.715986	-16.736486	-36.1922
1559442164337	TYPE_GYROSCOPE	0.06532914	-0.22224493	-0.061700303
1559442164337	TYPE_ROTATION_VECTOR	0.013014922	-0.019740324	-0.8738429
1559442164337	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-23.32447	-31.841127	-232.09785
1559442164337	TYPE_GYROSCOPE_UNCALIBRATED	0.014887823	-0.1567656	-0.0625626
1559442164337	TYPE_ACCELEROMETER_UNCALIBRATED	-0.01856178	1.017909	9.727253
1559442164357	TYPE_ACCELEROMETER	0.11795776	1.1999352	9.391942
1559442164357	TYPE_MAGNETIC_FIELD	-23.796297	-18.380371	-35.312027
1559442164357	TYPE_GYROSCOPE	0.04402218	-0.20360135	-0.061167624
1559442164357	TYPE_ROTATION_VECTOR	0.013061558	-0.022406723	-0.8729114
1559442164357	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-23.404781	-33.485012	-231.21768
1559442164357	TYPE_GYROSCOPE_UNCALIBRATED	0.065491855	-0.22494788	-0.06149726
1559442164357	TYPE_ACCELEROMETER_UNCALIBRATED	0.11795776	1.1999352	9.391942
1559442164377	TYPE_ACCELEROMETER	0.20418064	1.2693925	9.3632
1559442164377	TYPE_MAGNETIC_FIELD	-23.45667	-18.196781	-34.410156
1559442164377	TYPE_GYROSCOPE	-0.016702661	-0.12955964	-0.064363666
1559442164377	TYPE_ROTATION_VECTOR	0.012578463	-0.02560421	-0.8721344
1559442164377	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-23.065155	-33.301422	-230.31581
1559442164377	TYPE_GYROSCOPE_UNCALIBRATED	0.044184893	-0.2063043	-0.06096458
1559442164377	TYPE_ACCELEROMETER_UNCALIBRATED	0.20418064	1.2693925	9.3632
1559442164398	TYPE_ACCELEROMETER	0.1371184	1.3340596	9.49014
1559442164398	TYPE_MAGNETIC_FIELD	-24.354856	-17.483437	-35.06935
1559442164398	TYPE_GYROSCOPE	-0.072100766	-0.064040735	-0.056906234
1559442164398	TYPE_ROTATION_VECTOR	0.012202924	-0.028515529	-0.8712239
1559442164398	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-23.96334	-32.588078	-230.975
1559442164398	TYPE_GYROSCOPE_UNCALIBRATED	-0.016539946	-0.13226259	-0.06416062
1559442164398	TYPE_ACCELEROMETER_UNCALIBRATED	0.1371184	1.3340596	9.49014
1559442164418	TYPE_ACCELEROMETER	0.17543969	1.3939366	9.533251
1559442164418	TYPE_MAGNETIC_FIELD	-24.354856	-17.483437	-35.06935
1559442164418	TYPE_GYROSCOPE	-0.07689482	-0.03953773	-0.036131945
1559442164418	TYPE_ROTATION_VECTOR	0.011974895	-0.030823648	-0.8705466
1559442164418	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-23.96334	-32.588078	-230.975
1559442164418	TYPE_GYROSCOPE_UNCALIBRATED	-0.07193805	-0.06674369	-0.05670319
1559442164418	TYPE_ACCELEROMETER_UNCALIBRATED	0.17543969	1.3939366	9.533251
1559442164438	TYPE_ACCELEROMETER	0.30237892	1.4609989	9.437448
1559442164438	TYPE_MAGNETIC_FIELD	-23.940317	-18.258549	-35.167755
1559442164438	TYPE_GYROSCOPE	-0.052391827	-0.07575956	-0.030805206
1559442164438	TYPE_ROTATION_VECTOR	0.011869381	-0.03244996	-0.8699006
1559442164438	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-23.548801	-33.36319	-231.07341
1559442164438	TYPE_GYROSCOPE_UNCALIBRATED	-0.07673211	-0.04224068	-0.0359289
1559442164438	TYPE_ACCELEROMETER_UNCALIBRATED	0.30237892	1.4609989	9.437448
1559442164458	TYPE_ACCELEROMETER	0.37662643	1.4873447	9.408708
1559442164458	TYPE_MAGNETIC_FIELD	-24.285948	-18.71231	-35.592545
1559442164458	TYPE_GYROSCOPE	-0.043869033	-0.12849429	-0.038795315
1559442164458	TYPE_ROTATION_VECTOR	0.012185448	-0.03376083	-0.86890954
1559442164458	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-23.894432	-33.81695	-231.4982
1559442164458	TYPE_GYROSCOPE_UNCALIBRATED	-0.052229114	-0.07846251	-0.03060216
1559442164458	TYPE_ACCELEROMETER_UNCALIBRATED	0.37662643	1.4873447	9.408708
1559442164478	TYPE_ACCELEROMETER	0.3670461	1.4562088	9.478165
1559442164478	TYPE_MAGNETIC_FIELD	-25.140171	-17.308598	-36.14833
1559442164478	TYPE_GYROSCOPE	-0.05878391	-0.14340916	-0.05264484
1559442164478	TYPE_ROTATION_VECTOR	0.012243119	-0.03546695	-0.8679234
1559442164478	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-24.748655	-32.41324	-232.05399
1559442164478	TYPE_GYROSCOPE_UNCALIBRATED	-0.04370632	-0.13119724	-0.03859227
1559442164478	TYPE_ACCELEROMETER_UNCALIBRATED	0.3670461	1.4562088	9.478165
1559442164498	TYPE_ACCELEROMETER	0.34788543	1.3747759	9.724857
1559442164498	TYPE_MAGNETIC_FIELD	-25.489206	-17.764118	-36.725616
1559442164498	TYPE_GYROSCOPE	-0.09447308	-0.11144872	-0.051579498
1559442164498	TYPE_ROTATION_VECTOR	0.011659571	-0.03765559	-0.86717594
1559442164498	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-25.09769	-32.86876	-232.63127
1559442164498	TYPE_GYROSCOPE_UNCALIBRATED	-0.058621198	-0.14611211	-0.0524418
1559442164498	TYPE_ACCELEROMETER_UNCALIBRATED	0.34788543	1.3747759	9.724857
1559442164518	TYPE_ACCELEROMETER	0.28800845	1.3077137	10.007477
1559442164518	TYPE_MAGNETIC_FIELD	-23.346708	-18.336178	-36.07924
1559442164518	TYPE_GYROSCOPE	-0.12696618	-0.06350806	-0.05104682
1559442164518	TYPE_ROTATION_VECTOR	0.010758223	-0.0397508	-0.8666134
1559442164518	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-22.955193	-33.44082	-231.9849
1559442164518	TYPE_GYROSCOPE_UNCALIBRATED	-0.094310366	-0.11415167	-0.051376455
1559442164518	TYPE_ACCELEROMETER_UNCALIBRATED	0.28800845	1.3077137	10.007477
1559442164538	TYPE_ACCELEROMETER	0.304774	1.3628006	10.141601
1559442164538	TYPE_MAGNETIC_FIELD	-23.81413	-18.122501	-36.85646
1559442164538	TYPE_GYROSCOPE	-0.11418201	-0.032080296	-0.053710192
1559442164538	TYPE_ROTATION_VECTOR	0.009967736	-0.04112611	-0.86592734
1559442164538	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-23.422615	-33.227142	-232.76212
1559442164538	TYPE_GYROSCOPE_UNCALIBRATED	-0.12680346	-0.066211015	-0.050843775
1559442164538	TYPE_ACCELEROMETER_UNCALIBRATED	0.304774	1.3628006	10.141601
1559442164538	TYPE_WIFI	4291d00492758079d3444ae382de1200de6b231b	b0053365a6e73f33e0f1b3df3e66a2a0312a6854	-47	2427	1559442164129
1559442164538	TYPE_WIFI	4291d00492758079d3444ae382de1200de6b231b	864aea4791dbf9935fc376b4b3807a9f23fde67a	-51	2417	1559442164030
1559442164538	TYPE_WIFI	4291d00492758079d3444ae382de1200de6b231b	fca567f1ed3c58ace750943627f0bd91737753e1	-52	2442	1559442164262
1559442164538	TYPE_WIFI	4291d00492758079d3444ae382de1200de6b231b	831c307c892df69fbed75ed4245f7eeffeedb952	-59	2472	1559442164498
1559442164538	TYPE_WIFI	4291d00492758079d3444ae382de1200de6b231b	8718313dc54ba1e16ddf09d34092271fc9e6e728	-60	2422	1559442164087
1559442164538	TYPE_WIFI	89398d7be573a34b8ff837087a3436d4308b6a45	ff76907431a784b4a945c30fa766066abc4dbae8	-61	2457	1559442164391
1559442164538	TYPE_WIFI	39db40987727b4404daf02cef84642c6678851d3	aab72a47d762c2c62ee56f1765c499e17a4ff32d	-62	2462	1559442164403
1559442164538	TYPE_WIFI	4291d00492758079d3444ae382de1200de6b231b	d3eb059cfafdbb5a7334f898ddf317a0c1043993	-63	2467	1559442164466
