#	startTime:1559442597997
#	SiteID:5cd56c01e2acfd2d33b698ba	SiteName:黄金广场	FloorId:5cd56c02e2acfd2d33b699e2	FloorName:F3
#	Brand:Xiaomi	Model:MI 8	AndroidName:8.1.0	APILevel:27	
#	type:1	name:ICM20690_wakeup	version:257	vendor:qualcomm	resolution:0.0023938033	power:0.44	maximumRange:78.4532
#	type:4	name:ICM20690_wakeup	version:257	vendor:qualcomm	resolution:5.3265877E-4	power:2.9	maximumRange:17.452778
#	type:2	name:ak0991x_wakeup	version:10056	vendor:akm	resolution:0.15	power:1.1	maximumRange:4912.0
#	VersionName:v20190529-nightly	VersionCode:258	
1559442597997	TYPE_WAYPOINT	41.87723	34.991432
1559442598198	TYPE_ACCELEROMETER	0.905939	0.89576	10.158367
1559442598198	TYPE_MAGNETIC_FIELD	-19.963604	-17.103813	-33.122147
1559442598198	TYPE_GYROSCOPE	0.024313241	-0.08481502	0.0038186074
1559442598198	TYPE_ROTATION_VECTOR	-0.009852131	-0.040455986	-0.8913112
1559442598198	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-19.572088	-32.208454	-229.0278
1559442598198	TYPE_GYROSCOPE_UNCALIBRATED	0.024475956	-0.08751797	0.004021652
1559442598198	TYPE_ACCELEROMETER_UNCALIBRATED	0.905939	0.89576	10.158367
1559442598218	TYPE_ACCELEROMETER	0.79576534	0.91971076	10.177527
1559442598218	TYPE_MAGNETIC_FIELD	-19.007832	-17.119755	-31.749603
1559442598218	TYPE_GYROSCOPE	0.07065589	-0.09120711	-0.0206844
1559442598218	TYPE_ROTATION_VECTOR	-0.009852131	-0.040455986	-0.8913112
1559442598218	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-18.616316	-32.224396	-227.65526
1559442598218	TYPE_GYROSCOPE_UNCALIBRATED	0.024475956	-0.08751797	0.004021652
1559442598218	TYPE_ACCELEROMETER_UNCALIBRATED	0.79576534	0.91971076	10.177527
1559442598238	TYPE_ACCELEROMETER	0.67122126	0.92210585	10.10807
1559442598238	TYPE_MAGNETIC_FIELD	-19.792831	-17.612434	-30.949753
1559442598238	TYPE_GYROSCOPE	0.09356087	-0.01450205	-0.031870555
1559442598238	TYPE_ROTATION_VECTOR	-0.011799376	-0.043010544	-0.89155686
1559442598238	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-19.401316	-32.717075	-226.85541
1559442598238	TYPE_GYROSCOPE_UNCALIBRATED	0.09372358	-0.017205	-0.031667512
1559442598238	TYPE_ACCELEROMETER_UNCALIBRATED	0.67122126	0.92210585	10.10807
1559442598258	TYPE_ACCELEROMETER	0.7167278	1.0490451	9.875749
1559442598258	TYPE_MAGNETIC_FIELD	-18.801828	-15.740686	-33.221695
1559442598258	TYPE_GYROSCOPE	0.098354936	0.09895753	-0.026011141
1559442598258	TYPE_ROTATION_VECTOR	-0.013135947	-0.048073854	-0.89191025
1559442598258	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-18.410313	-30.845327	-229.12735
1559442598258	TYPE_GYROSCOPE_UNCALIBRATED	0.09851765	0.09625458	-0.025808096
1559442598258	TYPE_ACCELEROMETER_UNCALIBRATED	0.67122126	0.92210585	10.10807
1559442598278	TYPE_ACCELEROMETER	0.8795932	1.2047254	8.9704075
1559442598278	TYPE_MAGNETIC_FIELD	-19.699585	-18.428143	-31.502396
1559442598278	TYPE_GYROSCOPE	0.06905786	0.11866647	-0.046785425
1559442598278	TYPE_ROTATION_VECTOR	-0.013135947	-0.048073854	-0.89191025
1559442598278	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-19.30807	-33.532784	-227.40805
1559442598278	TYPE_GYROSCOPE_UNCALIBRATED	0.09851765	0.09625458	-0.025808096
1559442598278	TYPE_ACCELEROMETER_UNCALIBRATED	0.8795932	1.2047254	8.9704075
1559442598299	TYPE_ACCELEROMETER	0.4149477	1.2023302	9.602709
1559442598299	TYPE_MAGNETIC_FIELD	-20.881294	-18.40358	-29.059692
1559442598299	TYPE_GYROSCOPE	0.04402218	0.13997342	-0.045187406
1559442598299	TYPE_ROTATION_VECTOR	-0.011487759	-0.049212158	-0.89172786
1559442598299	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-20.489779	-33.50822	-224.96535
1559442598299	TYPE_GYROSCOPE_UNCALIBRATED	0.06922057	0.11596352	-0.046582382
1559442598299	TYPE_ACCELEROMETER_UNCALIBRATED	0.4149477	1.2023302	9.602709
1559442598319	TYPE_ACCELEROMETER	0.7167278	1.4250727	9.708092
1559442598319	TYPE_MAGNETIC_FIELD	-20.794363	-18.821938	-31.014114
1559442598319	TYPE_GYROSCOPE	0.08716878	0.16767247	-0.0073675476
1559442598319	TYPE_ROTATION_VECTOR	-0.009922204	-0.050560318	-0.89177144
1559442598319	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-20.402847	-33.92658	-226.91977
1559442598319	TYPE_GYROSCOPE_UNCALIBRATED	0.087331496	0.16496952	-0.007164503
1559442598319	TYPE_ACCELEROMETER_UNCALIBRATED	0.7167278	1.4250727	9.708092
1559442598339	TYPE_ACCELEROMETER	0.56583774	1.49453	9.082976
1559442598339	TYPE_MAGNETIC_FIELD	-21.157637	-16.952072	-31.604141
1559442598339	TYPE_GYROSCOPE	0.09782226	0.18098934	-0.028674511
1559442598339	TYPE_ROTATION_VECTOR	-0.0087811565	-0.05265952	-0.8916127
1559442598339	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-20.76612	-32.056713	-227.5098
1559442598339	TYPE_GYROSCOPE_UNCALIBRATED	0.09798497	0.17828639	-0.028471466
1559442598339	TYPE_ACCELEROMETER_UNCALIBRATED	0.56583774	1.49453	9.082976
1559442598360	TYPE_ACCELEROMETER	0.5179361	1.4466285	8.706948
1559442598360	TYPE_MAGNETIC_FIELD	-17.672873	-18.062592	-31.685516
1559442598360	TYPE_GYROSCOPE	-0.01883336	0.19590421	-0.038795315
1559442598360	TYPE_ROTATION_VECTOR	-0.0056097265	-0.053625546	-0.89087445
1559442598360	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-17.281357	-33.167233	-227.59117
1559442598360	TYPE_GYROSCOPE_UNCALIBRATED	0.09798497	0.17828639	-0.028471466
1559442598360	TYPE_ACCELEROMETER_UNCALIBRATED	0.5179361	1.4466285	8.706948
1559442598380	TYPE_ACCELEROMETER	0.5993689	1.6142839	9.006333
1559442598380	TYPE_MAGNETIC_FIELD	-19.80305	-17.61771	-31.407196
1559442598380	TYPE_GYROSCOPE	-0.16318804	0.18897943	-0.04998147
1559442598380	TYPE_ROTATION_VECTOR	-0.0031519178	-0.055632755	-0.89008904
1559442598380	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-19.411533	-32.72235	-227.31285
1559442598380	TYPE_GYROSCOPE_UNCALIBRATED	-0.018670645	0.19320126	-0.03859227
1559442598380	TYPE_ACCELEROMETER_UNCALIBRATED	0.5993689	1.6142839	9.006333
1559442598400	TYPE_ACCELEROMETER	0.45326895	1.5256661	9.643425
1559442598400	TYPE_MAGNETIC_FIELD	-19.943665	-17.49413	-31.110443
1559442598400	TYPE_GYROSCOPE	-0.20154056	0.13358134	-0.058504257
