#	startTime:1559442671595
#	SiteID:5cd56c01e2acfd2d33b698ba	SiteName:黄金广场	FloorId:5cd56c02e2acfd2d33b699e2	FloorName:F3
#	Brand:Xiaomi	Model:MI 8	AndroidName:8.1.0	APILevel:27	
#	type:1	name:ICM20690_wakeup	version:257	vendor:qualcomm	resolution:0.0023938033	power:0.44	maximumRange:78.4532
#	type:4	name:ICM20690_wakeup	version:257	vendor:qualcomm	resolution:5.3265877E-4	power:2.9	maximumRange:17.452778
#	type:2	name:ak0991x_wakeup	version:10056	vendor:akm	resolution:0.15	power:1.1	maximumRange:4912.0
#	VersionName:v20190529-nightly	VersionCode:258	
1559442671595	TYPE_WAYPOINT	41.87723	34.991432
1559442671804	TYPE_ACCELEROMETER	0.9777915	2.0238426	9.305719
1559442671804	TYPE_MAGNETIC_FIELD	15.081674	9.696585	-37.853485
1559442671804	TYPE_GYROSCOPE	-0.27398425	0.08617334	-0.048916124
1559442671804	TYPE_ROTATION_VECTOR	0.10825316	-0.010698606	0.4212738
1559442671804	TYPE_MAGNETIC_FIELD_UNCALIBRATED	15.473189	-5.4080567	-233.75914
1559442671804	TYPE_GYROSCOPE_UNCALIBRATED	-0.27382153	0.08347039	-0.04871308
1559442671804	TYPE_ACCELEROMETER_UNCALIBRATED	0.9777915	2.0238426	9.305719
1559442671825	TYPE_ACCELEROMETER	0.8891735	1.9759411	9.492536
1559442671825	TYPE_MAGNETIC_FIELD	14.913319	9.405235	-37.67978
1559442671825	TYPE_GYROSCOPE	-0.28517038	0.07232383	-0.034001246
1559442671825	TYPE_ROTATION_VECTOR	0.108859435	-0.010508309	0.41824582
1559442671825	TYPE_MAGNETIC_FIELD_UNCALIBRATED	15.304834	-5.699405	-233.58543
1559442671825	TYPE_GYROSCOPE_UNCALIBRATED	-0.28500766	0.06962088	-0.033798203
1559442671825	TYPE_ACCELEROMETER_UNCALIBRATED	0.8891735	1.9759411	9.492536
1559442671845	TYPE_ACCELEROMETER	0.8580375	1.9064837	9.356016
1559442671845	TYPE_MAGNETIC_FIELD	13.4610815	9.085716	-39.637802
1559442671845	TYPE_GYROSCOPE	-0.21006334	-0.0022505478	-0.03027253
