#	startTime:1559442926976
#	SiteID:5cd56c01e2acfd2d33b698ba	SiteName:黄金广场	FloorId:5cd56c02e2acfd2d33b69ae9	FloorName:F4
#	Brand:Xiaomi	Model:MI 8	AndroidName:8.1.0	APILevel:27	
#	type:1	name:ICM20690_wakeup	version:257	vendor:qualcomm	resolution:0.0023938033	power:0.44	maximumRange:78.4532
#	type:4	name:ICM20690_wakeup	version:257	vendor:qualcomm	resolution:5.3265877E-4	power:2.9	maximumRange:17.452778
#	type:2	name:ak0991x_wakeup	version:10056	vendor:akm	resolution:0.15	power:1.1	maximumRange:4912.0
#	VersionName:v20190529-nightly	VersionCode:258	
1559442926976	TYPE_WAYPOINT	37.322075	18.812624
1559442927181	TYPE_ACCELEROMETER	-0.2436993	1.2334664	10.206268
1559442927181	TYPE_MAGNETIC_FIELD	23.101154	4.641344	-31.559814
1559442927181	TYPE_GYROSCOPE	0.4786842	0.030775243	0.23180312
1559442927181	TYPE_ROTATION_VECTOR	0.01907579	0.033539087	0.5815506
1559442927181	TYPE_MAGNETIC_FIELD_UNCALIBRATED	23.49267	-10.463297	-227.46547
1559442927181	TYPE_GYROSCOPE_UNCALIBRATED	0.28495356	-0.046502076	0.15423574
1559442927181	TYPE_ACCELEROMETER_UNCALIBRATED	-0.2436993	1.2334664	10.206268
1559442927201	TYPE_ACCELEROMETER	1.9741448	2.2920916	7.777658
1559442927201	TYPE_MAGNETIC_FIELD	22.949516	5.026305	-32.502533
1559442927201	TYPE_GYROSCOPE	0.4850763	0.099490196	0.28613582
1559442927201	TYPE_ROTATION_VECTOR	0.02380362	0.038700834	0.5805799
1559442927201	TYPE_MAGNETIC_FIELD_UNCALIBRATED	23.341032	-10.078336	-228.40819
1559442927201	TYPE_GYROSCOPE_UNCALIBRATED	0.48523903	0.096787244	0.28633887
1559442927201	TYPE_ACCELEROMETER_UNCALIBRATED	1.9741448	2.2920916	7.777658
1559442927221	TYPE_ACCELEROMETER	1.0304832	2.2992768	9.111717
1559442927221	TYPE_MAGNETIC_FIELD	24.113518	3.5237045	-31.635178
1559442927221	TYPE_GYROSCOPE	0.20169368	-0.058714	0.037377074
1559442927221	TYPE_ROTATION_VECTOR	0.02380362	0.038700834	0.5805799
1559442927221	TYPE_MAGNETIC_FIELD_UNCALIBRATED	24.505033	-11.580936	-227.54083
1559442927221	TYPE_GYROSCOPE_UNCALIBRATED	0.48523903	0.096787244	0.28633887
1559442927221	TYPE_ACCELEROMETER_UNCALIBRATED	1.0304832	2.2992768	9.111717
1559442927241	TYPE_ACCELEROMETER	0.15627904	1.5400366	9.779944
1559442927241	TYPE_MAGNETIC_FIELD	21.57963	2.4165573	-31.398178
1559442927241	TYPE_GYROSCOPE	0.0189865	0.0542129	-0.063830994
1559442927241	TYPE_ROTATION_VECTOR	0.02978116	0.04259564	0.5805831
1559442927241	TYPE_MAGNETIC_FIELD_UNCALIBRATED	21.971146	-12.688084	-227.30383
1559442927241	TYPE_GYROSCOPE_UNCALIBRATED	0.019149216	0.051509954	-0.06362795
1559442927241	TYPE_ACCELEROMETER_UNCALIBRATED	1.0304832	2.2992768	9.111717
1559442927261	TYPE_ACCELEROMETER	-0.21256329	1.585543	10.170342
