#	startTime:1559444425445
#	SiteID:5cd56c01e2acfd2d33b698ba	SiteName:黄金广场	FloorId:5cd56c03e2acfd2d33b69c1e	FloorName:F5
#	Brand:Xiaomi	Model:MI 8	AndroidName:8.1.0	APILevel:27	
#	type:1	name:ICM20690_wakeup	version:257	vendor:qualcomm	resolution:0.0023938033	power:0.44	maximumRange:78.4532
#	type:4	name:ICM20690_wakeup	version:257	vendor:qualcomm	resolution:5.3265877E-4	power:2.9	maximumRange:17.452778
#	type:2	name:ak0991x_wakeup	version:10056	vendor:akm	resolution:0.15	power:1.1	maximumRange:4912.0
#	VersionName:v20190529-nightly	VersionCode:258	
1559444425446	TYPE_WAYPOINT	15.138123	12.9627285
1559444425709	TYPE_ACCELEROMETER	5.9884787E-4	0.7281044	9.212311
1559444425709	TYPE_MAGNETIC_FIELD	-26.51581	7.3904443	-42.31082
1559444425709	TYPE_GYROSCOPE	0.15108967	0.0052068904	0.03844242
1559444425709	TYPE_ROTATION_VECTOR	0.009083746	-0.0011233762	-0.57772267
1559444425709	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-26.621523	-6.826575	-240.127
1559444425709	TYPE_GYROSCOPE_UNCALIBRATED	0.15125239	0.0025039408	0.038645465
1559444425709	TYPE_ACCELEROMETER_UNCALIBRATED	5.9884787E-4	0.7281044	9.212311
1559444425729	TYPE_ACCELEROMETER	-0.07604371	0.86701906	9.006333
1559444425729	TYPE_MAGNETIC_FIELD	-26.405844	7.251046	-43.979904
1559444425729	TYPE_GYROSCOPE	0.17612532	-0.0443318	0.045899857
1559444425729	TYPE_ROTATION_VECTOR	0.009083746	-0.0011233762	-0.57772267
1559444425729	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-26.511557	-6.965973	-241.79608
1559444425729	TYPE_GYROSCOPE_UNCALIBRATED	0.15125239	0.0025039408	0.038645465
1559444425729	TYPE_ACCELEROMETER_UNCALIBRATED	5.9884787E-4	0.7281044	9.212311
1559444425749	TYPE_ACCELEROMETER	-0.05448799	0.9987484	8.982383
1559444425749	TYPE_MAGNETIC_FIELD	-27.17301	6.500497	-41.635605
1559444425749	TYPE_GYROSCOPE	0.17292929	-0.09440316	0.07040287
1559444425749	TYPE_ROTATION_VECTOR	0.01442852	-0.0073297513	-0.57169354
1559444425749	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-27.278723	-7.716522	-239.45178
1559444425749	TYPE_GYROSCOPE_UNCALIBRATED	0.17309201	-0.097106114	0.07060591
1559444425749	TYPE_ACCELEROMETER_UNCALIBRATED	-0.05448799	0.9987484	8.982383
1559444425769	TYPE_ACCELEROMETER	0.043710284	1.0825763	9.090161
1559444425769	TYPE_MAGNETIC_FIELD	-26.30238	6.440612	-44.075104
1559444425769	TYPE_GYROSCOPE	0.13404408	-0.15139928	0.09117716
1559444425769	TYPE_ROTATION_VECTOR	0.01442852	-0.0073297513	-0.57169354
1559444425769	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-26.408092	-7.7764072	-241.89128
1559444425769	TYPE_GYROSCOPE_UNCALIBRATED	0.17309201	-0.097106114	0.07060591
1559444425769	TYPE_ACCELEROMETER_UNCALIBRATED	-0.05448799	0.9987484	8.982383
1559444425790	TYPE_ACCELEROMETER	0.14669873	1.1831697	9.367991
1559444425790	TYPE_MAGNETIC_FIELD	-27.276787	7.978451	-43.41925
1559444425790	TYPE_GYROSCOPE	0.06905786	-0.18069635	0.09277518
1559444425790	TYPE_ROTATION_VECTOR	0.01780318	-0.0104481755	-0.5685583
1559444425790	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-27.3825	-6.2385683	-241.23543
1559444425790	TYPE_GYROSCOPE_UNCALIBRATED	0.1342068	-0.15410224	0.0913802
1559444425790	TYPE_ACCELEROMETER_UNCALIBRATED	0.043710284	1.0825763	9.090161
1559444425810	TYPE_ACCELEROMETER	0.14190857	1.221491	9.629055
1559444425810	TYPE_MAGNETIC_FIELD	-27.96724	6.804269	-43.486816
1559444425810	TYPE_GYROSCOPE	0.025378589	-0.19987263	0.07040287
1559444425810	TYPE_ROTATION_VECTOR	0.020564532	-0.013833636	-0.56511
1559444425810	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-28.072952	-7.4127502	-241.303
1559444425810	TYPE_GYROSCOPE_UNCALIBRATED	0.06922057	-0.1833993	0.092978224
1559444425810	TYPE_ACCELEROMETER_UNCALIBRATED	0.14190857	1.221491	9.629055
1559444425831	TYPE_ACCELEROMETER	-0.020956874	1.1927499	9.49014
1559444425831	TYPE_MAGNETIC_FIELD	-25.584991	8.296377	-44.666534
1559444425831	TYPE_GYROSCOPE	0.0189865	-0.21798353	0.05016125
1559444425831	TYPE_ROTATION_VECTOR	0.022325724	-0.017245667	-0.5614422
1559444425831	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-25.690704	-5.920642	-242.48271
1559444425831	TYPE_GYROSCOPE_UNCALIBRATED	0.025541304	-0.20257558	0.07060591
1559444425831	TYPE_ACCELEROMETER_UNCALIBRATED	0.14190857	1.221491	9.629055
1559444425851	TYPE_ACCELEROMETER	-0.08801912	1.1520336	9.358411
1559444425851	TYPE_MAGNETIC_FIELD	-26.504786	7.1290607	-41.07135
1559444425851	TYPE_GYROSCOPE	0.013127086	-0.22064692	0.06081473
1559444425851	TYPE_ROTATION_VECTOR	0.023429047	-0.02072276	-0.5582255
1559444425851	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-26.610498	-7.0879583	-238.88753
