#	startTime:1559448879676
#	SiteID:5cd56c01e2acfd2d33b698ba	SiteName:黄金广场	FloorId:5cd56c03e2acfd2d33b69ced	FloorName:F6
#	Brand:Xiaomi	Model:MI 8	AndroidName:8.1.0	APILevel:27	
#	type:1	name:ICM20690_wakeup	version:257	vendor:qualcomm	resolution:0.0023938033	power:0.44	maximumRange:78.4532
#	type:4	name:ICM20690_wakeup	version:257	vendor:qualcomm	resolution:5.3265877E-4	power:2.9	maximumRange:17.452778
#	type:2	name:ak0991x_wakeup	version:10056	vendor:akm	resolution:0.15	power:1.1	maximumRange:4912.0
#	VersionName:v20190529-nightly	VersionCode:258	
1559448879676	TYPE_WAYPOINT	31.098637	33.229538
1559448879893	TYPE_ACCELEROMETER	1.0903603	0.43111444	13.1617985
1559448879893	TYPE_MAGNETIC_FIELD	-30.750078	8.509448	-36.033813
1559448879893	TYPE_GYROSCOPE	-0.46414888	-0.49976814	0.0038186074
1559448879893	TYPE_ROTATION_VECTOR	0.042275496	-0.06594834	-0.50643575
1559448879893	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-31.649221	-7.755744	-234.2504
1559448879893	TYPE_GYROSCOPE_UNCALIBRATED	-0.46398616	-0.5024711	0.004021652
1559448879893	TYPE_ACCELEROMETER_UNCALIBRATED	1.0903603	0.43111444	13.1617985
1559448879913	TYPE_ACCELEROMETER	1.4615978	0.0694574	13.013302
1559448879913	TYPE_MAGNETIC_FIELD	-31.350502	8.583561	-35.427307
1559448879913	TYPE_GYROSCOPE	-0.42366564	-0.58286524	-0.005236852
1559448879913	TYPE_ROTATION_VECTOR	0.0311531	-0.06475958	-0.5121691
1559448879913	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-32.249645	-7.6816316	-233.64389
1559448879913	TYPE_GYROSCOPE_UNCALIBRATED	-0.42350292	-0.5855682	-0.0050338074
1559448879913	TYPE_ACCELEROMETER_UNCALIBRATED	1.4615978	0.0694574	13.013302
1559448879933	TYPE_ACCELEROMETER	1.7777482	-0.22513743	12.840857
1559448879933	TYPE_MAGNETIC_FIELD	-31.477493	8.7141695	-34.52063
1559448879933	TYPE_GYROSCOPE	-0.3666695	-0.54770875	-0.013226965
1559448879933	TYPE_ROTATION_VECTOR	0.019953128	-0.06457892	-0.5177953
1559448879933	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-32.376637	-7.5510225	-232.73721
1559448879933	TYPE_GYROSCOPE_UNCALIBRATED	-0.3665068	-0.5504117	-0.01302392
1559448879933	TYPE_ACCELEROMETER_UNCALIBRATED	1.7777482	-0.22513743	12.840857
1559448879953	TYPE_ACCELEROMETER	1.4735731	-0.29459476	11.772652
1559448879953	TYPE_MAGNETIC_FIELD	-33.00855	8.950732	-34.534042
1559448879953	TYPE_GYROSCOPE	-0.2526773	-0.21372215	-0.074484475
1559448879953	TYPE_ROTATION_VECTOR	0.019953128	-0.06457892	-0.5177953
1559448879953	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-33.907692	-7.31446	-232.75063
1559448879953	TYPE_GYROSCOPE_UNCALIBRATED	-0.25251457	-0.2164251	-0.07428143
1559448879953	TYPE_ACCELEROMETER_UNCALIBRATED	1.7777482	-0.22513743	12.840857
1559448879973	TYPE_ACCELEROMETER	1.0161128	-0.36165702	9.847007
1559448879973	TYPE_MAGNETIC_FIELD	-31.757427	9.095532	-34.241898
1559448879973	TYPE_GYROSCOPE	-0.075829476	0.38553613	-0.10857562
1559448879973	TYPE_ROTATION_VECTOR	0.00890701	-0.06532318	-0.52271515
1559448879973	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-32.65657	-7.1696596	-232.45848
1559448879973	TYPE_GYROSCOPE_UNCALIBRATED	-0.07566676	0.38283318	-0.10837258
1559448879973	TYPE_ACCELEROMETER_UNCALIBRATED	1.0161128	-0.36165702	9.847007
1559448879993	TYPE_ACCELEROMETER	1.0089275	-0.16286536	8.539293
1559448879993	TYPE_MAGNETIC_FIELD	-34.611115	10.147757	-33.39473
1559448879993	TYPE_GYROSCOPE	0.07598262	0.7498852	-0.08460528
1559448879993	TYPE_ROTATION_VECTOR	-0.0023422819	-0.059688535	-0.5318412
1559448879993	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-35.510258	-6.117435	-231.61131
