#	startTime:1559714239303
#	SiteID:5cd56ba1e2acfd2d33b603af	SiteName:新天地时尚	FloorId:5cd56ba3e2acfd2d33b6074a	FloorName:B2
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190529-nightly	VersionCode:258	
1559714239308	TYPE_WAYPOINT	70.239555	28.652342
1559714239497	TYPE_ACCELEROMETER	-0.117248535	1.5840454	9.710068
1559714239497	TYPE_MAGNETIC_FIELD	24.539999	-33.0	-19.56
1559714239497	TYPE_GYROSCOPE	0.042236328	0.103302	0.012573242
1559714239497	TYPE_ROTATION_VECTOR	0.015129896	0.071646765	0.9426102
1559714239497	TYPE_MAGNETIC_FIELD_UNCALIBRATED	44.879997	-80.520004	-166.2
1559714239497	TYPE_GYROSCOPE_UNCALIBRATED	0.0036773682	0.13623047	-0.062927246
1559714239497	TYPE_ACCELEROMETER_UNCALIBRATED	-0.1986084	1.475174	10.069
1559714239507	TYPE_ACCELEROMETER	-0.110076904	1.5984039	9.676575
1559714239507	TYPE_MAGNETIC_FIELD	24.48	-32.88	-19.5
1559714239507	TYPE_GYROSCOPE	0.030029297	0.07519531	0.0040130615
1559714239507	TYPE_ROTATION_VECTOR	0.02018726	0.07704382	0.93865716
1559714239507	TYPE_MAGNETIC_FIELD_UNCALIBRATED	44.82	-80.4	-166.14
1559714239507	TYPE_GYROSCOPE_UNCALIBRATED	0.0317688	0.1325531	-0.070251465
1559714239507	TYPE_ACCELEROMETER_UNCALIBRATED	-0.1375885	1.5613251	9.778275
1559714239517	TYPE_ACCELEROMETER	-0.100494385	1.6223297	9.717255
1559714239517	TYPE_MAGNETIC_FIELD	24.48	-32.88	-19.5
1559714239517	TYPE_GYROSCOPE	-5.187988E-4	0.03366089	-0.0069885254
1559714239517	TYPE_ROTATION_VECTOR	0.02018726	0.07704382	0.93865716
1559714239517	TYPE_MAGNETIC_FIELD_UNCALIBRATED	44.82	-80.4	-166.14
1559714239517	TYPE_GYROSCOPE_UNCALIBRATED	0.0317688	0.1325531	-0.070251465
1559714239517	TYPE_ACCELEROMETER_UNCALIBRATED	-0.1375885	1.5613251	9.778275
1559714239527	TYPE_ACCELEROMETER	-0.124420166	1.6414795	9.832108
1559714239527	TYPE_MAGNETIC_FIELD	24.359999	-33.12	-19.5
1559714239527	TYPE_GYROSCOPE	-0.038375854	-0.0017547607	-0.017974854
1559714239527	TYPE_ROTATION_VECTOR	0.021861961	0.07968044	0.9446636
1559714239527	TYPE_MAGNETIC_FIELD_UNCALIBRATED	44.699997	-80.64	-166.14
1559714239527	TYPE_GYROSCOPE_UNCALIBRATED	-0.02381897	0.059265137	-0.09101868
1559714239527	TYPE_ACCELEROMETER_UNCALIBRATED	-0.105285645	1.6103668	9.696915
1559714239537	TYPE_ACCELEROMETER	-0.1603241	1.6845398	9.932602
1559714239537	TYPE_MAGNETIC_FIELD	24.359999	-33.12	-19.5
1559714239537	TYPE_GYROSCOPE	-0.06526184	-0.027435303	-0.030197144
