#	startTime:1559714283375
#	SiteID:5cd56ba1e2acfd2d33b603af	SiteName:新天地时尚	FloorId:5cd56ba3e2acfd2d33b6074a	FloorName:B2
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190529-nightly	VersionCode:258	
1559714283376	TYPE_WAYPOINT	57.33973	8.03827
1559714283449	TYPE_ACCELEROMETER	0.27038574	2.239685	8.341385
1559714283449	TYPE_MAGNETIC_FIELD	17.52	11.04	-21.9
1559714283449	TYPE_GYROSCOPE	0.5028229	0.13871765	0.12495422
1559714283449	TYPE_ROTATION_VECTOR	0.0	0.0	0.0
1559714283449	TYPE_MAGNETIC_FIELD_UNCALIBRATED	0.0	0.0	0.0
1559714283449	TYPE_GYROSCOPE_UNCALIBRATED	-0.17346191	0.28833008	-0.40316772
1559714283449	TYPE_ACCELEROMETER_UNCALIBRATED	2.5280304	3.049652	8.679962
1559714283459	TYPE_ACCELEROMETER	0.29193115	2.2755737	8.1427765
1559714283459	TYPE_MAGNETIC_FIELD	16.02	15.12	-21.96
1559714283459	TYPE_GYROSCOPE	0.40263367	0.08253479	0.085861206
1559714283459	TYPE_ROTATION_VECTOR	0.09810578	-0.03363942	-0.29051223
1559714283459	TYPE_MAGNETIC_FIELD_UNCALIBRATED	36.36	-32.4	-168.6
1559714283459	TYPE_GYROSCOPE_UNCALIBRATED	-0.17346191	0.28833008	-0.40316772
1559714283459	TYPE_ACCELEROMETER_UNCALIBRATED	0.010772705	2.218155	9.394226
1559714283469	TYPE_ACCELEROMETER	0.27038574	2.2899323	8.295914
1559714283469	TYPE_MAGNETIC_FIELD	16.02	15.12	-21.96
1559714283469	TYPE_GYROSCOPE	0.23039246	0.019012451	0.04310608
1559714283469	TYPE_ROTATION_VECTOR	0.09810578	-0.03363942	-0.29051223
1559714283469	TYPE_MAGNETIC_FIELD_UNCALIBRATED	36.36	-32.4	-168.6
1559714283469	TYPE_GYROSCOPE_UNCALIBRATED	0.44836426	0.15393066	0.026870728
1559714283469	TYPE_ACCELEROMETER_UNCALIBRATED	0.28115845	2.2576294	8.242081
1559714283479	TYPE_ACCELEROMETER	0.124420166	2.2994995	8.726624
1559714283479	TYPE_MAGNETIC_FIELD	-17.88	19.38	-18.96
1559714283479	TYPE_GYROSCOPE	0.037353516	-0.048187256	-8.69751E-4
1559714283479	TYPE_ROTATION_VECTOR	0.121611536	-0.054955874	-0.2967459
1559714283479	TYPE_MAGNETIC_FIELD_UNCALIBRATED	2.460001	-28.140001	-165.6
1559714283479	TYPE_GYROSCOPE_UNCALIBRATED	0.1295166	0.028717041	-0.057418823
1559714283479	TYPE_ACCELEROMETER_UNCALIBRATED	0.28115845	2.2576294	8.242081
1559714283489	TYPE_ACCELEROMETER	-0.04547119	2.2707825	9.257828
1559714283489	TYPE_MAGNETIC_FIELD	-17.88	19.38	-18.96
1559714283489	TYPE_GYROSCOPE	-0.12512207	-0.108047485	-0.04486084
1559714283489	TYPE_ROTATION_VECTOR	0.121611536	-0.054955874	-0.2967459
1559714283489	TYPE_MAGNETIC_FIELD_UNCALIBRATED	2.460001	-28.140001	-165.6
1559714283489	TYPE_GYROSCOPE_UNCALIBRATED	0.1295166	0.028717041	-0.057418823
1559714283489	TYPE_ACCELEROMETER_UNCALIBRATED	0.19740295	2.2947235	8.511276
