#	startTime:1559714454210
#	SiteID:5cd56ba1e2acfd2d33b603af	SiteName:新天地时尚	FloorId:5cd56ba3e2acfd2d33b6074a	FloorName:B2
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190529-nightly	VersionCode:258	
1559714454212	TYPE_WAYPOINT	70.239555	28.652342
1559714454368	TYPE_ACCELEROMETER	0.702301	3.0341034	9.937393
1559714454368	TYPE_MAGNETIC_FIELD	-38.579998	11.28	-19.08
1559714454368	TYPE_GYROSCOPE	-0.081451416	0.09780884	0.03515625
1559714454368	TYPE_ROTATION_VECTOR	0.109347835	-0.101210445	-0.5353802
1559714454368	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-18.239998	-36.24	-165.72
1559714454368	TYPE_GYROSCOPE_UNCALIBRATED	-0.061065674	0.1979065	-0.11117554
1559714454368	TYPE_ACCELEROMETER_UNCALIBRATED	0.702301	3.0341034	9.937393
1559714454388	TYPE_ACCELEROMETER	0.7848511	3.0436707	9.8476715
1559714454388	TYPE_MAGNETIC_FIELD	-38.28	11.28	-18.96
1559714454388	TYPE_GYROSCOPE	-0.15994263	-0.07444763	0.2171936
1559714454388	TYPE_ROTATION_VECTOR	0.104837775	-0.11153052	-0.53007084
1559714454388	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-17.939999	-36.24	-165.6
1559714454388	TYPE_GYROSCOPE_UNCALIBRATED	-0.15942383	-0.026260376	0.09954834
1559714454388	TYPE_ACCELEROMETER_UNCALIBRATED	0.7848511	3.0436707	9.8476715
1559714454408	TYPE_ACCELEROMETER	0.6257324	3.1262207	9.988846
1559714454408	TYPE_MAGNETIC_FIELD	-37.86	11.219999	-19.08
1559714454408	TYPE_GYROSCOPE	-0.123291016	-0.046966553	0.14694214
1559714454408	TYPE_ROTATION_VECTOR	0.10804817	-0.10955404	-0.52670413
1559714454408	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-17.52	-36.300003	-165.72
1559714454408	TYPE_GYROSCOPE_UNCALIBRATED	-0.070236206	0.039093018	0.046417236
1559714454408	TYPE_ACCELEROMETER_UNCALIBRATED	0.6257324	3.1262207	9.988846
1559714454427	TYPE_ACCELEROMETER	0.38763428	3.220749	10.013962
1559714454427	TYPE_MAGNETIC_FIELD	-37.38	11.219999	-19.14
1559714454427	TYPE_GYROSCOPE	0.011703491	0.052597046	0.11517334
1559714454427	TYPE_ROTATION_VECTOR	0.11645282	-0.10054427	-0.5241867
1559714454427	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-17.04	-36.300003	-165.78
1559714454427	TYPE_GYROSCOPE_UNCALIBRATED	-0.070236206	0.039093018	0.046417236
1559714454427	TYPE_ACCELEROMETER_UNCALIBRATED	0.38763428	3.220749	10.013962
1559714454447	TYPE_ACCELEROMETER	0.2907257	3.2602234	9.696915
1559714454447	TYPE_MAGNETIC_FIELD	-36.84	11.099999	-19.199999
1559714454447	TYPE_GYROSCOPE	0.17112732	0.15768433	0.13594055
1559714454447	TYPE_ROTATION_VECTOR	0.12575863	-0.096468434	-0.5261883
1559714454447	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-16.5	-36.420002	-165.84
1559714454447	TYPE_GYROSCOPE_UNCALIBRATED	0.09162903	0.15211487	0.041519165
1559714454447	TYPE_ACCELEROMETER_UNCALIBRATED	0.2907257	3.2602234	9.696915
1559714454467	TYPE_ACCELEROMETER	0.37806702	3.2614136	9.224335
1559714454467	TYPE_MAGNETIC_FIELD	-36.48	11.34	-19.08
1559714454467	TYPE_GYROSCOPE	0.24382019	0.23342896	0.17871094
