#	startTime:1559714388069
#	SiteID:5cd56ba1e2acfd2d33b603af	SiteName:新天地时尚	FloorId:5cd56ba3e2acfd2d33b6074a	FloorName:B2
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190529-nightly	VersionCode:258	
1559714388070	TYPE_WAYPOINT	80.725044	39.039566
1559714388232	TYPE_ACCELEROMETER	-0.9009094	2.719452	9.682556
1559714388232	TYPE_MAGNETIC_FIELD	21.119999	-32.579998	-17.279999
1559714388232	TYPE_GYROSCOPE	0.23435974	0.22271729	0.009506226
1559714388232	TYPE_ROTATION_VECTOR	0.007957063	0.13775589	0.9436466
1559714388232	TYPE_MAGNETIC_FIELD_UNCALIBRATED	41.46	-80.1	-163.92
1559714388232	TYPE_GYROSCOPE_UNCALIBRATED	0.035125732	0.15545654	0.029922485
1559714388232	TYPE_ACCELEROMETER_UNCALIBRATED	-0.87338257	2.6979065	9.670593
1559714388252	TYPE_ACCELEROMETER	-0.79441833	2.7397919	9.754349
1559714388252	TYPE_MAGNETIC_FIELD	21.18	-32.82	-16.8
1559714388252	TYPE_GYROSCOPE	0.3647766	0.37269592	-0.0051574707
1559714388252	TYPE_ROTATION_VECTOR	7.957223E-6	0.14154027	0.94508445
1559714388252	TYPE_MAGNETIC_FIELD_UNCALIBRATED	41.52	-80.34	-163.44
1559714388252	TYPE_GYROSCOPE_UNCALIBRATED	0.33720398	0.35246277	-0.106903076
1559714388252	TYPE_ACCELEROMETER_UNCALIBRATED	-0.85066223	2.732605	9.712479
1559714388272	TYPE_ACCELEROMETER	-0.7788696	2.7373962	9.57489
1559714388272	TYPE_MAGNETIC_FIELD	21.48	-33.12	-16.56
1559714388272	TYPE_GYROSCOPE	0.42219543	0.40751648	0.037612915
1559714388272	TYPE_ROTATION_VECTOR	7.957644E-9	0.14234939	0.93982583
1559714388272	TYPE_MAGNETIC_FIELD_UNCALIBRATED	41.82	-80.64	-163.2
1559714388272	TYPE_GYROSCOPE_UNCALIBRATED	0.39035034	0.46058655	-0.061080933
1559714388272	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7992096	2.748169	9.73999
1559714388291	TYPE_ACCELEROMETER	-0.5431824	2.8163605	9.012573
1559714388291	TYPE_MAGNETIC_FIELD	21.539999	-33.36	-16.14
1559714388291	TYPE_GYROSCOPE	0.38920593	0.27252197	0.044921875
1559714388291	TYPE_ROTATION_VECTOR	3.8675225E-4	0.14148377	0.94391155
1559714388291	TYPE_MAGNETIC_FIELD_UNCALIBRATED	41.879997	-80.880005	-162.78
1559714388291	TYPE_GYROSCOPE_UNCALIBRATED	0.42149353	0.3909607	-0.028717041
1559714388291	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6628113	2.7589264	9.293732
1559714388311	TYPE_ACCELEROMETER	-0.55274963	2.8785706	8.846268
1559714388311	TYPE_MAGNETIC_FIELD	21.72	-33.42	-15.839999
1559714388311	TYPE_GYROSCOPE	0.2273407	0.14179993	0.002166748
1559714388311	TYPE_ROTATION_VECTOR	0.013729092	0.14675559	0.93698007
1559714388311	TYPE_MAGNETIC_FIELD_UNCALIBRATED	42.059998	-80.94	-162.48
1559714388311	TYPE_GYROSCOPE_UNCALIBRATED	0.3115387	0.24435425	-0.054382324
1559714388311	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5084839	2.8546448	8.8450775
1559714388331	TYPE_ACCELEROMETER	-0.6233368	2.9527435	9.198013
1559714388331	TYPE_MAGNETIC_FIELD	21.779999	-33.78	-15.599999
1559714388331	TYPE_GYROSCOPE	0.081344604	0.09353638	0.0040130615
1559714388331	TYPE_ROTATION_VECTOR	0.02105346	0.15557475	0.93969166
1559714388331	TYPE_MAGNETIC_FIELD_UNCALIBRATED	42.12	-81.3	-162.24
1559714388331	TYPE_GYROSCOPE_UNCALIBRATED	0.3115387	0.24435425	-0.054382324
1559714388331	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6149597	2.9144592	8.982666
1559714388350	TYPE_ACCELEROMETER	-0.49172974	2.8869476	9.619156
1559714388350	TYPE_MAGNETIC_FIELD	22.02	-34.2	-15.24
1559714388350	TYPE_GYROSCOPE	0.0025482178	0.092926025	0.038223267
1559714388350	TYPE_ROTATION_VECTOR	0.01535814	0.1587895	0.94077677
1559714388350	TYPE_MAGNETIC_FIELD_UNCALIBRATED	42.36	-81.72	-161.88
1559714388350	TYPE_GYROSCOPE_UNCALIBRATED	0.14172363	0.14967346	-0.08430481
1559714388350	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5695038	2.9443665	9.418152
1559714388370	TYPE_ACCELEROMETER	-0.26081848	2.7972107	9.98764
1559714388370	TYPE_MAGNETIC_FIELD	22.08	-34.559998	-14.7
1559714388370	TYPE_GYROSCOPE	-0.01272583	0.08192444	0.03944397
1559714388370	TYPE_ROTATION_VECTOR	0.014735238	0.1598221	0.94067526
1559714388370	TYPE_MAGNETIC_FIELD_UNCALIBRATED	42.42	-82.08	-161.34
1559714388370	TYPE_GYROSCOPE_UNCALIBRATED	0.029327393	0.1349945	-0.05558777
1559714388370	TYPE_ACCELEROMETER_UNCALIBRATED	-0.38883972	2.8283234	9.806992
1559714388390	TYPE_ACCELEROMETER	-0.029922485	2.7350006	10.266418
1559714388390	TYPE_MAGNETIC_FIELD	22.14	-34.38	-14.28
1559714388390	TYPE_GYROSCOPE	0.03552246	0.061767578	0.016830444
1559714388390	TYPE_ROTATION_VECTOR	0.013945927	0.1601158	0.94079524
1559714388390	TYPE_MAGNETIC_FIELD_UNCALIBRATED	42.48	-81.9	-160.92
1559714388390	TYPE_GYROSCOPE_UNCALIBRATED	-0.017089844	0.13439941	-0.03543091
1559714388390	TYPE_ACCELEROMETER_UNCALIBRATED	-0.1375885	2.7744904	10.152756
1559714388409	TYPE_ACCELEROMETER	0.105285645	2.6907349	10.218552
1559714388409	TYPE_MAGNETIC_FIELD	22.02	-34.2	-14.34
1559714388409	TYPE_GYROSCOPE	0.1503601	0.057495117	-0.014923096
1559714388409	TYPE_ROTATION_VECTOR	0.013213753	0.16023299	0.9409417
1559714388409	TYPE_MAGNETIC_FIELD_UNCALIBRATED	42.36	-81.72	-160.98
1559714388409	TYPE_GYROSCOPE_UNCALIBRATED	-0.0012207031	0.11300659	-0.04826355
1559714388409	TYPE_ACCELEROMETER_UNCALIBRATED	0.0382843	2.6979065	10.29274
1559714388429	TYPE_ACCELEROMETER	0.33738708	2.7397919	9.814163
1559714388429	TYPE_MAGNETIC_FIELD	21.779999	-34.02	-14.16
1559714388429	TYPE_GYROSCOPE	0.2780304	0.031829834	-0.043640137
1559714388429	TYPE_ROTATION_VECTOR	0.01277232	0.16073604	0.94094396
1559714388429	TYPE_MAGNETIC_FIELD_UNCALIBRATED	42.12	-81.54	-160.8
1559714388429	TYPE_GYROSCOPE_UNCALIBRATED	0.0818634	0.10324097	-0.078201294
1559714388429	TYPE_ACCELEROMETER_UNCALIBRATED	0.21775818	2.7062836	10.058228
1559714388449	TYPE_ACCELEROMETER	0.5539398	2.9168549	9.105896
1559714388449	TYPE_MAGNETIC_FIELD	21.84	-33.96	-14.34
1559714388449	TYPE_GYROSCOPE	0.3659973	0.03060913	-0.078445435
1559714388449	TYPE_ROTATION_VECTOR	0.012655518	0.16228709	0.94067085
1559714388449	TYPE_MAGNETIC_FIELD_UNCALIBRATED	42.18	-81.479996	-160.98
1559714388449	TYPE_GYROSCOPE_UNCALIBRATED	0.3262024	0.06964111	-0.14050293
1559714388449	TYPE_ACCELEROMETER_UNCALIBRATED	0.4510498	2.8079834	9.483963
1559714388468	TYPE_ACCELEROMETER	0.653244	3.090332	8.374878
1559714388468	TYPE_MAGNETIC_FIELD	21.72	-34.2	-14.28
1559714388468	TYPE_GYROSCOPE	0.35072327	0.07519531	-0.094940186
1559714388468	TYPE_ROTATION_VECTOR	0.0131018935	0.16494486	0.9401027
1559714388468	TYPE_MAGNETIC_FIELD_UNCALIBRATED	42.059998	-81.72	-160.92
1559714388468	TYPE_GYROSCOPE_UNCALIBRATED	0.37080383	0.08857727	-0.16798401
1559714388468	TYPE_ACCELEROMETER_UNCALIBRATED	0.63648987	3.0257263	8.714661
1559714388488	TYPE_ACCELEROMETER	0.43191528	3.0544434	8.325836
1559714388488	TYPE_MAGNETIC_FIELD	21.72	-34.2	-14.16
1559714388488	TYPE_GYROSCOPE	0.20228577	0.19309998	-0.08883667
1559714388488	TYPE_ROTATION_VECTOR	0.0137633085	0.16841543	0.9392797
1559714388488	TYPE_MAGNETIC_FIELD_UNCALIBRATED	42.059998	-81.72	-160.8
1559714388488	TYPE_GYROSCOPE_UNCALIBRATED	0.28588867	0.16920471	-0.17347717
1559714388488	TYPE_ACCELEROMETER_UNCALIBRATED	0.5778656	3.0939178	8.226532
1559714388508	TYPE_ACCELEROMETER	0.21894836	2.8654175	8.976685
1559714388508	TYPE_MAGNETIC_FIELD	21.539999	-33.96	-13.98
1559714388508	TYPE_GYROSCOPE	0.017211914	0.2700653	-0.049743652
1559714388508	TYPE_ROTATION_VECTOR	0.013944793	0.17188136	0.9384257
1559714388508	TYPE_MAGNETIC_FIELD_UNCALIBRATED	41.879997	-81.479996	-160.62
1559714388508	TYPE_GYROSCOPE_UNCALIBRATED	0.28588867	0.16920471	-0.17347717
1559714388508	TYPE_ACCELEROMETER_UNCALIBRATED	0.2859497	2.9730835	8.606995
1559714388527	TYPE_ACCELEROMETER	0.30270386	2.663208	9.65744
1559714388527	TYPE_MAGNETIC_FIELD	21.779999	-34.02	-14.16
1559714388527	TYPE_GYROSCOPE	-0.08786011	0.18882751	-0.022872925
1559714388527	TYPE_ROTATION_VECTOR	0.012621542	0.17432904	0.9378445
1559714388527	TYPE_MAGNETIC_FIELD_UNCALIBRATED	42.12	-81.54	-160.8
1559714388527	TYPE_GYROSCOPE_UNCALIBRATED	0.10079956	0.2932129	-0.15148926
