#	startTime:1559714947414
#	SiteID:5cd56ba1e2acfd2d33b603af	SiteName:新天地时尚	FloorId:5cd56ba3e2acfd2d33b608c6	FloorName:B1
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190529-nightly	VersionCode:258	
1559714947415	TYPE_WAYPOINT	68.559494	55.994205
1559714947543	TYPE_ACCELEROMETER	-0.15434265	2.703888	9.227936
1559714947543	TYPE_MAGNETIC_FIELD	-4.2	-45.96	-23.22
1559714947543	TYPE_GYROSCOPE	-0.28456116	-0.083602905	-0.3240204
1559714947543	TYPE_ROTATION_VECTOR	0.011117515	-0.14527392	-0.9879928
1559714947543	TYPE_MAGNETIC_FIELD_UNCALIBRATED	14.46	-89.28	-170.4
1559714947543	TYPE_GYROSCOPE_UNCALIBRATED	-0.48135376	-0.069625854	-0.7599182
1559714947543	TYPE_ACCELEROMETER_UNCALIBRATED	-0.22851562	2.720642	9.51506
1559714947563	TYPE_ACCELEROMETER	-0.26919556	2.7290192	9.754349
1559714947563	TYPE_MAGNETIC_FIELD	-4.08	-45.78	-23.039999
1559714947563	TYPE_GYROSCOPE	-0.09336853	-0.05795288	0.033935547
1559714947563	TYPE_ROTATION_VECTOR	0.017613832	-0.13774724	-0.98908556
1559714947563	TYPE_MAGNETIC_FIELD_UNCALIBRATED	14.58	-89.1	-170.21999
1559714947563	TYPE_GYROSCOPE_UNCALIBRATED	-0.10261536	-0.014038086	-0.046417236
1559714947563	TYPE_ACCELEROMETER_UNCALIBRATED	-0.28834534	2.7074738	9.86441
1559714947583	TYPE_ACCELEROMETER	-0.270401	2.683548	9.830917
