#	startTime:1559714997345
#	SiteID:5cd56ba1e2acfd2d33b603af	SiteName:新天地时尚	FloorId:5cd56ba3e2acfd2d33b608c6	FloorName:B1
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190529-nightly	VersionCode:258	
1559714997345	TYPE_WAYPOINT	74.40912	51.07853
1559714997473	TYPE_ACCELEROMETER	-0.2979126	3.0556335	8.665619
1559714997473	TYPE_MAGNETIC_FIELD	10.92	-34.8	-16.8
1559714997473	TYPE_GYROSCOPE	-0.21554565	-0.15232849	-0.09068298
1559714997473	TYPE_ROTATION_VECTOR	0.020413615	0.1720614	0.96475977
1559714997473	TYPE_MAGNETIC_FIELD_UNCALIBRATED	29.58	-78.119995	-163.98
1559714997473	TYPE_GYROSCOPE_UNCALIBRATED	-0.44714355	0.0073394775	0.008529663
1559714997473	TYPE_ACCELEROMETER_UNCALIBRATED	-0.2979126	3.0556335	8.665619
1559714997493	TYPE_ACCELEROMETER	-0.29193115	3.0735931	9.269806
1559714997493	TYPE_MAGNETIC_FIELD	10.92	-34.8	-16.56
1559714997493	TYPE_GYROSCOPE	-0.122680664	-0.12454224	-0.1309967
1559714997493	TYPE_ROTATION_VECTOR	0.013395178	0.16404118	0.9709921
1559714997493	TYPE_MAGNETIC_FIELD_UNCALIBRATED	29.58	-78.119995	-163.73999
1559714997493	TYPE_GYROSCOPE_UNCALIBRATED	-0.37139893	-0.031448364	-0.050720215
1559714997493	TYPE_ACCELEROMETER_UNCALIBRATED	-0.29193115	3.0735931	9.269806
1559714997513	TYPE_ACCELEROMETER	-0.27876282	2.9659119	9.517456
1559714997513	TYPE_MAGNETIC_FIELD	11.099999	-34.86	-16.56
1559714997513	TYPE_GYROSCOPE	-0.049987793	-0.013977051	-0.1138916
1559714997513	TYPE_ROTATION_VECTOR	0.014862878	0.15396276	0.9704871
1559714997513	TYPE_MAGNETIC_FIELD_UNCALIBRATED	29.759998	-78.18	-163.73999
1559714997513	TYPE_GYROSCOPE_UNCALIBRATED	-0.14292908	-0.12765503	-0.22175598
1559714997513	TYPE_ACCELEROMETER_UNCALIBRATED	-0.27876282	2.9659119	9.517456
1559714997532	TYPE_ACCELEROMETER	-0.34336853	2.8773804	9.511475
1559714997532	TYPE_MAGNETIC_FIELD	11.099999	-34.92	-16.14
1559714997532	TYPE_GYROSCOPE	0.0074310303	0.04649353	-0.10594177
1559714997532	TYPE_ROTATION_VECTOR	0.00980546	0.14788613	0.97520506
1559714997532	TYPE_MAGNETIC_FIELD_UNCALIBRATED	29.759998	-78.24	-163.31999
1559714997532	TYPE_GYROSCOPE_UNCALIBRATED	-0.09283447	-0.025650024	-0.19975281
1559714997532	TYPE_ACCELEROMETER_UNCALIBRATED	-0.34336853	2.8773804	9.511475
1559714997552	TYPE_ACCELEROMETER	-0.3637085	2.7708893	9.275787
1559714997552	TYPE_MAGNETIC_FIELD	11.34	-34.92	-16.14
1559714997552	TYPE_GYROSCOPE	0.02268982	0.02999878	-0.10044861
1559714997552	TYPE_ROTATION_VECTOR	0.009680732	0.14707784	0.9706605
1559714997552	TYPE_MAGNETIC_FIELD_UNCALIBRATED	30.0	-78.24	-163.31999
1559714997552	TYPE_GYROSCOPE_UNCALIBRATED	-0.020751953	0.07086182	-0.18754578
1559714997552	TYPE_ACCELEROMETER_UNCALIBRATED	-0.34336853	2.8773804	9.511475
1559714997572	TYPE_ACCELEROMETER	-0.47257996	2.8606262	9.1202545
1559714997572	TYPE_MAGNETIC_FIELD	11.46	-35.1	-15.96
1559714997572	TYPE_GYROSCOPE	-0.02861023	-0.023757935	-0.08639526
1559714997572	TYPE_ROTATION_VECTOR	0.008436654	0.14723113	0.97003484
1559714997572	TYPE_MAGNETIC_FIELD_UNCALIBRATED	30.119999	-78.42	-163.14
1559714997572	TYPE_GYROSCOPE_UNCALIBRATED	0.017105103	0.08918762	-0.181427
1559714997572	TYPE_ACCELEROMETER_UNCALIBRATED	-0.47257996	2.8606262	9.1202545
1559714997591	TYPE_ACCELEROMETER	-0.42712402	2.871399	9.175278
1559714997591	TYPE_MAGNETIC_FIELD	11.46	-35.1	-15.96
1559714997591	TYPE_GYROSCOPE	-0.07687378	-0.05368042	-0.058914185
1559714997591	TYPE_ROTATION_VECTOR	0.008046687	0.14751218	0.9698133
1559714997591	TYPE_MAGNETIC_FIELD_UNCALIBRATED	30.119999	-78.42	-163.14
1559714997591	TYPE_GYROSCOPE_UNCALIBRATED	1.5258789E-5	0.04397583	-0.17471313
1559714997591	TYPE_ACCELEROMETER_UNCALIBRATED	-0.42712402	2.871399	9.175278
1559714997611	TYPE_ACCELEROMETER	-0.19023132	2.872589	9.320038
1559714997611	TYPE_MAGNETIC_FIELD	11.639999	-34.86	-16.02
1559714997611	TYPE_GYROSCOPE	-0.08908081	-0.044525146	-0.054641724
1559714997611	TYPE_ROTATION_VECTOR	0.008091088	0.1472053	0.9696873
1559714997611	TYPE_MAGNETIC_FIELD_UNCALIBRATED	30.3	-78.18	-163.2
1559714997611	TYPE_GYROSCOPE_UNCALIBRATED	-0.06291199	0.0042877197	-0.15148926
1559714997611	TYPE_ACCELEROMETER_UNCALIBRATED	-0.19023132	2.872589	9.320038
1559714997631	TYPE_ACCELEROMETER	-0.028717041	2.8163605	9.365509
1559714997631	TYPE_MAGNETIC_FIELD	11.5199995	-34.68	-16.32
1559714997631	TYPE_GYROSCOPE	-0.07136536	-0.020706177	-0.074783325
1559714997631	TYPE_ROTATION_VECTOR	0.008368413	0.14637817	0.96968025
1559714997631	TYPE_MAGNETIC_FIELD_UNCALIBRATED	30.18	-78.0	-163.5
1559714997631	TYPE_GYROSCOPE_UNCALIBRATED	-0.09161377	-0.012207031	-0.1301117
1559714997631	TYPE_ACCELEROMETER_UNCALIBRATED	-0.028717041	2.8163605	9.365509
1559714997650	TYPE_ACCELEROMETER	0.025131226	2.8091736	9.32843
1559714997650	TYPE_MAGNETIC_FIELD	11.7	-34.8	-16.5
1559714997650	TYPE_GYROSCOPE	-0.055496216	0.03855896	-0.0967865
1559714997650	TYPE_ROTATION_VECTOR	0.008543927	0.14544961	0.96969914
1559714997650	TYPE_MAGNETIC_FIELD_UNCALIBRATED	30.36	-78.119995	-163.68
1559714997650	TYPE_GYROSCOPE_UNCALIBRATED	-0.08673096	0.009170532	-0.14233398
1559714997650	TYPE_ACCELEROMETER_UNCALIBRATED	0.025131226	2.8091736	9.32843
1559714997670	TYPE_ACCELEROMETER	-0.02154541	2.8390808	9.323639
1559714997670	TYPE_MAGNETIC_FIELD	11.759999	-34.86	-16.5
1559714997670	TYPE_GYROSCOPE	-0.04937744	0.09597778	-0.10105896
1559714997670	TYPE_ROTATION_VECTOR	0.008498544	0.1447355	0.96965516
1559714997670	TYPE_MAGNETIC_FIELD_UNCALIBRATED	30.419998	-78.18	-163.68
1559714997670	TYPE_GYROSCOPE_UNCALIBRATED	-0.065963745	0.046417236	-0.16493225
1559714997670	TYPE_ACCELEROMETER_UNCALIBRATED	-0.02154541	2.8390808	9.323639
1559714997690	TYPE_ACCELEROMETER	-0.020339966	2.8666077	9.296127
1559714997690	TYPE_MAGNETIC_FIELD	11.94	-34.92	-16.92
1559714997690	TYPE_GYROSCOPE	-0.06770325	0.104522705	-0.102890015
1559714997690	TYPE_ROTATION_VECTOR	0.007891019	0.14428866	0.96954995
1559714997690	TYPE_MAGNETIC_FIELD_UNCALIBRATED	30.599998	-78.24	-164.09999
1559714997690	TYPE_GYROSCOPE_UNCALIBRATED	-0.05557251	0.11790466	-0.1802063
1559714997690	TYPE_ACCELEROMETER_UNCALIBRATED	-0.020339966	2.8666077	9.296127
1559714997709	TYPE_ACCELEROMETER	-0.07417297	2.8211365	9.22554
1559714997709	TYPE_MAGNETIC_FIELD	11.94	-34.92	-16.8
1559714997709	TYPE_GYROSCOPE	-0.10864258	0.11064148	-0.12792969
1559714997709	TYPE_ROTATION_VECTOR	0.0067417617	0.14401212	0.96943015
1559714997709	TYPE_MAGNETIC_FIELD_UNCALIBRATED	30.599998	-78.24	-163.98
1559714997709	TYPE_GYROSCOPE_UNCALIBRATED	-0.058624268	0.14660645	-0.17837524
1559714997709	TYPE_ACCELEROMETER_UNCALIBRATED	-0.07417297	2.8211365	9.22554
1559714997729	TYPE_ACCELEROMETER	-0.22612	2.8821564	9.644272
1559714997729	TYPE_MAGNETIC_FIELD	11.94	-34.98	-16.859999
1559714997729	TYPE_GYROSCOPE	-0.14466858	0.076431274	-0.119384766
1559714997729	TYPE_ROTATION_VECTOR	0.005470976	0.14357974	0.9693309
1559714997729	TYPE_MAGNETIC_FIELD_UNCALIBRATED	30.599998	-78.3	-164.04
1559714997729	TYPE_GYROSCOPE_UNCALIBRATED	-0.09161377	0.15272522	-0.19302368
1559714997729	TYPE_ACCELEROMETER_UNCALIBRATED	-0.22612	2.8821564	9.644272
1559714997749	TYPE_ACCELEROMETER	-0.20458984	2.7768707	10.266403
1559714997749	TYPE_MAGNETIC_FIELD	12.24	-35.1	-16.859999
1559714997749	TYPE_GYROSCOPE	-0.15016174	0.035507202	-0.1138916
1559714997749	TYPE_ROTATION_VECTOR	0.0040269466	0.14277151	0.96923774
1559714997749	TYPE_MAGNETIC_FIELD_UNCALIBRATED	30.9	-78.42	-164.04
1559714997749	TYPE_GYROSCOPE_UNCALIBRATED	-0.15757751	0.10140991	-0.19120789
1559714997749	TYPE_ACCELEROMETER_UNCALIBRATED	-0.20458984	2.7768707	10.266403
1559714997768	TYPE_ACCELEROMETER	-0.22732544	2.670395	10.762924
1559714997768	TYPE_MAGNETIC_FIELD	12.059999	-35.219997	-17.039999
1559714997768	TYPE_GYROSCOPE	-0.12756348	-0.030471802	-0.118774414
1559714997768	TYPE_ROTATION_VECTOR	0.0028467518	0.1415521	0.9692064
1559714997768	TYPE_MAGNETIC_FIELD_UNCALIBRATED	30.72	-78.53999	-164.21999
1559714997768	TYPE_GYROSCOPE_UNCALIBRATED	-0.15757751	0.10140991	-0.19120789
1559714997768	TYPE_ACCELEROMETER_UNCALIBRATED	-0.20458984	2.7768707	10.266403
1559714997788	TYPE_ACCELEROMETER	-0.034698486	2.6895294	11.119446
1559714997788	TYPE_MAGNETIC_FIELD	12.12	-35.399998	-17.1
1559714997788	TYPE_GYROSCOPE	-0.11779785	-0.10255432	-0.123046875
1559714997788	TYPE_ROTATION_VECTOR	0.0020521425	0.1401966	0.9691893
1559714997788	TYPE_MAGNETIC_FIELD_UNCALIBRATED	30.779999	-78.72	-164.28
1559714997788	TYPE_GYROSCOPE_UNCALIBRATED	-0.14292908	0.045822144	-0.19670105
1559714997788	TYPE_ACCELEROMETER_UNCALIBRATED	-0.22732544	2.670395	10.762924
1559714997808	TYPE_ACCELEROMETER	0.25006104	2.8378906	11.42215
1559714997808	TYPE_MAGNETIC_FIELD	12.12	-35.46	-17.16
1559714997808	TYPE_GYROSCOPE	-0.034729004	-0.25709534	-0.16581726
1559714997808	TYPE_ROTATION_VECTOR	0.0019223627	0.13892376	0.969127
1559714997808	TYPE_MAGNETIC_FIELD_UNCALIBRATED	30.779999	-78.78	-164.34
1559714997808	TYPE_GYROSCOPE_UNCALIBRATED	-0.12887573	-0.01586914	-0.19487
1559714997808	TYPE_ACCELEROMETER_UNCALIBRATED	-0.034698486	2.6895294	11.119446
1559714997827	TYPE_ACCELEROMETER	0.3637085	2.958725	11.030914
1559714997827	TYPE_MAGNETIC_FIELD	12.0	-35.399998	-17.16
1559714997827	TYPE_GYROSCOPE	0.10636902	-0.37010193	-0.20246887
1559714997827	TYPE_ROTATION_VECTOR	0.0024913696	0.13760005	0.9690383
1559714997827	TYPE_MAGNETIC_FIELD_UNCALIBRATED	30.66	-78.72	-164.34
1559714997827	TYPE_GYROSCOPE_UNCALIBRATED	-0.09283447	-0.12950134	-0.22113037
1559714997827	TYPE_ACCELEROMETER_UNCALIBRATED	0.25006104	2.8378906	11.42215
1559714997847	TYPE_ACCELEROMETER	0.4558258	3.2243347	10.094131
1559714997847	TYPE_MAGNETIC_FIELD	12.3	-35.219997	-17.16
1559714997847	TYPE_GYROSCOPE	0.23588562	-0.29862976	-0.21894836
1559714997847	TYPE_ROTATION_VECTOR	0.00463505	0.13675225	0.9687425
1559714997847	TYPE_MAGNETIC_FIELD_UNCALIBRATED	30.96	-78.53999	-164.34
1559714997847	TYPE_GYROSCOPE_UNCALIBRATED	0.17042542	-0.3170166	-0.29382324
1559714997847	TYPE_ACCELEROMETER_UNCALIBRATED	0.4558258	3.2243347	10.094131
1559714997867	TYPE_ACCELEROMETER	0.5001068	3.4109802	9.207581
1559714997867	TYPE_MAGNETIC_FIELD	12.3	-35.219997	-17.16
1559714997867	TYPE_GYROSCOPE	0.33666992	-0.11659241	-0.20796204
1559714997867	TYPE_ROTATION_VECTOR	0.00463505	0.13675225	0.9687425
1559714997867	TYPE_MAGNETIC_FIELD_UNCALIBRATED	30.96	-78.53999	-164.34
1559714997867	TYPE_GYROSCOPE_UNCALIBRATED	0.28527832	-0.16491699	-0.2932129
1559714997867	TYPE_ACCELEROMETER_UNCALIBRATED	0.5001068	3.4109802	9.207581
