#	startTime:1559715394271
#	SiteID:5cd56ba1e2acfd2d33b603af	SiteName:新天地时尚	FloorId:5cd56ba3e2acfd2d33b608c6	FloorName:B1
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190529-nightly	VersionCode:258	
1559715394272	TYPE_WAYPOINT	56.688953	98.49965
1559715394396	TYPE_ACCELEROMETER	-0.4390869	2.3820648	10.236496
1559715394396	TYPE_MAGNETIC_FIELD	-16.74	-8.4	-38.94
1559715394396	TYPE_GYROSCOPE	-0.080825806	-0.028640747	-0.025924683
1559715394396	TYPE_ROTATION_VECTOR	0.102372065	-0.071731955	-0.69027805
1559715394396	TYPE_MAGNETIC_FIELD_UNCALIBRATED	6.4799995	-59.04	-181.44
1559715394396	TYPE_GYROSCOPE_UNCALIBRATED	-0.08061218	0.019546509	-0.12339783
1559715394396	TYPE_ACCELEROMETER_UNCALIBRATED	-0.44506836	2.4394836	10.095322
1559715394416	TYPE_ACCELEROMETER	-0.34576416	2.3270264	10.003204
1559715394416	TYPE_MAGNETIC_FIELD	-16.44	-8.58	-39.18
1559715394416	TYPE_GYROSCOPE	-0.04510498	-0.018859863	0.034561157
1559715394416	TYPE_ROTATION_VECTOR	0.095222674	-0.06601869	-0.7037685
1559715394416	TYPE_MAGNETIC_FIELD_UNCALIBRATED	6.779999	-59.22	-181.68
1559715394416	TYPE_GYROSCOPE_UNCALIBRATED	-0.08518982	0.014663696	-0.10446167
1559715394416	TYPE_ACCELEROMETER_UNCALIBRATED	-0.39363098	2.341385	10.195816
1559715394436	TYPE_ACCELEROMETER	-0.324234	2.3688965	9.497116
1559715394436	TYPE_MAGNETIC_FIELD	-16.44	-8.76	-39.42
1559715394436	TYPE_GYROSCOPE	0.09843445	0.025726318	0.030883789
1559715394436	TYPE_ROTATION_VECTOR	0.09101167	-0.06991718	-0.71326715
1559715394436	TYPE_MAGNETIC_FIELD_UNCALIBRATED	6.779999	-59.4	-181.92
1559715394436	TYPE_GYROSCOPE_UNCALIBRATED	-0.049468994	0.02444458	-0.04397583
1559715394436	TYPE_ACCELEROMETER_UNCALIBRATED	-0.31825256	2.3401794	9.7388
1559715394455	TYPE_ACCELEROMETER	-0.40678406	2.4179535	9.2686
1559715394455	TYPE_MAGNETIC_FIELD	-16.02	-9.0	-39.6
1559715394455	TYPE_GYROSCOPE	0.08744812	0.006790161	0.0052337646
1559715394455	TYPE_ROTATION_VECTOR	0.09699927	-0.07395415	-0.7012124
1559715394455	TYPE_MAGNETIC_FIELD_UNCALIBRATED	7.199999	-59.64	-182.1
1559715394455	TYPE_GYROSCOPE_UNCALIBRATED	0.094070435	0.06903076	-0.0476532
1559715394455	TYPE_ACCELEROMETER_UNCALIBRATED	-0.35653687	2.398819	9.327225
1559715394475	TYPE_ACCELEROMETER	-0.50250244	2.440689	9.414566
1559715394475	TYPE_MAGNETIC_FIELD	-16.02	-9.179999	-39.78
1559715394475	TYPE_GYROSCOPE	-0.00541687	-0.032302856	-0.00881958
1559715394475	TYPE_ROTATION_VECTOR	0.10631574	-0.072728805	-0.68442094
1559715394475	TYPE_MAGNETIC_FIELD_UNCALIBRATED	7.199999	-59.82	-182.28
