#	startTime:1559715423758
#	SiteID:5cd56ba1e2acfd2d33b603af	SiteName:新天地时尚	FloorId:5cd56ba3e2acfd2d33b608c6	FloorName:B1
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190529-nightly	VersionCode:258	
1559715423758	TYPE_WAYPOINT	55.345753	105.695114
1559715423898	TYPE_ACCELEROMETER	-0.090927124	3.221939	9.244675
1559715423898	TYPE_MAGNETIC_FIELD	-17.82	-46.86	-48.539997
1559715423898	TYPE_GYROSCOPE	-0.10923767	0.28901672	0.46826172
1559715423898	TYPE_ROTATION_VECTOR	0.0035078104	-0.16077973	-0.965287
1559715423898	TYPE_MAGNETIC_FIELD_UNCALIBRATED	5.3999996	-97.5	-191.04
1559715423898	TYPE_GYROSCOPE_UNCALIBRATED	-0.12582397	0.40194702	0.81243896
1559715423898	TYPE_ACCELEROMETER_UNCALIBRATED	-0.090927124	3.221939	9.244675
1559715423918	TYPE_ACCELEROMETER	0.17347717	3.065216	9.383453
1559715423918	TYPE_MAGNETIC_FIELD	-17.34	-46.86	-48.719997
1559715423918	TYPE_GYROSCOPE	-0.11412048	0.15156555	0.09440613
1559715423918	TYPE_ROTATION_VECTOR	0.044158824	-0.16085774	-0.95702374
1559715423918	TYPE_MAGNETIC_FIELD_UNCALIBRATED	5.879999	-97.5	-191.22
1559715423918	TYPE_GYROSCOPE_UNCALIBRATED	-0.10810852	0.23945618	-0.017730713
1559715423918	TYPE_ACCELEROMETER_UNCALIBRATED	0.17347717	3.065216	9.383453
