#	startTime:1559715450497
#	SiteID:5cd56ba1e2acfd2d33b603af	SiteName:新天地时尚	FloorId:5cd56ba3e2acfd2d33b608c6	FloorName:B1
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190529-nightly	VersionCode:258	
1559715450497	TYPE_WAYPOINT	51.9545	96.92548
1559715450620	TYPE_ACCELEROMETER	-0.42593384	3.3403778	8.500504
1559715450620	TYPE_MAGNETIC_FIELD	-29.82	-3.24	-26.939999
1559715450620	TYPE_GYROSCOPE	0.01902771	0.52967834	0.81399536
1559715450620	TYPE_ROTATION_VECTOR	0.14545593	-0.097933404	-0.6141293
1559715450620	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-6.6000004	-53.88	-169.44
1559715450620	TYPE_GYROSCOPE_UNCALIBRATED	0.014663696	0.5729828	0.7354584
1559715450620	TYPE_ACCELEROMETER_UNCALIBRATED	-0.57069397	3.4241333	8.231308
1559715450640	TYPE_ACCELEROMETER	-0.6496582	3.5019073	7.9585266
1559715450640	TYPE_MAGNETIC_FIELD	-29.46	-2.9399998	-26.699999
1559715450640	TYPE_GYROSCOPE	0.15829468	0.2098999	0.24316406
1559715450640	TYPE_ROTATION_VECTOR	0.17509083	-0.091557644	-0.58864796
1559715450640	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-6.24	-53.579998	-169.2
1559715450640	TYPE_GYROSCOPE_UNCALIBRATED	0.061080933	0.46640015	0.5451813
1559715450640	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6687927	3.586853	7.728821
1559715450660	TYPE_ACCELEROMETER	-0.67477417	3.640686	7.5924225
1559715450660	TYPE_MAGNETIC_FIELD	-29.16	-2.8799999	-26.64
1559715450660	TYPE_GYROSCOPE	0.18273926	0.1020813	0.073638916
1559715450660	TYPE_ROTATION_VECTOR	0.19538222	-0.09828811	-0.5905596
1559715450660	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-5.9400005	-53.52	-169.14
1559715450660	TYPE_GYROSCOPE_UNCALIBRATED	0.1985321	0.14538574	-0.019546509
1559715450660	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6687927	3.586853	7.728821
1559715450679	TYPE_ACCELEROMETER	-0.6125641	3.5940247	7.7515564
1559715450679	TYPE_MAGNETIC_FIELD	-28.859999	-2.7	-26.519999
1559715450679	TYPE_GYROSCOPE	0.052017212	0.092300415	0.109680176
1559715450679	TYPE_ROTATION_VECTOR	0.20089008	-0.100801334	-0.5841513
1559715450679	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-5.6399994	-53.34	-169.02
1559715450679	TYPE_GYROSCOPE_UNCALIBRATED	0.12583923	0.14477539	0.012817383
1559715450679	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5156555	3.529419	8.043472
1559715450699	TYPE_ACCELEROMETER	-0.42712402	3.495926	8.374878
1559715450699	TYPE_MAGNETIC_FIELD	-28.619999	-2.76	-26.4
1559715450699	TYPE_GYROSCOPE	-0.13183594	0.05810547	0.13899231
1559715450699	TYPE_ROTATION_VECTOR	0.17870115	-0.1050246	-0.6096189
1559715450699	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-5.3999996	-53.399998	-168.9
1559715450699	TYPE_GYROSCOPE_UNCALIBRATED	-0.04458618	0.119125366	0.048858643
1559715450699	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3744812	3.4672089	8.699112
1559715450719	TYPE_ACCELEROMETER	-0.34457397	3.439682	8.9683075
1559715450719	TYPE_MAGNETIC_FIELD	-28.32	-2.76	-26.4
1559715450719	TYPE_GYROSCOPE	-0.2472992	-0.0036010742	0.12007141
1559715450719	TYPE_ROTATION_VECTOR	0.15778911	-0.10328808	-0.6214487
1559715450719	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-5.1000004	-53.399998	-168.9
1559715450719	TYPE_GYROSCOPE_UNCALIBRATED	-0.20889282	0.07696533	0.058013916
1559715450719	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3744812	3.4672089	8.699112
1559715450738	TYPE_ACCELEROMETER	-0.23928833	3.4564362	9.237488
1559715450738	TYPE_MAGNETIC_FIELD	-28.26	-2.58	-26.279999
1559715450738	TYPE_GYROSCOPE	-0.2485199	-0.044509888	0.07426453
1559715450738	TYPE_ROTATION_VECTOR	0.15578535	-0.101992264	-0.62081695
1559715450738	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-5.040001	-53.22	-168.78
1559715450738	TYPE_GYROSCOPE_UNCALIBRATED	-0.2651062	0.008560181	0.018936157
1559715450738	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3014984	3.4337006	9.140579
