#	startTime:1559715529785
#	SiteID:5cd56ba1e2acfd2d33b603af	SiteName:新天地时尚	FloorId:5cd56ba3e2acfd2d33b608c6	FloorName:B1
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190529-nightly	VersionCode:258	
1559715529786	TYPE_WAYPOINT	62.575256	77.13404
1559715529910	TYPE_ACCELEROMETER	-0.69273376	3.348755	9.859634
1559715529910	TYPE_MAGNETIC_FIELD	-13.62	-41.16	-27.9
1559715529910	TYPE_GYROSCOPE	-0.32060242	0.52479553	0.02722168
1559715529910	TYPE_ROTATION_VECTOR	0.058886588	-0.13540986	-0.92331827
1559715529910	TYPE_MAGNETIC_FIELD_UNCALIBRATED	9.599999	-91.8	-170.4
1559715529910	TYPE_GYROSCOPE_UNCALIBRATED	-0.32496643	0.5681	-0.051315308
1559715529910	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5862427	3.2410736	10.278381
1559715529930	TYPE_ACCELEROMETER	-0.8985138	3.5605316	8.940781
1559715529930	TYPE_MAGNETIC_FIELD	-13.32	-41.16	-28.08
1559715529930	TYPE_GYROSCOPE	0.07614136	0.118881226	-0.037826538
1559715529930	TYPE_ROTATION_VECTOR	0.07897932	-0.16113876	-0.9578152
1559715529930	TYPE_MAGNETIC_FIELD_UNCALIBRATED	9.9	-91.8	-170.58
1559715529930	TYPE_GYROSCOPE_UNCALIBRATED	0.071777344	0.16218567	-0.116363525
1559715529930	TYPE_ACCELEROMETER_UNCALIBRATED	-0.79322815	3.4564362	9.363113
1559715529950	TYPE_ACCELEROMETER	-0.9332123	3.619156	8.539993
1559715529950	TYPE_MAGNETIC_FIELD	-12.96	-41.1	-28.32
1559715529950	TYPE_GYROSCOPE	0.20960999	0.05076599	-0.029586792
1559715529950	TYPE_ROTATION_VECTOR	0.09840271	-0.17691886	-0.94878346
1559715529950	TYPE_MAGNETIC_FIELD_UNCALIBRATED	10.259999	-91.74	-170.82
1559715529950	TYPE_GYROSCOPE_UNCALIBRATED	0.20524597	0.094070435	-0.10812378
1559715529950	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9667053	3.6263275	8.688339
1559715529969	TYPE_ACCELEROMETER	-0.66041565	3.4791718	8.420349
1559715529969	TYPE_MAGNETIC_FIELD	-12.66	-41.04	-28.38
1559715529969	TYPE_GYROSCOPE	0.15097046	0.11064148	0.04371643
1559715529969	TYPE_ROTATION_VECTOR	0.09119659	-0.1794146	-0.94987565
1559715529969	TYPE_MAGNETIC_FIELD_UNCALIBRATED	10.559999	-91.68	-170.88
1559715529969	TYPE_GYROSCOPE_UNCALIBRATED	0.14660645	0.15394592	-0.034820557
1559715529969	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8123627	3.5533447	8.461029
1559715529989	TYPE_ACCELEROMETER	-0.43429565	3.4492645	8.410782
1559715529989	TYPE_MAGNETIC_FIELD	-12.42	-41.1	-28.5
1559715529989	TYPE_GYROSCOPE	0.09599304	0.10574341	0.09440613
1559715529989	TYPE_ROTATION_VECTOR	0.07280551	-0.18171744	-0.95431113
