#	startTime:1559715714201
#	SiteID:5cd56ba1e2acfd2d33b603af	SiteName:新天地时尚	FloorId:5cd56ba3e2acfd2d33b608c6	FloorName:B1
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190529-nightly	VersionCode:258	
1559715714202	TYPE_WAYPOINT	32.35226	164.65309
1559715714323	TYPE_ACCELEROMETER	0.7513428	2.6153564	9.04248
1559715714323	TYPE_MAGNETIC_FIELD	38.76	-3.84	-61.079998
1559715714323	TYPE_GYROSCOPE	0.15892029	-0.1382904	-0.316391
1559715714323	TYPE_ROTATION_VECTOR	0.1306554	0.026939465	0.611344
1559715714323	TYPE_MAGNETIC_FIELD_UNCALIBRATED	60.059998	-43.62	-182.34
1559715714323	TYPE_GYROSCOPE_UNCALIBRATED	-0.32374573	-0.65483093	-0.3115387
1559715714323	TYPE_ACCELEROMETER_UNCALIBRATED	0.8530426	2.4849548	9.213562
1559715714343	TYPE_ACCELEROMETER	0.6687927	2.8785706	8.414368
1559715714343	TYPE_MAGNETIC_FIELD	39.059998	-3.72	-60.96
1559715714343	TYPE_GYROSCOPE	0.35072327	0.036712646	-0.33013916
1559715714343	TYPE_ROTATION_VECTOR	0.13058043	0.044439327	0.6067591
1559715714343	TYPE_MAGNETIC_FIELD_UNCALIBRATED	60.359997	-43.5	-182.22
1559715714343	TYPE_GYROSCOPE_UNCALIBRATED	-0.1643219	-0.46821594	-0.3393402
1559715714343	TYPE_ACCELEROMETER_UNCALIBRATED	0.6903229	2.7565308	8.769699
1559715714363	TYPE_ACCELEROMETER	0.722641	3.073578	7.7276306
1559715714363	TYPE_MAGNETIC_FIELD	39.18	-3.4199998	-60.96
1559715714363	TYPE_GYROSCOPE	0.28781128	0.07765198	-0.27760315
1559715714363	TYPE_ROTATION_VECTOR	0.14510491	0.0557193	0.5674625
1559715714363	TYPE_MAGNETIC_FIELD_UNCALIBRATED	60.48	-43.199997	-182.22
1559715714363	TYPE_GYROSCOPE_UNCALIBRATED	0.3286438	0.08491516	-0.42027283
1559715714363	TYPE_ACCELEROMETER_UNCALIBRATED	0.6855469	2.9826508	8.03511
1559715714382	TYPE_ACCELEROMETER	0.62931824	3.1465607	7.807785
1559715714382	TYPE_MAGNETIC_FIELD	39.36	-3.3	-61.02
1559715714382	TYPE_GYROSCOPE	0.0843811	0.11979675	-0.2293396
1559715714382	TYPE_ROTATION_VECTOR	0.16832376	0.06410916	0.54874223
1559715714382	TYPE_MAGNETIC_FIELD_UNCALIBRATED	60.66	-43.079998	-182.28
1559715714382	TYPE_GYROSCOPE_UNCALIBRATED	0.33476257	0.094680786	-0.38484192
1559715714382	TYPE_ACCELEROMETER_UNCALIBRATED	0.71665955	3.1381836	7.6079865
1559715714402	TYPE_ACCELEROMETER	0.35295105	2.9802551	8.706299
1559715714402	TYPE_MAGNETIC_FIELD	39.66	-3.0	-61.079998
1559715714402	TYPE_GYROSCOPE	-0.115356445	0.1338501	-0.15603638
1559715714402	TYPE_ROTATION_VECTOR	0.18635978	0.0674726	0.5295145
1559715714402	TYPE_MAGNETIC_FIELD_UNCALIBRATED	60.96	-42.78	-182.34
1559715714402	TYPE_GYROSCOPE_UNCALIBRATED	0.19364929	0.14538574	-0.33169556
1559715714402	TYPE_ACCELEROMETER_UNCALIBRATED	0.49412537	3.0927277	8.252853
1559715714422	TYPE_ACCELEROMETER	0.3409729	2.7541504	9.220749
1559715714422	TYPE_MAGNETIC_FIELD	40.2	-2.7	-61.14
1559715714422	TYPE_GYROSCOPE	-0.18804932	0.032440186	-0.063186646
1559715714422	TYPE_ROTATION_VECTOR	0.1640884	0.07444679	0.541889
1559715714422	TYPE_MAGNETIC_FIELD_UNCALIBRATED	61.5	-42.48	-182.4
1559715714422	TYPE_GYROSCOPE_UNCALIBRATED	-0.033599854	0.1777649	-0.27612305
1559715714422	TYPE_ACCELEROMETER_UNCALIBRATED	0.27757263	2.8414764	9.035309
1559715714441	TYPE_ACCELEROMETER	0.653244	2.6656036	9.454041
1559715714441	TYPE_MAGNETIC_FIELD	40.32	-2.1599998	-61.26
1559715714441	TYPE_GYROSCOPE	-0.24180603	-0.0017700195	-0.009429932
1559715714441	TYPE_ROTATION_VECTOR	0.1318777	0.07458187	0.5624973
1559715714441	TYPE_MAGNETIC_FIELD_UNCALIBRATED	61.62	-41.94	-182.51999
1559715714441	TYPE_GYROSCOPE_UNCALIBRATED	-0.16798401	0.13745117	-0.18692017
1559715714441	TYPE_ACCELEROMETER_UNCALIBRATED	0.501297	2.7134705	9.342773
1559715714461	TYPE_ACCELEROMETER	0.79800415	2.5699005	9.918259
1559715714461	TYPE_MAGNETIC_FIELD	40.379997	-1.86	-61.32
1559715714461	TYPE_GYROSCOPE	-0.3126526	0.055664062	-0.007598877
1559715714461	TYPE_ROTATION_VECTOR	0.1301201	0.07389128	0.56218994
1559715714461	TYPE_MAGNETIC_FIELD_UNCALIBRATED	61.679996	-41.64	-182.57999
1559715714461	TYPE_GYROSCOPE_UNCALIBRATED	-0.21562195	0.03604126	-0.10751343
1559715714461	TYPE_ACCELEROMETER_UNCALIBRATED	0.7489624	2.6057892	9.623932
1559715714481	TYPE_ACCELEROMETER	0.75613403	2.5830536	10.481766
1559715714481	TYPE_MAGNETIC_FIELD	40.5	-1.74	-61.62
1559715714481	TYPE_GYROSCOPE	-0.31632996	0.006790161	-0.063797
1559715714481	TYPE_ROTATION_VECTOR	0.12819529	0.07255717	0.56228405
1559715714481	TYPE_MAGNETIC_FIELD_UNCALIBRATED	61.8	-41.52	-182.87999
1559715714481	TYPE_GYROSCOPE_UNCALIBRATED	-0.28160095	0.073913574	-0.08062744
1559715714481	TYPE_ACCELEROMETER_UNCALIBRATED	0.79800415	2.568695	10.258041
1559715714500	TYPE_ACCELEROMETER	0.7537384	2.7517548	10.382462
1559715714500	TYPE_MAGNETIC_FIELD	40.5	-1.3199999	-61.62
1559715714500	TYPE_GYROSCOPE	-0.17887878	-0.1483612	-0.1322174
1559715714500	TYPE_ROTATION_VECTOR	0.12539051	0.07128549	0.56251305
1559715714500	TYPE_MAGNETIC_FIELD_UNCALIBRATED	61.8	-41.1	-182.87999
1559715714500	TYPE_GYROSCOPE_UNCALIBRATED	-0.33657837	0.094696045	-0.10812378
1559715714500	TYPE_ACCELEROMETER_UNCALIBRATED	0.73101807	2.633316	10.514069
1559715714520	TYPE_ACCELEROMETER	0.89849854	3.103485	9.73999
1559715714520	TYPE_MAGNETIC_FIELD	40.68	-1.02	-61.379997
1559715714520	TYPE_GYROSCOPE	0.0019226074	-0.22654724	-0.17802429
1559715714520	TYPE_ROTATION_VECTOR	0.122777574	0.06967356	0.5622342
1559715714520	TYPE_MAGNETIC_FIELD_UNCALIBRATED	61.98	-40.8	-182.63998
1559715714520	TYPE_GYROSCOPE_UNCALIBRATED	-0.2651062	-0.026870728	-0.17958069
1559715714520	TYPE_ACCELEROMETER_UNCALIBRATED	0.82073975	2.9276123	10.113266
1559715714540	TYPE_ACCELEROMETER	0.9714966	3.3894348	8.952744
1559715714540	TYPE_MAGNETIC_FIELD	40.8	-0.42	-61.379997
1559715714540	TYPE_GYROSCOPE	0.12042236	-0.229599	-0.20735168
1559715714540	TYPE_ROTATION_VECTOR	0.12206383	0.06766042	0.56112367
1559715714540	TYPE_MAGNETIC_FIELD_UNCALIBRATED	62.1	-40.199997	-182.63998
1559715714540	TYPE_GYROSCOPE_UNCALIBRATED	-0.09100342	-0.15759277	-0.23519897
1559715714540	TYPE_ACCELEROMETER_UNCALIBRATED	0.9403839	3.2566376	9.330811
1559715714559	TYPE_ACCELEROMETER	1.0839539	3.5772705	8.420349
1559715714559	TYPE_MAGNETIC_FIELD	40.62	-0.35999998	-61.32
1559715714559	TYPE_GYROSCOPE	0.13813782	-0.1953888	-0.22567749
1559715714559	TYPE_ROTATION_VECTOR	0.123199366	0.06606659	0.5594269
1559715714559	TYPE_MAGNETIC_FIELD_UNCALIBRATED	61.92	-40.14	-182.57999
1559715714559	TYPE_GYROSCOPE_UNCALIBRATED	0.06964111	-0.19056702	-0.27366638
1559715714559	TYPE_ACCELEROMETER_UNCALIBRATED	1.0325165	3.4923248	8.6440735
