#	startTime:1559715738090
#	SiteID:5cd56ba1e2acfd2d33b603af	SiteName:新天地时尚	FloorId:5cd56ba3e2acfd2d33b608c6	FloorName:B1
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190529-nightly	VersionCode:258	
1559715738091	TYPE_WAYPOINT	27.419462	167.37383
1559715738231	TYPE_ACCELEROMETER	0.06700134	3.205185	9.272186
1559715738231	TYPE_MAGNETIC_FIELD	29.4	5.7	-60.239998
1559715738231	TYPE_GYROSCOPE	0.40875244	0.116744995	-0.55674744
1559715738231	TYPE_ROTATION_VECTOR	0.14473692	0.06829642	0.44034013
1559715738231	TYPE_MAGNETIC_FIELD_UNCALIBRATED	50.699997	-34.079998	-181.5
1559715738231	TYPE_GYROSCOPE_UNCALIBRATED	0.40438843	0.16004944	-0.6352844
1559715738231	TYPE_ACCELEROMETER_UNCALIBRATED	0.08016968	3.1669006	9.483963
1559715738251	TYPE_ACCELEROMETER	-0.14476013	3.3116608	9.105896
1559715738251	TYPE_MAGNETIC_FIELD	29.58	5.7599998	-60.059998
1559715738251	TYPE_GYROSCOPE	0.20259094	0.15705872	-0.27819824
1559715738251	TYPE_ROTATION_VECTOR	0.15483022	0.07289714	0.41944963
1559715738251	TYPE_MAGNETIC_FIELD_UNCALIBRATED	50.879997	-34.02	-181.31999
1559715738251	TYPE_GYROSCOPE_UNCALIBRATED	0.3356781	0.17349243	-0.5424347
1559715738251	TYPE_ACCELEROMETER_UNCALIBRATED	-0.26081848	3.3092804	9.095123
1559715738271	TYPE_ACCELEROMETER	-0.27278137	3.2853546	9.053253
1559715738271	TYPE_MAGNETIC_FIELD	29.82	5.46	-59.879997
1559715738271	TYPE_GYROSCOPE	0.09172058	0.12651062	-0.1975708
1559715738271	TYPE_ROTATION_VECTOR	0.1500104	0.08666124	0.4244922
1559715738271	TYPE_MAGNETIC_FIELD_UNCALIBRATED	51.12	-34.32	-181.13998
1559715738271	TYPE_GYROSCOPE_UNCALIBRATED	0.115448	0.20463562	-0.26939392
1559715738271	TYPE_ACCELEROMETER_UNCALIBRATED	-0.26081848	3.3092804	9.095123
1559715738290	TYPE_ACCELEROMETER	-0.049057007	3.2733917	8.934799
1559715738290	TYPE_MAGNETIC_FIELD	30.06	5.16	-59.82
1559715738290	TYPE_GYROSCOPE	0.048965454	0.023895264	-0.18597412
1559715738290	TYPE_ROTATION_VECTOR	0.15239	0.08390452	0.42795268
1559715738290	TYPE_MAGNETIC_FIELD_UNCALIBRATED	51.36	-34.62	-181.07999
1559715738290	TYPE_GYROSCOPE_UNCALIBRATED	0.0635376	0.1136322	-0.27244568
1559715738290	TYPE_ACCELEROMETER_UNCALIBRATED	-0.19023132	3.2733917	8.987442
1559715738310	TYPE_ACCELEROMETER	0.08016968	3.2518463	8.896515
1559715738310	TYPE_MAGNETIC_FIELD	30.3	4.8599997	-60.059998
1559715738310	TYPE_GYROSCOPE	0.008041382	0.0049591064	-0.19146729
1559715738310	TYPE_ROTATION_VECTOR	0.15826768	0.073911704	0.4316199
1559715738310	TYPE_MAGNETIC_FIELD_UNCALIBRATED	51.6	-34.92	-181.31999
1559715738310	TYPE_GYROSCOPE_UNCALIBRATED	0.025650024	0.04826355	-0.2626648
1559715738310	TYPE_ACCELEROMETER_UNCALIBRATED	0.061019897	3.2662048	8.906082
1559715738330	TYPE_ACCELEROMETER	0.088531494	3.2458649	8.867813
1559715738330	TYPE_MAGNETIC_FIELD	30.599998	4.98	-60.12
1559715738330	TYPE_GYROSCOPE	-0.046325684	-0.009094238	-0.22323608
1559715738330	TYPE_ROTATION_VECTOR	0.1578014	0.073118806	0.43155226
1559715738330	TYPE_MAGNETIC_FIELD_UNCALIBRATED	51.899998	-34.8	-181.37999
1559715738330	TYPE_GYROSCOPE_UNCALIBRATED	-0.021362305	0.049484253	-0.28527832
1559715738330	TYPE_ACCELEROMETER_UNCALIBRATED	0.12921143	3.2566376	8.900116
1559715738349	TYPE_ACCELEROMETER	0.1758728	3.2757874	8.985062
1559715738349	TYPE_MAGNETIC_FIELD	30.599998	4.74	-60.059998
1559715738349	TYPE_GYROSCOPE	-0.123291016	-0.09765625	-0.2476654
1559715738349	TYPE_ROTATION_VECTOR	0.15727867	0.0731904	0.42963466
1559715738349	TYPE_MAGNETIC_FIELD_UNCALIBRATED	51.899998	-35.04	-181.31999
1559715738349	TYPE_GYROSCOPE_UNCALIBRATED	-0.08673096	-0.0036621094	-0.3139801
1559715738349	TYPE_ACCELEROMETER_UNCALIBRATED	0.12921143	3.2566376	8.900116
1559715738369	TYPE_ACCELEROMETER	0.12083435	3.2865448	9.08197
1559715738369	TYPE_MAGNETIC_FIELD	30.9	4.56	-60.18
1559715738369	TYPE_GYROSCOPE	-0.17826843	-0.16178894	-0.2818756
1559715738369	TYPE_ROTATION_VECTOR	0.15644112	0.07220981	0.427419
1559715738369	TYPE_MAGNETIC_FIELD_UNCALIBRATED	52.199997	-35.219997	-181.44
1559715738369	TYPE_GYROSCOPE_UNCALIBRATED	-0.16430664	-0.097717285	-0.3433075
1559715738369	TYPE_ACCELEROMETER_UNCALIBRATED	0.17108154	3.2985077	9.068802
1559715738389	TYPE_ACCELEROMETER	0.05026245	3.2901306	9.018555
1559715738389	TYPE_MAGNETIC_FIELD	30.779999	5.04	-60.359997
1559715738389	TYPE_GYROSCOPE	-0.1477356	-0.13796997	-0.28981018
1559715738389	TYPE_ROTATION_VECTOR	0.15536754	0.070488274	0.42484134
1559715738389	TYPE_MAGNETIC_FIELD_UNCALIBRATED	52.079998	-34.739998	-181.62
1559715738389	TYPE_GYROSCOPE_UNCALIBRATED	-0.17652893	-0.11604309	-0.36956787
1559715738389	TYPE_ACCELEROMETER_UNCALIBRATED	0.07418823	3.274582	9.06282
1559715738408	TYPE_ACCELEROMETER	0.15075684	3.2937164	8.892929
1559715738408	TYPE_MAGNETIC_FIELD	30.42	5.04	-60.48
1559715738408	TYPE_GYROSCOPE	-0.09458923	-0.0769043	-0.26171875
1559715738408	TYPE_ROTATION_VECTOR	0.1544516	0.06910725	0.42220217
1559715738408	TYPE_MAGNETIC_FIELD_UNCALIBRATED	51.72	-34.739998	-181.73999
1559715738408	TYPE_GYROSCOPE_UNCALIBRATED	-0.12155151	-0.061691284	-0.3579712
1559715738408	TYPE_ACCELEROMETER_UNCALIBRATED	0.36730957	3.2973175	8.941986
1559715738428	TYPE_ACCELEROMETER	0.59103394	3.2865448	9.065216
1559715738428	TYPE_MAGNETIC_FIELD	30.359999	5.16	-60.78
1559715738428	TYPE_GYROSCOPE	-0.10984802	-0.07261658	-0.22994995
1559715738428	TYPE_ROTATION_VECTOR	0.15376472	0.06843615	0.41985908
1559715738428	TYPE_MAGNETIC_FIELD_UNCALIBRATED	51.659996	-34.62	-182.04
1559715738428	TYPE_GYROSCOPE_UNCALIBRATED	-0.09588623	-0.023208618	-0.32009888
1559715738428	TYPE_ACCELEROMETER_UNCALIBRATED	0.36730957	3.2973175	8.941986
1559715738448	TYPE_ACCELEROMETER	0.77407837	3.2781677	9.318848
1559715738448	TYPE_MAGNETIC_FIELD	29.88	5.46	-60.78
1559715738448	TYPE_GYROSCOPE	-0.15505981	-0.12269592	-0.26843262
1559715738448	TYPE_ROTATION_VECTOR	0.152949	0.06769596	0.41780838
1559715738448	TYPE_MAGNETIC_FIELD_UNCALIBRATED	51.18	-34.32	-182.04
1559715738448	TYPE_GYROSCOPE_UNCALIBRATED	-0.14170837	-0.047027588	-0.31704712
1559715738448	TYPE_ACCELEROMETER_UNCALIBRATED	0.74417114	3.3535461	9.3511505
1559715738467	TYPE_ACCELEROMETER	0.6089783	3.4923248	9.256638
1559715738467	TYPE_MAGNETIC_FIELD	29.76	5.8799996	-60.66
1559715738467	TYPE_GYROSCOPE	-0.119628906	-0.19355774	-0.35334778
1559715738467	TYPE_ROTATION_VECTOR	0.15191501	0.06639042	0.415376
1559715738467	TYPE_MAGNETIC_FIELD_UNCALIBRATED	51.059998	-33.899998	-181.92
1559715738467	TYPE_GYROSCOPE_UNCALIBRATED	-0.15452576	-0.11972046	-0.3885193
1559715738467	TYPE_ACCELEROMETER_UNCALIBRATED	0.74417114	3.3535461	9.3511505
1559715738487	TYPE_ACCELEROMETER	0.31825256	3.8285217	8.8654175
1559715738487	TYPE_MAGNETIC_FIELD	29.279999	5.8799996	-60.48
1559715738487	TYPE_GYROSCOPE	-0.013961792	-0.20516968	-0.4119873
1559715738487	TYPE_ROTATION_VECTOR	0.1514195	0.064730726	0.41206592
1559715738487	TYPE_MAGNETIC_FIELD_UNCALIBRATED	50.579998	-33.899998	-181.73999
1559715738487	TYPE_GYROSCOPE_UNCALIBRATED	-0.073898315	-0.16369629	-0.46913147
1559715738487	TYPE_ACCELEROMETER_UNCALIBRATED	0.4247284	3.6598206	9.060425
1559715738507	TYPE_ACCELEROMETER	0.16151428	4.1479645	8.531616
1559715738507	TYPE_MAGNETIC_FIELD	29.22	6.18	-60.48
1559715738507	TYPE_GYROSCOPE	0.06484985	-0.14530945	-0.40403748
1559715738507	TYPE_ROTATION_VECTOR	0.15185943	0.06347855	0.40814573
1559715738507	TYPE_MAGNETIC_FIELD_UNCALIBRATED	50.519997	-33.6	-181.73999
1559715738507	TYPE_GYROSCOPE_UNCALIBRATED	0.027496338	-0.14476013	-0.4929657
1559715738507	TYPE_ACCELEROMETER_UNCALIBRATED	0.26202393	4.003189	8.702698
1559715738526	TYPE_ACCELEROMETER	-0.0382843	4.3322144	8.327026
1559715738526	TYPE_MAGNETIC_FIELD	28.98	6.06	-60.539997
1559715738526	TYPE_GYROSCOPE	0.08317566	-0.043289185	-0.35334778
1559715738526	TYPE_ROTATION_VECTOR	0.15185943	0.06347855	0.40814573
1559715738526	TYPE_MAGNETIC_FIELD_UNCALIBRATED	50.519997	-33.6	-181.73999
1559715738526	TYPE_GYROSCOPE_UNCALIBRATED	0.0806427	-0.045196533	-0.46302795
1559715738526	TYPE_ACCELEROMETER_UNCALIBRATED	0.049057007	4.243683	8.382065
1559715738546	TYPE_ACCELEROMETER	-0.24168396	4.3824615	8.496918
1559715738546	TYPE_MAGNETIC_FIELD	28.98	6.06	-60.539997
1559715738546	TYPE_GYROSCOPE	-0.007232666	0.022064209	-0.26904297
1559715738546	TYPE_ROTATION_VECTOR	0.15345044	0.063529246	0.401082
1559715738546	TYPE_MAGNETIC_FIELD_UNCALIBRATED	50.159996	-33.54	-181.68
1559715738546	TYPE_GYROSCOPE_UNCALIBRATED	0.047042847	0.033599854	-0.3909607
1559715738546	TYPE_ACCELEROMETER_UNCALIBRATED	-0.35533142	4.302307	8.717056
1559715738566	TYPE_ACCELEROMETER	-0.38165283	4.1886444	8.995819
1559715738566	TYPE_MAGNETIC_FIELD	28.859999	6.24	-60.42
1559715738566	TYPE_GYROSCOPE	-0.15811157	0.044662476	-0.17741394
1559715738566	TYPE_ROTATION_VECTOR	0.15345044	0.063529246	0.401082
1559715738566	TYPE_MAGNETIC_FIELD_UNCALIBRATED	50.159996	-33.54	-181.68
1559715738566	TYPE_GYROSCOPE_UNCALIBRATED	-0.085510254	0.08979797	-0.30299377
1559715738566	TYPE_ACCELEROMETER_UNCALIBRATED	-0.35533142	4.302307	8.717056
1559715738585	TYPE_ACCELEROMETER	-0.25483704	3.9840546	9.635895
1559715738585	TYPE_MAGNETIC_FIELD	28.859999	6.24	-60.42
1559715738585	TYPE_GYROSCOPE	-0.28761292	-0.048797607	-0.09434509
1559715738585	TYPE_ROTATION_VECTOR	0.15345044	0.063529246	0.401082
1559715738585	TYPE_MAGNETIC_FIELD_UNCALIBRATED	50.159996	-33.54	-181.68
1559715738585	TYPE_GYROSCOPE_UNCALIBRATED	-0.23394775	0.05253601	-0.21012878
1559715738585	TYPE_ACCELEROMETER_UNCALIBRATED	-0.20100403	3.895523	9.821335
1559715738605	TYPE_ACCELEROMETER	-0.093322754	3.8428802	9.887146
1559715738605	TYPE_MAGNETIC_FIELD	28.859999	6.2999997	-60.539997
1559715738605	TYPE_GYROSCOPE	-0.33465576	-0.20028687	-0.066848755
1559715738605	TYPE_ROTATION_VECTOR	0.15244061	0.06425983	0.39792034
1559715738605	TYPE_MAGNETIC_FIELD_UNCALIBRATED	50.159996	-33.48	-181.79999
1559715738605	TYPE_GYROSCOPE_UNCALIBRATED	-0.32862854	-0.07511902	-0.15150452
1559715738605	TYPE_ACCELEROMETER_UNCALIBRATED	0.08973694	3.8500519	9.845276
1559715738625	TYPE_ACCELEROMETER	0.2979126	3.878769	9.69812
1559715738625	TYPE_MAGNETIC_FIELD	28.8	6.3599997	-60.48
1559715738625	TYPE_GYROSCOPE	-0.27723694	-0.35116577	-0.07722473
1559715738625	TYPE_ROTATION_VECTOR	0.14904554	0.06274473	0.3965936
1559715738625	TYPE_MAGNETIC_FIELD_UNCALIBRATED	50.1	-33.42	-181.73999
1559715738625	TYPE_GYROSCOPE_UNCALIBRATED	-0.32252502	-0.24188232	-0.14782715
1559715738625	TYPE_ACCELEROMETER_UNCALIBRATED	0.45344543	3.8907318	9.450455
1559715738645	TYPE_ACCELEROMETER	0.5359955	3.9254303	9.139389
1559715738645	TYPE_MAGNETIC_FIELD	28.68	6.66	-60.66
1559715738645	TYPE_GYROSCOPE	-0.14100647	-0.37071228	-0.11936951
1559715738645	TYPE_ROTATION_VECTOR	0.14681488	0.059772037	0.3959121
1559715738645	TYPE_MAGNETIC_FIELD_UNCALIBRATED	49.98	-33.12	-181.92
1559715738645	TYPE_GYROSCOPE_UNCALIBRATED	-0.22050476	-0.33840942	-0.17164612
1559715738645	TYPE_ACCELEROMETER_UNCALIBRATED	0.45344543	3.8907318	9.450455
1559715738664	TYPE_ACCELEROMETER	0.5635071	4.0378876	8.5699005
1559715738664	TYPE_MAGNETIC_FIELD	28.5	7.08	-60.719997
1559715738664	TYPE_GYROSCOPE	0.0074310303	-0.26075745	-0.17558289
1559715738664	TYPE_ROTATION_VECTOR	0.14577964	0.052019417	0.39336893
1559715738664	TYPE_MAGNETIC_FIELD_UNCALIBRATED	49.8	-32.699997	-181.98
1559715738664	TYPE_GYROSCOPE_UNCALIBRATED	-0.0665741	-0.28160095	-0.2278595
1559715738664	TYPE_ACCELEROMETER_UNCALIBRATED	0.56710815	3.9912415	8.842682
1559715738684	TYPE_ACCELEROMETER	0.43669128	4.0737915	8.169098
1559715738684	TYPE_MAGNETIC_FIELD	28.5	7.08	-60.719997
1559715738684	TYPE_GYROSCOPE	0.09233093	-0.12269592	-0.21772766
1559715738684	TYPE_ROTATION_VECTOR	0.14577964	0.052019417	0.39336893
1559715738684	TYPE_MAGNETIC_FIELD_UNCALIBRATED	49.8	-32.699997	-181.98
1559715738684	TYPE_GYROSCOPE_UNCALIBRATED	0.05558777	-0.14842224	-0.27671814
1559715738684	TYPE_ACCELEROMETER_UNCALIBRATED	0.30628967	4.1264343	8.118851
1559715738704	TYPE_ACCELEROMETER	0.13041687	4.155136	8.115265
1559715738704	TYPE_MAGNETIC_FIELD	28.199999	7.56	-60.719997
1559715738704	TYPE_GYROSCOPE	0.11187744	0.04588318	-0.24949646
1559715738704	TYPE_ROTATION_VECTOR	0.1479494	0.049539864	0.38927084
1559715738704	TYPE_MAGNETIC_FIELD_UNCALIBRATED	49.5	-32.219997	-181.98
1559715738704	TYPE_GYROSCOPE_UNCALIBRATED	0.102630615	-0.0036621094	-0.3146057
1559715738704	TYPE_ACCELEROMETER_UNCALIBRATED	0.30628967	4.1264343	8.118851
1559715738717	TYPE_WIFI	385b6477fffbcafa38aa530392f5b5f56b330d94	964c5634ddbd189d1aa6006b69c18e11d8951a25	-90	5200	1559715714248
1559715738717	TYPE_WIFI	7781c4b7ffe3aa2e02b878dc3b89ce46627fb8f0	afcc9987157a4bc0b766710fee7cba963a0e42d7	-90	5200	1559715714248
1559715738717	TYPE_WIFI	3ff6ca7c05093511cb83a9e64457f9fc52b1bd5a	89f0b02df47d96f4edfa0f9c5471b44be2c95290	-82	2472	1559715728295
1559715738717	TYPE_WIFI	84a2d747d44588947582221732f73ab72bb0ff76	bb41bb2241e78bfe437c7394b3c0351fb85b4a78	-80	5745	1559715732703
1559715738717	TYPE_WIFI	385b6477fffbcafa38aa530392f5b5f56b330d94	4fc9882ca0b061762c82e50a410576aeddee65d4	-87	5180	1559715714933
1559715738717	TYPE_WIFI	7781c4b7ffe3aa2e02b878dc3b89ce46627fb8f0	f2d0a131591cf8206d7d587310b2361764e3211e	-87	5180	1559715714934
1559715738717	TYPE_WIFI	39db40987727b4404daf02cef84642c6678851d3	92743ed3eeb885fd1acab3a4cb90b5f399a93012	-64	2412	1559715716106
1559715738717	TYPE_WIFI	0e68ed684eceaf753b964d6c575bf5b909b84073	52c754540e289d88987abbcd590a1a15b5aa8bf8	-61	2412	1559715714956
1559715738717	TYPE_WIFI	8a07e7a63d12d4bc21ffb1a6f240e16429eea8e2	0c9fd57f7bedbc7703b9fc63d7571f9edc528808	-67	2432	1559715732844
1559715738717	TYPE_WIFI	192d473f2f13ad73b027f370af5a19afea6c57b7	7aea4855008c6bafb90a15441ff7b2f8a41a1dbc	-82	2412	1559715729892
1559715738717	TYPE_WIFI	e2e8861af49980529db0103296c23ea459032441	6e7b73842d2f782077f88ee622e6c8145d7a26aa	-60	2412	1559715714976
1559715738717	TYPE_WIFI	47324dc7734cf43ca8a7c8168864b778713725cd	056aaa462ba88c544b2a01d8e0f465ca03b3bbc3	-63	2437	1559715732878
1559715738717	TYPE_WIFI	ced440582f1d0cde697e367d871a3367bd04060e	bda242546fdc88d358d5ef1f3953a24411e16c93	-82	2437	1559715724785
1559715738717	TYPE_WIFI	10406c62fae470127b18b1858d82470c5a0ad743	532617ebf691da2584db7416335b1989b6941204	-70	2457	1559715720172
1559715738717	TYPE_WIFI	c77e8803d4b4af2ade462b9274c975d0e3892cc0	012959e15002388482b496bd6e1042a7d9ad5968	-85	2412	1559715725278
1559715738717	TYPE_WIFI	183870db74dd50b819f3df104d81ac5182043307	70cc886ad509921376ce94cf9b538c268336c0c6	-63	2412	1559715729884
1559715738717	TYPE_WIFI	31698777ff29cdd24c4d53b64b699a306ae60672	9b99f2483f567da41e4d763203e0cac0a7085d1e	-78	2412	1559715716843
1559715738717	TYPE_WIFI	2f04f5efcb6fed1888d171b42db6896053ef81b4	858c66ff462422f95a9eeece33522ada846bd2aa	-67	2432	1559715727330
1559715738717	TYPE_WIFI	33d3df8fb29199e09f2e2e2a4a97e2764d608e91	bd191f51baa3bac2757ed11c819ea8df1bfd3eb5	-67	2412	1559715727873
1559715738717	TYPE_WIFI	3b97f6dd01fe1eaa0a6aff741e9ebadfa229cae2	33139553cd27ba80cf7c140e669b6f69931f00a5	-55	2412	1559715738140
1559715738717	TYPE_WIFI	d9cfe2d103b63e7f69808392b8fa24887bffbf46	b5db2cb3e56afe29a5e57ff76043e1295444f0d5	-66	2412	1559715726539
1559715738717	TYPE_WIFI	da39a3ee5e6b4b0d3255bfef95601890afd80709	d583260a7fe79f9eeaca6da963bd2fa9a7ed903a	-61	2412	1559715717991
1559715738717	TYPE_WIFI	2241a80de9ceb4636760335eed9f913a0717f251	1fdad20777e2aae5f4bc10546d39e4064f0ddaa4	-60	2412	1559715726518
1559715738717	TYPE_WIFI	751ea4f63667a2db47a10ebc6efb5ab3772bf35c	b4891179a08ba3240809baa2ce28d31a0cf08de6	-89	5785	1559715729976
1559715738717	TYPE_WIFI	cc15c80cf9981b80611e6de759d276503d5bcc0a	91074f38cf0cc815b7c4ee80023fd12695219b11	-68	2462	1559715733066
1559715738717	TYPE_WIFI	41d2bd519464264440ec4db395e13614b268a9c5	f5c973b2579f900b5d2383637fc376042b193ca2	-88	5745	1559715738198
1559715738717	TYPE_WIFI	da39a3ee5e6b4b0d3255bfef95601890afd80709	e9a5cfa51bc7cc9bcb42153ab0c2fbae3cade8b8	-87	5745	1559715727905
1559715738717	TYPE_WIFI	42ce3335102925df7d6d061c67e4df88dab393c9	16d56c29539a44085ab5f7f6ca5d27c82269daab	-77	2447	1559715726745
1559715738717	TYPE_WIFI	b38f48b4503a07801b74367dc3305f21dc076893	82e70fe0b32555a03330695b419de5a47b8154cc	-64	2437	1559715732875
1559715738717	TYPE_WIFI	61bf2700cef0da6766600d839fb6baf55d621c71	724810482d26a77853587f23ccf850e3e9079567	-53	2462	1559715730283
1559715738717	TYPE_WIFI	39db40987727b4404daf02cef84642c6678851d3	9e549364b6cf0579e044be7ccf8241ce75989132	-64	2412	1559715738168
1559715738717	TYPE_WIFI	61bf2700cef0da6766600d839fb6baf55d621c71	6d770c639120dbc57ad2856f324ede185b813947	-73	5745	1559715738195
1559715738717	TYPE_WIFI	e2e8861af49980529db0103296c23ea459032441	0b9ff91182c707fca3e64b796f8bead5f2676086	-63	2412	1559715738163
1559715738717	TYPE_WIFI	10a053717d788ecbfd13ac85ca491ed932f3c372	c946900356fdad017f2fca257ebe13218247be2e	-79	2452	1559715720160
1559715738717	TYPE_WIFI	47324dc7734cf43ca8a7c8168864b778713725cd	4a5b5973c196fdf40af39abdf8704652fd156fe4	-68	2437	1559715738293
1559715738717	TYPE_WIFI	b20af29d93476fda77b314abc649fa146ac38ddf	4c9dc3edc5fd433ded84edd15a712432fa8794fc	-65	2462	1559715738533
1559715738717	TYPE_WIFI	41d2bd519464264440ec4db395e13614b268a9c5	7032845829d8e83bb68d24fdfe52c0e3348bab51	-63	2412	1559715729212
1559715738717	TYPE_WIFI	1c8d9e52f0077e8a857401d825202db821f82303	80663c308f8ccf4978461e8d5da8d310153bce2f	-45	2457	1559715738487
1559715738717	TYPE_WIFI	b6343db0a3182b2071f4c1bffc6f36e13d92d529	a49b1a7f1240282bff1e3dbb3575628db266439f	-45	2457	1559715738492
1559715738717	TYPE_WIFI	385b6477fffbcafa38aa530392f5b5f56b330d94	1cfd6544cf261bd832aa08439315d2a67ff4081d	-92	5300	1559715738551
1559715738717	TYPE_WIFI	7781c4b7ffe3aa2e02b878dc3b89ce46627fb8f0	a82579c952d27ed5199f4fe5d5a0fa992e42196f	-91	5300	1559715723703
1559715738717	TYPE_WIFI	da39a3ee5e6b4b0d3255bfef95601890afd80709	f5720a1eab37238869d7fd3cfe52f13aae836a8a	-93	5300	1559715724933
1559715738717	TYPE_WIFI	3b32b1716ffeabca5ede84dfa3b306e944311cc3	611b03417e7eba78cfd648b1ec1da04f65ffb6af	-49	2412	1559715738204
1559715738717	TYPE_WIFI	385b6477fffbcafa38aa530392f5b5f56b330d94	999b689621e25b4f92854a79bac48b8425018e93	-82	5220	1559715738150
1559715738717	TYPE_WIFI	7781c4b7ffe3aa2e02b878dc3b89ce46627fb8f0	c0d8fd4772d3dd8f37c85ae64adbe8b3e8b7bd93	-81	5220	1559715738152
1559715738717	TYPE_WIFI	059ddb114906c41c15632fad40e53b4f15988149	0cb38b116abcb42d53a88381efd23958bb23e063	-81	5745	1559715732696
1559715738717	TYPE_WIFI	3434f31d509384a07e1841cb0bf400edf9ba32b2	cdf212c3e0d7029808ef82a44f556356e5c867b6	-86	5745	1559715738203
1559715738717	TYPE_WIFI	b38f48b4503a07801b74367dc3305f21dc076893	bbe3146f529c0fef770f7706993b1877c87324e8	-70	2437	1559715726040
1559715738717	TYPE_WIFI	da39a3ee5e6b4b0d3255bfef95601890afd80709	e683d6f3fe5071bbec70e7f2630963d312fb2eb9	-87	5220	1559715714273
1559715738717	TYPE_WIFI	385b6477fffbcafa38aa530392f5b5f56b330d94	da34cde4451865e1478dc1841ea76be6e217414f	-88	5805	1559715738267
1559715738717	TYPE_WIFI	7781c4b7ffe3aa2e02b878dc3b89ce46627fb8f0	c79a97d74a00c9e63813eaa76a21dd6b12fc320f	-90	5805	1559715738267
1559715738717	TYPE_WIFI	b38f48b4503a07801b74367dc3305f21dc076893	8d6fb6af54dd81e43acfeb75f6cbc2afa570c143	-72	2437	1559715732859
1559715738717	TYPE_WIFI	1c8d9e52f0077e8a857401d825202db821f82303	aab596d835742349ef106bcf02c3d81e9e9db3fa	-49	2457	1559715738481
1559715738717	TYPE_WIFI	1304caa854a2df719ca6a0e1405ba284e2ac2405	3e73cf0594940779be2e09bd16427c0dfe1fb417	-64	2462	1559715738521
1559715738717	TYPE_WIFI	a3e0eed815f4739e79f965aa0e47dad35710fade	47f7dfe5fb786f14328ae6329efcb671c56f1820	-79	2462	1559715714646
1559715738717	TYPE_WIFI	bd9f7d40a5dea2383cc60e57706c6cac50aea35f	f84a56b9b8c3f57de7240cebd6b8172c14446778	-63	2462	1559715729588
1559715738717	TYPE_WIFI	f368c2a27ad447076eda8e3cef7c9ef46cb12fa3	b8b50870ab24748163925cbbbff469236d00c713	-61	2412	1559715729907
1559715738717	TYPE_WIFI	385b6477fffbcafa38aa530392f5b5f56b330d94	3672d01faea94555f52c4686d3194eee806ce2aa	-86	5260	1559715730052
1559715738717	TYPE_WIFI	da39a3ee5e6b4b0d3255bfef95601890afd80709	2ad5dc8b09cb59bae231f3e4937bf2b84bc040b5	-85	5260	1559715729401
1559715738717	TYPE_WIFI	7781c4b7ffe3aa2e02b878dc3b89ce46627fb8f0	24710143264f903c1178410f3a425a8e5592f927	-87	5260	1559715730052
1559715738717	TYPE_WIFI	d3a403819197968ff83f121a6e8565f7955f4d10	af90ccfbf1d1273e0d988b030cbeb504b913666f	-83	2462	1559715715310
1559715738717	TYPE_WIFI	059ddb114906c41c15632fad40e53b4f15988149	5845cdc426f218a2bd75e00749343127c416e751	-91	5745	1559715721302
1559715738717	TYPE_WIFI	da39a3ee5e6b4b0d3255bfef95601890afd80709	3f7a607b5e5d6e4aa89e2cb01f68217b14451b48	-70	2462	1559715733049
