#	startTime:1559715833342
#	SiteID:5cd56ba1e2acfd2d33b603af	SiteName:新天地时尚	FloorId:5cd56ba3e2acfd2d33b608c6	FloorName:B1
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190529-nightly	VersionCode:258	
1559715833343	TYPE_WAYPOINT	35.724213	151.67459
1559715833476	TYPE_ACCELEROMETER	-0.10169983	2.7637177	9.589249
1559715833476	TYPE_MAGNETIC_FIELD	-25.439999	-9.42	-40.92
1559715833476	TYPE_GYROSCOPE	-0.03135681	0.5055542	1.1560974
1559715833476	TYPE_ROTATION_VECTOR	0.12033382	-0.094534785	-0.647773
1559715833476	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-4.1399994	-49.199997	-162.18
1559715833476	TYPE_GYROSCOPE_UNCALIBRATED	-0.006088257	0.7305908	1.4709473
1559715833476	TYPE_ACCELEROMETER_UNCALIBRATED	-0.10169983	2.7637177	9.589249
1559715833496	TYPE_ACCELEROMETER	-0.12562561	2.646469	9.652649
1559715833496	TYPE_MAGNETIC_FIELD	-25.32	-9.3	-41.16
1559715833496	TYPE_GYROSCOPE	-0.087249756	-0.029251099	-0.022262573
1559715833496	TYPE_ROTATION_VECTOR	0.10831292	-0.086903	-0.64696765
1559715833496	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-4.0200005	-49.079998	-162.42
1559715833496	TYPE_GYROSCOPE_UNCALIBRATED	-0.035720825	0.54885864	1.0775604
1559715833496	TYPE_ACCELEROMETER_UNCALIBRATED	-0.12562561	2.646469	9.652649
1559715833516	TYPE_ACCELEROMETER	-0.15792847	2.683548	9.477982
1559715833516	TYPE_MAGNETIC_FIELD	-25.08	-9.12	-41.46
1559715833516	TYPE_GYROSCOPE	0.019042969	-0.01399231	-0.017974854
1559715833516	TYPE_ROTATION_VECTOR	0.10458804	-0.08288214	-0.65012443
1559715833516	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-3.7800007	-48.899998	-162.72
1559715833516	TYPE_GYROSCOPE_UNCALIBRATED	-0.09161377	0.014053345	-0.10079956
1559715833516	TYPE_ACCELEROMETER_UNCALIBRATED	-0.15792847	2.683548	9.477982
1559715833535	TYPE_ACCELEROMETER	-0.20578003	2.6644135	9.293716
1559715833535	TYPE_MAGNETIC_FIELD	-24.84	-9.059999	-41.64
