#	startTime:1559716010868
#	SiteID:5cd56ba1e2acfd2d33b603af	SiteName:新天地时尚	FloorId:5cd56ba3e2acfd2d33b608c6	FloorName:B1
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190529-nightly	VersionCode:258	
1559716010868	TYPE_WAYPOINT	72.828926	43.535103
1559716010996	TYPE_ACCELEROMETER	-0.11845398	2.6416779	10.262817
1559716010996	TYPE_MAGNETIC_FIELD	0.71999997	-36.36	-9.36
1559716010996	TYPE_GYROSCOPE	0.10394287	0.30397034	0.59991455
1559716010996	TYPE_ROTATION_VECTOR	-0.0038790875	0.14142102	0.9899292
1559716010996	TYPE_MAGNETIC_FIELD_UNCALIBRATED	25.259998	-85.5	-164.87999
1559716010996	TYPE_GYROSCOPE_UNCALIBRATED	0.09957886	0.34727478	0.52137756
1559716010996	TYPE_ACCELEROMETER_UNCALIBRATED	-0.12921143	2.5651093	10.281967
1559716011016	TYPE_ACCELEROMETER	-0.095718384	2.5375977	10.054642
1559716011016	TYPE_MAGNETIC_FIELD	0.65999997	-36.54	-9.48
1559716011016	TYPE_GYROSCOPE	0.053237915	0.17782593	-0.029586792
1559716011016	TYPE_ROTATION_VECTOR	-0.005334674	0.12484499	0.9921615
1559716011016	TYPE_MAGNETIC_FIELD_UNCALIBRATED	25.199999	-85.68	-164.99998
1559716011016	TYPE_GYROSCOPE_UNCALIBRATED	0.09957886	0.34727478	0.52137756
1559716011016	TYPE_ACCELEROMETER_UNCALIBRATED	-0.0012054443	2.548355	9.676575
1559716011036	TYPE_ACCELEROMETER	0.1483612	2.568695	9.280563
1559716011036	TYPE_MAGNETIC_FIELD	0.53999996	-36.66	-9.48
1559716011036	TYPE_GYROSCOPE	0.11616516	0.1191864	-0.02041626
1559716011036	TYPE_ROTATION_VECTOR	-0.0040649357	0.122925304	0.9924077
1559716011036	TYPE_MAGNETIC_FIELD_UNCALIBRATED	25.079998	-85.8	-164.99998
1559716011036	TYPE_GYROSCOPE_UNCALIBRATED	0.0488739	0.22113037	-0.10812378
1559716011036	TYPE_ACCELEROMETER_UNCALIBRATED	0.2859497	2.604599	8.985046
1559716011055	TYPE_ACCELEROMETER	0.33499146	2.6273193	8.888138
1559716011055	TYPE_MAGNETIC_FIELD	0.65999997	-36.78	-9.3
1559716011055	TYPE_GYROSCOPE	0.003768921	0.048324585	-0.04486084
1559716011055	TYPE_ROTATION_VECTOR	0.009944689	0.13399401	0.99075204
1559716011055	TYPE_MAGNETIC_FIELD_UNCALIBRATED	25.199999	-85.92	-164.81999
1559716011055	TYPE_GYROSCOPE_UNCALIBRATED	0.11180115	0.16249084	-0.09895325
1559716011055	TYPE_ACCELEROMETER_UNCALIBRATED	0.30747986	2.6249237	9.003006
1559716011075	TYPE_ACCELEROMETER	0.25602722	2.6141663	9.22673
1559716011075	TYPE_MAGNETIC_FIELD	0.65999997	-36.899998	-9.3
1559716011075	TYPE_GYROSCOPE	-0.14100647	-0.04574585	-0.087020874
1559716011075	TYPE_ROTATION_VECTOR	0.020363206	0.14256506	0.989416
1559716011075	TYPE_MAGNETIC_FIELD_UNCALIBRATED	25.199999	-86.03999	-164.81999
1559716011075	TYPE_GYROSCOPE_UNCALIBRATED	-5.950928E-4	0.09162903	-0.12339783
1559716011075	TYPE_ACCELEROMETER_UNCALIBRATED	0.30747986	2.6249237	9.003006
1559716011095	TYPE_ACCELEROMETER	0.1710968	2.5926208	9.631119
1559716011095	TYPE_MAGNETIC_FIELD	0.48	-37.079998	-9.36
1559716011095	TYPE_GYROSCOPE	-0.1513977	-0.0335083	-0.09373474
1559716011095	TYPE_ROTATION_VECTOR	0.014809746	0.13551508	0.9905495
1559716011095	TYPE_MAGNETIC_FIELD_UNCALIBRATED	25.019999	-86.22	-164.87999
1559716011095	TYPE_GYROSCOPE_UNCALIBRATED	-0.14537048	-0.0024414062	-0.16555786
1559716011095	TYPE_ACCELEROMETER_UNCALIBRATED	0.1986084	2.5938263	9.71846
1559716011114	TYPE_ACCELEROMETER	0.270401	2.5830536	9.711273
1559716011114	TYPE_MAGNETIC_FIELD	0.71999997	-37.079998	-9.36
1559716011114	TYPE_GYROSCOPE	-0.051818848	0.029388428	-0.07601929
1559716011114	TYPE_ROTATION_VECTOR	0.01498466	0.13404521	0.9907316
1559716011114	TYPE_MAGNETIC_FIELD_UNCALIBRATED	25.259998	-86.22	-164.87999
1559716011114	TYPE_GYROSCOPE_UNCALIBRATED	-0.15576172	0.009796143	-0.17227173
1559716011114	TYPE_ACCELEROMETER_UNCALIBRATED	0.33261108	2.5794678	9.607193
1559716011134	TYPE_ACCELEROMETER	0.35653687	2.5878448	9.467209
1559716011134	TYPE_MAGNETIC_FIELD	0.53999996	-37.079998	-9.48
1559716011134	TYPE_GYROSCOPE	0.039794922	0.07092285	-0.07785034
1559716011134	TYPE_ROTATION_VECTOR	0.0145938955	0.13355131	0.9907924
1559716011134	TYPE_MAGNETIC_FIELD_UNCALIBRATED	25.079998	-86.22	-164.99998
1559716011134	TYPE_GYROSCOPE_UNCALIBRATED	-0.05618286	0.07269287	-0.15455627
1559716011134	TYPE_ACCELEROMETER_UNCALIBRATED	0.3625183	2.597412	9.292526
1559716011154	TYPE_ACCELEROMETER	0.37327576	2.5986023	9.135803
1559716011154	TYPE_MAGNETIC_FIELD	0.42	-36.899998	-9.78
1559716011154	TYPE_GYROSCOPE	0.048965454	0.033050537	-0.0967865
1559716011154	TYPE_ROTATION_VECTOR	0.0138105955	0.13395663	0.9907375
1559716011154	TYPE_MAGNETIC_FIELD_UNCALIBRATED	24.96	-86.03999	-165.29999
1559716011154	TYPE_GYROSCOPE_UNCALIBRATED	0.03543091	0.114227295	-0.15638733
1559716011154	TYPE_ACCELEROMETER_UNCALIBRATED	0.37806702	2.617752	9.032913
1559716011173	TYPE_ACCELEROMETER	0.35055542	2.6536407	8.995819
1559716011173	TYPE_MAGNETIC_FIELD	0.48	-36.899998	-9.78
1559716011173	TYPE_GYROSCOPE	-0.015167236	-0.012756348	-0.12489319
1559716011173	TYPE_ROTATION_VECTOR	0.013367789	0.13445182	0.9906604
1559716011173	TYPE_MAGNETIC_FIELD_UNCALIBRATED	25.019999	-86.03999	-165.29999
1559716011173	TYPE_GYROSCOPE_UNCALIBRATED	0.04460144	0.07635498	-0.17532349
1559716011173	TYPE_ACCELEROMETER_UNCALIBRATED	0.2871399	2.6799622	9.0711975
1559716011193	TYPE_ACCELEROMETER	0.23928833	2.6823578	9.196823
1559716011193	TYPE_MAGNETIC_FIELD	0.78	-36.899998	-9.719999
