#	startTime:1559716157903
#	SiteID:5cd56ba1e2acfd2d33b603af	SiteName:新天地时尚	FloorId:5cd56ba1e2acfd2d33b604d3	FloorName:F1
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190529-nightly	VersionCode:258	
1559716157904	TYPE_WAYPOINT	61.962708	48.29323
1559716158069	TYPE_ACCELEROMETER	-0.23928833	2.3509521	9.814163
1559716158069	TYPE_MAGNETIC_FIELD	-26.519999	-4.02	-29.039999
1559716158069	TYPE_GYROSCOPE	-3.6543884	0.9404907	2.552536
1559716158069	TYPE_ROTATION_VECTOR	0.09324908	-0.07555318	-0.67711186
1559716158069	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-10.440001	-49.08	-167.52
1559716158069	TYPE_GYROSCOPE_UNCALIBRATED	-10.773468	2.4333801	7.500183
1559716158069	TYPE_ACCELEROMETER_UNCALIBRATED	-0.10887146	2.4299164	9.546173
1559716158089	TYPE_ACCELEROMETER	-0.3409729	2.2624207	9.812973
1559716158089	TYPE_MAGNETIC_FIELD	-26.58	-3.8999999	-28.56
1559716158089	TYPE_GYROSCOPE	-0.03288269	0.26579285	0.05532837
1559716158089	TYPE_ROTATION_VECTOR	0.09550475	-0.06555352	-0.66249305
1559716158089	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-10.380001	-48.9	-167.22
1559716158089	TYPE_GYROSCOPE_UNCALIBRATED	-0.081222534	0.2785492	-0.03604126
1559716158089	TYPE_ACCELEROMETER_UNCALIBRATED	-0.23928833	2.3509521	9.814163
1559716158109	TYPE_ACCELEROMETER	-0.19741821	2.2743835	9.55574
1559716158109	TYPE_MAGNETIC_FIELD	-26.519999	-3.8999999	-28.439999
1559716158109	TYPE_GYROSCOPE	0.041015625	0.22608948	0.09196472
1559716158109	TYPE_ROTATION_VECTOR	0.09330589	-0.06498424	-0.6708709
1559716158109	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-10.32	-48.9	-167.1
1559716158109	TYPE_GYROSCOPE_UNCALIBRATED	0.006729126	0.3109436	-0.002456665
1559716158109	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3409729	2.2624207	9.812973
1559716158128	TYPE_ACCELEROMETER	-0.046661377	2.3724823	9.3667145
1559716158128	TYPE_MAGNETIC_FIELD	-26.34	-3.8999999	-28.32
1559716158128	TYPE_GYROSCOPE	0.03553772	0.092300415	0.07670593
1559716158128	TYPE_ROTATION_VECTOR	0.091753565	-0.07731054	-0.6650876
1559716158128	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-10.140001	-48.9	-166.98001
1559716158128	TYPE_GYROSCOPE_UNCALIBRATED	0.04399109	0.1979065	0.014038086
1559716158128	TYPE_ACCELEROMETER_UNCALIBRATED	-0.19741821	2.2743835	9.55574
1559716158148	TYPE_ACCELEROMETER	-0.051452637	2.477768	9.244675
1559716158148	TYPE_MAGNETIC_FIELD	-26.34	-3.8999999	-28.32
1559716158148	TYPE_GYROSCOPE	0.0013122559	0.035507202	0.027832031
1559716158148	TYPE_ROTATION_VECTOR	0.091753565	-0.07731054	-0.6650876
1559716158148	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-10.140001	-48.9	-166.98001
1559716158148	TYPE_GYROSCOPE_UNCALIBRATED	0.01222229	0.098968506	-0.027496338
1559716158148	TYPE_ACCELEROMETER_UNCALIBRATED	-0.046661377	2.3724823	9.3667145
1559716158168	TYPE_ACCELEROMETER	-0.12562561	2.5794678	9.048462
1559716158168	TYPE_MAGNETIC_FIELD	-26.34	-3.8999999	-28.32
1559716158168	TYPE_GYROSCOPE	-0.010894775	0.03366089	-2.746582E-4
1559716158168	TYPE_ROTATION_VECTOR	0.091753565	-0.07731054	-0.6650876
1559716158168	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-10.140001	-48.9	-166.98001
1559716158168	TYPE_GYROSCOPE_UNCALIBRATED	-0.01159668	0.073913574	-0.065979004
1559716158168	TYPE_ACCELEROMETER_UNCALIBRATED	-0.051452637	2.477768	9.244675
1559716158187	TYPE_ACCELEROMETER	-0.30508423	2.6141663	8.936005
1559716158187	TYPE_MAGNETIC_FIELD	-26.22	-3.6	-28.14
1559716158187	TYPE_GYROSCOPE	-0.03227234	0.05871582	-0.014923096
1559716158187	TYPE_ROTATION_VECTOR	0.11359702	-0.0831338	-0.64773005
1559716158187	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-10.08	-48.6	-166.8
1559716158187	TYPE_GYROSCOPE_UNCALIBRATED	-0.021972656	0.08308411	-0.08979797
1559716158187	TYPE_ACCELEROMETER_UNCALIBRATED	-0.12562561	2.5794678	9.048462
1559716158207	TYPE_ACCELEROMETER	-0.25842285	2.539978	9.047272
1559716158207	TYPE_MAGNETIC_FIELD	-26.22	-3.6	-28.14
1559716158207	TYPE_GYROSCOPE	-0.08358765	0.10147095	0.005844116
1559716158207	TYPE_ROTATION_VECTOR	0.11379829	-0.08270575	-0.6476171
1559716158207	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-10.02	-48.6	-166.8
1559716158207	TYPE_GYROSCOPE_UNCALIBRATED	-0.059249878	0.12828064	-0.086746216
1559716158207	TYPE_ACCELEROMETER_UNCALIBRATED	-0.30508423	2.6141663	8.936005
1559716158227	TYPE_ACCELEROMETER	-0.17947388	2.498108	9.260223
1559716158227	TYPE_MAGNETIC_FIELD	-25.92	-3.48	-28.14
1559716158227	TYPE_GYROSCOPE	-0.1477356	0.08924866	0.016220093
1559716158227	TYPE_ROTATION_VECTOR	0.11394614	-0.082055025	-0.6476871
1559716158227	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-9.720001	-48.48	-166.8
1559716158227	TYPE_GYROSCOPE_UNCALIBRATED	-0.12033081	0.1459961	-0.062316895
1559716158227	TYPE_ACCELEROMETER_UNCALIBRATED	-0.25842285	2.539978	9.047272
1559716158246	TYPE_ACCELEROMETER	-0.12322998	2.5770721	9.355942
1559716158246	TYPE_MAGNETIC_FIELD	-25.74	-3.54	-28.14
1559716158246	TYPE_GYROSCOPE	-0.19293213	0.011672974	-0.0014953613
1559716158246	TYPE_ROTATION_VECTOR	0.113973096	-0.08078789	-0.6475984
1559716158246	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-9.540001	-48.54	-166.8
1559716158246	TYPE_GYROSCOPE_UNCALIBRATED	-0.17897034	0.10139465	-0.06964111
1559716158246	TYPE_ACCELEROMETER_UNCALIBRATED	-0.17947388	2.498108	9.260223
1559716158266	TYPE_ACCELEROMETER	-0.15434265	2.6452637	9.278183
1559716158266	TYPE_MAGNETIC_FIELD	-25.74	-3.3	-28.26
1559716158266	TYPE_GYROSCOPE	-0.20210266	-0.071380615	-0.017974854
1559716158266	TYPE_ROTATION_VECTOR	0.11344465	-0.079212554	-0.64749503
