#	startTime:1559716525515
#	SiteID:5cd56ba1e2acfd2d33b603af	SiteName:新天地时尚	FloorId:5cd56ba1e2acfd2d33b604d3	FloorName:F1
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190529-nightly	VersionCode:258	
1559716525515	TYPE_WAYPOINT	18.060154	105.88616
1559716525637	TYPE_ACCELEROMETER	-0.27398682	3.488739	9.359528
1559716525637	TYPE_MAGNETIC_FIELD	-31.32	-4.2	-42.059998
1559716525637	TYPE_GYROSCOPE	0.015350342	-0.1471405	-0.38327026
1559716525637	TYPE_ROTATION_VECTOR	0.15917678	-0.09391517	-0.5485256
1559716525637	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-12.0	-53.1	-166.31999
1559716525637	TYPE_GYROSCOPE_UNCALIBRATED	0.010986328	-0.10383606	-0.46180725
1559716525637	TYPE_ACCELEROMETER_UNCALIBRATED	-0.24406433	3.4875488	9.20639
1559716525657	TYPE_ACCELEROMETER	-0.3014984	3.5126648	9.22673
1559716525657	TYPE_MAGNETIC_FIELD	-31.019999	-3.84	-42.12
1559716525657	TYPE_GYROSCOPE	-0.047851562	-0.102249146	-0.14411926
1559716525657	TYPE_ROTATION_VECTOR	0.15620376	-0.08560062	-0.53875023
1559716525657	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-11.699999	-52.739998	-166.37999
1559716525657	TYPE_GYROSCOPE_UNCALIBRATED	-0.01008606	-0.08888245	-0.38209534
1559716525657	TYPE_ACCELEROMETER_UNCALIBRATED	-0.29193115	3.4995117	9.353546
1559716525677	TYPE_ACCELEROMETER	-0.3254242	3.5533447	8.916855
1559716525677	TYPE_MAGNETIC_FIELD	-30.9	-3.78	-42.12
1559716525677	TYPE_GYROSCOPE	0.0031433105	-0.059173584	-0.06562805
1559716525677	TYPE_ROTATION_VECTOR	0.15632169	-0.09086284	-0.56492525
1559716525677	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-11.58	-52.679996	-166.37999
1559716525677	TYPE_GYROSCOPE_UNCALIBRATED	-0.04763794	-0.034194946	-0.14355469
1559716525677	TYPE_ACCELEROMETER_UNCALIBRATED	-0.31944275	3.5330048	9.066406
1559716525696	TYPE_ACCELEROMETER	-0.25483704	3.4959106	8.829529
1559716525696	TYPE_MAGNETIC_FIELD	-30.9	-3.48	-42.12
1559716525696	TYPE_GYROSCOPE	0.033081055	-0.03352356	-0.057678223
1559716525696	TYPE_ROTATION_VECTOR	0.1652462	-0.09127914	-0.54895365
1559716525696	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-11.58	-52.379997	-166.37999
1559716525696	TYPE_GYROSCOPE_UNCALIBRATED	0.027496338	-0.0012207031	-0.14233398
1559716525696	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3014984	3.5401764	8.823547
1559716525716	TYPE_ACCELEROMETER	-0.10409546	3.3619232	9.1250305
1559716525716	TYPE_MAGNETIC_FIELD	-30.72	-3.3	-41.879997
1559716525716	TYPE_GYROSCOPE	-0.03288269	-0.023757935	-0.036315918
1559716525716	TYPE_ROTATION_VECTOR	0.16118988	-0.09567765	-0.5598328
1559716525716	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-11.4	-52.199997	-166.13998
1559716525716	TYPE_GYROSCOPE_UNCALIBRATED	0.0036773682	0.017105103	-0.12644958
1559716525716	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3014984	3.5401764	8.823547
1559716525736	TYPE_ACCELEROMETER	-0.053848267	3.2853394	9.442093
1559716525736	TYPE_MAGNETIC_FIELD	-30.72	-3.1799998	-41.82
1559716525736	TYPE_GYROSCOPE	-0.111694336	-0.039016724	-0.025924683
1559716525736	TYPE_ROTATION_VECTOR	0.14584583	-0.09740591	-0.56941384
