#	startTime:1559717243658
#	SiteID:5cd56ba1e2acfd2d33b603af	SiteName:新天地时尚	FloorId:5cd56ba1e2acfd2d33b604d3	FloorName:F1
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190529-nightly	VersionCode:258	
1559717243659	TYPE_WAYPOINT	44.824566	136.77385
1559717243801	TYPE_ACCELEROMETER	0.33380127	2.8773804	9.567703
1559717243801	TYPE_MAGNETIC_FIELD	6.42	-42.3	-33.36
1559717243801	TYPE_GYROSCOPE	-0.34136963	-0.5197754	-1.3288879
1559717243801	TYPE_ROTATION_VECTOR	0.04194923	0.14469078	0.9795438
1559717243801	TYPE_MAGNETIC_FIELD_UNCALIBRATED	24.6	-87.42	-168.0
1559717243801	TYPE_GYROSCOPE_UNCALIBRATED	-0.34573364	-0.47647095	-1.4074249
1559717243801	TYPE_ACCELEROMETER_UNCALIBRATED	0.44148254	2.9503632	9.548569
1559717243821	TYPE_ACCELEROMETER	0.1483612	2.7481537	9.655045
1559717243821	TYPE_MAGNETIC_FIELD	6.48	-42.3	-33.36
1559717243821	TYPE_GYROSCOPE	-0.0811615	0.057495117	-0.17529297
1559717243821	TYPE_ROTATION_VECTOR	0.035140783	0.14228913	0.98085624
1559717243821	TYPE_MAGNETIC_FIELD_UNCALIBRATED	24.66	-87.42	-168.0
1559717243821	TYPE_GYROSCOPE_UNCALIBRATED	-0.2590027	-0.28405762	-1.0229034
1559717243821	TYPE_ACCELEROMETER_UNCALIBRATED	0.33380127	2.8773804	9.567703
1559717243841	TYPE_ACCELEROMETER	-0.08973694	2.703888	9.923035
1559717243841	TYPE_MAGNETIC_FIELD	6.48	-42.18	-33.239998
1559717243841	TYPE_GYROSCOPE	-0.021270752	0.2639618	0.20436096
1559717243841	TYPE_ROTATION_VECTOR	0.021546539	0.13628133	0.98457646
1559717243841	TYPE_MAGNETIC_FIELD_UNCALIBRATED	24.66	-87.3	-167.88
1559717243841	TYPE_GYROSCOPE_UNCALIBRATED	-0.0061035156	0.30055237	0.12948608
1559717243841	TYPE_ACCELEROMETER_UNCALIBRATED	0.1483612	2.7481537	9.655045
1559717243860	TYPE_ACCELEROMETER	-0.20579529	2.7505493	10.1479645
1559717243860	TYPE_MAGNETIC_FIELD	6.54	-42.18	-33.059998
1559717243860	TYPE_GYROSCOPE	-0.059768677	0.2016449	0.19335938
1559717243860	TYPE_ROTATION_VECTOR	0.0094553	0.1322171	0.986124
1559717243860	TYPE_MAGNETIC_FIELD_UNCALIBRATED	24.720001	-87.3	-167.7
1559717243860	TYPE_GYROSCOPE_UNCALIBRATED	-0.049468994	0.29016113	0.12094116
1559717243860	TYPE_ACCELEROMETER_UNCALIBRATED	-0.08973694	2.703888	9.923035
1559717243880	TYPE_ACCELEROMETER	-0.16989136	2.7924347	9.816559
1559717243880	TYPE_MAGNETIC_FIELD	6.54	-42.12	-32.94
1559717243880	TYPE_GYROSCOPE	-0.020065308	0.07397461	0.1829834
1559717243880	TYPE_ROTATION_VECTOR	0.0035251128	0.13160002	0.98743165
1559717243880	TYPE_MAGNETIC_FIELD_UNCALIBRATED	24.720001	-87.24	-167.58
1559717243880	TYPE_GYROSCOPE_UNCALIBRATED	-0.058624268	0.18325806	0.10871887
1559717243880	TYPE_ACCELEROMETER_UNCALIBRATED	-0.20579529	2.7505493	10.1479645
1559717243900	TYPE_ACCELEROMETER	-0.09451294	2.8199463	9.101105
1559717243900	TYPE_MAGNETIC_FIELD	6.42	-42.059998	-32.94
1559717243900	TYPE_GYROSCOPE	0.1295929	-0.023757935	0.18237305
1559717243900	TYPE_ROTATION_VECTOR	5.473888E-4	0.13793094	0.9876753
1559717243900	TYPE_MAGNETIC_FIELD_UNCALIBRATED	24.6	-87.17999	-167.58
1559717243900	TYPE_GYROSCOPE_UNCALIBRATED	0.040924072	0.05619812	0.102005005
1559717243900	TYPE_ACCELEROMETER_UNCALIBRATED	-0.16989136	2.7924347	9.816559
1559717243919	TYPE_ACCELEROMETER	-0.21057129	2.822342	8.525635
1559717243919	TYPE_MAGNETIC_FIELD	6.42	-41.82	-32.76
1559717243919	TYPE_GYROSCOPE	0.28475952	0.017181396	0.19458008
1559717243919	TYPE_ROTATION_VECTOR	0.0081611	0.15046848	0.98552895
