#	startTime:1559717464240
#	SiteID:5cd56ba1e2acfd2d33b603af	SiteName:新天地时尚	FloorId:5cd56ba1e2acfd2d33b6057d	FloorName:F2
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190529-nightly	VersionCode:258	
1559717464240	TYPE_WAYPOINT	55.57395	55.57569
1559717464472	TYPE_ACCELEROMETER	-0.22253418	2.547165	9.303299
1559717464472	TYPE_MAGNETIC_FIELD	30.42	-31.8	-37.559998
1559717464472	TYPE_GYROSCOPE	0.093551636	-0.0035858154	0.0021820068
1559717464472	TYPE_ROTATION_VECTOR	0.042900603	0.1109307	0.8927805
1559717464472	TYPE_MAGNETIC_FIELD_UNCALIBRATED	48.6	-76.92	-172.2
1559717464472	TYPE_GYROSCOPE_UNCALIBRATED	0.078201294	0.07759094	-0.05253601
1559717464472	TYPE_ACCELEROMETER_UNCALIBRATED	-0.21894836	2.506485	9.542572
1559717464492	TYPE_ACCELEROMETER	-0.26679993	2.5902405	9.16452
1559717464492	TYPE_MAGNETIC_FIELD	30.48	-31.679998	-37.68
1559717464492	TYPE_GYROSCOPE	-0.0121154785	-0.028640747	-0.010040283
1559717464492	TYPE_ROTATION_VECTOR	0.0539959	0.12497905	0.87019265
1559717464492	TYPE_MAGNETIC_FIELD_UNCALIBRATED	48.66	-76.92	-172.38
1559717464492	TYPE_GYROSCOPE_UNCALIBRATED	0.08918762	0.039718628	-0.07635498
1559717464492	TYPE_ACCELEROMETER_UNCALIBRATED	-0.23808289	2.5699005	9.16452
1559717464511	TYPE_ACCELEROMETER	-0.270401	2.6309204	9.430115
1559717464511	TYPE_MAGNETIC_FIELD	30.3	-31.679998	-37.8
1559717464511	TYPE_GYROSCOPE	-0.099472046	-0.04084778	-0.017974854
1559717464511	TYPE_ROTATION_VECTOR	0.051083185	0.12718733	0.8752945
1559717464511	TYPE_MAGNETIC_FIELD_UNCALIBRATED	48.48	-76.799995	-172.44
1559717464511	TYPE_GYROSCOPE_UNCALIBRATED	-0.016479492	0.014663696	-0.08857727
1559717464511	TYPE_ACCELEROMETER_UNCALIBRATED	-0.27757263	2.6081848	9.281754
1559717464531	TYPE_ACCELEROMETER	-0.2715912	2.6416779	9.582062
1559717464531	TYPE_MAGNETIC_FIELD	30.3	-31.619999	-37.68
1559717464531	TYPE_GYROSCOPE	-0.07748413	-0.044525146	-0.027145386
1559717464531	TYPE_ROTATION_VECTOR	0.050405335	0.123960145	0.8770441
1559717464531	TYPE_MAGNETIC_FIELD_UNCALIBRATED	48.48	-76.74	-172.32
1559717464531	TYPE_GYROSCOPE_UNCALIBRATED	-0.10383606	0.002456665	-0.09651184
1559717464531	TYPE_ACCELEROMETER_UNCALIBRATED	-0.26679993	2.6416779	9.547363
1559717464551	TYPE_ACCELEROMETER	-0.2859497	2.703888	9.358337
1559717464551	TYPE_MAGNETIC_FIELD	30.179998	-31.26	-37.5
1559717464551	TYPE_GYROSCOPE	0.0013122559	-0.027420044	-0.035079956
1559717464551	TYPE_ROTATION_VECTOR	0.050403126	0.12310089	0.87699527
1559717464551	TYPE_MAGNETIC_FIELD_UNCALIBRATED	48.36	-76.38	-172.14
1559717464551	TYPE_GYROSCOPE_UNCALIBRATED	-0.081848145	-0.0012207031	-0.10568237
1559717464551	TYPE_ACCELEROMETER_UNCALIBRATED	-0.27996826	2.6632233	9.509079
1559717464570	TYPE_ACCELEROMETER	-0.3086853	2.7828522	8.992233
1559717464570	TYPE_MAGNETIC_FIELD	30.179998	-31.26	-37.5
1559717464570	TYPE_GYROSCOPE	0.033081055	0.006790161	-0.030807495
1559717464570	TYPE_ROTATION_VECTOR	0.050403126	0.12310089	0.87699527
1559717464570	TYPE_MAGNETIC_FIELD_UNCALIBRATED	48.36	-76.38	-172.14
1559717464570	TYPE_GYROSCOPE_UNCALIBRATED	-0.0030517578	0.0158844	-0.11361694
1559717464570	TYPE_ACCELEROMETER_UNCALIBRATED	-0.31825256	2.8079834	8.8701935
1559717464590	TYPE_ACCELEROMETER	-0.33261108	2.802002	8.851059
1559717464590	TYPE_MAGNETIC_FIELD	30.179998	-31.26	-37.5
1559717464590	TYPE_GYROSCOPE	-0.029220581	0.031219482	-0.017364502
1559717464590	TYPE_ROTATION_VECTOR	0.050403126	0.12310089	0.87699527
1559717464590	TYPE_MAGNETIC_FIELD_UNCALIBRATED	48.36	-76.38	-172.14
1559717464590	TYPE_GYROSCOPE_UNCALIBRATED	0.028717041	0.050094604	-0.10934448
1559717464590	TYPE_ACCELEROMETER_UNCALIBRATED	-0.31825256	2.8079834	8.8701935
1559717464610	TYPE_ACCELEROMETER	-0.40678406	2.7194366	9.072388
1559717464610	TYPE_MAGNETIC_FIELD	30.24	-31.32	-37.68
1559717464610	TYPE_GYROSCOPE	-0.12145996	0.036102295	-0.007598877
1559717464610	TYPE_ROTATION_VECTOR	0.05068194	0.12316719	0.87672096
1559717464610	TYPE_MAGNETIC_FIELD_UNCALIBRATED	48.42	-76.44	-172.32
1559717464610	TYPE_GYROSCOPE_UNCALIBRATED	-0.033584595	0.074523926	-0.09590149
1559717464610	TYPE_ACCELEROMETER_UNCALIBRATED	-0.46780396	2.6883392	9.300903
1559717464629	TYPE_ACCELEROMETER	-0.54914856	2.666809	9.531815
1559717464629	TYPE_MAGNETIC_FIELD	30.48	-31.019999	-37.559998
1559717464629	TYPE_GYROSCOPE	-0.16545105	0.037338257	-0.002090454
1559717464629	TYPE_ROTATION_VECTOR	0.05051052	0.123378575	0.8766089
1559717464629	TYPE_MAGNETIC_FIELD_UNCALIBRATED	48.66	-76.14	-172.2
1559717464629	TYPE_GYROSCOPE_UNCALIBRATED	-0.12582397	0.07940674	-0.086135864
1559717464629	TYPE_ACCELEROMETER_UNCALIBRATED	-0.64367676	2.6428833	9.706497
1559717464649	TYPE_ACCELEROMETER	-0.7190552	2.617752	9.773483
1559717464649	TYPE_MAGNETIC_FIELD	30.539999	-30.9	-37.559998
1559717464649	TYPE_GYROSCOPE	-0.1355133	0.006790161	0.008895874
1559717464649	TYPE_ROTATION_VECTOR	0.049852293	0.122877926	0.8766646
1559717464649	TYPE_MAGNETIC_FIELD_UNCALIBRATED	48.72	-76.02	-172.2
1559717464649	TYPE_GYROSCOPE_UNCALIBRATED	-0.16981506	0.0806427	-0.08062744
1559717464649	TYPE_ACCELEROMETER_UNCALIBRATED	-0.64367676	2.6428833	9.706497
1559717464669	TYPE_ACCELEROMETER	-0.7405853	2.6237335	9.55455
1559717464669	TYPE_MAGNETIC_FIELD	29.939999	-31.019999	-37.8
1559717464669	TYPE_GYROSCOPE	-0.07626343	-0.06163025	0.030883789
1559717464669	TYPE_ROTATION_VECTOR	0.047867354	0.12050365	0.87705404
1559717464669	TYPE_MAGNETIC_FIELD_UNCALIBRATED	48.12	-76.14	-172.44
1559717464669	TYPE_GYROSCOPE_UNCALIBRATED	-0.13987732	0.050094604	-0.06964111
1559717464669	TYPE_ACCELEROMETER_UNCALIBRATED	-0.702301	2.6679993	9.342789
1559717464688	TYPE_ACCELEROMETER	-0.65444946	2.7086792	9.114273
1559717464688	TYPE_MAGNETIC_FIELD	29.939999	-31.019999	-37.8
1559717464688	TYPE_GYROSCOPE	-0.06037903	-0.11781311	0.055923462
1559717464688	TYPE_ROTATION_VECTOR	0.047867354	0.12050365	0.87705404
1559717464688	TYPE_MAGNETIC_FIELD_UNCALIBRATED	48.12	-76.14	-172.44
1559717464688	TYPE_GYROSCOPE_UNCALIBRATED	-0.08062744	-0.018325806	-0.0476532
1559717464688	TYPE_ACCELEROMETER_UNCALIBRATED	-0.57069397	2.727829	8.8989105
1559717464708	TYPE_ACCELEROMETER	-0.44865417	2.740982	8.71228
1559717464708	TYPE_MAGNETIC_FIELD	30.119999	-30.9	-37.739998
1559717464708	TYPE_GYROSCOPE	-0.11167908	-0.14164734	0.09440613
1559717464708	TYPE_ROTATION_VECTOR	0.048215453	0.11851865	0.87747073
1559717464708	TYPE_MAGNETIC_FIELD_UNCALIBRATED	48.3	-76.02	-172.38
1559717464708	TYPE_GYROSCOPE_UNCALIBRATED	-0.06474304	-0.07450867	-0.022613525
1559717464708	TYPE_ACCELEROMETER_UNCALIBRATED	-0.29432678	2.7266235	8.584259
1559717464728	TYPE_ACCELEROMETER	-0.10887146	2.6847534	8.5208435
1559717464728	TYPE_MAGNETIC_FIELD	30.0	-31.08	-37.8
1559717464728	TYPE_GYROSCOPE	-0.20452881	-0.15263367	0.1194458
1559717464728	TYPE_ROTATION_VECTOR	0.049079537	0.11721061	0.8778342
1559717464728	TYPE_MAGNETIC_FIELD_UNCALIBRATED	48.18	-76.2	-172.44
1559717464728	TYPE_GYROSCOPE_UNCALIBRATED	-0.11604309	-0.098342896	0.01586914
1559717464728	TYPE_ACCELEROMETER_UNCALIBRATED	0.0765686	2.6572266	8.533997
1559717464747	TYPE_ACCELEROMETER	0.24287415	2.6476593	8.628525
1559717464747	TYPE_MAGNETIC_FIELD	29.939999	-30.96	-37.8
1559717464747	TYPE_GYROSCOPE	-0.29312134	-0.13676453	0.11151123
1559717464747	TYPE_ROTATION_VECTOR	0.049786724	0.11514595	0.8784401
1559717464747	TYPE_MAGNETIC_FIELD_UNCALIBRATED	48.12	-76.08	-172.44
