#	startTime:1559717604030
#	SiteID:5cd56ba1e2acfd2d33b603af	SiteName:新天地时尚	FloorId:5cd56ba1e2acfd2d33b6057d	FloorName:F2
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190529-nightly	VersionCode:258	
1559717604031	TYPE_WAYPOINT	20.13821	151.48332
1559717604164	TYPE_ACCELEROMETER	0.40438843	3.8811646	8.760132
1559717604164	TYPE_MAGNETIC_FIELD	-25.32	-18.96	-45.18
1559717604164	TYPE_GYROSCOPE	-0.022491455	0.01411438	0.022338867
1559717604164	TYPE_ROTATION_VECTOR	0.11936275	-0.16724776	-0.67098355
1559717604164	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-7.1399994	-64.08	-179.82
1559717604164	TYPE_GYROSCOPE_UNCALIBRATED	-0.026855469	0.057418823	-0.05619812
1559717604164	TYPE_ACCELEROMETER_UNCALIBRATED	0.64486694	3.9170532	8.900116
1559717604184	TYPE_ACCELEROMETER	0.10647583	3.775879	8.504089
1559717604184	TYPE_MAGNETIC_FIELD	-25.38	-18.96	-45.18
1559717604184	TYPE_GYROSCOPE	0.065460205	-0.09033203	-0.039352417
1559717604184	TYPE_ROTATION_VECTOR	0.13471644	-0.1574936	-0.6749912
1559717604184	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-7.199999	-64.08	-179.82
1559717604184	TYPE_GYROSCOPE_UNCALIBRATED	0.06109619	-0.047027588	-0.117889404
1559717604184	TYPE_ACCELEROMETER_UNCALIBRATED	0.21176147	3.829712	8.647659
1559717604204	TYPE_ACCELEROMETER	-0.039489746	3.583252	8.237289
1559717604204	TYPE_MAGNETIC_FIELD	-25.26	-18.66	-44.879997
1559717604204	TYPE_GYROSCOPE	0.17173767	-0.1434784	-0.08151245
1559717604204	TYPE_ROTATION_VECTOR	0.14927474	-0.1437411	-0.6602342
1559717604204	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-7.08	-63.78	-179.51999
1559717604204	TYPE_GYROSCOPE_UNCALIBRATED	0.16737366	-0.10017395	-0.16004944
1559717604204	TYPE_ACCELEROMETER_UNCALIBRATED	0.035888672	3.6921234	8.341385
1559717604223	TYPE_ACCELEROMETER	-0.3014984	3.242279	8.500504
1559717604223	TYPE_MAGNETIC_FIELD	-25.5	-18.9	-44.879997
1559717604223	TYPE_GYROSCOPE	0.12348938	-0.061019897	-0.042419434
1559717604223	TYPE_ROTATION_VECTOR	0.14321937	-0.14483173	-0.7014368
1559717604223	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-7.3199997	-64.02	-179.51999
1559717604223	TYPE_GYROSCOPE_UNCALIBRATED	0.119125366	-0.017715454	-0.12095642
1559717604223	TYPE_ACCELEROMETER_UNCALIBRATED	-0.13519287	3.443283	8.285156
1559717604243	TYPE_ACCELEROMETER	-0.89253235	2.859436	9.18486
1559717604243	TYPE_MAGNETIC_FIELD	-25.56	-18.779999	-44.7
1559717604243	TYPE_GYROSCOPE	-0.0493927	0.06237793	-0.021026611
1559717604243	TYPE_ROTATION_VECTOR	0.13563465	-0.120671354	-0.7184251
1559717604243	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-7.379999	-63.899998	-179.34
1559717604243	TYPE_GYROSCOPE_UNCALIBRATED	-0.053756714	0.10568237	-0.0995636
1559717604243	TYPE_ACCELEROMETER_UNCALIBRATED	-0.57069397	3.028122	8.817551
1559717604263	TYPE_ACCELEROMETER	-1.3962097	2.658432	10.125229
1559717604263	TYPE_MAGNETIC_FIELD	-25.619999	-18.779999	-44.579998
1559717604263	TYPE_GYROSCOPE	-0.24485779	0.08131409	-0.023483276
1559717604263	TYPE_ROTATION_VECTOR	0.13168125	-0.08257744	-0.7534477
1559717604263	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-7.4399986	-63.899998	-179.22
1559717604263	TYPE_GYROSCOPE_UNCALIBRATED	-0.2492218	0.12461853	-0.10202026
1559717604263	TYPE_ACCELEROMETER_UNCALIBRATED	-1.1808624	2.7397919	9.61557
1559717604282	TYPE_ACCELEROMETER	-1.6331024	2.5615234	10.995026
1559717604282	TYPE_MAGNETIC_FIELD	-25.859999	-18.779999	-44.579998
1559717604282	TYPE_GYROSCOPE	-0.39634705	0.06359863	3.3569336E-4
1559717604282	TYPE_ROTATION_VECTOR	0.13012445	-0.07966638	-0.75377375
1559717604282	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-7.6799984	-63.899998	-179.22
1559717604282	TYPE_GYROSCOPE_UNCALIBRATED	-0.40071106	0.106903076	-0.078201294
1559717604282	TYPE_ACCELEROMETER_UNCALIBRATED	-1.5469666	2.596222	10.632507
1559717604302	TYPE_ACCELEROMETER	-1.6426849	2.5734863	11.044083
1559717604302	TYPE_MAGNETIC_FIELD	-25.92	-18.66	-44.76
1559717604302	TYPE_GYROSCOPE	-0.40855408	0.07460022	0.06448364
1559717604302	TYPE_ROTATION_VECTOR	0.12798099	-0.07607734	-0.7538204
1559717604302	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-7.74	-63.78	-179.4
1559717604302	TYPE_GYROSCOPE_UNCALIBRATED	-0.4129181	0.11790466	-0.014053345
1559717604302	TYPE_ACCELEROMETER_UNCALIBRATED	-1.6630249	2.555542	11.1362
1559717604322	TYPE_ACCELEROMETER	-1.4105682	2.6799622	10.277176
1559717604322	TYPE_MAGNETIC_FIELD	-25.859999	-18.66	-44.76
1559717604322	TYPE_GYROSCOPE	-0.24424744	0.020843506	0.14083862
1559717604322	TYPE_ROTATION_VECTOR	0.12613915	-0.073334664	-0.75336146
1559717604322	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-7.6799984	-63.78	-179.4
1559717604322	TYPE_GYROSCOPE_UNCALIBRATED	-0.24861145	0.06414795	0.062301636
1559717604322	TYPE_ACCELEROMETER_UNCALIBRATED	-1.5505524	2.6189575	10.729416
1559717604341	TYPE_ACCELEROMETER	-1.2179413	2.810379	9.239883
1559717604341	TYPE_MAGNETIC_FIELD	-25.68	-18.42	-44.64
1559717604341	TYPE_GYROSCOPE	-0.031677246	-0.018875122	0.20375061
1559717604341	TYPE_ROTATION_VECTOR	0.12509692	-0.0725887	-0.75236064
1559717604341	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-7.5	-63.54	-179.28
1559717604341	TYPE_GYROSCOPE_UNCALIBRATED	-0.03604126	0.024429321	0.12521362
