#	startTime:1559717683359
#	SiteID:5cd56ba1e2acfd2d33b603af	SiteName:新天地时尚	FloorId:5cd56ba1e2acfd2d33b6057d	FloorName:F2
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190529-nightly	VersionCode:258	
1559717683359	TYPE_WAYPOINT	72.18667	197.99315
1559717683486	TYPE_ACCELEROMETER	0.20579529	2.6859436	9.470795
1559717683486	TYPE_MAGNETIC_FIELD	-17.34	-0.06	-24.3
1559717683486	TYPE_GYROSCOPE	-1.1012878	1.0012665	1.0131531
1559717683486	TYPE_ROTATION_VECTOR	0.0836928	0.09069071	0.71299714
1559717683486	TYPE_MAGNETIC_FIELD_UNCALIBRATED	2.7600002	-49.14	-156.78
1559717683486	TYPE_GYROSCOPE_UNCALIBRATED	-1.1056519	1.0445709	0.9346161
1559717683486	TYPE_ACCELEROMETER_UNCALIBRATED	0.19023132	2.666809	9.69931
1559717683506	TYPE_ACCELEROMETER	0.17228699	2.752945	8.989838
1559717683506	TYPE_MAGNETIC_FIELD	26.22	-13.44	-26.82
1559717683506	TYPE_GYROSCOPE	-0.101623535	0.38919067	0.18208313
1559717683506	TYPE_ROTATION_VECTOR	0.09758829	0.10476678	0.7737183
1559717683506	TYPE_MAGNETIC_FIELD_UNCALIBRATED	46.32	-62.519997	-159.29999
1559717683506	TYPE_GYROSCOPE_UNCALIBRATED	-0.10598755	0.43249512	0.10354614
1559717683506	TYPE_ACCELEROMETER_UNCALIBRATED	0.20698547	2.7170563	9.208786
1559717683526	TYPE_ACCELEROMETER	0.10409546	2.7445679	8.742172
1559717683526	TYPE_MAGNETIC_FIELD	26.279999	-13.559999	-26.4
1559717683526	TYPE_GYROSCOPE	0.19190979	0.26823425	-0.082733154
1559717683526	TYPE_ROTATION_VECTOR	0.09863311	0.113868706	0.7748992
1559717683526	TYPE_MAGNETIC_FIELD_UNCALIBRATED	46.379997	-62.64	-158.87999
1559717683526	TYPE_GYROSCOPE_UNCALIBRATED	0.18754578	0.3115387	-0.16127014
1559717683526	TYPE_ACCELEROMETER_UNCALIBRATED	0.12921143	2.761322	8.833099
1559717683545	TYPE_ACCELEROMETER	0.102890015	2.6931305	8.962326
1559717683545	TYPE_MAGNETIC_FIELD	26.46	-13.62	-26.039999
1559717683545	TYPE_GYROSCOPE	0.07766724	0.28411865	-0.055236816
1559717683545	TYPE_ROTATION_VECTOR	0.097563215	0.11372934	0.7723521
1559717683545	TYPE_MAGNETIC_FIELD_UNCALIBRATED	46.559998	-62.699997	-158.51999
