#	startTime:1559718327186
#	SiteID:5cd56ba1e2acfd2d33b603af	SiteName:新天地时尚	FloorId:5cd56ba1e2acfd2d33b6057d	FloorName:F2
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190529-nightly	VersionCode:258	
1559718327186	TYPE_WAYPOINT	57.454693	102.47963
1559718327325	TYPE_ACCELEROMETER	0.24885559	2.843872	8.667999
1559718327325	TYPE_MAGNETIC_FIELD	30.96	-11.58	-14.82
1559718327325	TYPE_GYROSCOPE	0.08377075	0.4026184	0.23977661
1559718327325	TYPE_ROTATION_VECTOR	0.09980173	0.11710048	0.77913576
1559718327325	TYPE_MAGNETIC_FIELD_UNCALIBRATED	57.479996	-60.18	-176.04001
1559718327325	TYPE_GYROSCOPE_UNCALIBRATED	0.07940674	0.44592285	0.16123962
1559718327325	TYPE_ACCELEROMETER_UNCALIBRATED	0.27876282	2.830719	8.699112
1559718327345	TYPE_ACCELEROMETER	0.2524414	2.7972107	8.811569
1559718327345	TYPE_MAGNETIC_FIELD	30.84	-11.82	-14.7
1559718327345	TYPE_GYROSCOPE	-0.009063721	0.23831177	0.22817993
1559718327345	TYPE_ROTATION_VECTOR	0.10621021	0.116644636	0.78470135
1559718327345	TYPE_MAGNETIC_FIELD_UNCALIBRATED	57.36	-60.42	-175.92
1559718327345	TYPE_GYROSCOPE_UNCALIBRATED	0.042160034	0.35980225	0.15574646
1559718327345	TYPE_ACCELEROMETER_UNCALIBRATED	0.27876282	2.830719	8.699112
1559718327365	TYPE_ACCELEROMETER	0.122039795	2.7182465	9.060425
1559718327365	TYPE_MAGNETIC_FIELD	30.96	-11.94	-14.5199995
1559718327365	TYPE_GYROSCOPE	-0.07626343	0.23280334	0.21780396
1559718327365	TYPE_ROTATION_VECTOR	0.10503778	0.11243528	0.77770597
1559718327365	TYPE_MAGNETIC_FIELD_UNCALIBRATED	57.479996	-60.539997	-175.74
1559718327365	TYPE_GYROSCOPE_UNCALIBRATED	-0.049468994	0.28710938	0.14659119
1559718327365	TYPE_ACCELEROMETER_UNCALIBRATED	-0.0059814453	2.7194366	9.241089
1559718327384	TYPE_ACCELEROMETER	-0.18066406	2.7110748	9.450455
1559718327384	TYPE_MAGNETIC_FIELD	30.84	-12.0	-14.4
1559718327384	TYPE_GYROSCOPE	-0.107406616	0.20591736	0.19825745
1559718327384	TYPE_ROTATION_VECTOR	0.09376555	0.11048062	0.7801114
1559718327384	TYPE_MAGNETIC_FIELD_UNCALIBRATED	57.36	-60.6	-175.62
1559718327384	TYPE_GYROSCOPE_UNCALIBRATED	-0.10139465	0.2590027	0.13009644
1559718327384	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3864441	2.6835632	9.647873
1559718327404	TYPE_ACCELEROMETER	-0.5264282	2.6620178	9.77948
1559718327404	TYPE_MAGNETIC_FIELD	30.96	-12.179999	-14.219999
1559718327404	TYPE_GYROSCOPE	-0.08602905	0.18211365	0.18054199
1559718327404	TYPE_ROTATION_VECTOR	0.07831333	0.115726195	0.7821512
1559718327404	TYPE_MAGNETIC_FIELD_UNCALIBRATED	57.479996	-60.78	-175.44
1559718327404	TYPE_GYROSCOPE_UNCALIBRATED	-0.11116028	0.24555969	0.10932922
1559718327404	TYPE_ACCELEROMETER_UNCALIBRATED	-0.55514526	2.6775665	9.786652
1559718327424	TYPE_ACCELEROMETER	-0.5467682	2.7756805	9.6466675
1559718327424	TYPE_MAGNETIC_FIELD	30.9	-12.179999	-13.92
1559718327424	TYPE_GYROSCOPE	0.036132812	0.09353638	0.17503357
1559718327424	TYPE_ROTATION_VECTOR	0.07724185	0.11611825	0.7833134
1559718327424	TYPE_MAGNETIC_FIELD_UNCALIBRATED	57.42	-60.78	-175.14
1559718327424	TYPE_GYROSCOPE_UNCALIBRATED	-0.041534424	0.18022156	0.097717285
1559718327424	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5695038	2.9168549	9.335602
1559718327443	TYPE_ACCELEROMETER	-0.6352997	3.0329132	8.892929
1559718327443	TYPE_MAGNETIC_FIELD	30.96	-12.42	-13.799999
