#	startTime:1559718370260
#	SiteID:5cd56ba1e2acfd2d33b603af	SiteName:新天地时尚	FloorId:5cd56ba1e2acfd2d33b6057d	FloorName:F2
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190529-nightly	VersionCode:258	
1559718370261	TYPE_WAYPOINT	40.34831	78.03554
1559718370393	TYPE_ACCELEROMETER	0.14356995	2.6309052	7.5625153
1559718370393	TYPE_MAGNETIC_FIELD	-7.8599997	19.32	-18.3
1559718370393	TYPE_GYROSCOPE	0.39408875	0.15460205	-0.19390869
1559718370393	TYPE_ROTATION_VECTOR	0.14442694	-0.024895325	-0.14004862
1559718370393	TYPE_MAGNETIC_FIELD_UNCALIBRATED	18.66	-29.279999	-179.52
1559718370393	TYPE_GYROSCOPE_UNCALIBRATED	0.38972473	0.1979065	-0.27244568
1559718370393	TYPE_ACCELEROMETER_UNCALIBRATED	-0.020339966	2.3665009	8.983856
1559718370413	TYPE_ACCELEROMETER	0.27757263	2.9527435	6.4414825
1559718370413	TYPE_MAGNETIC_FIELD	-7.8599997	19.68	-18.119999
1559718370413	TYPE_GYROSCOPE	0.5049591	0.22425842	0.25323486
1559718370413	TYPE_ROTATION_VECTOR	0.1835958	-0.04080804	-0.13248605
1559718370413	TYPE_MAGNETIC_FIELD_UNCALIBRATED	18.66	-28.919998	-179.34
1559718370413	TYPE_GYROSCOPE_UNCALIBRATED	0.42668152	0.22113037	-0.12339783
1559718370413	TYPE_ACCELEROMETER_UNCALIBRATED	0.14356995	2.6309052	7.5625153
1559718370433	TYPE_ACCELEROMETER	0.027526855	3.3176575	5.6279297
1559718370433	TYPE_MAGNETIC_FIELD	-7.62	19.98	-18.0
1559718370433	TYPE_GYROSCOPE	0.5187073	0.24931335	0.33874512
1559718370433	TYPE_ROTATION_VECTOR	0.2359904	-0.040444747	-0.104781605
1559718370433	TYPE_MAGNETIC_FIELD_UNCALIBRATED	18.899998	-28.619999	-179.22
1559718370433	TYPE_GYROSCOPE_UNCALIBRATED	0.5387726	0.2962799	0.30419922
1559718370433	TYPE_ACCELEROMETER_UNCALIBRATED	0.27757263	2.9527435	6.4414825
1559718370452	TYPE_ACCELEROMETER	-0.36968994	3.6418762	5.6554413
1559718370452	TYPE_MAGNETIC_FIELD	-7.44	20.22	-18.0
1559718370452	TYPE_GYROSCOPE	0.32507324	0.15644836	0.2617798
1559718370452	TYPE_ROTATION_VECTOR	0.28168476	3.6762792E-4	-0.13363503
1559718370452	TYPE_MAGNETIC_FIELD_UNCALIBRATED	19.259998	-28.32	-179.22
1559718370452	TYPE_GYROSCOPE_UNCALIBRATED	0.43798828	0.2596283	0.21562195
1559718370452	TYPE_ACCELEROMETER_UNCALIBRATED	0.027526855	3.3176575	5.6279297
1559718370472	TYPE_ACCELEROMETER	-0.6616211	3.8775787	6.315857
1559718370472	TYPE_MAGNETIC_FIELD	-7.2599998	20.279999	-18.0
1559718370472	TYPE_GYROSCOPE	0.06666565	0.011077881	0.24345398
1559718370472	TYPE_ROTATION_VECTOR	0.28168476	3.6762792E-4	-0.13363503
1559718370472	TYPE_MAGNETIC_FIELD_UNCALIBRATED	19.259998	-28.32	-179.22
1559718370472	TYPE_GYROSCOPE_UNCALIBRATED	0.18630981	0.12339783	0.1655426
1559718370472	TYPE_ACCELEROMETER_UNCALIBRATED	-0.36968994	3.6418762	5.6554413
1559718370492	TYPE_ACCELEROMETER	-0.6388855	3.948166	7.0564423
1559718370492	TYPE_MAGNETIC_FIELD	-7.14	20.279999	-17.88
1559718370492	TYPE_GYROSCOPE	-0.086639404	-0.008483887	0.2972107
1559718370492	TYPE_ROTATION_VECTOR	0.26509392	0.005717825	-0.14326544
1559718370492	TYPE_MAGNETIC_FIELD_UNCALIBRATED	19.38	-28.32	-179.1
1559718370492	TYPE_GYROSCOPE_UNCALIBRATED	-0.03237915	0.022613525	0.18385315
1559718370492	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6616211	3.8775787	6.315857
1559718370511	TYPE_ACCELEROMETER	-0.35055542	3.976883	7.5625153
1559718370511	TYPE_MAGNETIC_FIELD	-7.02	20.22	-17.82
1559718370511	TYPE_GYROSCOPE	-0.12512207	0.072753906	0.38027954
1559718370511	TYPE_ROTATION_VECTOR	0.26427957	0.004766426	-0.1408715
1559718370511	TYPE_MAGNETIC_FIELD_UNCALIBRATED	19.499998	-28.38	-179.04001
1559718370511	TYPE_GYROSCOPE_UNCALIBRATED	-0.117889404	0.074523926	0.26083374
1559718370511	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6388855	3.948166	7.0564423
1559718370531	TYPE_ACCELEROMETER	-0.0059814453	3.8847504	8.152359
1559718370531	TYPE_MAGNETIC_FIELD	-6.72	20.279999	-17.82
1559718370531	TYPE_GYROSCOPE	-0.18315125	0.080703735	0.43222046
1559718370531	TYPE_ROTATION_VECTOR	0.2632248	0.0046308874	-0.13712153
1559718370531	TYPE_MAGNETIC_FIELD_UNCALIBRATED	19.8	-28.32	-179.04001
1559718370531	TYPE_GYROSCOPE_UNCALIBRATED	-0.14781189	0.13745117	0.3353424
1559718370531	TYPE_ACCELEROMETER_UNCALIBRATED	-0.35055542	3.976883	7.5625153
1559718370551	TYPE_ACCELEROMETER	0.35414124	3.7160492	8.908478
1559718370551	TYPE_MAGNETIC_FIELD	-6.6	20.279999	-17.699999
1559718370551	TYPE_GYROSCOPE	-0.31021118	-0.091552734	0.40777588
1559718370551	TYPE_ROTATION_VECTOR	0.26163843	0.0045175576	-0.13285498
1559718370551	TYPE_MAGNETIC_FIELD_UNCALIBRATED	19.919998	-28.32	-178.92
1559718370551	TYPE_GYROSCOPE_UNCALIBRATED	-0.24798584	0.05682373	0.35124207
1559718370551	TYPE_ACCELEROMETER_UNCALIBRATED	-0.0059814453	3.8847504	8.152359
1559718370570	TYPE_ACCELEROMETER	0.66999817	3.6921234	9.981659
1559718370570	TYPE_MAGNETIC_FIELD	-6.3599997	20.22	-17.82
1559718370570	TYPE_GYROSCOPE	-0.40550232	-0.24485779	0.32714844
1559718370570	TYPE_ROTATION_VECTOR	0.2586332	0.0030239949	-0.12924409
1559718370570	TYPE_MAGNETIC_FIELD_UNCALIBRATED	20.16	-28.38	-179.04001
1559718370570	TYPE_GYROSCOPE_UNCALIBRATED	-0.37382507	-0.14414978	0.29441833
1559718370570	TYPE_ACCELEROMETER_UNCALIBRATED	0.35414124	3.7160492	8.908478
1559718370590	TYPE_ACCELEROMETER	0.47618103	3.7854462	10.884949
1559718370590	TYPE_MAGNETIC_FIELD	-6.24	20.22	-17.58
1559718370590	TYPE_GYROSCOPE	-0.33953857	-0.21800232	0.19763184
1559718370590	TYPE_ROTATION_VECTOR	0.2499376	-0.002510884	-0.12481775
1559718370590	TYPE_MAGNETIC_FIELD_UNCALIBRATED	20.279999	-28.38	-178.8
1559718370590	TYPE_GYROSCOPE_UNCALIBRATED	0.0073394775	0.045822144	-0.020767212
1559718370590	TYPE_ACCELEROMETER_UNCALIBRATED	-0.015548706	3.9110718	10.960327
1559718370610	TYPE_ACCELEROMETER	-0.015548706	3.9110718	10.960327
1559718370610	TYPE_MAGNETIC_FIELD	-6.24	20.22	-17.58
1559718370610	TYPE_GYROSCOPE	-0.106796265	-0.07505798	0.08647156
1559718370610	TYPE_ROTATION_VECTOR	0.2499376	-0.002510884	-0.12481775
1559718370610	TYPE_MAGNETIC_FIELD_UNCALIBRATED	20.279999	-28.38	-178.8
1559718370610	TYPE_GYROSCOPE_UNCALIBRATED	0.0073394775	0.045822144	-0.020767212
1559718370610	TYPE_ACCELEROMETER_UNCALIBRATED	-0.015548706	3.9110718	10.960327
1559718370629	TYPE_ACCELEROMETER	-0.39361572	4.0534515	10.486557
1559718370629	TYPE_MAGNETIC_FIELD	-6.24	20.22	-17.58
1559718370629	TYPE_GYROSCOPE	0.08988953	0.05747986	0.044326782
1559718370629	TYPE_ROTATION_VECTOR	0.2499376	-0.002510884	-0.12481775
1559718370629	TYPE_MAGNETIC_FIELD_UNCALIBRATED	20.279999	-28.38	-178.8
1559718370629	TYPE_GYROSCOPE_UNCALIBRATED	0.0073394775	0.045822144	-0.020767212
1559718370629	TYPE_ACCELEROMETER_UNCALIBRATED	-0.015548706	3.9110718	10.960327
1559718370649	TYPE_ACCELEROMETER	-0.46540833	4.317856	10.548767
1559718370649	TYPE_MAGNETIC_FIELD	-6.24	20.46	-17.52
1559718370649	TYPE_GYROSCOPE	0.05934143	0.045272827	0.034561157
1559718370649	TYPE_ROTATION_VECTOR	0.25084326	-0.0021932842	-0.12425688
1559718370649	TYPE_MAGNETIC_FIELD_UNCALIBRATED	20.279999	-28.14	-178.74
1559718370649	TYPE_GYROSCOPE_UNCALIBRATED	0.10079956	0.11483765	-0.039093018
1559718370649	TYPE_ACCELEROMETER_UNCALIBRATED	-0.39361572	4.0534515	10.486557
1559718370669	TYPE_ACCELEROMETER	-0.62094116	4.4578247	10.893326
1559718370669	TYPE_MAGNETIC_FIELD	-6.06	20.88	-17.58
1559718370669	TYPE_GYROSCOPE	-0.086639404	-0.099487305	0.010116577
1559718370669	TYPE_ROTATION_VECTOR	0.25145996	-0.0019226362	-0.123817444
1559718370669	TYPE_MAGNETIC_FIELD_UNCALIBRATED	20.46	-27.72	-178.8
1559718370669	TYPE_GYROSCOPE_UNCALIBRATED	-0.02015686	0.028121948	-0.05558777
1559718370669	TYPE_ACCELEROMETER_UNCALIBRATED	-0.46540833	4.317856	10.548767
1559718370688	TYPE_ACCELEROMETER	-1.0959167	4.1479645	10.985443
1559718370688	TYPE_MAGNETIC_FIELD	-6.12	21.06	-17.52
1559718370688	TYPE_GYROSCOPE	-0.1874237	-0.18318176	0.029052734
1559718370688	TYPE_ROTATION_VECTOR	0.25053126	-0.002772213	-0.1239655
1559718370688	TYPE_MAGNETIC_FIELD_UNCALIBRATED	20.399998	-27.539999	-178.74
1559718370688	TYPE_GYROSCOPE_UNCALIBRATED	-0.14353943	-0.12765503	-0.06964111
1559718370688	TYPE_ACCELEROMETER_UNCALIBRATED	-0.62094116	4.4578247	10.893326
1559718370708	TYPE_ACCELEROMETER	-0.93200684	3.2506561	11.95694
1559718370708	TYPE_MAGNETIC_FIELD	-6.2999997	21.06	-17.22
1559718370708	TYPE_GYROSCOPE	-0.36763	-0.023742676	0.15548706
1559718370708	TYPE_ROTATION_VECTOR	0.24854614	-0.0043395087	-0.124148406
1559718370708	TYPE_MAGNETIC_FIELD_UNCALIBRATED	20.22	-27.539999	-178.44
1559718370708	TYPE_GYROSCOPE_UNCALIBRATED	-0.26509094	-0.07633972	6.1035156E-4
1559718370708	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0959167	4.1479645	10.985443
1559718370728	TYPE_ACCELEROMETER	0.3900299	2.2277222	13.962128
1559718370728	TYPE_MAGNETIC_FIELD	-6.12	21.0	-17.1
1559718370728	TYPE_GYROSCOPE	-0.54600525	0.05015564	0.29110718
1559718370728	TYPE_ROTATION_VECTOR	0.24505259	-0.0045031775	-0.12276631
1559718370728	TYPE_MAGNETIC_FIELD_UNCALIBRATED	20.399998	-27.599998	-178.32
1559718370728	TYPE_GYROSCOPE_UNCALIBRATED	-0.4837799	0.0836792	0.15698242
1559718370728	TYPE_ACCELEROMETER_UNCALIBRATED	-0.93200684	3.2506561	11.95694
1559718370747	TYPE_ACCELEROMETER	1.6701965	1.7754822	14.335403
1559718370747	TYPE_MAGNETIC_FIELD	-6.2999997	21.06	-16.98
1559718370747	TYPE_GYROSCOPE	-0.3267212	-0.079940796	0.23918152
1559718370747	TYPE_ROTATION_VECTOR	0.23995057	-0.004072801	-0.119926594
1559718370747	TYPE_MAGNETIC_FIELD_UNCALIBRATED	20.22	-27.539999	-178.2
1559718370747	TYPE_GYROSCOPE_UNCALIBRATED	-0.51556396	0.054382324	0.21929932
1559718370747	TYPE_ACCELEROMETER_UNCALIBRATED	0.3900299	2.2277222	13.962128
1559718370767	TYPE_ACCELEROMETER	1.7120667	1.9058838	11.9605255
1559718370767	TYPE_MAGNETIC_FIELD	-6.54	21.18	-17.1
1559718370767	TYPE_GYROSCOPE	0.3824768	-0.23692322	-0.006378174
1559718370767	TYPE_ROTATION_VECTOR	0.23674087	-0.004996967	-0.117856696
1559718370767	TYPE_MAGNETIC_FIELD_UNCALIBRATED	19.98	-27.419998	-178.32
1559718370767	TYPE_GYROSCOPE_UNCALIBRATED	-0.0061187744	-0.14964294	0.046417236
1559718370767	TYPE_ACCELEROMETER_UNCALIBRATED	1.6701965	1.7754822	14.335403
1559718370787	TYPE_ACCELEROMETER	1.080368	2.2564392	9.012573
1559718370787	TYPE_MAGNETIC_FIELD	-6.6	21.48	-16.8
1559718370787	TYPE_GYROSCOPE	0.95425415	0.0513916	-0.18170166
1559718370787	TYPE_ROTATION_VECTOR	0.24004626	-0.007659159	-0.11843034
1559718370787	TYPE_MAGNETIC_FIELD_UNCALIBRATED	19.919998	-27.119999	-178.02
1559718370787	TYPE_GYROSCOPE_UNCALIBRATED	0.72203064	-0.10443115	-0.19425964
1559718370787	TYPE_ACCELEROMETER_UNCALIBRATED	1.7120667	1.9058838	11.9605255
1559718370807	TYPE_ACCELEROMETER	0.59461975	2.1643066	7.5888367
1559718370807	TYPE_MAGNETIC_FIELD	-6.42	21.359999	-16.68
1559718370807	TYPE_GYROSCOPE	0.90844727	0.48509216	-0.17619324
1559718370807	TYPE_ROTATION_VECTOR	0.24910386	-0.007873499	-0.1199426
1559718370807	TYPE_MAGNETIC_FIELD_UNCALIBRATED	20.099998	-27.24	-177.9
1559718370807	TYPE_GYROSCOPE_UNCALIBRATED	1.0146484	0.33047485	-0.2767334
1559718370807	TYPE_ACCELEROMETER_UNCALIBRATED	1.080368	2.2564392	9.012573
1559718370826	TYPE_ACCELEROMETER	0.54078674	1.745575	8.575882
1559718370826	TYPE_MAGNETIC_FIELD	-6.6	21.06	-16.8
1559718370826	TYPE_GYROSCOPE	0.30307007	0.61154175	-0.10411072
1559718370826	TYPE_ROTATION_VECTOR	0.2582497	-0.003960605	-0.12034323
1559718370826	TYPE_MAGNETIC_FIELD_UNCALIBRATED	19.919998	-27.539999	-178.02
1559718370826	TYPE_GYROSCOPE_UNCALIBRATED	0.64567566	0.6377411	-0.21685791
1559718370826	TYPE_ACCELEROMETER_UNCALIBRATED	0.59461975	2.1643066	7.5888367
1559718370846	TYPE_ACCELEROMETER	0.35653687	1.2203522	10.27478
1559718370846	TYPE_MAGNETIC_FIELD	-6.66	20.88	-16.619999
1559718370846	TYPE_GYROSCOPE	-0.32914734	0.43377686	-0.087005615
1559718370846	TYPE_ROTATION_VECTOR	0.26185572	0.0016905289	-0.11975696
1559718370846	TYPE_MAGNETIC_FIELD_UNCALIBRATED	19.859999	-27.72	-177.84
1559718370846	TYPE_GYROSCOPE_UNCALIBRATED	-0.053131104	0.59742737	-0.16493225
