#	startTime:1560822513868
#	SiteID:5cd56b90e2acfd2d33b5e33f	SiteName:凯德龙之梦购物中心(莘庄店)	FloorId:5cd56b92e2acfd2d33b5e6f5	FloorName:B2
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560822513868	TYPE_WAYPOINT	128.8589	67.39242
1560822514023	TYPE_ACCELEROMETER	-0.38786316	0.42138672	9.588776
1560822514023	TYPE_MAGNETIC_FIELD	19.68	-19.98	-29.82
1560822514023	TYPE_GYROSCOPE	-0.23402405	-0.0904541	-0.049728394
1560822514023	TYPE_ROTATION_VECTOR	0.0035104179	0.015185789	0.912679
1560822514023	TYPE_MAGNETIC_FIELD_UNCALIBRATED	35.46	-0.12000084	-167.1
1560822514023	TYPE_GYROSCOPE_UNCALIBRATED	-0.18962097	-0.025039673	-0.04901123
1560822514023	TYPE_ACCELEROMETER_UNCALIBRATED	-0.0909729	0.36631775	9.679764
1560822514043	TYPE_ACCELEROMETER	-0.6655884	0.5410919	10.448303
1560822514043	TYPE_MAGNETIC_FIELD	19.8	-20.039999	-29.76
1560822514043	TYPE_GYROSCOPE	-0.13442993	-0.02494812	-0.028945923
1560822514043	TYPE_ROTATION_VECTOR	-0.009430475	0.025290236	0.9206539
1560822514043	TYPE_MAGNETIC_FIELD_UNCALIBRATED	35.579998	-0.1800003	-167.04
1560822514043	TYPE_GYROSCOPE_UNCALIBRATED	-0.2348938	-0.09107971	-0.048477173
1560822514043	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6655884	0.5410919	10.448303
1560822514064	TYPE_ACCELEROMETER	-0.77093506	0.588974	9.974243
1560822514064	TYPE_MAGNETIC_FIELD	19.8	-20.039999	-29.76
1560822514064	TYPE_GYROSCOPE	0.0019378662	-0.013763428	0.016860962
1560822514064	TYPE_ROTATION_VECTOR	-0.019522682	0.036368724	0.9260164
1560822514064	TYPE_MAGNETIC_FIELD_UNCALIBRATED	35.579998	-0.1800003	-167.04
1560822514064	TYPE_GYROSCOPE_UNCALIBRATED	0.0010681152	-0.014389038	0.018112183
1560822514064	TYPE_ACCELEROMETER_UNCALIBRATED	-0.77093506	0.588974	9.974243
1560822514084	TYPE_ACCELEROMETER	-0.90979004	0.59376526	9.282318
1560822514084	TYPE_MAGNETIC_FIELD	19.8	-20.039999	-29.76
1560822514084	TYPE_GYROSCOPE	-0.056121826	-0.0057678223	0.055740356
1560822514084	TYPE_ROTATION_VECTOR	-0.024043817	0.040158156	0.9271418
1560822514084	TYPE_MAGNETIC_FIELD_UNCALIBRATED	35.579998	-0.1800003	-167.04
1560822514084	TYPE_GYROSCOPE_UNCALIBRATED	-0.056991577	-0.0063934326	0.056991577
1560822514084	TYPE_ACCELEROMETER_UNCALIBRATED	-0.90979004	0.59376526	9.282318
1560822514104	TYPE_ACCELEROMETER	-0.8164215	0.51475525	9.581589
1560822514104	TYPE_MAGNETIC_FIELD	19.8	-20.039999	-29.699999
1560822514104	TYPE_GYROSCOPE	-0.20314026	0.0059509277	0.1020813
1560822514104	TYPE_ROTATION_VECTOR	-0.033134703	0.045529205	0.92938524
1560822514104	TYPE_MAGNETIC_FIELD_UNCALIBRATED	35.579998	-0.1800003	-166.98
1560822514104	TYPE_GYROSCOPE_UNCALIBRATED	-0.20401001	0.0053253174	0.10333252
1560822514104	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8164215	0.51475525	9.581589
1560822514125	TYPE_ACCELEROMETER	-0.45968628	0.28012085	10.127472
