#	startTime:1560823088137
#	SiteID:5cd56b90e2acfd2d33b5e33f	SiteName:凯德龙之梦购物中心(莘庄店)	FloorId:5cd56b92e2acfd2d33b5e6f5	FloorName:B2
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560823088137	TYPE_WAYPOINT	158.04065	93.23289
1560823088305	TYPE_ACCELEROMETER	0.46687317	1.0726013	11.271896
1560823088305	TYPE_MAGNETIC_FIELD	16.8	-15.179999	-30.9
1560823088305	TYPE_GYROSCOPE	-0.33203125	-0.10430908	-0.23188782
1560823088305	TYPE_ROTATION_VECTOR	0.046277873	0.03564592	0.87115306
1560823088305	TYPE_MAGNETIC_FIELD_UNCALIBRATED	32.579998	4.6799994	-168.18
1560823088305	TYPE_GYROSCOPE_UNCALIBRATED	-0.44688416	-0.23010254	-0.28337097
1560823088305	TYPE_ACCELEROMETER_UNCALIBRATED	0.48602295	1.1420288	10.302246
1560823088325	TYPE_ACCELEROMETER	0.0574646	0.98402405	10.390839
1560823088325	TYPE_MAGNETIC_FIELD	16.74	-15.059999	-31.439999
1560823088325	TYPE_GYROSCOPE	-0.025238037	0.025131226	-0.20365906
1560823088325	TYPE_ROTATION_VECTOR	0.040449653	0.032366265	0.8796803
1560823088325	TYPE_MAGNETIC_FIELD_UNCALIBRATED	32.52	4.799999	-168.42
1560823088325	TYPE_GYROSCOPE_UNCALIBRATED	-0.332901	-0.10493469	-0.2306366
1560823088325	TYPE_ACCELEROMETER_UNCALIBRATED	0.46687317	1.0726013	11.271896
1560823088346	TYPE_ACCELEROMETER	-0.20350647	0.9241638	9.07402
1560823088346	TYPE_MAGNETIC_FIELD	16.5	-15.0	-31.8
1560823088346	TYPE_GYROSCOPE	0.098342896	0.08691406	-0.15943909
1560823088346	TYPE_ROTATION_VECTOR	0.023485823	0.040563922	0.89249647
1560823088346	TYPE_MAGNETIC_FIELD_UNCALIBRATED	32.28	4.8599987	-169.08
1560823088346	TYPE_GYROSCOPE_UNCALIBRATED	-0.026107788	0.024505615	-0.20240784
1560823088346	TYPE_ACCELEROMETER_UNCALIBRATED	0.0574646	0.98402405	10.390839
1560823088366	TYPE_ACCELEROMETER	-0.19871521	0.9337311	9.035721
1560823088366	TYPE_MAGNETIC_FIELD	16.44	-15.0	-31.92
1560823088366	TYPE_GYROSCOPE	-0.07209778	0.07626343	-0.08807373
1560823088366	TYPE_ROTATION_VECTOR	0.023485823	0.040563922	0.89249647
1560823088366	TYPE_MAGNETIC_FIELD_UNCALIBRATED	32.28	4.8599987	-169.08
1560823088366	TYPE_GYROSCOPE_UNCALIBRATED	0.097473145	0.08628845	-0.15818787
1560823088366	TYPE_ACCELEROMETER_UNCALIBRATED	-0.20350647	0.9241638	9.07402
1560823088386	TYPE_ACCELEROMETER	0.07901001	0.9864044	10.005371
1560823088386	TYPE_MAGNETIC_FIELD	16.44	-15.0	-31.92
1560823088386	TYPE_GYROSCOPE	-0.2761078	6.2561035E-4	-0.01083374
