#	startTime:1560823109730
#	SiteID:5cd56b90e2acfd2d33b5e33f	SiteName:凯德龙之梦购物中心(莘庄店)	FloorId:5cd56b92e2acfd2d33b5e6f5	FloorName:B2
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560823109730	TYPE_WAYPOINT	157.13507	85.89613
1560823109891	TYPE_ACCELEROMETER	-0.53630066	1.5466614	8.688553
1560823109891	TYPE_MAGNETIC_FIELD	21.3	12.54	-47.64
1560823109891	TYPE_GYROSCOPE	-0.12590027	0.17053223	-0.24093628
1560823109891	TYPE_ROTATION_VECTOR	0.0755704	0.029562114	0.39102036
1560823109891	TYPE_MAGNETIC_FIELD_UNCALIBRATED	37.079998	32.399998	-184.92
1560823109891	TYPE_GYROSCOPE_UNCALIBRATED	0.061264038	0.17578125	-0.22157288
1560823109891	TYPE_ACCELEROMETER_UNCALIBRATED	0.04309082	1.4484863	8.707718
1560823109911	TYPE_ACCELEROMETER	-0.97683716	1.5897522	9.68454
1560823109911	TYPE_MAGNETIC_FIELD	21.42	12.36	-47.94
1560823109911	TYPE_GYROSCOPE	-0.26597595	0.029922485	-0.16317749
1560823109911	TYPE_ROTATION_VECTOR	0.07012601	0.060176685	0.36650428
1560823109911	TYPE_MAGNETIC_FIELD_UNCALIBRATED	37.2	32.219997	-185.22
1560823109911	TYPE_GYROSCOPE_UNCALIBRATED	-0.12677002	0.16990662	-0.23968506
1560823109911	TYPE_ACCELEROMETER_UNCALIBRATED	-0.97683716	1.5897522	9.68454
1560823109932	TYPE_ACCELEROMETER	0.24420166	1.3527222	10.350128
1560823109932	TYPE_MAGNETIC_FIELD	21.3	12.3	-48.12
1560823109932	TYPE_GYROSCOPE	-0.27664185	-0.15916443	-0.12536621
1560823109932	TYPE_ROTATION_VECTOR	0.060350273	0.07336313	0.33255616
1560823109932	TYPE_MAGNETIC_FIELD_UNCALIBRATED	37.079998	32.16	-185.4
1560823109932	TYPE_GYROSCOPE_UNCALIBRATED	-0.2668457	0.029296875	-0.16192627
