#	startTime:1560823753466
#	SiteID:5cd56b90e2acfd2d33b5e33f	SiteName:凯德龙之梦购物中心(莘庄店)	FloorId:5cd56b92e2acfd2d33b5e6f5	FloorName:B2
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560823753467	TYPE_WAYPOINT	96.765396	122.16899
1560823753613	TYPE_ACCELEROMETER	1.95607	-1.3215942	7.9583282
1560823753613	TYPE_MAGNETIC_FIELD	-3.9599998	-24.66	-29.64
1560823753613	TYPE_GYROSCOPE	0.18356323	0.16574097	-0.24893188
1560823753613	TYPE_ROTATION_VECTOR	-0.113538824	0.087093696	-0.9880071
1560823753613	TYPE_MAGNETIC_FIELD_UNCALIBRATED	11.82	-4.800001	-166.92
1560823753613	TYPE_GYROSCOPE_UNCALIBRATED	0.44049072	0.14967346	-0.14434814
1560823753613	TYPE_ACCELEROMETER_UNCALIBRATED	1.95607	-1.3215942	7.9583282
1560823753633	TYPE_ACCELEROMETER	1.6927032	-1.4269409	6.7492523
1560823753633	TYPE_MAGNETIC_FIELD	-3.9599998	-24.06	-29.16
1560823753633	TYPE_GYROSCOPE	-0.14880371	-0.054779053	-0.313385
1560823753633	TYPE_ROTATION_VECTOR	-0.11568567	0.106170334	-0.98649514
1560823753633	TYPE_MAGNETIC_FIELD_UNCALIBRATED	11.82	-4.200001	-166.44
1560823753633	TYPE_GYROSCOPE_UNCALIBRATED	0.18269348	0.16511536	-0.24768066
1560823753633	TYPE_ACCELEROMETER_UNCALIBRATED	0.8954315	-1.3503265	7.8170624
1560823753653	TYPE_ACCELEROMETER	0.8954315	-1.3503265	7.8170624
1560823753653	TYPE_MAGNETIC_FIELD	-4.08	-23.939999	-29.099998
1560823753653	TYPE_GYROSCOPE	-0.22016907	-0.07394409	-0.34266663
1560823753653	TYPE_ROTATION_VECTOR	-0.058662757	0.08258955	-0.99437094
1560823753653	TYPE_MAGNETIC_FIELD_UNCALIBRATED	11.7	-4.08	-166.38
1560823753653	TYPE_GYROSCOPE_UNCALIBRATED	-0.14967346	-0.055404663	-0.3121338
1560823753653	TYPE_ACCELEROMETER_UNCALIBRATED	0.31843567	-1.2689209	9.4379425
1560823753674	TYPE_ACCELEROMETER	0.31843567	-1.2689209	9.4379425
1560823753674	TYPE_MAGNETIC_FIELD	-4.2	-23.699999	-29.039999
1560823753674	TYPE_GYROSCOPE	-0.047073364	0.1210022	-0.32296753
1560823753674	TYPE_ROTATION_VECTOR	-0.020411905	0.064987116	-0.9955949
1560823753674	TYPE_MAGNETIC_FIELD_UNCALIBRATED	11.58	-3.8400002	-166.31999
1560823753674	TYPE_GYROSCOPE_UNCALIBRATED	-0.22103882	-0.0745697	-0.3414154
1560823753674	TYPE_ACCELEROMETER_UNCALIBRATED	-0.07421875	-1.1037292	10.108322
1560823753694	TYPE_ACCELEROMETER	-0.07421875	-1.1037292	10.108322
1560823753694	TYPE_MAGNETIC_FIELD	-4.38	-23.34	-28.859999
1560823753694	TYPE_GYROSCOPE	0.096221924	0.20889282	-0.28141785
1560823753694	TYPE_ROTATION_VECTOR	-2.041519E-5	0.054090105	-0.9949113
1560823753694	TYPE_MAGNETIC_FIELD_UNCALIBRATED	11.4	-3.4800014	-166.14
1560823753694	TYPE_GYROSCOPE_UNCALIBRATED	-0.047943115	0.12037659	-0.3217163
1560823753694	TYPE_ACCELEROMETER_UNCALIBRATED	-0.07421875	-1.1037292	10.108322
1560823753714	TYPE_ACCELEROMETER	0.09576416	-0.79966736	9.464279
1560823753714	TYPE_MAGNETIC_FIELD	-4.56	-23.279999	-28.74
1560823753714	TYPE_GYROSCOPE	0.052001953	0.14550781	-0.2531891
1560823753714	TYPE_ROTATION_VECTOR	0.0017863158	0.05382128	-0.9951831
1560823753714	TYPE_MAGNETIC_FIELD_UNCALIBRATED	11.219999	-3.42	-166.02
1560823753714	TYPE_GYROSCOPE_UNCALIBRATED	0.09535217	0.20826721	-0.28016663
1560823753714	TYPE_ACCELEROMETER_UNCALIBRATED	0.3327942	-0.46687317	8.4730835
1560823753735	TYPE_ACCELEROMETER	0.3327942	-0.46687317	8.4730835
1560823753735	TYPE_MAGNETIC_FIELD	-4.2	-23.34	-28.56
1560823753735	TYPE_GYROSCOPE	-0.04067993	0.079452515	-0.23188782
1560823753735	TYPE_ROTATION_VECTOR	0.0035703953	0.053024396	-0.9954468
1560823753735	TYPE_MAGNETIC_FIELD_UNCALIBRATED	11.58	-3.4800014	-165.84
1560823753735	TYPE_GYROSCOPE_UNCALIBRATED	0.051132202	0.1448822	-0.25193787
1560823753735	TYPE_ACCELEROMETER_UNCALIBRATED	0.38786316	-0.23223877	8.173798
1560823753755	TYPE_ACCELEROMETER	0.38786316	-0.23223877	8.173798
1560823753755	TYPE_MAGNETIC_FIELD	-4.2599998	-23.58	-28.92
1560823753755	TYPE_GYROSCOPE	-0.115249634	-4.4250488E-4	-0.20898438
1560823753755	TYPE_ROTATION_VECTOR	0.0041639158	0.052954722	-0.99554944
1560823753755	TYPE_MAGNETIC_FIELD_UNCALIBRATED	11.52	-3.7200012	-166.2
1560823753755	TYPE_GYROSCOPE_UNCALIBRATED	-0.041549683	0.078826904	-0.2306366
1560823753755	TYPE_ACCELEROMETER_UNCALIBRATED	0.38786316	-0.23223877	8.173798
1560823753775	TYPE_ACCELEROMETER	0.13887024	-0.0861969	8.068466
1560823753775	TYPE_MAGNETIC_FIELD	-3.9599998	-23.699999	-29.16
1560823753775	TYPE_GYROSCOPE	-0.15892029	-0.02015686	-0.16531372
1560823753775	TYPE_ROTATION_VECTOR	0.0048106443	0.053434167	-0.995704
1560823753775	TYPE_MAGNETIC_FIELD_UNCALIBRATED	11.82	-3.8400002	-166.44
1560823753775	TYPE_GYROSCOPE_UNCALIBRATED	-0.116119385	-0.0010681152	-0.20773315
1560823753775	TYPE_ACCELEROMETER_UNCALIBRATED	-0.24899292	0.0047912598	8.209717
1560823753795	TYPE_ACCELEROMETER	-0.24899292	0.0047912598	8.209717
1560823753795	TYPE_MAGNETIC_FIELD	-3.9599998	-23.88	-29.46
1560823753795	TYPE_GYROSCOPE	-0.20951843	-0.045181274	-0.082214355
1560823753795	TYPE_ROTATION_VECTOR	0.0046087867	0.054602582	-0.99579865
1560823753795	TYPE_MAGNETIC_FIELD_UNCALIBRATED	11.82	-4.0200005	-166.73999
