#	startTime:1560823812282
#	SiteID:5cd56b90e2acfd2d33b5e33f	SiteName:凯德龙之梦购物中心(莘庄店)	FloorId:5cd56b92e2acfd2d33b5e6f5	FloorName:B2
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560823812282	TYPE_WAYPOINT	108.48223	114.81367
1560823812428	TYPE_ACCELEROMETER	0.66319275	-1.4221497	10.948685
1560823812428	TYPE_MAGNETIC_FIELD	-28.92	4.3199997	-19.26
1560823812428	TYPE_GYROSCOPE	0.18463135	-0.027069092	-0.08860779
1560823812428	TYPE_ROTATION_VECTOR	-0.06801019	0.022354625	-0.670123
1560823812428	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-13.14	24.179998	-156.54
1560823812428	TYPE_GYROSCOPE_UNCALIBRATED	0.17523193	-0.07670593	-0.1129303
1560823812428	TYPE_ACCELEROMETER_UNCALIBRATED	0.66319275	-1.4221497	10.948685
1560823812448	TYPE_ACCELEROMETER	0.49320984	-1.3383636	9.811432
1560823812448	TYPE_MAGNETIC_FIELD	-28.98	4.56	-19.32
1560823812448	TYPE_GYROSCOPE	0.014190674	-0.08459473	-0.11097717
1560823812448	TYPE_ROTATION_VECTOR	-0.066410735	0.026730182	-0.6736174
1560823812448	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-13.2	24.419998	-156.6
1560823812448	TYPE_GYROSCOPE_UNCALIBRATED	0.1837616	-0.027694702	-0.08735657
1560823812448	TYPE_ACCELEROMETER_UNCALIBRATED	0.40222168	-1.3407593	9.200912
1560823812468	TYPE_ACCELEROMETER	0.40222168	-1.3407593	9.200912
1560823812468	TYPE_MAGNETIC_FIELD	-29.099998	4.7999997	-19.26
1560823812468	TYPE_GYROSCOPE	-0.13922119	-0.20710754	-0.124298096
1560823812468	TYPE_ROTATION_VECTOR	-0.06725547	0.03291674	-0.6740006
1560823812468	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-13.319999	24.659998	-156.54
1560823812468	TYPE_GYROSCOPE_UNCALIBRATED	0.013320923	-0.08522034	-0.10972595
1560823812468	TYPE_ACCELEROMETER_UNCALIBRATED	0.39982605	-1.201889	9.945511
1560823812489	TYPE_ACCELEROMETER	0.39982605	-1.201889	9.945511
1560823812489	TYPE_MAGNETIC_FIELD	-29.099998	4.7999997	-19.26
1560823812489	TYPE_GYROSCOPE	-0.030029297	-0.16183472	-0.14241028
1560823812489	TYPE_ROTATION_VECTOR	-0.05667507	0.02631729	-0.6891134
1560823812489	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-13.319999	24.659998	-156.54
1560823812489	TYPE_GYROSCOPE_UNCALIBRATED	-0.14009094	-0.20773315	-0.123046875
1560823812489	TYPE_ACCELEROMETER_UNCALIBRATED	0.62727356	-0.98880005	10.175354
1560823812509	TYPE_ACCELEROMETER	0.62727356	-0.98880005	10.175354
1560823812509	TYPE_MAGNETIC_FIELD	-28.98	5.22	-19.199999
1560823812509	TYPE_GYROSCOPE	0.10687256	-0.070755005	-0.14399719
1560823812509	TYPE_ROTATION_VECTOR	-0.055990335	0.0059144804	-0.6408263
1560823812509	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-13.2	25.079998	-156.48
1560823812509	TYPE_GYROSCOPE_UNCALIBRATED	-0.030899048	-0.16246033	-0.14115906
1560823812509	TYPE_ACCELEROMETER_UNCALIBRATED	0.4908142	-0.5410919	8.6909485
1560823812529	TYPE_ACCELEROMETER	0.4908142	-0.5410919	8.6909485
1560823812529	TYPE_MAGNETIC_FIELD	-28.92	5.52	-19.199999
1560823812529	TYPE_GYROSCOPE	0.026977539	-0.01322937	-0.12908936
1560823812529	TYPE_ROTATION_VECTOR	-0.057306103	0.0043544453	-0.63672125
1560823812529	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-13.14	25.38	-156.48
1560823812529	TYPE_GYROSCOPE_UNCALIBRATED	0.10600281	-0.071380615	-0.14274597
1560823812529	TYPE_ACCELEROMETER_UNCALIBRATED	0.5698242	-0.07421875	7.347809
1560823812550	TYPE_ACCELEROMETER	0.5698242	-0.07421875	7.347809
1560823812550	TYPE_MAGNETIC_FIELD	-28.92	5.52	-19.199999
1560823812550	TYPE_GYROSCOPE	-0.13494873	0.06188965	-0.13069153
1560823812550	TYPE_ROTATION_VECTOR	-0.057306103	0.0043544453	-0.63672125
1560823812550	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-13.14	25.38	-156.48
1560823812550	TYPE_GYROSCOPE_UNCALIBRATED	0.026107788	-0.0138549805	-0.12783813
1560823812550	TYPE_ACCELEROMETER_UNCALIBRATED	0.6536102	0.13887024	6.9623413
1560823812570	TYPE_ACCELEROMETER	0.6536102	0.13887024	6.9623413
1560823812570	TYPE_MAGNETIC_FIELD	-29.46	5.16	-19.02
1560823812570	TYPE_GYROSCOPE	-0.33415222	0.0741272	-0.1370697
1560823812570	TYPE_ROTATION_VECTOR	-0.056818634	0.0026716064	-0.6387996
1560823812570	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-13.679999	25.019999	-156.3
1560823812570	TYPE_GYROSCOPE_UNCALIBRATED	-0.13581848	0.061264038	-0.12944031
1560823812570	TYPE_ACCELEROMETER_UNCALIBRATED	0.44770813	0.10295105	7.8146667
1560823812590	TYPE_ACCELEROMETER	0.44770813	0.10295105	7.8146667
1560823812590	TYPE_MAGNETIC_FIELD	-29.58	5.22	-19.02
1560823812590	TYPE_GYROSCOPE	-0.32563782	0.05496216	-0.13227844
1560823812590	TYPE_ROTATION_VECTOR	-0.057466693	0.0039434885	-0.6398452
1560823812590	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-13.8	25.079998	-156.3
1560823812590	TYPE_GYROSCOPE_UNCALIBRATED	-0.33502197	0.07350159	-0.13581848
1560823812590	TYPE_ACCELEROMETER_UNCALIBRATED	0.4189911	0.0909729	9.179367
1560823812610	TYPE_ACCELEROMETER	0.4189911	0.0909729	9.179367
1560823812610	TYPE_MAGNETIC_FIELD	-29.699999	5.22	-18.9
1560823812610	TYPE_GYROSCOPE	-0.12376404	0.14657593	-0.12748718
1560823812610	TYPE_ROTATION_VECTOR	-0.05957804	0.006598549	-0.6409337
1560823812610	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-13.919999	25.079998	-156.18
1560823812610	TYPE_GYROSCOPE_UNCALIBRATED	-0.12463379	0.14595032	-0.12623596
1560823812610	TYPE_ACCELEROMETER_UNCALIBRATED	0.30885315	0.22265625	9.629486
1560823812631	TYPE_ACCELEROMETER	0.30885315	0.22265625	9.629486
1560823812631	TYPE_MAGNETIC_FIELD	-29.88	5.3399997	-18.96
1560823812631	TYPE_GYROSCOPE	0.032836914	0.17160034	-0.091796875
1560823812631	TYPE_ROTATION_VECTOR	-0.061753575	0.009059032	-0.6419663
1560823812631	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-14.099999	25.199999	-156.23999
1560823812631	TYPE_GYROSCOPE_UNCALIBRATED	-0.12463379	0.14595032	-0.12623596
1560823812631	TYPE_ACCELEROMETER_UNCALIBRATED	-0.07661438	0.47644043	8.726868
1560823812651	TYPE_ACCELEROMETER	-0.07661438	0.47644043	8.726868
1560823812651	TYPE_MAGNETIC_FIELD	-30.0	5.46	-19.02
1560823812651	TYPE_GYROSCOPE	-0.0342865	0.086380005	-0.046524048
1560823812651	TYPE_ROTATION_VECTOR	-0.061779484	0.010919843	-0.6430314
1560823812651	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-14.22	25.32	-156.3
1560823812651	TYPE_GYROSCOPE_UNCALIBRATED	0.031967163	0.17097473	-0.090545654
1560823812651	TYPE_ACCELEROMETER_UNCALIBRATED	-0.02394104	0.52194214	7.9391785
1560823812671	TYPE_ACCELEROMETER	-0.02394104	0.52194214	7.9391785
1560823812671	TYPE_MAGNETIC_FIELD	-30.42	5.4	-18.96
1560823812671	TYPE_GYROSCOPE	-0.19247437	-0.033462524	-0.03694153
1560823812671	TYPE_ROTATION_VECTOR	-0.060423378	0.011977938	-0.6438518
1560823812671	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-14.64	25.259998	-156.23999
1560823812671	TYPE_GYROSCOPE_UNCALIBRATED	-0.03515625	0.085754395	-0.045272827
1560823812671	TYPE_ACCELEROMETER_UNCALIBRATED	0.36871338	0.44770813	8.248032
