#	startTime:1560823916633
#	SiteID:5cd56b90e2acfd2d33b5e33f	SiteName:凯德龙之梦购物中心(莘庄店)	FloorId:5cd56b92e2acfd2d33b5e6f5	FloorName:B2
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560823916633	TYPE_WAYPOINT	111.10289	106.10835
1560823916792	TYPE_ACCELEROMETER	0.4333496	0.33998108	10.977417
1560823916792	TYPE_MAGNETIC_FIELD	-6.7799997	-33.84	-22.619999
1560823916792	TYPE_GYROSCOPE	-0.11630249	-0.08406067	-0.06890869
1560823916792	TYPE_ROTATION_VECTOR	0.003519705	-0.034700304	-0.99330956
1560823916792	TYPE_MAGNETIC_FIELD_UNCALIBRATED	8.82	-14.040001	-168.84
1560823916792	TYPE_GYROSCOPE_UNCALIBRATED	-0.022903442	-0.08363342	-0.13742065
1560823916792	TYPE_ACCELEROMETER_UNCALIBRATED	0.4333496	0.33998108	10.977417
1560823916812	TYPE_ACCELEROMETER	0.9744415	-0.41419983	11.690887
1560823916812	TYPE_MAGNETIC_FIELD	-7.02	-33.719997	-22.619999
1560823916812	TYPE_GYROSCOPE	-0.21697998	-0.1330719	-0.06463623
1560823916812	TYPE_ROTATION_VECTOR	-0.017478438	-0.01345642	-0.9934911
1560823916812	TYPE_MAGNETIC_FIELD_UNCALIBRATED	8.58	-13.919998	-168.84
1560823916812	TYPE_GYROSCOPE_UNCALIBRATED	-0.11717224	-0.08468628	-0.06765747
1560823916812	TYPE_ACCELEROMETER_UNCALIBRATED	0.9744415	-0.41419983	11.690887
1560823916833	TYPE_ACCELEROMETER	0.9361267	-0.91218567	12.366058
1560823916833	TYPE_MAGNETIC_FIELD	-7.2	-33.84	-22.68
1560823916833	TYPE_GYROSCOPE	-0.22816467	-0.09526062	-0.09072876
1560823916833	TYPE_ROTATION_VECTOR	-0.042579938	0.011694264	-0.9949922
1560823916833	TYPE_MAGNETIC_FIELD_UNCALIBRATED	8.4	-14.040001	-168.9
1560823916833	TYPE_GYROSCOPE_UNCALIBRATED	-0.22903442	-0.09588623	-0.08947754
