#	startTime:1560824351350
#	SiteID:5cd56b90e2acfd2d33b5e33f	SiteName:凯德龙之梦购物中心(莘庄店)	FloorId:5cd56b92e2acfd2d33b5e6f5	FloorName:B2
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560824351350	TYPE_WAYPOINT	115.60782	101.0349
1560824351514	TYPE_ACCELEROMETER	0.0	1.1970978	12.368439
1560824351514	TYPE_MAGNETIC_FIELD	-19.92	-11.5199995	-39.54
1560824351514	TYPE_GYROSCOPE	0.039749146	0.21421814	0.06692505
1560824351514	TYPE_ROTATION_VECTOR	0.016331771	-0.053901087	-0.8203013
1560824351514	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-3.540001	8.099999	-178.32
1560824351514	TYPE_GYROSCOPE_UNCALIBRATED	-0.09907532	0.20933533	0.051132202
1560824351514	TYPE_ACCELEROMETER_UNCALIBRATED	0.0	1.1970978	12.368439
1560824351534	TYPE_ACCELEROMETER	0.15562439	1.1755524	11.93988
1560824351534	TYPE_MAGNETIC_FIELD	-19.8	-11.639999	-39.719997
1560824351534	TYPE_GYROSCOPE	0.1771698	0.15083313	0.08024597
1560824351534	TYPE_ROTATION_VECTOR	0.02568119	-0.039184578	-0.83711463
1560824351534	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-3.42	7.9799995	-178.5
1560824351534	TYPE_GYROSCOPE_UNCALIBRATED	0.038879395	0.21359253	0.06817627
1560824351534	TYPE_ACCELEROMETER_UNCALIBRATED	0.15562439	1.1755524	11.93988
1560824351555	TYPE_ACCELEROMETER	0.52433777	0.9433136	11.04924
1560824351555	TYPE_MAGNETIC_FIELD	-19.68	-11.639999	-39.719997
1560824351555	TYPE_GYROSCOPE	0.16279602	0.08905029	0.02911377
1560824351555	TYPE_ROTATION_VECTOR	0.021624835	-0.044363115	-0.8322856
1560824351555	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-3.3000011	7.9799995	-178.5
1560824351555	TYPE_GYROSCOPE_UNCALIBRATED	0.17630005	0.15020752	0.08149719
1560824351555	TYPE_ACCELEROMETER_UNCALIBRATED	0.52433777	0.9433136	11.04924
1560824351575	TYPE_ACCELEROMETER	0.54348755	0.64164734	11.156982
1560824351575	TYPE_MAGNETIC_FIELD	-19.56	-11.639999	-39.899998
1560824351575	TYPE_GYROSCOPE	0.050949097	0.04750061	-0.040130615
1560824351575	TYPE_ROTATION_VECTOR	0.0040812558	-0.049234487	-0.8479485
1560824351575	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-3.1800003	7.9799995	-178.68
1560824351575	TYPE_GYROSCOPE_UNCALIBRATED	0.050079346	0.046875	-0.038879395
1560824351575	TYPE_ACCELEROMETER_UNCALIBRATED	0.54348755	0.64164734	11.156982
1560824351595	TYPE_ACCELEROMETER	0.23942566	0.28730774	11.690887
1560824351595	TYPE_MAGNETIC_FIELD	-19.38	-11.34	-40.14
1560824351595	TYPE_GYROSCOPE	0.03337097	0.07733154	-0.07102966
1560824351595	TYPE_ROTATION_VECTOR	-0.0057142638	-0.03781731	-0.83504075
1560824351595	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-3.0	8.279999	-178.92
1560824351595	TYPE_GYROSCOPE_UNCALIBRATED	0.050079346	0.046875	-0.038879395
1560824351595	TYPE_ACCELEROMETER_UNCALIBRATED	0.23942566	0.28730774	11.690887
1560824351616	TYPE_ACCELEROMETER	-0.4524994	-0.17477417	11.559204
1560824351616	TYPE_MAGNETIC_FIELD	-19.26	-11.04	-40.32
1560824351616	TYPE_GYROSCOPE	0.10845947	0.11088562	-0.061965942
1560824351616	TYPE_ROTATION_VECTOR	-0.0039083394	-0.015099512	-0.843802
1560824351616	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-2.880001	8.579999	-179.1
1560824351616	TYPE_GYROSCOPE_UNCALIBRATED	0.03250122	0.07670593	-0.06977844
1560824351616	TYPE_ACCELEROMETER_UNCALIBRATED	-0.4524994	-0.17477417	11.559204
1560824351636	TYPE_ACCELEROMETER	-0.9744415	-0.5530548	10.864883
1560824351636	TYPE_MAGNETIC_FIELD	-19.199999	-10.8	-40.5
1560824351636	TYPE_GYROSCOPE	0.061584473	0.1055603	0.028579712
1560824351636	TYPE_ROTATION_VECTOR	-0.003222053	-0.015254305	-0.84402114
1560824351636	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-2.8199997	8.819999	-179.28
1560824351636	TYPE_GYROSCOPE_UNCALIBRATED	0.06071472	0.10493469	0.029830933
1560824351636	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9744415	-0.5530548	10.864883
1560824351656	TYPE_ACCELEROMETER	-1.1420288	-0.826004	11.056427
1560824351656	TYPE_MAGNETIC_FIELD	-19.26	-10.8	-40.8
1560824351656	TYPE_GYROSCOPE	-0.06677246	0.06880188	0.119659424
1560824351656	TYPE_ROTATION_VECTOR	-0.0023706513	-0.015123093	-0.8444028
1560824351656	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-2.880001	8.819999	-179.58
1560824351656	TYPE_GYROSCOPE_UNCALIBRATED	0.06071472	0.10493469	0.029830933
1560824351656	TYPE_ACCELEROMETER_UNCALIBRATED	-1.1420288	-0.826004	11.056427
1560824351676	TYPE_ACCELEROMETER	-0.9911957	-0.84994507	11.508926
1560824351676	TYPE_MAGNETIC_FIELD	-19.32	-10.8	-40.86
1560824351676	TYPE_GYROSCOPE	-0.03375244	0.013412476	0.15428162
1560824351676	TYPE_ROTATION_VECTOR	-8.2798663E-4	-0.015448636	-0.84472406
1560824351676	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-2.9400005	8.819999	-179.64
1560824351676	TYPE_GYROSCOPE_UNCALIBRATED	-0.06764221	0.06817627	0.120910645
