#	startTime:1560824431227
#	SiteID:5cd56b90e2acfd2d33b5e33f	SiteName:凯德龙之梦购物中心(莘庄店)	FloorId:5cd56b92e2acfd2d33b5e6f5	FloorName:B2
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560824431228	TYPE_WAYPOINT	129.42561	100.37794
1560824431381	TYPE_ACCELEROMETER	-0.885849	0.588974	10.180145
1560824431381	TYPE_MAGNETIC_FIELD	-27.48	19.26	-41.34
1560824431381	TYPE_GYROSCOPE	-0.1791687	-0.094192505	-0.08753967
1560824431381	TYPE_ROTATION_VECTOR	0.045945015	0.02390355	-0.48859674
1560824431381	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-11.1	38.879997	-180.12
1560824431381	TYPE_GYROSCOPE_UNCALIBRATED	-0.20880127	-0.021316528	-0.08149719
1560824431381	TYPE_ACCELEROMETER_UNCALIBRATED	-0.84994507	0.52433777	10.438721
1560824431401	TYPE_ACCELEROMETER	-0.84994507	0.52433777	10.438721
1560824431401	TYPE_MAGNETIC_FIELD	-27.48	19.38	-41.16
1560824431401	TYPE_GYROSCOPE	-0.026824951	-0.19752502	-0.07849121
1560824431401	TYPE_ROTATION_VECTOR	0.040086456	0.024198899	-0.45479813
1560824431401	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-11.1	39.0	-179.94
1560824431401	TYPE_GYROSCOPE_UNCALIBRATED	-0.18003845	-0.094818115	-0.08628845
1560824431401	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9241638	0.44293213	9.909607
1560824431421	TYPE_ACCELEROMETER	-0.9241638	0.44293213	9.909607
1560824431421	TYPE_MAGNETIC_FIELD	-27.66	19.5	-41.16
1560824431421	TYPE_GYROSCOPE	0.098342896	-0.22096252	-0.058242798
1560824431421	TYPE_ROTATION_VECTOR	0.041487128	0.030970354	-0.45794007
1560824431421	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-11.280001	39.12	-179.94
1560824431421	TYPE_GYROSCOPE_UNCALIBRATED	0.097473145	-0.22158813	-0.056991577
1560824431421	TYPE_ACCELEROMETER_UNCALIBRATED	-1.122879	0.39743042	9.002197
1560824431442	TYPE_ACCELEROMETER	-1.122879	0.39743042	9.002197
1560824431442	TYPE_MAGNETIC_FIELD	-27.779999	19.439999	-41.16
1560824431442	TYPE_GYROSCOPE	0.019515991	-0.1607666	-0.049194336
1560824431442	TYPE_ROTATION_VECTOR	0.04961662	0.043879185	-0.480944
1560824431442	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-11.4	39.059998	-179.94
1560824431442	TYPE_GYROSCOPE_UNCALIBRATED	0.097473145	-0.22158813	-0.056991577
1560824431442	TYPE_ACCELEROMETER_UNCALIBRATED	-1.1970978	0.30645752	8.693344
