#	startTime:1560824515683
#	SiteID:5cd56b90e2acfd2d33b5e33f	SiteName:凯德龙之梦购物中心(莘庄店)	FloorId:5cd56b92e2acfd2d33b5e6f5	FloorName:B2
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560824515685	TYPE_WAYPOINT	121.72497	100.23808
1560824515842	TYPE_ACCELEROMETER	-0.5961609	0.33758545	9.610321
1560824515842	TYPE_MAGNETIC_FIELD	5.8199997	-32.34	-45.899998
1560824515842	TYPE_GYROSCOPE	-0.020965576	0.05921936	0.23097229
1560824515842	TYPE_ROTATION_VECTOR	-0.030131198	0.017561592	0.99934536
1560824515842	TYPE_MAGNETIC_FIELD_UNCALIBRATED	22.199999	-12.720001	-184.68
1560824515842	TYPE_GYROSCOPE_UNCALIBRATED	-0.043151855	0.031951904	0.22956848
1560824515842	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5961609	0.33758545	9.610321
1560824515862	TYPE_ACCELEROMETER	-0.7685394	0.4405365	9.756378
1560824515862	TYPE_MAGNETIC_FIELD	5.3399997	-32.04	-45.42
1560824515862	TYPE_GYROSCOPE	-0.013519287	0.06187439	0.21287537
1560824515862	TYPE_ROTATION_VECTOR	-0.03868835	0.02125038	0.99888927
1560824515862	TYPE_MAGNETIC_FIELD_UNCALIBRATED	21.72	-12.420002	-184.2
1560824515862	TYPE_GYROSCOPE_UNCALIBRATED	-0.021835327	0.05859375	0.23222351
1560824515862	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7685394	0.4405365	9.756378
1560824515882	TYPE_ACCELEROMETER	-0.78289795	0.4620819	9.797073
1560824515882	TYPE_MAGNETIC_FIELD	5.4	-32.16	-45.12
1560824515882	TYPE_GYROSCOPE	0.010467529	0.008087158	0.18304443
1560824515882	TYPE_ROTATION_VECTOR	-0.03835033	0.026919575	0.99800926
1560824515882	TYPE_MAGNETIC_FIELD_UNCALIBRATED	21.779999	-12.540001	-183.9
1560824515882	TYPE_GYROSCOPE_UNCALIBRATED	0.009597778	0.007461548	0.18429565
1560824515882	TYPE_ACCELEROMETER_UNCALIBRATED	-0.78289795	0.4620819	9.797073
1560824515903	TYPE_ACCELEROMETER	-0.64164734	0.48602295	9.157822
1560824515903	TYPE_MAGNETIC_FIELD	5.22	-32.16	-45.0
1560824515903	TYPE_GYROSCOPE	-0.0385437	-0.004699707	0.15374756
1560824515903	TYPE_ROTATION_VECTOR	-0.034543287	0.027504137	0.99896157
1560824515903	TYPE_MAGNETIC_FIELD_UNCALIBRATED	21.599998	-12.540001	-183.78
1560824515903	TYPE_GYROSCOPE_UNCALIBRATED	0.009597778	0.007461548	0.18429565
1560824515903	TYPE_ACCELEROMETER_UNCALIBRATED	-0.53630066	0.46447754	8.722076
1560824515923	TYPE_ACCELEROMETER	-0.53630066	0.46447754	8.722076
1560824515923	TYPE_MAGNETIC_FIELD	4.92	-32.34	-44.82
1560824515923	TYPE_GYROSCOPE	-0.15679932	-0.051574707	0.10635376
1560824515923	TYPE_ROTATION_VECTOR	-0.034582578	0.027013551	0.9990234
1560824515923	TYPE_MAGNETIC_FIELD_UNCALIBRATED	21.3	-12.720001	-183.6
1560824515923	TYPE_GYROSCOPE_UNCALIBRATED	-0.039413452	-0.0053253174	0.15499878
1560824515923	TYPE_ACCELEROMETER_UNCALIBRATED	-0.53630066	0.46447754	8.722076
1560824515943	TYPE_ACCELEROMETER	-0.55545044	0.5171509	8.990234
1560824515943	TYPE_MAGNETIC_FIELD	4.5	-32.16	-44.76
1560824515943	TYPE_GYROSCOPE	-0.2068634	-0.07182312	0.10580444
1560824515943	TYPE_ROTATION_VECTOR	-0.034043685	0.025470259	0.9990877
1560824515943	TYPE_MAGNETIC_FIELD_UNCALIBRATED	20.88	-12.540001	-183.54
1560824515943	TYPE_GYROSCOPE_UNCALIBRATED	-0.20773315	-0.07244873	0.107055664
1560824515943	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3830719	0.47166443	9.583984
1560824515964	TYPE_ACCELEROMETER	-0.3830719	0.47166443	9.583984
1560824515964	TYPE_MAGNETIC_FIELD	4.38	-32.16	-44.76
1560824515964	TYPE_GYROSCOPE	-0.17384338	-0.011627197	0.11540222
1560824515964	TYPE_ROTATION_VECTOR	-0.03329794	0.023412844	0.999167
1560824515964	TYPE_MAGNETIC_FIELD_UNCALIBRATED	20.759998	-12.540001	-183.54
1560824515964	TYPE_GYROSCOPE_UNCALIBRATED	-0.20773315	-0.07244873	0.107055664
1560824515964	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3830719	0.47166443	9.583984
1560824515984	TYPE_ACCELEROMETER	-0.18914795	0.44532776	9.799469
1560824515984	TYPE_MAGNETIC_FIELD	4.14	-32.16	-44.219997
1560824515984	TYPE_GYROSCOPE	-0.11791992	-0.047851562	0.09303284
1560824515984	TYPE_ROTATION_VECTOR	-0.03315288	0.021683423	0.99921364
1560824515984	TYPE_MAGNETIC_FIELD_UNCALIBRATED	20.519999	-12.540001	-183.0
1560824515984	TYPE_GYROSCOPE_UNCALIBRATED	-0.17471313	-0.012252808	0.11665344
1560824515984	TYPE_ACCELEROMETER_UNCALIBRATED	-0.18914795	0.44532776	9.799469
1560824516004	TYPE_ACCELEROMETER	-0.36392212	0.55545044	9.521744
1560824516004	TYPE_MAGNETIC_FIELD	4.2	-32.34	-44.399998
1560824516004	TYPE_GYROSCOPE	-0.12322998	-0.15330505	0.10475159
1560824516004	TYPE_ROTATION_VECTOR	-0.03265558	0.020517834	0.9992558
1560824516004	TYPE_MAGNETIC_FIELD_UNCALIBRATED	20.579998	-12.720001	-183.18
1560824516004	TYPE_GYROSCOPE_UNCALIBRATED	-0.12409973	-0.15393066	0.10600281
1560824516004	TYPE_ACCELEROMETER_UNCALIBRATED	-0.11730957	0.61531067	9.287109
1560824516024	TYPE_ACCELEROMETER	-0.11730957	0.61531067	9.287109
1560824516024	TYPE_MAGNETIC_FIELD	4.14	-32.46	-44.52
1560824516024	TYPE_GYROSCOPE	-0.13975525	-0.1565094	0.0552063
1560824516024	TYPE_ROTATION_VECTOR	-0.03109022	0.019306544	0.9993301
1560824516024	TYPE_MAGNETIC_FIELD_UNCALIBRATED	20.519999	-12.84	-183.3
1560824516024	TYPE_GYROSCOPE_UNCALIBRATED	-0.12409973	-0.15393066	0.10600281
1560824516024	TYPE_ACCELEROMETER_UNCALIBRATED	-0.292099	0.6943207	9.222458
1560824516045	TYPE_ACCELEROMETER	-0.292099	0.6943207	9.222458
1560824516045	TYPE_MAGNETIC_FIELD	3.6	-32.16	-44.76
1560824516045	TYPE_GYROSCOPE	-0.096069336	-0.027069092	0.052017212
1560824516045	TYPE_ROTATION_VECTOR	-0.029491542	0.017910916	0.9994042
1560824516045	TYPE_MAGNETIC_FIELD_UNCALIBRATED	19.98	-12.540001	-183.54
