#	startTime:1560824554686
#	SiteID:5cd56b90e2acfd2d33b5e33f	SiteName:凯德龙之梦购物中心(莘庄店)	FloorId:5cd56b92e2acfd2d33b5e6f5	FloorName:B2
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560824554686	TYPE_WAYPOINT	122.702225	77.487236
1560824554839	TYPE_ACCELEROMETER	-0.64404297	0.7565613	10.101135
1560824554839	TYPE_MAGNETIC_FIELD	-28.08	14.28	-34.2
1560824554839	TYPE_GYROSCOPE	-0.26651	0.026733398	0.20913696
1560824554839	TYPE_ROTATION_VECTOR	0.048465047	0.009522056	-0.5126145
1560824554839	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-11.52	34.019997	-173.28
1560824554839	TYPE_GYROSCOPE_UNCALIBRATED	-0.29934692	-0.030899048	0.19868469
1560824554839	TYPE_ACCELEROMETER_UNCALIBRATED	-0.64404297	0.7565613	10.101135
1560824554859	TYPE_ACCELEROMETER	-0.29927063	0.60095215	10.089172
1560824554859	TYPE_MAGNETIC_FIELD	-28.08	14.28	-34.2
1560824554859	TYPE_GYROSCOPE	-0.20579529	0.04324341	0.19476318
1560824554859	TYPE_ROTATION_VECTOR	0.048464216	0.009521937	-0.52455455
1560824554859	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-11.700001	33.899998	-172.98
1560824554859	TYPE_GYROSCOPE_UNCALIBRATED	-0.26737976	0.026107788	0.21038818
1560824554859	TYPE_ACCELEROMETER_UNCALIBRATED	-0.29927063	0.60095215	10.089172
