#	startTime:1560824541341
#	SiteID:5cd56b90e2acfd2d33b5e33f	SiteName:凯德龙之梦购物中心(莘庄店)	FloorId:5cd56b92e2acfd2d33b5e6f5	FloorName:B2
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560824541342	TYPE_WAYPOINT	123.70425	84.59506
1560824541517	TYPE_ACCELEROMETER	-0.25138855	1.1707611	9.447525
1560824541517	TYPE_MAGNETIC_FIELD	31.199999	-20.699999	-28.859999
1560824541517	TYPE_GYROSCOPE	-0.110458374	0.09437561	0.07385254
1560824541517	TYPE_ROTATION_VECTOR	0.017875573	0.05780985	0.8654884
1560824541517	TYPE_MAGNETIC_FIELD_UNCALIBRATED	47.579998	-1.0799999	-167.64
1560824541517	TYPE_GYROSCOPE_UNCALIBRATED	-0.10333252	0.1800232	0.090545654
1560824541517	TYPE_ACCELEROMETER_UNCALIBRATED	-0.25138855	1.1707611	9.447525
1560824541537	TYPE_ACCELEROMETER	-0.3327942	1.1947021	9.464279
1560824541537	TYPE_MAGNETIC_FIELD	30.779999	-20.82	-29.16
1560824541537	TYPE_GYROSCOPE	-0.12376404	-0.0158844	0.04562378
1560824541537	TYPE_ROTATION_VECTOR	0.018389873	0.05972517	0.87583977
1560824541537	TYPE_MAGNETIC_FIELD_UNCALIBRATED	47.159996	-1.2000008	-167.94
1560824541537	TYPE_GYROSCOPE_UNCALIBRATED	-0.111328125	0.09375	0.07510376
1560824541537	TYPE_ACCELEROMETER_UNCALIBRATED	-0.25138855	1.1707611	9.447525
1560824541558	TYPE_ACCELEROMETER	-0.14604187	1.1085205	9.512161
1560824541558	TYPE_MAGNETIC_FIELD	30.48	-20.82	-29.34
1560824541558	TYPE_GYROSCOPE	-0.13601685	-0.087265015	0.03337097
1560824541558	TYPE_ROTATION_VECTOR	0.015525834	0.06251857	0.8672611
1560824541558	TYPE_MAGNETIC_FIELD_UNCALIBRATED	46.86	-1.2000008	-168.12
1560824541558	TYPE_GYROSCOPE_UNCALIBRATED	-0.12463379	-0.01651001	0.046875
1560824541558	TYPE_ACCELEROMETER_UNCALIBRATED	-0.14604187	1.1085205	9.512161
1560824541578	TYPE_ACCELEROMETER	0.06942749	0.9361267	9.495407
1560824541578	TYPE_MAGNETIC_FIELD	30.24	-21.0	-29.519999
1560824541578	TYPE_GYROSCOPE	-0.13601685	-0.06436157	0.037094116
1560824541578	TYPE_ROTATION_VECTOR	0.022365242	0.054032426	0.8704342
1560824541578	TYPE_MAGNETIC_FIELD_UNCALIBRATED	46.62	-1.3800011	-168.3
1560824541578	TYPE_GYROSCOPE_UNCALIBRATED	-0.1368866	-0.087890625	0.034622192
1560824541578	TYPE_ACCELEROMETER_UNCALIBRATED	0.06942749	0.9361267	9.495407
1560824541598	TYPE_ACCELEROMETER	0.02394104	0.86190796	9.440338
1560824541598	TYPE_MAGNETIC_FIELD	30.0	-21.0	-29.699999
1560824541598	TYPE_GYROSCOPE	-0.13015747	0.010223389	0.03869629
1560824541598	TYPE_ROTATION_VECTOR	0.027035138	0.0413354	0.87253535
1560824541598	TYPE_MAGNETIC_FIELD_UNCALIBRATED	46.379997	-1.3800011	-168.48
1560824541598	TYPE_GYROSCOPE_UNCALIBRATED	-0.1368866	-0.06498718	0.038345337
1560824541598	TYPE_ACCELEROMETER_UNCALIBRATED	0.02394104	0.86190796	9.440338
1560824541619	TYPE_ACCELEROMETER	0.0143585205	0.72065735	9.46907
1560824541619	TYPE_MAGNETIC_FIELD	29.939999	-20.82	-29.939999
1560824541619	TYPE_GYROSCOPE	-0.13282776	0.07147217	0.0546875
1560824541619	TYPE_ROTATION_VECTOR	0.026611932	0.04001206	0.8727725
1560824541619	TYPE_MAGNETIC_FIELD_UNCALIBRATED	46.32	-1.2000008	-168.72
1560824541619	TYPE_GYROSCOPE_UNCALIBRATED	-0.13102722	0.009597778	0.03994751
1560824541619	TYPE_ACCELEROMETER_UNCALIBRATED	0.0143585205	0.72065735	9.46907
