#	startTime:1560824584996
#	SiteID:5cd56b90e2acfd2d33b5e33f	SiteName:凯德龙之梦购物中心(莘庄店)	FloorId:5cd56b92e2acfd2d33b5e6f5	FloorName:B2
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560824584996	TYPE_WAYPOINT	130.98232	72.53865
1560824585142	TYPE_ACCELEROMETER	-0.8666992	-0.7805023	10.096344
1560824585142	TYPE_MAGNETIC_FIELD	-1.8	-10.62	-31.32
1560824585142	TYPE_GYROSCOPE	0.0019378662	0.084243774	-0.042800903
1560824585142	TYPE_ROTATION_VECTOR	-0.011075585	-0.05884501	0.9978665
1560824585142	TYPE_MAGNETIC_FIELD_UNCALIBRATED	14.579999	8.999999	-170.1
1560824585142	TYPE_GYROSCOPE_UNCALIBRATED	-0.023971558	0.07510376	-0.04953003
1560824585142	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8666992	-0.7805023	10.096344
1560824585162	TYPE_ACCELEROMETER	-0.89064026	-0.4812317	9.749191
1560824585162	TYPE_MAGNETIC_FIELD	-0.65999997	-11.04	-31.56
1560824585162	TYPE_GYROSCOPE	-0.06997681	-0.037719727	-0.060913086
1560824585162	TYPE_ROTATION_VECTOR	-0.04414349	-0.027023416	0.9975687
1560824585162	TYPE_MAGNETIC_FIELD_UNCALIBRATED	15.719999	8.579999	-170.34
1560824585162	TYPE_GYROSCOPE_UNCALIBRATED	0.0010681152	0.083618164	-0.041549683
1560824585162	TYPE_ACCELEROMETER_UNCALIBRATED	-0.89064026	-0.4812317	9.749191
1560824585182	TYPE_ACCELEROMETER	-0.8571167	-0.19631958	9.411606
1560824585182	TYPE_MAGNETIC_FIELD	-0.35999998	-11.16	-31.859999
