#	startTime:1560824685571
#	SiteID:5cd56b90e2acfd2d33b5e33f	SiteName:凯德龙之梦购物中心(莘庄店)	FloorId:5cd56b92e2acfd2d33b5e6f5	FloorName:B2
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560824685571	TYPE_WAYPOINT	122.08691	44.53556
1560824685747	TYPE_ACCELEROMETER	-0.16758728	-1.4293365	11.547241
1560824685747	TYPE_MAGNETIC_FIELD	7.3799996	-29.939999	-25.619999
1560824685747	TYPE_GYROSCOPE	-0.06890869	0.2078247	0.28051758
1560824685747	TYPE_ROTATION_VECTOR	-0.013979644	-0.05885402	0.9917394
1560824685747	TYPE_MAGNETIC_FIELD_UNCALIBRATED	23.759998	-10.32	-164.4
1560824685747	TYPE_GYROSCOPE_UNCALIBRATED	-0.06977844	0.2071991	0.2817688
1560824685747	TYPE_ACCELEROMETER_UNCALIBRATED	-0.16758728	-1.4293365	11.547241
1560824685767	TYPE_ACCELEROMETER	-0.07421875	-1.3048401	11.209656
1560824685767	TYPE_MAGNETIC_FIELD	7.3799996	-29.939999	-25.619999
1560824685767	TYPE_GYROSCOPE	0.042419434	-0.021743774	0.23789978
1560824685767	TYPE_ROTATION_VECTOR	-0.013979644	-0.05885402	0.9917394
1560824685767	TYPE_MAGNETIC_FIELD_UNCALIBRATED	23.759998	-10.32	-164.4
1560824685767	TYPE_GYROSCOPE_UNCALIBRATED	-0.06977844	0.2071991	0.2817688
1560824685767	TYPE_ACCELEROMETER_UNCALIBRATED	-0.07421875	-1.3048401	11.209656
1560824685788	TYPE_ACCELEROMETER	-0.25378418	-1.2162476	9.998184
1560824685788	TYPE_MAGNETIC_FIELD	6.8999996	-30.3	-25.619999
1560824685788	TYPE_GYROSCOPE	0.24055481	-0.012161255	0.20968628
1560824685788	TYPE_ROTATION_VECTOR	-0.008890923	-0.057774533	0.99386376
1560824685788	TYPE_MAGNETIC_FIELD_UNCALIBRATED	23.579998	-10.5	-164.52
1560824685788	TYPE_GYROSCOPE_UNCALIBRATED	0.041549683	-0.022369385	0.239151
1560824685788	TYPE_ACCELEROMETER_UNCALIBRATED	-0.07421875	-1.3048401	11.209656
1560824685808	TYPE_ACCELEROMETER	-0.723053	-1.256958	8.978256
1560824685808	TYPE_MAGNETIC_FIELD	6.6	-30.3	-25.74
1560824685808	TYPE_GYROSCOPE	0.2874298	0.16468811	0.19848633
1560824685808	TYPE_ROTATION_VECTOR	-0.007904689	-0.057913594	0.9952924
1560824685808	TYPE_MAGNETIC_FIELD_UNCALIBRATED	23.279999	-10.68	-164.4
1560824685808	TYPE_GYROSCOPE_UNCALIBRATED	0.23968506	-0.012786865	0.2109375
1560824685808	TYPE_ACCELEROMETER_UNCALIBRATED	-0.25378418	-1.2162476	9.998184
1560824685828	TYPE_ACCELEROMETER	-0.8451538	-1.3144226	8.963898
1560824685828	TYPE_MAGNETIC_FIELD	6.24	-30.539999	-25.439999
1560824685828	TYPE_GYROSCOPE	0.15107727	0.36495972	0.22724915
1560824685828	TYPE_ROTATION_VECTOR	-0.043249276	-0.06682807	0.9955928
1560824685828	TYPE_MAGNETIC_FIELD_UNCALIBRATED	22.98	-10.68	-164.52
1560824685828	TYPE_GYROSCOPE_UNCALIBRATED	0.28656006	0.1640625	0.19973755
1560824685828	TYPE_ACCELEROMETER_UNCALIBRATED	-0.723053	-1.256958	8.978256
1560824685849	TYPE_ACCELEROMETER	-0.52194214	-1.2234344	9.081207
1560824685849	TYPE_MAGNETIC_FIELD	6.24	-30.539999	-25.439999
1560824685849	TYPE_GYROSCOPE	0.025375366	0.33299255	0.2474823
1560824685849	TYPE_ROTATION_VECTOR	-0.043249276	-0.06682807	0.9955928
1560824685849	TYPE_MAGNETIC_FIELD_UNCALIBRATED	22.619999	-10.92	-164.22
1560824685849	TYPE_GYROSCOPE_UNCALIBRATED	0.15020752	0.3643341	0.22850037
1560824685849	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8451538	-1.3144226	8.963898
1560824685869	TYPE_ACCELEROMETER	-0.09815979	-1.0295105	8.547302
1560824685869	TYPE_MAGNETIC_FIELD	6.2999997	-30.66	-24.6
1560824685869	TYPE_GYROSCOPE	-0.014053345	0.02406311	0.23684692
1560824685869	TYPE_ROTATION_VECTOR	-0.051619478	-0.06303602	0.9956833
1560824685869	TYPE_MAGNETIC_FIELD_UNCALIBRATED	22.679998	-11.040001	-163.38
1560824685869	TYPE_GYROSCOPE_UNCALIBRATED	0.024505615	0.33236694	0.24873352
1560824685869	TYPE_ACCELEROMETER_UNCALIBRATED	-0.52194214	-1.2234344	9.081207
1560824685889	TYPE_ACCELEROMETER	0.4333496	-0.89782715	8.269577
1560824685889	TYPE_MAGNETIC_FIELD	6.24	-30.599998	-24.42
1560824685889	TYPE_GYROSCOPE	-0.018310547	-0.20977783	0.20594788
1560824685889	TYPE_ROTATION_VECTOR	-0.05204261	-0.06303907	0.9957645
1560824685889	TYPE_MAGNETIC_FIELD_UNCALIBRATED	22.679998	-11.040001	-163.38
1560824685889	TYPE_GYROSCOPE_UNCALIBRATED	-0.014923096	0.0234375	0.23809814
1560824685889	TYPE_ACCELEROMETER_UNCALIBRATED	-0.09815979	-1.0295105	8.547302
1560824685909	TYPE_ACCELEROMETER	0.33998108	-0.6871338	8.6909485
1560824685909	TYPE_MAGNETIC_FIELD	6.24	-30.599998	-24.42
1560824685909	TYPE_GYROSCOPE	-0.051864624	-0.32055664	0.12658691
1560824685909	TYPE_ROTATION_VECTOR	-0.05007867	-0.06320219	0.9959462
1560824685909	TYPE_MAGNETIC_FIELD_UNCALIBRATED	22.38	-10.74	-163.02
