#	startTime:1560824718500
#	SiteID:5cd56b90e2acfd2d33b5e33f	SiteName:凯德龙之梦购物中心(莘庄店)	FloorId:5cd56b92e2acfd2d33b5e6f5	FloorName:B2
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560824718500	TYPE_WAYPOINT	116.910934	36.163994
1560824718658	TYPE_ACCELEROMETER	-0.23942566	-0.0071868896	10.1586
1560824718658	TYPE_MAGNETIC_FIELD	35.04	-5.8199997	-24.3
1560824718658	TYPE_GYROSCOPE	0.007797241	0.039505005	0.15428162
1560824718658	TYPE_ROTATION_VECTOR	-4.05018E-6	1.5025892E-5	0.75405306
1560824718658	TYPE_MAGNETIC_FIELD_UNCALIBRATED	51.42	13.799999	-163.08
1560824718658	TYPE_GYROSCOPE_UNCALIBRATED	-0.11239624	0.066589355	0.15341187
1560824718658	TYPE_ACCELEROMETER_UNCALIBRATED	-0.16281128	0.0071868896	10.321411
1560824718678	TYPE_ACCELEROMETER	-0.32081604	-0.0095825195	9.742004
1560824718678	TYPE_MAGNETIC_FIELD	34.98	-5.52	-24.359999
1560824718678	TYPE_GYROSCOPE	0.037628174	-0.018554688	0.13882446
1560824718678	TYPE_ROTATION_VECTOR	-0.011036812	0.0110368235	0.74796385
1560824718678	TYPE_MAGNETIC_FIELD_UNCALIBRATED	51.36	14.099998	-163.14
1560824718678	TYPE_GYROSCOPE_UNCALIBRATED	0.0069274902	0.038879395	0.15553284
1560824718678	TYPE_ACCELEROMETER_UNCALIBRATED	-0.32081604	-0.0095825195	9.742004
1560824718699	TYPE_ACCELEROMETER	-0.6871338	0.09576416	9.866501
1560824718699	TYPE_MAGNETIC_FIELD	34.8	-5.3399997	-24.359999
1560824718699	TYPE_GYROSCOPE	-0.026290894	-0.0388031	0.12232971
1560824718699	TYPE_ROTATION_VECTOR	-0.011779381	0.010237883	0.75337154
1560824718699	TYPE_MAGNETIC_FIELD_UNCALIBRATED	51.18	14.279999	-163.14
1560824718699	TYPE_GYROSCOPE_UNCALIBRATED	0.036758423	-0.019180298	0.14007568
1560824718699	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6871338	0.09576416	9.866501
1560824718719	TYPE_ACCELEROMETER	-0.86909485	0.22744751	10.431534
1560824718719	TYPE_MAGNETIC_FIELD	34.739998	-5.1	-24.6
1560824718719	TYPE_GYROSCOPE	-0.07849121	-0.052108765	0.16546631
1560824718719	TYPE_ROTATION_VECTOR	-0.02275619	0.026474243	0.7517634
1560824718719	TYPE_MAGNETIC_FIELD_UNCALIBRATED	51.119995	14.519999	-163.38
1560824718719	TYPE_GYROSCOPE_UNCALIBRATED	-0.027160645	-0.03942871	0.12358093
1560824718719	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6871338	0.09576416	9.866501
1560824718739	TYPE_ACCELEROMETER	-0.2753296	0.05506897	10.960663
1560824718739	TYPE_MAGNETIC_FIELD	34.62	-4.8599997	-24.539999
1560824718739	TYPE_GYROSCOPE	-0.08328247	0.0032958984	0.20648193
1560824718739	TYPE_ROTATION_VECTOR	-0.023071807	0.034234196	0.7499261
1560824718739	TYPE_MAGNETIC_FIELD_UNCALIBRATED	51.0	14.759999	-163.31999
1560824718739	TYPE_GYROSCOPE_UNCALIBRATED	-0.07936096	-0.052734375	0.16671753
1560824718739	TYPE_ACCELEROMETER_UNCALIBRATED	-0.2753296	0.05506897	10.960663
1560824718760	TYPE_ACCELEROMETER	-0.24659729	-0.06463623	10.879257
1560824718760	TYPE_MAGNETIC_FIELD	34.38	-4.8599997	-24.6
1560824718760	TYPE_GYROSCOPE	-1.9836426E-4	0.116744995	0.17825317
1560824718760	TYPE_ROTATION_VECTOR	-0.023143295	0.03334103	0.7511639
1560824718760	TYPE_MAGNETIC_FIELD_UNCALIBRATED	50.760002	14.759999	-163.38
1560824718760	TYPE_GYROSCOPE_UNCALIBRATED	-0.08415222	0.002670288	0.20773315
1560824718760	TYPE_ACCELEROMETER_UNCALIBRATED	-0.24659729	-0.06463623	10.879257
1560824718780	TYPE_ACCELEROMETER	-0.5530548	0.04548645	10.182541
1560824718780	TYPE_MAGNETIC_FIELD	34.32	-5.1	-24.539999
1560824718780	TYPE_GYROSCOPE	0.08769226	0.09277344	0.18251038
1560824718780	TYPE_ROTATION_VECTOR	-0.02365241	0.032775808	0.75256586
1560824718780	TYPE_MAGNETIC_FIELD_UNCALIBRATED	50.699997	14.519999	-163.31999
1560824718780	TYPE_GYROSCOPE_UNCALIBRATED	-0.0010681152	0.116119385	0.1795044
1560824718780	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5530548	0.04548645	10.182541
1560824718800	TYPE_ACCELEROMETER	-0.48362732	-0.1484375	9.387665
1560824718800	TYPE_MAGNETIC_FIELD	33.84	-5.3399997	-24.24
1560824718800	TYPE_GYROSCOPE	0.112197876	0.023529053	0.18144226
1560824718800	TYPE_ROTATION_VECTOR	-0.024480786	0.033584528	0.75372
1560824718800	TYPE_MAGNETIC_FIELD_UNCALIBRATED	50.22	14.279999	-163.02
1560824718800	TYPE_GYROSCOPE_UNCALIBRATED	0.08682251	0.09214783	0.1837616
1560824718800	TYPE_ACCELEROMETER_UNCALIBRATED	-0.48362732	-0.1484375	9.387665
1560824718820	TYPE_ACCELEROMETER	-0.84994507	-0.50038147	8.8489685
1560824718820	TYPE_MAGNETIC_FIELD	34.079998	-5.64	-24.06
1560824718820	TYPE_GYROSCOPE	-0.010848999	0.1013031	0.1809082
1560824718820	TYPE_ROTATION_VECTOR	-0.024547135	0.0349174	0.7548805
1560824718820	TYPE_MAGNETIC_FIELD_UNCALIBRATED	50.46	13.98	-162.84
1560824718820	TYPE_GYROSCOPE_UNCALIBRATED	0.111328125	0.022903442	0.18269348
1560824718820	TYPE_ACCELEROMETER_UNCALIBRATED	-0.84994507	-0.50038147	8.8489685
1560824718841	TYPE_ACCELEROMETER	-1.1396332	-0.6775665	9.667786
1560824718841	TYPE_MAGNETIC_FIELD	34.14	-6.0	-24.0
1560824718841	TYPE_GYROSCOPE	-0.23881531	0.24191284	0.2277832
1560824718841	TYPE_ROTATION_VECTOR	-0.023921793	0.035977006	0.75603575
1560824718841	TYPE_MAGNETIC_FIELD_UNCALIBRATED	50.519997	13.619999	-162.78
1560824718841	TYPE_GYROSCOPE_UNCALIBRATED	-0.01171875	0.10067749	0.18215942
1560824718841	TYPE_ACCELEROMETER_UNCALIBRATED	-1.1396332	-0.6775665	9.667786
1560824718861	TYPE_ACCELEROMETER	-0.7661438	-0.90979004	10.9917755
1560824718861	TYPE_MAGNETIC_FIELD	34.44	-6.3599997	-24.06
1560824718861	TYPE_GYROSCOPE	-0.2569275	0.06135559	0.24163818
1560824718861	TYPE_ROTATION_VECTOR	-0.02469232	0.03660715	0.757206
1560824718861	TYPE_MAGNETIC_FIELD_UNCALIBRATED	50.82	13.259999	-162.84
1560824718861	TYPE_GYROSCOPE_UNCALIBRATED	-0.23968506	0.24128723	0.22903442
1560824718861	TYPE_ACCELEROMETER_UNCALIBRATED	-1.1396332	-0.6775665	9.667786
1560824718881	TYPE_ACCELEROMETER	-0.22984314	-0.7685394	10.644623
1560824718881	TYPE_MAGNETIC_FIELD	34.38	-6.72	-23.76
1560824718881	TYPE_GYROSCOPE	-0.07476807	-0.17781067	0.18197632
1560824718881	TYPE_ROTATION_VECTOR	-0.028027155	0.036432143	0.7587292
1560824718881	TYPE_MAGNETIC_FIELD_UNCALIBRATED	50.760002	12.9	-162.54
1560824718881	TYPE_GYROSCOPE_UNCALIBRATED	-0.25779724	0.06072998	0.2428894
1560824718881	TYPE_ACCELEROMETER_UNCALIBRATED	-0.22984314	-0.7685394	10.644623
1560824718902	TYPE_ACCELEROMETER	-0.11253357	-0.32321167	9.040512
1560824718902	TYPE_MAGNETIC_FIELD	34.44	-7.2	-24.06
1560824718902	TYPE_GYROSCOPE	0.028030396	-0.17993164	0.11433411
1560824718902	TYPE_ROTATION_VECTOR	-0.030102303	0.03494143	0.76038665
1560824718902	TYPE_MAGNETIC_FIELD_UNCALIBRATED	50.82	12.419999	-162.84
1560824718902	TYPE_GYROSCOPE_UNCALIBRATED	-0.07563782	-0.17843628	0.18322754
1560824718902	TYPE_ACCELEROMETER_UNCALIBRATED	-0.11253357	-0.32321167	9.040512
1560824718922	TYPE_ACCELEROMETER	-0.38546753	0.03112793	8.26239
1560824718922	TYPE_MAGNETIC_FIELD	34.5	-7.02	-24.24
1560824718922	TYPE_GYROSCOPE	-0.09448242	-0.12135315	0.08717346
1560824718922	TYPE_ROTATION_VECTOR	-0.029171303	0.033255506	0.7616601
1560824718922	TYPE_MAGNETIC_FIELD_UNCALIBRATED	50.879997	12.599998	-163.02
1560824718922	TYPE_GYROSCOPE_UNCALIBRATED	0.027160645	-0.18055725	0.11558533
1560824718922	TYPE_ACCELEROMETER_UNCALIBRATED	-0.38546753	0.03112793	8.26239
1560824718942	TYPE_ACCELEROMETER	-0.48841858	0.18675232	8.719681
1560824718942	TYPE_MAGNETIC_FIELD	34.5	-6.96	-24.3
1560824718942	TYPE_GYROSCOPE	-0.2846222	-0.13253784	0.09249878
1560824718942	TYPE_ROTATION_VECTOR	-0.027567655	0.03232727	0.76245004
1560824718942	TYPE_MAGNETIC_FIELD_UNCALIBRATED	50.879997	12.659999	-163.08
1560824718942	TYPE_GYROSCOPE_UNCALIBRATED	-0.09535217	-0.12197876	0.08842468
1560824718942	TYPE_ACCELEROMETER_UNCALIBRATED	-0.48841858	0.18675232	8.719681
1560824718962	TYPE_ACCELEROMETER	-0.03352356	0.15802002	9.457092
1560824718962	TYPE_MAGNETIC_FIELD	34.68	-7.02	-24.3
1560824718962	TYPE_GYROSCOPE	-0.35760498	-0.10910034	0.067993164
1560824718962	TYPE_ROTATION_VECTOR	-0.027214276	0.030831711	0.7630836
1560824718962	TYPE_MAGNETIC_FIELD_UNCALIBRATED	51.059998	12.599998	-163.08
1560824718962	TYPE_GYROSCOPE_UNCALIBRATED	-0.28549194	-0.13316345	0.09375
1560824718962	TYPE_ACCELEROMETER_UNCALIBRATED	-0.03352356	0.15802002	9.457092
1560824718983	TYPE_ACCELEROMETER	-0.03112793	0.26815796	9.837769
1560824718983	TYPE_MAGNETIC_FIELD	34.68	-7.02	-24.6
1560824718983	TYPE_GYROSCOPE	-0.25	-0.10058594	0.005142212
1560824718983	TYPE_ROTATION_VECTOR	-0.028014533	0.027798016	0.7638084
1560824718983	TYPE_MAGNETIC_FIELD_UNCALIBRATED	51.059998	12.599998	-163.38
1560824718983	TYPE_GYROSCOPE_UNCALIBRATED	-0.35847473	-0.10972595	0.069244385
1560824718983	TYPE_ACCELEROMETER_UNCALIBRATED	-0.03112793	0.26815796	9.837769
1560824719003	TYPE_ACCELEROMETER	-0.47166443	0.5913696	9.7300415
1560824719003	TYPE_MAGNETIC_FIELD	34.5	-6.96	-24.66
1560824719003	TYPE_GYROSCOPE	-0.056121826	-0.1330719	0.01260376
1560824719003	TYPE_ROTATION_VECTOR	-0.02947515	0.024350297	0.7643773
1560824719003	TYPE_MAGNETIC_FIELD_UNCALIBRATED	50.879997	12.659999	-163.44
1560824719003	TYPE_GYROSCOPE_UNCALIBRATED	-0.25086975	-0.10121155	0.0063934326
1560824719003	TYPE_ACCELEROMETER_UNCALIBRATED	-0.47166443	0.5913696	9.7300415
1560824719023	TYPE_ACCELEROMETER	-0.46447754	0.74938965	8.614334
1560824719023	TYPE_MAGNETIC_FIELD	34.32	-6.8399997	-24.96
1560824719023	TYPE_GYROSCOPE	0.029632568	-0.020141602	0.060531616
1560824719023	TYPE_ROTATION_VECTOR	-0.030324465	0.021765508	0.7645015
1560824719023	TYPE_MAGNETIC_FIELD_UNCALIBRATED	50.699997	12.779999	-163.73999
1560824719023	TYPE_GYROSCOPE_UNCALIBRATED	-0.056991577	-0.13369751	0.0138549805
1560824719023	TYPE_ACCELEROMETER_UNCALIBRATED	-0.46447754	0.74938965	8.614334
1560824719044	TYPE_ACCELEROMETER	-0.47644043	0.76135254	7.905655
1560824719044	TYPE_MAGNETIC_FIELD	34.02	-6.66	-25.26
1560824719044	TYPE_GYROSCOPE	-0.14506531	0.17906189	0.06852722
1560824719044	TYPE_ROTATION_VECTOR	-0.029661857	0.020464148	0.764636
1560824719044	TYPE_MAGNETIC_FIELD_UNCALIBRATED	50.4	12.959999	-164.04
1560824719044	TYPE_GYROSCOPE_UNCALIBRATED	0.028762817	-0.020767212	0.061782837
1560824719044	TYPE_ACCELEROMETER_UNCALIBRATED	-0.47644043	0.76135254	7.905655
1560824719064	TYPE_ACCELEROMETER	-0.7972717	0.84994507	9.265564
1560824719064	TYPE_MAGNETIC_FIELD	34.02	-6.42	-25.019999
1560824719064	TYPE_GYROSCOPE	-0.3006134	0.18013	0.11859131
1560824719064	TYPE_ROTATION_VECTOR	-0.029298136	0.020574657	0.765029
1560824719064	TYPE_MAGNETIC_FIELD_UNCALIBRATED	50.4	13.199999	-163.8
1560824719064	TYPE_GYROSCOPE_UNCALIBRATED	-0.14593506	0.17843628	0.06977844
1560824719064	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7972717	0.84994507	9.265564
1560824719084	TYPE_ACCELEROMETER	-0.5961609	0.7374115	10.515335
1560824719084	TYPE_MAGNETIC_FIELD	34.02	-6.66	-25.019999
1560824719084	TYPE_GYROSCOPE	-0.19940186	0.009689331	0.20594788
1560824719084	TYPE_ROTATION_VECTOR	-0.031592682	0.020640936	0.76544887
1560824719084	TYPE_MAGNETIC_FIELD_UNCALIBRATED	50.4	12.959999	-163.8
1560824719084	TYPE_GYROSCOPE_UNCALIBRATED	-0.30148315	0.1795044	0.11984253
1560824719084	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7972717	0.84994507	9.265564
1560824719104	TYPE_ACCELEROMETER	-0.37348938	0.70150757	10.184937
1560824719104	TYPE_MAGNETIC_FIELD	34.02	-6.42	-24.96
1560824719104	TYPE_GYROSCOPE	-0.03375244	-0.098983765	0.176651
1560824719104	TYPE_ROTATION_VECTOR	-0.034915894	0.019526266	0.7662189
1560824719104	TYPE_MAGNETIC_FIELD_UNCALIBRATED	50.4	13.199999	-163.73999
1560824719104	TYPE_GYROSCOPE_UNCALIBRATED	-0.2002716	0.009063721	0.2071991
1560824719104	TYPE_ACCELEROMETER_UNCALIBRATED	-0.37348938	0.70150757	10.184937
1560824719125	TYPE_ACCELEROMETER	-0.47883606	0.98402405	9.698914
1560824719125	TYPE_MAGNETIC_FIELD	33.899998	-6.12	-25.019999
1560824719125	TYPE_GYROSCOPE	-0.02949524	-0.059036255	0.15214539
1560824719125	TYPE_ROTATION_VECTOR	-0.03625155	0.018120037	0.7675825
1560824719125	TYPE_MAGNETIC_FIELD_UNCALIBRATED	50.28	13.499999	-163.8
1560824719125	TYPE_GYROSCOPE_UNCALIBRATED	-0.034622192	-0.099609375	0.17790222
1560824719125	TYPE_ACCELEROMETER_UNCALIBRATED	-0.37348938	0.70150757	10.184937
1560824719124	TYPE_WIFI	90a13d9926e0f11cb22ac9bb4d245a64ed87411c	abfe3153f20264a45bb19e7c3743de21399e8a8d	-87	5785	1560824686399
1560824719124	TYPE_WIFI	90a13d9926e0f11cb22ac9bb4d245a64ed87411c	b1f47619193b203ad7e6a55d38fe8628bea63024	-84	2437	1560824712574
1560824719124	TYPE_WIFI	90a13d9926e0f11cb22ac9bb4d245a64ed87411c	547b18fbb57367a47986f406985225e02f1bb2da	-84	5765	1560824707972
1560824719124	TYPE_WIFI	90a13d9926e0f11cb22ac9bb4d245a64ed87411c	cf97aea021728c53200b808e23b55496778fa276	-85	5825	1560824709349
1560824719124	TYPE_WIFI	519f93d36e36adf1fdc35519e43b3c6548719fd0	b788c11a0f120d328b9b6c98101ca2439f6d266c	-69	2447	1560824689455
1560824719124	TYPE_WIFI	90a13d9926e0f11cb22ac9bb4d245a64ed87411c	b1dbadbea6e00951cc24221a0455c884d3570f76	-86	2412	1560824712442
1560824719124	TYPE_WIFI	08ded4f89f63803639f86558c4cca8dd0af3e225	f5303cf7a576b0648ae4c285c3476a89c4b27408	-74	2442	1560824706990
1560824719124	TYPE_WIFI	b29a4bcb82e4b78659a5b3e24b4d53a85b843581	04afb02d22a397dd27945cc04393705b9d019ff9	-82	2457	1560824712125
1560824719124	TYPE_WIFI	90a13d9926e0f11cb22ac9bb4d245a64ed87411c	06e402337a2e0e901e8857cc7493dbc864f32d6c	-77	2437	1560824706915
1560824719124	TYPE_WIFI	41407e577e97814dd6c80c676924db39cc32364d	5e2026695404e6726e4790644150c2faf5cf00d1	-72	2412	1560824714412
1560824719124	TYPE_WIFI	90a13d9926e0f11cb22ac9bb4d245a64ed87411c	937e0f9ac15095315965b9c2ca0c606af2b7a85c	-88	5765	1560824708632
1560824719124	TYPE_WIFI	90a13d9926e0f11cb22ac9bb4d245a64ed87411c	b75c45744360671b6dcc2d5e65a96dcb533a3dff	-87	5785	1560824707350
1560824719124	TYPE_WIFI	90a13d9926e0f11cb22ac9bb4d245a64ed87411c	bacbc0c93d160a856166a60f5714098116d29518	-86	5745	1560824697414
1560824719124	TYPE_WIFI	90a13d9926e0f11cb22ac9bb4d245a64ed87411c	fac701725e1075774c9d8011fc2bfd492697051f	-88	5805	1560824712500
1560824719124	TYPE_WIFI	8c253e2408cca54070641bea91b2c4311007adab	b8bb4f09e5143d082142f7b6ff3bb9d72dda8d31	-75	2462	1560824713952
1560824719124	TYPE_WIFI	90a13d9926e0f11cb22ac9bb4d245a64ed87411c	9e327edaf93f968c7a45a8578488b527f1052b86	-81	2462	1560824712167
1560824719124	TYPE_WIFI	17f31044c6741ae5f30815c467a8c29558d7cbf0	815c0427ed553e6738c0d0609c990780546e862e	-90	2442	1560824713261
1560824719124	TYPE_WIFI	5f0f70ea6b8d8b9da8c258085e72e6f97a277a9c	b5b78e869cee53d0fa4ddb2b63c79dc5d07086b9	-76	2437	1560824714572
1560824719124	TYPE_WIFI	da39a3ee5e6b4b0d3255bfef95601890afd80709	7eaa4cef60e954b7fcdc27eb7c0f9561c67bb23e	-70	2462	1560824694473
1560824719124	TYPE_WIFI	90a13d9926e0f11cb22ac9bb4d245a64ed87411c	06605dd484bff1f70659795db321d20186feb499	-73	2462	1560824713940
1560824719124	TYPE_WIFI	adee488ccb970bbb703e01d714e140a15fab7805	dc5a51733ecfe1fbaa65b17bb3be2e8f12025ed5	-59	2472	1560824706394
1560824719124	TYPE_WIFI	90a13d9926e0f11cb22ac9bb4d245a64ed87411c	89b8e0416140bc5f718f1dea821673cf3a210ef8	-87	2412	1560824713732
1560824719124	TYPE_WIFI	5f888a7a4b36145761bc96b587201e6cc6ca5d33	4e9b88445c15d127f2a67665b23f8203f87dd9f1	-63	2412	1560824714391
1560824719124	TYPE_WIFI	5a56678a2ebf36fab5d0a8a5f0b4f56dcfc62cc4	9b21410f5a12ab2b88164194b565bd777708c84f	-67	2417	1560824712479
1560824719124	TYPE_WIFI	90a13d9926e0f11cb22ac9bb4d245a64ed87411c	f1eaf34da3924ac53f041fabf8438bfaad4d00dd	-83	5745	1560824714419
1560824719124	TYPE_WIFI	90a13d9926e0f11cb22ac9bb4d245a64ed87411c	9642585623ca100473611b706220368bbb473292	-91	5765	1560824690625
1560824719124	TYPE_WIFI	90a13d9926e0f11cb22ac9bb4d245a64ed87411c	29f5890e340a478eb9fe3d3c94be1a2921fd026e	-66	5785	1560824714465
