#	startTime:1560824757738
#	SiteID:5cd56b90e2acfd2d33b5e33f	SiteName:凯德龙之梦购物中心(莘庄店)	FloorId:5cd56b92e2acfd2d33b5e6f5	FloorName:B2
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560824757739	TYPE_WAYPOINT	101.54209	36.60791
1560824757888	TYPE_ACCELEROMETER	-0.29927063	0.36871338	10.326187
1560824757888	TYPE_MAGNETIC_FIELD	16.08	-13.92	-9.24
1560824757888	TYPE_GYROSCOPE	-0.096069336	-0.12561035	-0.12695312
1560824757888	TYPE_ROTATION_VECTOR	-0.0053350073	0.021400336	0.9013922
1560824757888	TYPE_MAGNETIC_FIELD_UNCALIBRATED	32.46	5.699999	-148.02
1560824757888	TYPE_GYROSCOPE_UNCALIBRATED	-0.11665344	-0.19015503	-0.08363342
1560824757888	TYPE_ACCELEROMETER_UNCALIBRATED	-0.29927063	0.36871338	10.326187
1560824757908	TYPE_ACCELEROMETER	-0.4333496	0.38786316	9.500198
1560824757908	TYPE_MAGNETIC_FIELD	16.08	-13.74	-9.36
1560824757908	TYPE_GYROSCOPE	-0.18235779	-0.042526245	-0.11097717
1560824757908	TYPE_ROTATION_VECTOR	-0.0117732175	0.028900007	0.8975231
1560824757908	TYPE_MAGNETIC_FIELD_UNCALIBRATED	32.46	5.699999	-148.02
1560824757908	TYPE_GYROSCOPE_UNCALIBRATED	-0.09693909	-0.12623596	-0.1257019
1560824757908	TYPE_ACCELEROMETER_UNCALIBRATED	-0.4333496	0.38786316	9.500198
1560824757928	TYPE_ACCELEROMETER	-0.92655945	0.43095398	9.356537
1560824757928	TYPE_MAGNETIC_FIELD	16.08	-13.74	-9.36
1560824757928	TYPE_GYROSCOPE	-0.33042908	-0.11282349	-0.06677246
1560824757928	TYPE_ROTATION_VECTOR	-0.0117732175	0.028900007	0.8975231
1560824757928	TYPE_MAGNETIC_FIELD_UNCALIBRATED	32.46	5.879999	-148.14
1560824757928	TYPE_GYROSCOPE_UNCALIBRATED	-0.18322754	-0.043151855	-0.10972595
1560824757928	TYPE_ACCELEROMETER_UNCALIBRATED	-0.92655945	0.43095398	9.356537
1560824757949	TYPE_ACCELEROMETER	-0.9217682	0.22505188	9.564835
1560824757949	TYPE_MAGNETIC_FIELD	16.14	-13.32	-9.66
1560824757949	TYPE_GYROSCOPE	-0.37516785	-0.1953888	-0.08595276
1560824757949	TYPE_ROTATION_VECTOR	-0.039000023	0.030297352	0.91210246
1560824757949	TYPE_MAGNETIC_FIELD_UNCALIBRATED	32.519997	6.299999	-148.44
1560824757949	TYPE_GYROSCOPE_UNCALIBRATED	-0.33129883	-0.1134491	-0.06552124
1560824757949	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9217682	0.22505188	9.564835
1560824757969	TYPE_ACCELEROMETER	-0.6320648	-0.10774231	10.192123
1560824757969	TYPE_MAGNETIC_FIELD	16.14	-13.139999	-9.719999
