#	startTime:1560824804431
#	SiteID:5cd56b90e2acfd2d33b5e33f	SiteName:凯德龙之梦购物中心(莘庄店)	FloorId:5cd56b92e2acfd2d33b5e6f5	FloorName:B2
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560824804432	TYPE_WAYPOINT	118.346115	43.587685
1560824804588	TYPE_ACCELEROMETER	0.11730957	0.3256073	11.863266
1560824804588	TYPE_MAGNETIC_FIELD	15.9	19.56	-10.8
1560824804588	TYPE_GYROSCOPE	0.35081482	0.088516235	-0.09979248
1560824804588	TYPE_ROTATION_VECTOR	0.015091208	0.0038946224	0.33679745
1560824804588	TYPE_MAGNETIC_FIELD_UNCALIBRATED	32.28	39.18	-149.58
1560824804588	TYPE_GYROSCOPE_UNCALIBRATED	0.29667664	-0.03515625	-0.12037659
1560824804588	TYPE_ACCELEROMETER_UNCALIBRATED	-0.13407898	-0.10295105	10.603912
1560824804608	TYPE_ACCELEROMETER	-0.13407898	-0.10295105	10.603912
1560824804608	TYPE_MAGNETIC_FIELD	15.78	19.56	-10.8
1560824804608	TYPE_GYROSCOPE	-0.0018005371	0.14762878	-0.06410217
1560824804608	TYPE_ROTATION_VECTOR	1.5092697E-5	0.00390646	0.32158107
1560824804608	TYPE_MAGNETIC_FIELD_UNCALIBRATED	32.16	39.18	-149.58
1560824804608	TYPE_GYROSCOPE_UNCALIBRATED	0.34994507	0.087890625	-0.09854126
1560824804608	TYPE_ACCELEROMETER_UNCALIBRATED	-0.06942749	-0.78289795	10.881653
1560824804628	TYPE_ACCELEROMETER	-0.06942749	-0.78289795	10.881653
1560824804628	TYPE_MAGNETIC_FIELD	15.599999	19.74	-10.86
1560824804628	TYPE_GYROSCOPE	-0.2926178	0.13378906	-0.07209778
1560824804628	TYPE_ROTATION_VECTOR	-0.03396443	-0.0078012077	0.31652611
1560824804628	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.98	39.36	-149.64
1560824804628	TYPE_GYROSCOPE_UNCALIBRATED	-0.29348755	0.13316345	-0.07084656
1560824804628	TYPE_ACCELEROMETER_UNCALIBRATED	0.19154358	-1.4652557	12.780243
1560824804649	TYPE_ACCELEROMETER	0.19154358	-1.4652557	12.780243
1560824804649	TYPE_MAGNETIC_FIELD	15.42	20.039999	-10.92
1560824804649	TYPE_GYROSCOPE	-0.07104492	-0.10270691	-0.115234375
1560824804649	TYPE_ROTATION_VECTOR	-0.050830502	-0.024154624	0.30443177
1560824804649	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.8	39.659996	-149.7
1560824804649	TYPE_GYROSCOPE_UNCALIBRATED	-0.29348755	0.13316345	-0.07084656
1560824804649	TYPE_ACCELEROMETER_UNCALIBRATED	0.40222168	-1.5370789	12.442673
1560824804669	TYPE_ACCELEROMETER	0.40222168	-1.5370789	12.442673
1560824804669	TYPE_MAGNETIC_FIELD	15.179999	20.039999	-11.04
1560824804669	TYPE_GYROSCOPE	0.33270264	-0.42547607	-0.16850281
1560824804669	TYPE_ROTATION_VECTOR	-0.052086495	-0.034711618	0.30583084
1560824804669	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.559998	39.659996	-149.81999
1560824804669	TYPE_GYROSCOPE_UNCALIBRATED	-0.07191467	-0.10333252	-0.113983154
1560824804669	TYPE_ACCELEROMETER_UNCALIBRATED	0.5746155	-1.1468201	9.749191
1560824804689	TYPE_ACCELEROMETER	0.5746155	-1.1468201	9.749191
1560824804689	TYPE_MAGNETIC_FIELD	15.179999	20.1	-11.04
1560824804689	TYPE_GYROSCOPE	0.46159363	-0.5032501	-0.19033813
1560824804689	TYPE_ROTATION_VECTOR	-0.0475414	-0.03786199	0.3045506
1560824804689	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.559998	39.72	-149.81999
1560824804689	TYPE_GYROSCOPE_UNCALIBRATED	0.46072388	-0.50387573	-0.18908691
1560824804689	TYPE_ACCELEROMETER_UNCALIBRATED	0.6967163	-0.8666992	7.6662292
1560824804710	TYPE_ACCELEROMETER	0.6967163	-0.8666992	7.6662292
1560824804710	TYPE_MAGNETIC_FIELD	15.12	20.279999	-11.04
1560824804710	TYPE_GYROSCOPE	0.15428162	-0.2907257	-0.1519928
1560824804710	TYPE_ROTATION_VECTOR	-0.041473854	-0.041371606	0.30313125
1560824804710	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.5	39.899998	-149.81999
1560824804710	TYPE_GYROSCOPE_UNCALIBRATED	0.46072388	-0.50387573	-0.18908691
1560824804710	TYPE_ACCELEROMETER_UNCALIBRATED	0.78289795	-0.7876892	8.113953
1560824804730	TYPE_ACCELEROMETER	0.78289795	-0.7876892	8.113953
1560824804730	TYPE_MAGNETIC_FIELD	14.88	20.279999	-11.04
1560824804730	TYPE_GYROSCOPE	-0.19354248	0.14337158	-0.096069336
1560824804730	TYPE_ROTATION_VECTOR	-0.0389975	-0.04377334	0.30184862
1560824804730	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.259998	39.899998	-149.81999
1560824804730	TYPE_GYROSCOPE_UNCALIBRATED	0.15341187	-0.29135132	-0.15074158
1560824804730	TYPE_ACCELEROMETER_UNCALIBRATED	0.77812195	-0.9026184	9.988617
1560824804750	TYPE_ACCELEROMETER	0.77812195	-0.9026184	9.988617
1560824804750	TYPE_MAGNETIC_FIELD	14.639999	20.4	-11.219999
1560824804750	TYPE_GYROSCOPE	-0.14987183	0.33406067	-0.08328247
1560824804750	TYPE_ROTATION_VECTOR	-0.041225985	-0.043043807	0.3007821
1560824804750	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.019999	40.019997	-150.0
1560824804750	TYPE_GYROSCOPE_UNCALIBRATED	-0.15074158	0.33343506	-0.08203125
1560824804750	TYPE_ACCELEROMETER_UNCALIBRATED	0.50038147	-0.76374817	10.524918
1560824804770	TYPE_ACCELEROMETER	0.50038147	-0.76374817	10.524918
1560824804770	TYPE_MAGNETIC_FIELD	14.639999	20.64	-11.34
1560824804770	TYPE_GYROSCOPE	0.0637207	0.19929504	-0.063583374
1560824804770	TYPE_ROTATION_VECTOR	-0.04365777	-0.040323794	0.29977053
1560824804770	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.019999	40.26	-150.12
1560824804770	TYPE_GYROSCOPE_UNCALIBRATED	-0.15074158	0.33343506	-0.08203125
1560824804770	TYPE_ACCELEROMETER_UNCALIBRATED	0.43574524	-0.48841858	9.485825
1560824804791	TYPE_ACCELEROMETER	0.43574524	-0.48841858	9.485825
1560824804791	TYPE_MAGNETIC_FIELD	14.58	20.699999	-11.5199995
1560824804791	TYPE_GYROSCOPE	0.2086029	-0.018554688	-0.051330566
